Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source_x,Time_x,SessionTime_x,Distance,LapNumber_x,Status,X,Y,Z,Source_y,Time_y,SessionTime_y,LapNumber_y,Cluster
2023-04-02 05:03:18.830,10113,0,1,23,True,1,car,0 days 00:00:00.145000,0 days 01:02:17.008000,0.0,1.0,OnTrack,-667,-1836,88,pos,0 days 00:00:00.049000,0 days 01:02:16.912000,1.0,0
2023-04-02 05:03:19.030,9666,0,1,23,True,1,car,0 days 00:00:00.345000,0 days 01:02:17.208000,0.0,1.0,OnTrack,-667,-1836,88,pos,0 days 00:00:00.289000,0 days 01:02:17.152000,1.0,0
2023-04-02 05:03:19.349,7426,8,1,21,False,1,car,0 days 00:00:00.664000,0 days 01:02:17.527000,0.708888888888889,1.0,OnTrack,-670,-1834,88,pos,0 days 00:00:00.629000,0 days 01:02:17.492000,1.0,0
2023-04-02 05:03:19.549,6026,14,1,22,False,1,car,0 days 00:00:00.864000,0 days 01:02:17.727000,1.4866666666666666,1.0,OnTrack,-676,-1828,88,pos,0 days 00:00:00.949000,0 days 01:02:17.812000,1.0,0
2023-04-02 05:03:19.869,5408,24,1,24,False,1,car,0 days 00:00:01.184000,0 days 01:02:18.047000,3.619999999999999,1.0,OnTrack,-682,-1822,88,pos,0 days 00:00:01.109000,0 days 01:02:17.972000,1.0,0
2023-04-02 05:03:20.069,5209,31,1,30,False,1,car,0 days 00:00:01.384000,0 days 01:02:18.247000,5.342222222222221,1.0,OnTrack,-697,-1808,88,pos,0 days 00:00:01.389000,0 days 01:02:18.252000,1.0,0
2023-04-02 05:03:20.309,5663,42,1,35,False,1,car,0 days 00:00:01.624000,0 days 01:02:18.487000,8.142222222222223,1.0,OnTrack,-710,-1796,88,pos,0 days 00:00:01.569000,0 days 01:02:18.432000,1.0,0
2023-04-02 05:03:20.629,7397,50,1,41,False,1,car,0 days 00:00:01.944000,0 days 01:02:18.807000,12.586666666666666,1.0,OnTrack,-756,-1752,88,pos,0 days 00:00:02.049000,0 days 01:02:18.912000,1.0,0
2023-04-02 05:03:20.869,7407,61,1,40,False,1,car,0 days 00:00:02.184000,0 days 01:02:19.047000,16.653333333333336,1.0,OnTrack,-780,-1729,88,pos,0 days 00:00:02.249000,0 days 01:02:19.112000,1.0,0
2023-04-02 05:03:21.109,8402,73,1,50,False,1,car,0 days 00:00:02.424000,0 days 01:02:19.287000,21.519999999999996,1.0,OnTrack,-805,-1705,88,pos,0 days 00:00:02.429000,0 days 01:02:19.292000,1.0,0
2023-04-02 05:03:21.309,9382,82,1,56,False,1,car,0 days 00:00:02.624000,0 days 01:02:19.487000,26.075555555555557,1.0,OnTrack,-862,-1651,87,pos,0 days 00:00:02.689000,0 days 01:02:19.552000,1.0,0
2023-04-02 05:03:21.469,10222,86,1,58,False,1,car,0 days 00:00:02.784000,0 days 01:02:19.647000,29.897777777777772,1.0,OnTrack,-862,-1651,87,pos,0 days 00:00:02.689000,0 days 01:02:19.552000,1.0,0
2023-04-02 05:03:21.709,11202,95,1,71,False,1,car,0 days 00:00:03.024000,0 days 01:02:19.887000,36.23111111111111,1.0,OnTrack,-928,-1588,86,pos,0 days 00:00:03.130000,0 days 01:02:19.993000,1.0,0
2023-04-02 05:03:21.869,12322,104,1,73,False,1,car,0 days 00:00:03.184000,0 days 01:02:20.047000,40.85333333333334,1.0,OnTrack,-928,-1588,86,pos,0 days 00:00:03.130000,0 days 01:02:19.993000,1.0,0
2023-04-02 05:03:22.070,12249,113,1,79,False,1,car,0 days 00:00:03.385000,0 days 01:02:20.248000,47.162499999999994,1.0,OnTrack,-928,-1588,86,pos,0 days 00:00:03.130000,0 days 01:02:19.993000,1.0,0
2023-04-02 05:03:22.310,11980,128,2,83,False,1,car,0 days 00:00:03.625000,0 days 01:02:20.488000,55.69583333333334,1.0,OnTrack,-1069,-1454,85,pos,0 days 00:00:03.750000,0 days 01:02:20.613000,1.0,0
2023-04-02 05:03:22.510,11000,137,2,87,False,1,car,0 days 00:00:03.825000,0 days 01:02:20.688000,63.306944444444454,1.0,OnTrack,-1069,-1454,85,pos,0 days 00:00:03.750000,0 days 01:02:20.613000,1.0,0
2023-04-02 05:03:22.790,11130,142,3,95,False,1,car,0 days 00:00:04.105000,0 days 01:02:20.968000,74.3513888888889,1.0,OnTrack,-1194,-1335,85,pos,0 days 00:00:04.190000,0 days 01:02:21.053000,1.0,0
2023-04-02 05:03:23.030,11977,152,3,100,False,1,car,0 days 00:00:04.345000,0 days 01:02:21.208000,84.48472222222222,1.0,OnTrack,-1245,-1287,85,pos,0 days 00:00:04.350000,0 days 01:02:21.213000,1.0,0
2023-04-02 05:03:23.270,11417,168,3,100,False,1,car,0 days 00:00:04.585000,0 days 01:02:21.448000,95.68472222222223,1.0,OnTrack,-1337,-1199,84,pos,0 days 00:00:04.630000,0 days 01:02:21.493000,1.0,0
2023-04-02 05:03:23.550,11406,180,4,100,False,1,car,0 days 00:00:04.865000,0 days 01:02:21.728000,109.68472222222223,1.0,OnTrack,-1400,-1139,83,pos,0 days 00:00:04.810000,0 days 01:02:21.673000,1.0,0
2023-04-02 05:03:23.710,11686,188,4,100,False,1,car,0 days 00:00:05.025000,0 days 01:02:21.888000,118.04027777777782,1.0,OnTrack,-1474,-1069,83,pos,0 days 00:00:05.010000,0 days 01:02:21.873000,1.0,0
2023-04-02 05:03:24.030,10865,191,4,100,False,1,car,0 days 00:00:05.345000,0 days 01:02:22.208000,135.01805555555558,1.0,OnTrack,-1581,-967,81,pos,0 days 00:00:05.290000,0 days 01:02:22.153000,1.0,0
2023-04-02 05:03:24.350,11350,205,5,100,False,1,car,0 days 00:00:05.665000,0 days 01:02:22.528000,153.2402777777778,1.0,OnTrack,-1759,-797,80,pos,0 days 00:00:05.730000,0 days 01:02:22.593000,1.0,0
2023-04-02 05:03:24.630,11627,214,5,100,False,1,car,0 days 00:00:05.945000,0 days 01:02:22.808000,169.88472222222225,1.0,OnTrack,-1895,-669,79,pos,0 days 00:00:05.910000,0 days 01:02:22.773000,1.0,0
2023-04-02 05:03:24.830,11627,217,5,100,False,1,car,0 days 00:00:06.145000,0 days 01:02:23.008000,181.94027777777777,1.0,OnTrack,-2000,-568,79,pos,0 days 00:00:06.289000,0 days 01:02:23.152000,1.0,0
2023-04-02 05:03:25.110,10087,223,6,100,False,1,car,0 days 00:00:06.425000,0 days 01:02:23.288000,199.28472222222223,1.0,OnTrack,-2053,-518,78,pos,0 days 00:00:06.409000,0 days 01:02:23.272000,1.0,0
2023-04-02 05:03:25.430,10604,225,6,100,False,1,car,0 days 00:00:06.745000,0 days 01:02:23.608000,219.28472222222223,1.0,OnTrack,-2197,-381,77,pos,0 days 00:00:06.729000,0 days 01:02:23.592000,1.0,0
