Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source_x,Time_x,SessionTime_x,Distance,LapNumber_x,Status,X,Y,Z,Source_y,Time_y,SessionTime_y,LapNumber_y,Cluster
2023-10-29 20:03:18.370,9536,0,1,22,False,1,car,0 days 00:00:00.048000,0 days 01:02:18.289000,0.0,1.0,OnTrack,916,1034,22271,pos,0 days 00:00:00.049000,0 days 01:02:18.290000,1.0,4
2023-10-29 20:03:18.570,9584,0,1,22,False,1,car,0 days 00:00:00.248000,0 days 01:02:18.489000,0.0,1.0,OnTrack,916,1034,22271,pos,0 days 00:00:00.329000,0 days 01:02:18.570000,1.0,4
2023-10-29 20:03:18.770,8744,3,1,25,False,1,car,0 days 00:00:00.448000,0 days 01:02:18.689000,0.1666666666666666,1.0,OnTrack,917,1033,22271,pos,0 days 00:00:00.490000,0 days 01:02:18.731000,1.0,4
2023-10-29 20:03:18.930,7624,7,1,25,False,1,car,0 days 00:00:00.608000,0 days 01:02:18.849000,0.4777777777777777,1.0,OnTrack,918,1033,22271,pos,0 days 00:00:00.589000,0 days 01:02:18.830000,1.0,1
2023-10-29 20:03:19.170,5944,17,1,23,False,1,car,0 days 00:00:00.848000,0 days 01:02:19.089000,1.6111111111111112,1.0,OnTrack,932,1031,22271,pos,0 days 00:00:00.929000,0 days 01:02:19.170000,1.0,1
2023-10-29 20:03:19.410,4264,24,1,23,False,1,car,0 days 00:00:01.088000,0 days 01:02:19.329000,3.2111111111111117,1.0,OnTrack,932,1031,22271,pos,0 days 00:00:00.929000,0 days 01:02:19.170000,1.0,1
2023-10-29 20:03:19.610,3822,30,1,27,False,1,car,0 days 00:00:01.288000,0 days 01:02:19.529000,4.877777777777778,1.0,OnTrack,951,1028,22271,pos,0 days 00:00:01.269000,0 days 01:02:19.510000,1.0,1
2023-10-29 20:03:20.050,5296,44,1,35,False,1,car,0 days 00:00:01.728000,0 days 01:02:19.969000,10.255555555555556,1.0,OnTrack,992,1021,22271,pos,0 days 00:00:01.688000,0 days 01:02:19.929000,1.0,1
2023-10-29 20:03:20.450,7321,59,1,44,False,1,car,0 days 00:00:02.128000,0 days 01:02:20.369000,16.811111111111114,1.0,OnTrack,1061,1010,22271,pos,0 days 00:00:02.169000,0 days 01:02:20.410000,1.0,1
2023-10-29 20:03:20.690,8639,71,1,52,False,1,car,0 days 00:00:02.368000,0 days 01:02:20.609000,21.544444444444444,1.0,OnTrack,1097,1004,22271,pos,0 days 00:00:02.369000,0 days 01:02:20.610000,1.0,4
2023-10-29 20:03:21.090,10438,82,1,57,False,1,car,0 days 00:00:02.768000,0 days 01:02:21.009000,30.65555555555555,1.0,OnTrack,1168,993,22271,pos,0 days 00:00:02.709000,0 days 01:02:20.950000,1.0,4
2023-10-29 20:03:21.450,9591,99,1,64,False,1,car,0 days 00:00:03.128000,0 days 01:02:21.369000,40.55555555555556,1.0,OnTrack,1284,974,22271,pos,0 days 00:00:03.169000,0 days 01:02:21.410000,1.0,4
2023-10-29 20:03:21.850,11402,116,2,76,False,1,car,0 days 00:00:03.528000,0 days 01:02:21.769000,53.44444444444444,1.0,OnTrack,1379,959,22271,pos,0 days 00:00:03.349000,0 days 01:02:21.590000,1.0,4
2023-10-29 20:03:22.051,12102,120,2,100,False,1,car,0 days 00:00:03.729000,0 days 01:02:21.970000,60.144444444444446,1.0,OnTrack,1451,948,22271,pos,0 days 00:00:03.709000,0 days 01:02:21.950000,1.0,4
