Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source_x,Time_x,SessionTime_x,Distance,LapNumber_x,Status,X,Y,Z,Source_y,Time_y,SessionTime_y,LapNumber_y,Cluster
2023-07-09 14:03:09.871,9543,0,1,24,False,1,car,0 days 00:00:00.104000,0 days 01:02:08.835000,0.0,1.0,OnTrack,-1439,1615,1966,pos,0 days 00:00:00.047000,0 days 01:02:08.778000,1.0,2
2023-07-09 14:03:10.031,9586,0,1,25,False,1,car,0 days 00:00:00.264000,0 days 01:02:08.995000,0.0,1.0,OnTrack,-1439,1615,1966,pos,0 days 00:00:00.207000,0 days 01:02:08.938000,1.0,2
2023-07-09 14:03:10.231,8746,0,1,25,False,1,car,0 days 00:00:00.464000,0 days 01:02:09.195000,0.0,1.0,OnTrack,-1439,1615,1966,pos,0 days 00:00:00.387000,0 days 01:02:09.118000,1.0,2
2023-07-09 14:03:10.431,7346,4,1,26,False,1,car,0 days 00:00:00.664000,0 days 01:02:09.395000,0.2222222222222222,1.0,OnTrack,-1438,1616,1966,pos,0 days 00:00:00.587000,0 days 01:02:09.318000,1.0,2
2023-07-09 14:03:10.751,5106,17,1,25,False,1,car,0 days 00:00:00.984000,0 days 01:02:09.715000,1.7333333333333332,1.0,OnTrack,-1434,1622,1966,pos,0 days 00:00:00.847000,0 days 01:02:09.578000,1.0,2
2023-07-09 14:03:11.151,4769,30,1,26,False,1,car,0 days 00:00:01.384000,0 days 01:02:10.115000,5.066666666666666,1.0,OnTrack,-1406,1658,1966,pos,0 days 00:00:01.486000,0 days 01:02:10.217000,1.0,2
2023-07-09 14:03:11.511,5162,44,1,34,False,1,car,0 days 00:00:01.744000,0 days 01:02:10.475000,9.466666666666669,1.0,OnTrack,-1375,1698,1967,pos,0 days 00:00:01.766000,0 days 01:02:10.497000,1.0,2
2023-07-09 14:03:11.711,6239,51,1,39,False,1,car,0 days 00:00:01.944000,0 days 01:02:10.675000,12.3,1.0,OnTrack,-1375,1698,1967,pos,0 days 00:00:01.766000,0 days 01:02:10.497000,1.0,2
2023-07-09 14:03:11.911,7247,60,1,44,False,1,car,0 days 00:00:02.144000,0 days 01:02:10.875000,15.633333333333336,1.0,OnTrack,-1355,1725,1967,pos,0 days 00:00:02.126000,0 days 01:02:10.857000,1.0,2
2023-07-09 14:03:12.150,8311,68,1,49,False,1,car,0 days 00:00:02.383000,0 days 01:02:11.114000,20.14777777777778,1.0,OnTrack,-1338,1747,1968,pos,0 days 00:00:02.286000,0 days 01:02:11.017000,1.0,2
2023-07-09 14:03:12.510,10755,84,1,56,False,1,car,0 days 00:00:02.743000,0 days 01:02:11.474000,28.547777777777775,1.0,OnTrack,-1252,1865,1969,pos,0 days 00:00:02.826000,0 days 01:02:11.557000,1.0,2
2023-07-09 14:03:12.790,11711,97,1,69,False,1,car,0 days 00:00:03.023000,0 days 01:02:11.754000,36.092222222222226,1.0,OnTrack,-1220,1910,1970,pos,0 days 00:00:03.146000,0 days 01:02:11.877000,1.0,2
2023-07-09 14:03:13.150,11082,105,1,73,False,1,car,0 days 00:00:03.383000,0 days 01:02:12.114000,46.59222222222222,1.0,OnTrack,-1192,1947,1970,pos,0 days 00:00:03.306000,0 days 01:02:12.037000,1.0,2
2023-07-09 14:03:13.310,12202,117,2,80,False,1,car,0 days 00:00:03.543000,0 days 01:02:12.274000,51.79222222222222,1.0,OnTrack,-1128,2036,1971,pos,0 days 00:00:03.646000,0 days 01:02:12.377000,1.0,2
2023-07-09 14:03:13.670,12366,129,2,85,False,1,car,0 days 00:00:03.903000,0 days 01:02:12.634000,64.69222222222221,1.0,OnTrack,-1095,2081,1972,pos,0 days 00:00:03.806000,0 days 01:02:12.537000,1.0,2
2023-07-09 14:03:13.990,12635,147,3,100,False,1,car,0 days 00:00:04.223000,0 days 01:02:12.954000,77.75888888888888,1.0,OnTrack,-965,2259,1974,pos,0 days 00:00:04.246000,0 days 01:02:12.977000,1.0,2
