Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source_x,Time_x,SessionTime_x,Distance,LapNumber_x,Status,X,Y,Z,Source_y,Time_y,SessionTime_y,LapNumber_y,Cluster
2023-09-24 05:04:05.267,10956,0,1,26,True,1,car,0 days 00:00:00.014000,0 days 01:03:03.858000,0.0,1.0,OnTrack,2752,-2073,698,pos,0 days 00:00:00.183000,0 days 01:03:04.027000,1.0,4
2023-09-24 05:04:05.467,10941,0,1,27,True,1,car,0 days 00:00:00.214000,0 days 01:03:04.058000,0.0,1.0,OnTrack,2752,-2073,698,pos,0 days 00:00:00.183000,0 days 01:03:04.027000,1.0,4
2023-09-24 05:04:05.748,9791,3,1,27,False,1,car,0 days 00:00:00.495000,0 days 01:03:04.339000,0.2341666666666666,1.0,OnTrack,2753,-2074,698,pos,0 days 00:00:00.582000,0 days 01:03:04.426000,1.0,4
2023-09-24 05:04:06.148,6991,16,1,27,False,1,car,0 days 00:00:00.895000,0 days 01:03:04.739000,2.0119444444444445,1.0,OnTrack,2757,-2079,698,pos,0 days 00:00:00.823000,0 days 01:03:04.667000,1.0,3
2023-09-24 05:04:06.548,5265,29,1,29,False,1,car,0 days 00:00:01.295000,0 days 01:03:05.139000,5.234166666666666,1.0,OnTrack,2770,-2094,697,pos,0 days 00:00:01.182000,0 days 01:03:05.026000,1.0,3
2023-09-24 05:04:06.868,4393,40,1,31,False,1,car,0 days 00:00:01.615000,0 days 01:03:05.459000,8.789722222222222,1.0,OnTrack,2796,-2125,697,pos,0 days 00:00:01.523000,0 days 01:03:05.367000,1.0,3
2023-09-24 05:04:07.028,5373,47,1,40,False,1,car,0 days 00:00:01.775000,0 days 01:03:05.619000,10.878611111111107,1.0,OnTrack,2807,-2137,696,pos,0 days 00:00:01.762000,0 days 01:03:05.606000,1.0,3
2023-09-24 05:04:07.268,6754,55,1,46,False,1,car,0 days 00:00:02.015000,0 days 01:03:05.859000,14.54527777777778,1.0,OnTrack,2830,-2165,695,pos,0 days 00:00:02.022000,0 days 01:03:05.866000,1.0,3
2023-09-24 05:04:07.588,8033,67,1,53,False,1,car,0 days 00:00:02.335000,0 days 01:03:06.179000,20.500833333333333,1.0,OnTrack,2854,-2192,693,pos,0 days 00:00:02.243000,0 days 01:03:06.087000,1.0,3
2023-09-24 05:04:07.748,9153,72,1,58,False,1,car,0 days 00:00:02.495000,0 days 01:03:06.339000,23.700833333333335,1.0,OnTrack,2884,-2227,692,pos,0 days 00:00:02.483000,0 days 01:03:06.327000,1.0,4
2023-09-24 05:04:07.908,9739,80,1,60,False,1,car,0 days 00:00:02.655000,0 days 01:03:06.499000,27.256388888888885,1.0,OnTrack,2927,-2279,690,pos,0 days 00:00:02.783000,0 days 01:03:06.627000,1.0,4
2023-09-24 05:04:08.108,10660,89,1,67,False,1,car,0 days 00:00:02.855000,0 days 01:03:06.699000,32.200833333333335,1.0,OnTrack,2927,-2279,690,pos,0 days 00:00:02.783000,0 days 01:03:06.627000,1.0,4
2023-09-24 05:04:08.348,9029,101,2,74,False,1,car,0 days 00:00:03.095000,0 days 01:03:06.939000,38.93416666666668,1.0,OnTrack,2993,-2356,687,pos,0 days 00:00:03.163000,0 days 01:03:07.007000,1.0,4
2023-09-24 05:04:08.587,10020,106,2,80,False,1,car,0 days 00:00:03.334000,0 days 01:03:07.178000,45.971388888888896,1.0,OnTrack,3027,-2396,686,pos,0 days 00:00:03.343000,0 days 01:03:07.187000,1.0,4
