Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source_x,Time_x,SessionTime_x,Distance,LapNumber_x,Status,X,Y,Z,Source_y,Time_y,SessionTime_y,LapNumber_y,Cluster
2023-07-23 13:03:06.426,11212,0,1,25,False,1,car,0 days 00:00:00.292000,0 days 01:02:04.398000,0.0,1.0,OnTrack,-778,-732,2390,pos,0 days 00:00:00.423000,0 days 01:02:04.529000,1.0,1
2023-07-23 13:03:06.586,10092,0,1,28,False,1,car,0 days 00:00:00.452000,0 days 01:02:04.558000,0.0,1.0,OnTrack,-778,-732,2390,pos,0 days 00:00:00.443000,0 days 01:02:04.549000,1.0,1
2023-07-23 13:03:06.786,8692,9,1,28,False,1,car,0 days 00:00:00.652000,0 days 01:02:04.758000,0.5,1.0,OnTrack,-785,-725,2390,pos,0 days 00:00:00.823000,0 days 01:02:04.929000,1.0,1
2023-07-23 13:03:07.026,7012,15,1,35,False,1,car,0 days 00:00:00.892000,0 days 01:02:04.998000,1.5,1.0,OnTrack,-785,-725,2390,pos,0 days 00:00:00.823000,0 days 01:02:04.929000,1.0,1
2023-07-23 13:03:07.306,5052,25,1,39,False,1,car,0 days 00:00:01.172000,0 days 01:02:05.278000,3.444444444444444,1.0,OnTrack,-806,-705,2389,pos,0 days 00:00:01.203000,0 days 01:02:05.309000,1.0,4
2023-07-23 13:03:07.626,4588,36,1,42,False,1,car,0 days 00:00:01.492000,0 days 01:02:05.598000,6.644444444444444,1.0,OnTrack,-818,-695,2389,pos,0 days 00:00:01.503000,0 days 01:02:05.609000,1.0,4
2023-07-23 13:03:07.866,5433,47,1,51,False,1,car,0 days 00:00:01.732000,0 days 01:02:05.838000,9.777777777777777,1.0,OnTrack,-848,-667,2389,pos,0 days 00:00:01.843000,0 days 01:02:05.949000,1.0,4
2023-07-23 13:03:08.026,6133,47,1,55,False,1,car,0 days 00:00:01.892000,0 days 01:02:05.998000,11.866666666666664,1.0,OnTrack,-848,-667,2389,pos,0 days 00:00:01.843000,0 days 01:02:05.949000,1.0,4
2023-07-23 13:03:08.187,7253,55,1,61,False,1,car,0 days 00:00:02.053000,0 days 01:02:06.159000,14.326388888888886,1.0,OnTrack,-869,-648,2389,pos,0 days 00:00:02.043000,0 days 01:02:06.149000,1.0,1
2023-07-23 13:03:08.427,8933,68,1,60,False,1,car,0 days 00:00:02.293000,0 days 01:02:06.399000,18.859722222222224,1.0,OnTrack,-903,-617,2389,pos,0 days 00:00:02.284000,0 days 01:02:06.390000,1.0,1
2023-07-23 13:03:08.747,10564,85,1,70,False,1,car,0 days 00:00:02.613000,0 days 01:02:06.719000,26.415277777777774,1.0,OnTrack,-932,-591,2389,pos,0 days 00:00:02.484000,0 days 01:02:06.590000,1.0,1
2023-07-23 13:03:09.067,9153,94,2,85,False,1,car,0 days 00:00:02.933000,0 days 01:02:07.039000,34.77083333333333,1.0,OnTrack,-994,-535,2389,pos,0 days 00:00:02.844000,0 days 01:02:06.950000,1.0,1
2023-07-23 13:03:09.427,11673,108,2,100,False,1,car,0 days 00:00:03.293000,0 days 01:02:07.399000,45.57083333333334,1.0,OnTrack,-1159,-388,2389,pos,0 days 00:00:03.344000,0 days 01:02:07.450000,1.0,1
2023-07-23 13:03:09.707,11907,121,2,100,False,1,car,0 days 00:00:03.573000,0 days 01:02:07.679000,54.98194444444445,1.0,OnTrack,-1221,-335,2388,pos,0 days 00:00:03.584000,0 days 01:02:07.690000,1.0,1
2023-07-23 13:03:09.907,11544,135,2,100,False,1,car,0 days 00:00:03.773000,0 days 01:02:07.879000,62.48194444444445,1.0,OnTrack,-1288,-277,2388,pos,0 days 00:00:03.824000,0 days 01:02:07.930000,1.0,1
2023-07-23 13:03:10.146,10714,150,3,100,False,1,car,0 days 00:00:04.012000,0 days 01:02:08.118000,72.44027777777777,1.0,OnTrack,-1342,-231,2388,pos,0 days 00:00:04.064000,0 days 01:02:08.170000,1.0,1
2023-07-23 13:03:10.426,11527,155,3,100,False,1,car,0 days 00:00:04.292000,0 days 01:02:08.398000,84.49583333333334,1.0,OnTrack,-1408,-177,2388,pos,0 days 00:00:04.264000,0 days 01:02:08.370000,1.0,1
2023-07-23 13:03:10.706,10569,172,3,100,False,1,car,0 days 00:00:04.572000,0 days 01:02:08.678000,97.87361111111112,1.0,OnTrack,-1507,-96,2388,pos,0 days 00:00:04.544000,0 days 01:02:08.650000,1.0,1
2023-07-23 13:03:10.986,11080,180,4,100,False,1,car,0 days 00:00:04.852000,0 days 01:02:08.958000,111.87361111111116,1.0,OnTrack,-1683,48,2388,pos,0 days 00:00:04.904000,0 days 01:02:09.010000,1.0,1
2023-07-23 13:03:11.386,11860,197,4,100,False,1,car,0 days 00:00:05.252000,0 days 01:02:09.358000,133.76250000000002,1.0,OnTrack,-1808,150,2388,pos,0 days 00:00:05.304000,0 days 01:02:09.410000,1.0,1
2023-07-23 13:03:11.706,10557,207,4,100,False,1,car,0 days 00:00:05.572000,0 days 01:02:09.678000,152.16250000000002,1.0,OnTrack,-1957,273,2388,pos,0 days 00:00:05.644000,0 days 01:02:09.750000,1.0,1
2023-07-23 13:03:11.946,10994,216,5,100,False,1,car,0 days 00:00:05.812000,0 days 01:02:09.918000,166.56250000000003,1.0,OnTrack,-2113,401,2388,pos,0 days 00:00:05.943000,0 days 01:02:10.049000,1.0,1
2023-07-23 13:03:12.146,11242,221,5,100,False,1,car,0 days 00:00:06.012000,0 days 01:02:10.118000,178.84027777777777,1.0,OnTrack,-2113,401,2388,pos,0 days 00:00:05.943000,0 days 01:02:10.049000,1.0,1
2023-07-23 13:03:12.426,11463,226,5,100,False,1,car,0 days 00:00:06.292000,0 days 01:02:10.398000,196.41805555555555,1.0,OnTrack,-2218,487,2388,pos,0 days 00:00:06.203000,0 days 01:02:10.309000,1.0,1
2023-07-23 13:03:12.706,11096,232,5,100,False,1,car,0 days 00:00:06.572000,0 days 01:02:10.678000,214.4625,1.0,OnTrack,-2335,584,2388,pos,0 days 00:00:06.443000,0 days 01:02:10.549000,1.0,1
