Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source_x,Time_x,SessionTime_x,Distance,LapNumber_x,Status,X,Y,Z,Source_y,Time_y,SessionTime_y,LapNumber_y,Cluster
2023-07-09 14:03:09.871,11068,0,1,23,False,1,car,0 days 00:00:00.104000,0 days 01:02:08.835000,0.0,1.0,OnTrack,-1477,1566,1966,pos,0 days 00:00:00.047000,0 days 01:02:08.778000,1.0,1
2023-07-09 14:03:10.031,11008,0,1,23,False,1,car,0 days 00:00:00.264000,0 days 01:02:08.995000,0.0,1.0,OnTrack,-1477,1566,1966,pos,0 days 00:00:00.207000,0 days 01:02:08.938000,1.0,1
2023-07-09 14:03:10.231,9888,0,1,26,False,1,car,0 days 00:00:00.464000,0 days 01:02:09.195000,0.0,1.0,OnTrack,-1477,1566,1966,pos,0 days 00:00:00.387000,0 days 01:02:09.118000,1.0,1
2023-07-09 14:03:10.431,8488,5,1,27,False,1,car,0 days 00:00:00.664000,0 days 01:02:09.395000,0.2777777777777778,1.0,OnTrack,-1477,1567,1966,pos,0 days 00:00:00.587000,0 days 01:02:09.318000,1.0,1
2023-07-09 14:03:10.751,6248,19,1,30,False,1,car,0 days 00:00:00.984000,0 days 01:02:09.715000,1.9666666666666663,1.0,OnTrack,-1473,1572,1966,pos,0 days 00:00:00.847000,0 days 01:02:09.578000,1.0,1
2023-07-09 14:03:11.151,4296,32,1,37,False,1,car,0 days 00:00:01.384000,0 days 01:02:10.115000,5.522222222222221,1.0,OnTrack,-1446,1606,1966,pos,0 days 00:00:01.486000,0 days 01:02:10.217000,1.0,1
2023-07-09 14:03:11.511,5440,46,1,43,False,1,car,0 days 00:00:01.744000,0 days 01:02:10.475000,10.122222222222222,1.0,OnTrack,-1415,1645,1966,pos,0 days 00:00:01.766000,0 days 01:02:10.497000,1.0,1
2023-07-09 14:03:11.711,6420,52,1,46,False,1,car,0 days 00:00:01.944000,0 days 01:02:10.675000,13.01111111111111,1.0,OnTrack,-1415,1645,1966,pos,0 days 00:00:01.766000,0 days 01:02:10.497000,1.0,1
2023-07-09 14:03:11.911,7277,55,1,52,False,1,car,0 days 00:00:02.144000,0 days 01:02:10.875000,16.066666666666666,1.0,OnTrack,-1395,1671,1966,pos,0 days 00:00:02.126000,0 days 01:02:10.857000,1.0,1
2023-07-09 14:03:12.150,8510,67,1,57,False,1,car,0 days 00:00:02.383000,0 days 01:02:11.114000,20.51472222222222,1.0,OnTrack,-1379,1693,1967,pos,0 days 00:00:02.286000,0 days 01:02:11.017000,1.0,1
2023-07-09 14:03:12.510,10987,83,1,69,False,1,car,0 days 00:00:02.743000,0 days 01:02:11.474000,28.814722222222215,1.0,OnTrack,-1295,1806,1968,pos,0 days 00:00:02.826000,0 days 01:02:11.557000,1.0,1
2023-07-09 14:03:12.790,10742,95,1,82,False,1,car,0 days 00:00:03.023000,0 days 01:02:11.754000,36.20361111111111,1.0,OnTrack,-1264,1848,1969,pos,0 days 00:00:03.146000,0 days 01:02:11.877000,1.0,1
2023-07-09 14:03:13.150,10733,108,2,85,False,1,car,0 days 00:00:03.383000,0 days 01:02:12.114000,47.003611111111105,1.0,OnTrack,-1238,1885,1969,pos,0 days 00:00:03.306000,0 days 01:02:12.037000,1.0,1
2023-07-09 14:03:13.310,11713,108,2,97,False,1,car,0 days 00:00:03.543000,0 days 01:02:12.274000,51.80361111111111,1.0,OnTrack,-1177,1968,1970,pos,0 days 00:00:03.646000,0 days 01:02:12.377000,1.0,1
2023-07-09 14:03:13.670,12014,131,2,100,False,1,car,0 days 00:00:03.903000,0 days 01:02:12.634000,64.9036111111111,1.0,OnTrack,-1145,2012,1971,pos,0 days 00:00:03.806000,0 days 01:02:12.537000,1.0,1
2023-07-09 14:03:13.990,10595,150,3,100,False,1,car,0 days 00:00:04.223000,0 days 01:02:12.954000,78.23694444444443,1.0,OnTrack,-1015,2190,1973,pos,0 days 00:00:04.246000,0 days 01:02:12.977000,1.0,1
2023-07-09 14:03:14.310,11743,164,3,100,False,1,car,0 days 00:00:04.543000,0 days 01:02:13.274000,92.81472222222224,1.0,OnTrack,-984,2233,1974,pos,0 days 00:00:04.486000,0 days 01:02:13.217000,1.0,1
2023-07-09 14:03:14.630,10525,172,3,100,False,1,car,0 days 00:00:04.863000,0 days 01:02:13.594000,108.10361111111114,1.0,OnTrack,-844,2425,1977,pos,0 days 00:00:04.967000,0 days 01:02:13.698000,1.0,1
2023-07-09 14:03:14.790,10951,184,4,100,False,1,car,0 days 00:00:05.023000,0 days 01:02:13.754000,116.28138888888888,1.0,OnTrack,-844,2425,1977,pos,0 days 00:00:04.967000,0 days 01:02:13.698000,1.0,1
2023-07-09 14:03:15.030,11478,191,4,100,False,1,car,0 days 00:00:05.263000,0 days 01:02:13.994000,129.01472222222222,1.0,OnTrack,-766,2533,1979,pos,0 days 00:00:05.227000,0 days 01:02:13.958000,1.0,1
2023-07-09 14:03:15.311,11532,201,4,100,False,1,car,0 days 00:00:05.544000,0 days 01:02:14.275000,144.70388888888886,1.0,OnTrack,-710,2611,1980,pos,0 days 00:00:05.407000,0 days 01:02:14.138000,1.0,1
