Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source_x,Time_x,SessionTime_x,Distance,LapNumber_x,Status,X,Y,Z,Source_y,Time_y,SessionTime_y,LapNumber_y,Cluster
2023-04-02 05:03:18.830,10490,0,1,37,True,1,car,0 days 00:00:00.145000,0 days 01:02:17.008000,0.0,1.0,OnTrack,-726,-1780,88,pos,0 days 00:00:00.049000,0 days 01:02:16.912000,1.0,2
2023-04-02 05:03:19.030,10081,0,1,36,True,1,car,0 days 00:00:00.345000,0 days 01:02:17.208000,0.0,1.0,OnTrack,-726,-1780,88,pos,0 days 00:00:00.289000,0 days 01:02:17.152000,1.0,2
2023-04-02 05:03:19.349,7841,6,1,37,False,1,car,0 days 00:00:00.664000,0 days 01:02:17.527000,0.5316666666666667,1.0,OnTrack,-730,-1776,88,pos,0 days 00:00:00.629000,0 days 01:02:17.492000,1.0,2
2023-04-02 05:03:19.549,6441,13,1,39,False,1,car,0 days 00:00:00.864000,0 days 01:02:17.727000,1.2538888888888888,1.0,OnTrack,-736,-1770,88,pos,0 days 00:00:00.949000,0 days 01:02:17.812000,1.0,2
2023-04-02 05:03:19.869,5257,26,1,42,False,1,car,0 days 00:00:01.184000,0 days 01:02:18.047000,3.5649999999999995,1.0,OnTrack,-743,-1764,88,pos,0 days 00:00:01.109000,0 days 01:02:17.972000,1.0,2
2023-04-02 05:03:20.069,4638,33,1,44,False,1,car,0 days 00:00:01.384000,0 days 01:02:18.247000,5.3983333333333325,1.0,OnTrack,-759,-1749,88,pos,0 days 00:00:01.389000,0 days 01:02:18.252000,1.0,2
2023-04-02 05:03:20.309,6034,41,1,51,False,1,car,0 days 00:00:01.624000,0 days 01:02:18.487000,8.131666666666668,1.0,OnTrack,-772,-1736,88,pos,0 days 00:00:01.569000,0 days 01:02:18.432000,1.0,2
2023-04-02 05:03:20.629,7389,52,1,57,False,1,car,0 days 00:00:01.944000,0 days 01:02:18.807000,12.753888888888888,1.0,OnTrack,-820,-1691,88,pos,0 days 00:00:02.049000,0 days 01:02:18.912000,1.0,2
2023-04-02 05:03:20.869,8986,64,1,59,False,1,car,0 days 00:00:02.184000,0 days 01:02:19.047000,17.02055555555556,1.0,OnTrack,-845,-1666,87,pos,0 days 00:00:02.249000,0 days 01:02:19.112000,1.0,2
2023-04-02 05:03:21.109,9739,72,1,62,False,1,car,0 days 00:00:02.424000,0 days 01:02:19.287000,21.82055555555556,1.0,OnTrack,-871,-1642,87,pos,0 days 00:00:02.429000,0 days 01:02:19.292000,1.0,2
2023-04-02 05:03:21.309,10901,81,1,67,False,1,car,0 days 00:00:02.624000,0 days 01:02:19.487000,26.32055555555556,1.0,OnTrack,-930,-1586,86,pos,0 days 00:00:02.689000,0 days 01:02:19.552000,1.0,2
2023-04-02 05:03:21.469,11563,89,1,71,False,1,car,0 days 00:00:02.784000,0 days 01:02:19.647000,30.27611111111111,1.0,OnTrack,-930,-1586,86,pos,0 days 00:00:02.689000,0 days 01:02:19.552000,1.0,2
