Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source_x,Time_x,SessionTime_x,Distance,LapNumber_x,Status,X,Y,Z,Source_y,Time_y,SessionTime_y,LapNumber_y,Cluster
2023-03-19 17:03:50.954,11182,0,1,25,False,1,car,0 days 00:00:00.236000,0 days 01:02:50.868000,0.0,1.0,OnTrack,-1755,1482,117,pos,0 days 00:00:00.277000,0 days 01:02:50.909000,1.0,1
2023-03-19 17:03:51.154,10673,0,1,21,False,1,car,0 days 00:00:00.436000,0 days 01:02:51.068000,0.0,1.0,OnTrack,-1755,1482,117,pos,0 days 00:00:00.437000,0 days 01:02:51.069000,1.0,1
2023-03-19 17:03:51.434,8713,8,1,23,False,1,car,0 days 00:00:00.716000,0 days 01:02:51.348000,0.6222222222222222,1.0,OnTrack,-1759,1494,117,pos,0 days 00:00:00.797000,0 days 01:02:51.429000,1.0,1
2023-03-19 17:03:51.794,6193,21,1,28,False,1,car,0 days 00:00:01.076000,0 days 01:02:51.708000,2.7222222222222228,1.0,OnTrack,-1762,1503,117,pos,0 days 00:00:01.117000,0 days 01:02:51.749000,1.0,1
2023-03-19 17:03:52.074,4312,29,1,37,False,1,car,0 days 00:00:01.356000,0 days 01:02:51.988000,4.977777777777778,1.0,OnTrack,-1770,1523,117,pos,0 days 00:00:01.377000,0 days 01:02:52.009000,1.0,1
2023-03-19 17:03:52.274,5403,37,1,43,False,1,car,0 days 00:00:01.556000,0 days 01:02:52.188000,7.033333333333333,1.0,OnTrack,-1777,1543,117,pos,0 days 00:00:01.576000,0 days 01:02:52.208000,1.0,1
2023-03-19 17:03:52.474,6111,45,1,47,False,1,car,0 days 00:00:01.756000,0 days 01:02:52.388000,9.533333333333331,1.0,OnTrack,-1791,1582,117,pos,0 days 00:00:01.796000,0 days 01:02:52.428000,1.0,1
2023-03-19 17:03:52.794,8351,61,1,52,False,1,car,0 days 00:00:02.076000,0 days 01:02:52.708000,14.955555555555556,1.0,OnTrack,-1806,1623,117,pos,0 days 00:00:02.156000,0 days 01:02:52.788000,1.0,1
2023-03-19 17:03:53.034,9268,69,1,50,False,1,car,0 days 00:00:02.316000,0 days 01:02:52.948000,19.55555555555555,1.0,OnTrack,-1817,1652,117,pos,0 days 00:00:02.316000,0 days 01:02:52.948000,1.0,1
2023-03-19 17:03:53.354,10577,83,1,64,False,1,car,0 days 00:00:02.636000,0 days 01:02:53.268000,26.933333333333337,1.0,OnTrack,-1843,1722,117,pos,0 days 00:00:02.656000,0 days 01:02:53.288000,1.0,1
2023-03-19 17:03:53.554,11616,92,1,74,False,1,car,0 days 00:00:02.836000,0 days 01:02:53.468000,32.04444444444444,1.0,OnTrack,-1862,1775,117,pos,0 days 00:00:02.876000,0 days 01:02:53.508000,1.0,1
2023-03-19 17:03:53.714,12354,102,1,77,False,1,car,0 days 00:00:02.996000,0 days 01:02:53.628000,36.577777777777776,1.0,OnTrack,-1878,1818,117,pos,0 days 00:00:03.036000,0 days 01:02:53.668000,1.0,1
2023-03-19 17:03:54.034,11733,115,1,100,False,1,car,0 days 00:00:03.316000,0 days 01:02:53.948000,46.79999999999999,1.0,OnTrack,-1904,1889,117,pos,0 days 00:00:03.257000,0 days 01:02:53.889000,1.0,1
2023-03-19 17:03:54.435,11543,136,2,100,False,1,car,0 days 00:00:03.717000,0 days 01:02:54.349000,61.94888888888889,1.0,OnTrack,-1949,2011,117,pos,0 days 00:00:03.637000,0 days 01:02:54.269000,1.0,1
2023-03-19 17:03:54.635,11146,145,3,100,False,1,car,0 days 00:00:03.917000,0 days 01:02:54.549000,70.00444444444443,1.0,OnTrack,-1974,2080,117,pos,0 days 00:00:03.837000,0 days 01:02:54.469000,1.0,1
2023-03-19 17:03:55.434,11484,181,4,100,False,1,car,0 days 00:00:04.716000,0 days 01:02:55.348000,110.1763888888889,1.0,OnTrack,-2149,2558,117,pos,0 days 00:00:04.797000,0 days 01:02:55.429000,1.0,1
2023-03-19 17:03:55.634,12078,189,4,100,False,1,car,0 days 00:00:04.916000,0 days 01:02:55.548000,120.67638888888892,1.0,OnTrack,-2149,2558,117,pos,0 days 00:00:04.797000,0 days 01:02:55.429000,1.0,1
2023-03-19 17:03:55.834,11269,196,4,100,False,1,car,0 days 00:00:05.116000,0 days 01:02:55.748000,131.56527777777777,1.0,OnTrack,-2205,2730,118,pos,0 days 00:00:05.237000,0 days 01:02:55.869000,1.0,1
2023-03-19 17:03:56.154,11186,205,5,100,False,1,car,0 days 00:00:05.436000,0 days 01:02:56.068000,149.7875,1.0,OnTrack,-2230,2823,117,pos,0 days 00:00:05.377000,0 days 01:02:56.009000,1.0,1
2023-03-19 17:03:56.314,11267,212,5,100,False,1,car,0 days 00:00:05.596000,0 days 01:02:56.228000,159.2097222222222,1.0,OnTrack,-2270,2973,118,pos,0 days 00:00:05.637000,0 days 01:02:56.269000,1.0,1
2023-03-19 17:03:56.514,11525,217,5,100,True,1,car,0 days 00:00:05.796000,0 days 01:02:56.428000,171.26527777777778,1.0,OnTrack,-2306,3107,118,pos,0 days 00:00:05.877000,0 days 01:02:56.509000,1.0,1
2023-03-19 17:03:56.834,11541,220,5,71,True,1,car,0 days 00:00:06.116000,0 days 01:02:56.748000,190.8208333333333,1.0,OnTrack,-2351,3271,118,pos,0 days 00:00:06.057000,0 days 01:02:56.689000,1.0,1
2023-03-19 17:03:57.154,11405,219,5,54,True,1,car,0 days 00:00:06.436000,0 days 01:02:57.068000,210.28749999999997,1.0,OnTrack,-2392,3424,118,pos,0 days 00:00:06.417000,0 days 01:02:57.049000,1.0,1
2023-03-19 17:03:57.434,11290,217,5,54,True,1,car,0 days 00:00:06.716000,0 days 01:02:57.348000,227.16527777777776,1.0,OnTrack,-2419,3523,118,pos,0 days 00:00:06.577000,0 days 01:02:57.209000,1.0,1
2023-03-19 17:03:57.594,11570,216,5,54,True,1,car,0 days 00:00:06.876000,0 days 01:02:57.508000,236.76527777777775,1.0,OnTrack,-2492,3789,118,pos,0 days 00:00:06.897000,0 days 01:02:57.529000,1.0,1
2023-03-19 17:03:57.834,11478,217,5,67,True,1,car,0 days 00:00:07.116000,0 days 01:02:57.748000,251.2319444444444,1.0,OnTrack,-2492,3789,118,pos,0 days 00:00:06.897000,0 days 01:02:57.529000,1.0,1
2023-03-19 17:03:58.194,9275,179,5,0,True,1,car,0 days 00:00:07.476000,0 days 01:02:58.108000,269.13194444444446,1.0,OnTrack,-2550,3998,118,pos,0 days 00:00:07.437000,0 days 01:02:58.069000,1.0,3
2023-03-19 17:03:58.354,9266,179,5,0,True,1,car,0 days 00:00:07.636000,0 days 01:02:58.268000,277.08750000000003,1.0,OnTrack,-2594,4159,117,pos,0 days 00:00:07.777000,0 days 01:02:58.409000,1.0,3
2023-03-19 17:03:58.594,10071,164,5,0,True,1,car,0 days 00:00:07.876000,0 days 01:02:58.508000,288.02083333333337,1.0,OnTrack,-2594,4159,117,pos,0 days 00:00:07.777000,0 days 01:02:58.409000,1.0,3
2023-03-19 17:03:58.834,10736,158,4,0,True,1,car,0 days 00:00:08.116000,0 days 01:02:58.748000,298.5541666666667,1.0,OnTrack,-2624,4263,117,pos,0 days 00:00:08.017000,0 days 01:02:58.649000,1.0,3
2023-03-19 17:03:58.994,10649,147,3,0,True,1,car,0 days 00:00:08.276000,0 days 01:02:58.908000,305.08750000000003,1.0,OnTrack,-2656,4364,116,pos,0 days 00:00:08.236000,0 days 01:02:58.868000,1.0,3
2023-03-19 17:03:59.194,9716,135,3,0,True,1,car,0 days 00:00:08.476000,0 days 01:02:59.108000,312.5875000000001,1.0,OnTrack,-2677,4422,116,pos,0 days 00:00:08.516000,0 days 01:02:59.148000,1.0,3
2023-03-19 17:03:59.394,8807,124,3,0,True,1,car,0 days 00:00:08.676000,0 days 01:02:59.308000,319.47638888888895,1.0,OnTrack,-2699,4477,116,pos,0 days 00:00:08.696000,0 days 01:02:59.328000,1.0,3
2023-03-19 17:03:59.634,8911,113,3,0,True,1,car,0 days 00:00:08.916000,0 days 01:02:59.548000,327.0097222222223,1.0,OnTrack,-2749,4585,115,pos,0 days 00:00:09.036000,0 days 01:02:59.668000,1.0,3
2023-03-19 17:03:59.914,8340,99,2,0,True,1,car,0 days 00:00:09.196000,0 days 01:02:59.828000,334.7097222222223,1.0,OnTrack,-2749,4585,115,pos,0 days 00:00:09.036000,0 days 01:02:59.668000,1.0,3
2023-03-19 17:04:00.074,8340,94,2,0,True,1,car,0 days 00:00:09.356000,0 days 01:02:59.988000,338.8875000000001,1.0,OnTrack,-2801,4665,114,pos,0 days 00:00:09.476000,0 days 01:03:00.108000,1.0,3
2023-03-19 17:04:00.394,9406,85,1,0,True,1,car,0 days 00:00:09.676000,0 days 01:03:00.308000,346.44305555555565,1.0,OnTrack,-2834,4702,114,pos,0 days 00:00:09.696000,0 days 01:03:00.328000,1.0,3
2023-03-19 17:04:00.634,9145,80,1,0,True,1,car,0 days 00:00:09.916000,0 days 01:03:00.548000,351.77638888888896,1.0,OnTrack,-2871,4733,113,pos,0 days 00:00:09.897000,0 days 01:03:00.529000,1.0,3
2023-03-19 17:04:00.834,8585,79,1,0,True,1,car,0 days 00:00:10.116000,0 days 01:03:00.748000,356.1652777777778,1.0,OnTrack,-2934,4767,112,pos,0 days 00:00:10.097000,0 days 01:03:00.729000,1.0,3
2023-03-19 17:04:01.035,8241,75,1,0,True,1,car,0 days 00:00:10.317000,0 days 01:03:00.949000,360.3527777777778,1.0,OnTrack,-2934,4767,112,pos,0 days 00:00:10.097000,0 days 01:03:00.729000,1.0,3
2023-03-19 17:04:01.355,8461,72,1,28,False,1,car,0 days 00:00:10.637000,0 days 01:03:01.269000,366.75277777777785,1.0,OnTrack,-3006,4784,113,pos,0 days 00:00:10.537000,0 days 01:03:01.169000,1.0,3
2023-03-19 17:04:01.595,9004,76,1,32,False,1,car,0 days 00:00:10.877000,0 days 01:03:01.509000,371.8194444444445,1.0,OnTrack,-3066,4778,114,pos,0 days 00:00:10.917000,0 days 01:03:01.549000,1.0,3
2023-03-19 17:04:01.874,9656,79,1,38,False,1,car,0 days 00:00:11.156000,0 days 01:03:01.788000,377.9419444444445,1.0,OnTrack,-3153,4762,116,pos,0 days 00:00:11.177000,0 days 01:03:01.809000,1.0,3
2023-03-19 17:04:02.034,9905,82,1,38,False,1,car,0 days 00:00:11.316000,0 days 01:03:01.948000,381.58638888888896,1.0,OnTrack,-3153,4762,116,pos,0 days 00:00:11.177000,0 days 01:03:01.809000,1.0,3
2023-03-19 17:04:02.434,7795,77,1,0,True,1,car,0 days 00:00:11.716000,0 days 01:03:02.348000,390.1419444444445,1.0,OnTrack,-3225,4750,117,pos,0 days 00:00:11.517000,0 days 01:03:02.149000,1.0,3
