Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source_x,Time_x,SessionTime_x,Distance,LapNumber_x,Status,X,Y,Z,Source_y,Time_y,SessionTime_y,LapNumber_y,Cluster
2023-07-09 14:03:09.871,10759,0,1,21,False,1,car,0 days 00:00:00.104000,0 days 01:02:08.835000,0.0,1.0,OnTrack,-1915,992,1962,pos,0 days 00:00:00.047000,0 days 01:02:08.778000,1.0,3
2023-07-09 14:03:10.031,10674,0,1,21,False,1,car,0 days 00:00:00.264000,0 days 01:02:08.995000,0.0,1.0,OnTrack,-1915,992,1962,pos,0 days 00:00:00.207000,0 days 01:02:08.938000,1.0,3
2023-07-09 14:03:10.231,9451,0,1,20,False,1,car,0 days 00:00:00.464000,0 days 01:02:09.195000,0.0,1.0,OnTrack,-1915,992,1962,pos,0 days 00:00:00.387000,0 days 01:02:09.118000,1.0,3
2023-07-09 14:03:10.431,8051,7,1,20,False,1,car,0 days 00:00:00.664000,0 days 01:02:09.395000,0.3888888888888889,1.0,OnTrack,-1914,993,1962,pos,0 days 00:00:00.587000,0 days 01:02:09.318000,1.0,3
2023-07-09 14:03:10.751,5811,19,1,22,False,1,car,0 days 00:00:00.984000,0 days 01:02:09.715000,2.0777777777777775,1.0,OnTrack,-1910,999,1962,pos,0 days 00:00:00.847000,0 days 01:02:09.578000,1.0,3
2023-07-09 14:03:11.151,3481,30,1,31,False,1,car,0 days 00:00:01.384000,0 days 01:02:10.115000,5.4111111111111105,1.0,OnTrack,-1887,1032,1963,pos,0 days 00:00:01.486000,0 days 01:02:10.217000,1.0,3
2023-07-09 14:03:11.511,4531,40,1,44,False,1,car,0 days 00:00:01.744000,0 days 01:02:10.475000,9.411111111111111,1.0,OnTrack,-1857,1072,1963,pos,0 days 00:00:01.766000,0 days 01:02:10.497000,1.0,3
2023-07-09 14:03:11.711,4531,47,1,44,False,1,car,0 days 00:00:01.944000,0 days 01:02:10.675000,12.022222222222222,1.0,OnTrack,-1857,1072,1963,pos,0 days 00:00:01.766000,0 days 01:02:10.497000,1.0,3
2023-07-09 14:03:11.911,5791,55,1,51,False,1,car,0 days 00:00:02.144000,0 days 01:02:10.875000,15.07777777777778,1.0,OnTrack,-1837,1100,1963,pos,0 days 00:00:02.126000,0 days 01:02:10.857000,1.0,3
2023-07-09 14:03:12.150,7471,65,1,52,False,1,car,0 days 00:00:02.383000,0 days 01:02:11.114000,19.393055555555556,1.0,OnTrack,-1822,1121,1963,pos,0 days 00:00:02.286000,0 days 01:02:11.017000,1.0,3
2023-07-09 14:03:12.510,9842,76,1,52,False,1,car,0 days 00:00:02.743000,0 days 01:02:11.474000,26.993055555555554,1.0,OnTrack,-1744,1226,1963,pos,0 days 00:00:02.826000,0 days 01:02:11.557000,1.0,3
2023-07-09 14:03:12.790,10262,87,1,62,False,1,car,0 days 00:00:03.023000,0 days 01:02:11.754000,33.75972222222222,1.0,OnTrack,-1714,1265,1964,pos,0 days 00:00:03.146000,0 days 01:02:11.877000,1.0,3
2023-07-09 14:03:13.150,8740,95,2,67,False,1,car,0 days 00:00:03.383000,0 days 01:02:12.114000,43.25972222222222,1.0,OnTrack,-1689,1298,1964,pos,0 days 00:00:03.306000,0 days 01:02:12.037000,1.0,3
2023-07-09 14:03:13.310,9794,108,2,75,False,1,car,0 days 00:00:03.543000,0 days 01:02:12.274000,48.05972222222223,1.0,OnTrack,-1630,1374,1964,pos,0 days 00:00:03.646000,0 days 01:02:12.377000,1.0,3
2023-07-09 14:03:13.670,11342,122,2,100,False,1,car,0 days 00:00:03.903000,0 days 01:02:12.634000,60.25972222222222,1.0,OnTrack,-1598,1415,1965,pos,0 days 00:00:03.806000,0 days 01:02:12.537000,1.0,3
2023-07-09 14:03:13.990,10882,141,2,100,False,1,car,0 days 00:00:04.223000,0 days 01:02:12.954000,72.79305555555555,1.0,OnTrack,-1469,1577,1966,pos,0 days 00:00:04.246000,0 days 01:02:12.977000,1.0,3
2023-07-09 14:03:14.310,11308,152,3,100,False,1,car,0 days 00:00:04.543000,0 days 01:02:13.274000,86.30416666666667,1.0,OnTrack,-1438,1616,1966,pos,0 days 00:00:04.486000,0 days 01:02:13.217000,1.0,3
2023-07-09 14:03:14.630,10935,164,3,100,False,1,car,0 days 00:00:04.863000,0 days 01:02:13.594000,100.88194444444449,1.0,OnTrack,-1304,1793,1968,pos,0 days 00:00:04.967000,0 days 01:02:13.698000,1.0,3
2023-07-09 14:03:14.790,10746,170,4,100,False,1,car,0 days 00:00:05.023000,0 days 01:02:13.754000,108.4375,1.0,OnTrack,-1304,1793,1968,pos,0 days 00:00:04.967000,0 days 01:02:13.698000,1.0,3
2023-07-09 14:03:15.030,10271,177,4,100,False,1,car,0 days 00:00:05.263000,0 days 01:02:13.994000,120.2375,1.0,OnTrack,-1231,1894,1969,pos,0 days 00:00:05.227000,0 days 01:02:13.958000,1.0,3
2023-07-09 14:03:15.311,9701,181,5,100,False,1,car,0 days 00:00:05.544000,0 days 01:02:14.275000,134.36555555555557,1.0,OnTrack,-1178,1966,1970,pos,0 days 00:00:05.407000,0 days 01:02:14.138000,1.0,3
2023-07-09 14:03:15.551,9968,181,5,100,False,1,car,0 days 00:00:05.784000,0 days 01:02:14.515000,146.4322222222222,1.0,OnTrack,-1057,2133,1973,pos,0 days 00:00:05.727000,0 days 01:02:14.458000,1.0,3
2023-07-09 14:03:15.911,10573,199,5,100,False,1,car,0 days 00:00:06.144000,0 days 01:02:14.875000,166.3322222222222,1.0,OnTrack,-936,2299,1975,pos,0 days 00:00:06.067000,0 days 01:02:14.798000,1.0,3
2023-07-09 14:03:16.071,10812,203,5,100,False,1,car,0 days 00:00:06.304000,0 days 01:02:15.035000,175.35444444444445,1.0,OnTrack,-802,2483,1978,pos,0 days 00:00:06.467000,0 days 01:02:15.198000,1.0,3
2023-07-09 14:03:16.351,10238,208,5,100,False,1,car,0 days 00:00:06.584000,0 days 01:02:15.315000,191.5322222222222,1.0,OnTrack,-802,2483,1978,pos,0 days 00:00:06.467000,0 days 01:02:15.198000,1.0,3
2023-07-09 14:03:16.551,9817,213,6,100,False,1,car,0 days 00:00:06.784000,0 days 01:02:15.515000,203.36555555555557,1.0,OnTrack,-719,2597,1980,pos,0 days 00:00:06.847000,0 days 01:02:15.578000,1.0,3
2023-07-09 14:03:16.911,10088,220,6,100,False,1,car,0 days 00:00:07.144000,0 days 01:02:15.875000,225.36555555555557,1.0,OnTrack,-629,2725,1982,pos,0 days 00:00:07.107000,0 days 01:02:15.838000,1.0,3
2023-07-09 14:03:17.111,10322,224,6,100,False,1,car,0 days 00:00:07.344000,0 days 01:02:16.075000,237.81000000000003,1.0,OnTrack,-517,2888,1985,pos,0 days 00:00:07.367000,0 days 01:02:16.098000,1.0,3
2023-07-09 14:03:17.351,10383,231,6,100,False,1,car,0 days 00:00:07.584000,0 days 01:02:16.315000,253.21,1.0,OnTrack,-424,3025,1987,pos,0 days 00:00:07.687000,0 days 01:02:16.418000,1.0,3
2023-07-09 14:03:17.831,10994,240,6,100,False,1,car,0 days 00:00:08.064000,0 days 01:02:16.795000,285.21000000000004,1.0,OnTrack,-294,3222,1991,pos,0 days 00:00:08.047000,0 days 01:02:16.778000,1.0,3
2023-07-09 14:03:18.031,11201,243,6,100,False,1,car,0 days 00:00:08.264000,0 days 01:02:16.995000,298.71,1.0,OnTrack,-172,3401,1994,pos,0 days 00:00:08.366000,0 days 01:02:17.097000,1.0,3
2023-07-09 14:03:18.351,9727,250,6,100,False,1,car,0 days 00:00:08.584000,0 days 01:02:17.315000,320.9322222222222,1.0,OnTrack,-36,3593,1997,pos,0 days 00:00:08.566000,0 days 01:02:17.297000,1.0,3
2023-07-09 14:03:18.631,10283,256,7,100,False,1,car,0 days 00:00:08.864000,0 days 01:02:17.595000,340.8433333333334,1.0,OnTrack,57,3718,1999,pos,0 days 00:00:08.926000,0 days 01:02:17.657000,1.0,3
2023-07-09 14:03:18.791,10003,259,7,0,True,1,car,0 days 00:00:09.024000,0 days 01:02:17.755000,352.3544444444444,1.0,OnTrack,57,3718,1999,pos,0 days 00:00:08.926000,0 days 01:02:17.657000,1.0,3
2023-07-09 14:03:18.950,9602,252,7,0,True,1,car,0 days 00:00:09.183000,0 days 01:02:17.914000,363.4844444444445,1.0,OnTrack,190,3885,2004,pos,0 days 00:00:09.226000,0 days 01:02:17.957000,1.0,3
2023-07-09 14:03:19.150,10235,242,7,0,True,1,car,0 days 00:00:09.383000,0 days 01:02:18.114000,376.9288888888889,1.0,OnTrack,351,4068,2009,pos,0 days 00:00:09.426000,0 days 01:02:18.157000,1.0,3
2023-07-09 14:03:19.470,8977,226,7,0,True,1,car,0 days 00:00:09.703000,0 days 01:02:18.434000,397.0177777777778,1.0,OnTrack,423,4139,2010,pos,0 days 00:00:09.706000,0 days 01:02:18.437000,1.0,3
2023-07-09 14:03:19.630,8893,226,7,0,True,1,car,0 days 00:00:09.863000,0 days 01:02:18.594000,407.06222222222226,1.0,OnTrack,551,4249,2011,pos,0 days 00:00:09.986000,0 days 01:02:18.717000,1.0,3
2023-07-09 14:03:19.790,8753,215,7,0,True,1,car,0 days 00:00:10.023000,0 days 01:02:18.754000,416.6177777777778,1.0,OnTrack,551,4249,2011,pos,0 days 00:00:09.986000,0 days 01:02:18.717000,1.0,3
2023-07-09 14:03:19.950,8221,210,7,0,True,1,car,0 days 00:00:10.183000,0 days 01:02:18.914000,425.9511111111111,1.0,OnTrack,607,4290,2012,pos,0 days 00:00:10.106000,0 days 01:02:18.837000,1.0,3
2023-07-09 14:03:20.230,9306,202,7,0,True,1,car,0 days 00:00:10.463000,0 days 01:02:19.194000,441.66222222222217,1.0,OnTrack,714,4356,2012,pos,0 days 00:00:10.326000,0 days 01:02:19.057000,1.0,3
2023-07-09 14:03:20.510,10026,196,6,0,True,1,car,0 days 00:00:10.743000,0 days 01:02:19.474000,456.9066666666667,1.0,OnTrack,977,4461,2014,pos,0 days 00:00:10.846000,0 days 01:02:19.577000,1.0,3
2023-07-09 14:03:20.670,9755,187,5,0,True,1,car,0 days 00:00:10.903000,0 days 01:02:19.634000,465.2177777777778,1.0,OnTrack,977,4461,2014,pos,0 days 00:00:10.846000,0 days 01:02:19.577000,1.0,3
2023-07-09 14:03:20.830,9592,185,5,0,True,1,car,0 days 00:00:11.063000,0 days 01:02:19.794000,473.44000000000005,1.0,OnTrack,1110,4491,2015,pos,0 days 00:00:11.106000,0 days 01:02:19.837000,1.0,3
2023-07-09 14:03:21.070,9275,180,5,0,True,1,car,0 days 00:00:11.303000,0 days 01:02:20.034000,485.44000000000005,1.0,OnTrack,1231,4508,2016,pos,0 days 00:00:11.266000,0 days 01:02:19.997000,1.0,3
2023-07-09 14:03:21.230,9275,180,5,0,True,1,car,0 days 00:00:11.463000,0 days 01:02:20.194000,493.44,1.0,OnTrack,1361,4517,2017,pos,0 days 00:00:11.587000,0 days 01:02:20.318000,1.0,3
2023-07-09 14:03:21.470,9186,177,5,0,True,1,car,0 days 00:00:11.703000,0 days 01:02:20.434000,505.24,1.0,OnTrack,1361,4517,2017,pos,0 days 00:00:11.587000,0 days 01:02:20.318000,1.0,3
