Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source_x,Time_x,SessionTime_x,Distance,LapNumber_x,Status,X,Y,Z,Source_y,Time_y,SessionTime_y,LapNumber_y,Cluster
2023-07-09 14:03:09.871,9702,0,1,21,False,1,car,0 days 00:00:00.104000,0 days 01:02:08.835000,0.0,1.0,OnTrack,-1090,2088,1972,pos,0 days 00:00:00.047000,0 days 01:02:08.778000,1.0,4
2023-07-09 14:03:10.031,9698,0,1,21,False,1,car,0 days 00:00:00.264000,0 days 01:02:08.995000,0.0,1.0,OnTrack,-1090,2088,1972,pos,0 days 00:00:00.207000,0 days 01:02:08.938000,1.0,4
2023-07-09 14:03:10.231,8578,0,1,19,False,1,car,0 days 00:00:00.464000,0 days 01:02:09.195000,0.0,1.0,OnTrack,-1090,2088,1972,pos,0 days 00:00:00.387000,0 days 01:02:09.118000,1.0,4
2023-07-09 14:03:10.431,7178,11,1,19,False,1,car,0 days 00:00:00.664000,0 days 01:02:09.395000,0.6111111111111112,1.0,OnTrack,-1089,2089,1972,pos,0 days 00:00:00.587000,0 days 01:02:09.318000,1.0,4
2023-07-09 14:03:10.751,4938,21,1,20,False,1,car,0 days 00:00:00.984000,0 days 01:02:09.715000,2.4777777777777774,1.0,OnTrack,-1083,2097,1972,pos,0 days 00:00:00.847000,0 days 01:02:09.578000,1.0,4
2023-07-09 14:03:11.151,4247,34,1,39,False,1,car,0 days 00:00:01.384000,0 days 01:02:10.115000,6.255555555555555,1.0,OnTrack,-1055,2136,1973,pos,0 days 00:00:01.486000,0 days 01:02:10.217000,1.0,4
2023-07-09 14:03:11.511,5634,48,1,50,False,1,car,0 days 00:00:01.744000,0 days 01:02:10.475000,11.055555555555555,1.0,OnTrack,-1023,2179,1973,pos,0 days 00:00:01.766000,0 days 01:02:10.497000,1.0,4
2023-07-09 14:03:11.711,6752,55,1,51,False,1,car,0 days 00:00:01.944000,0 days 01:02:10.675000,14.11111111111111,1.0,OnTrack,-1023,2179,1973,pos,0 days 00:00:01.766000,0 days 01:02:10.497000,1.0,4
2023-07-09 14:03:11.911,8150,63,1,55,False,1,car,0 days 00:00:02.144000,0 days 01:02:10.875000,17.611111111111114,1.0,OnTrack,-1005,2205,1973,pos,0 days 00:00:02.126000,0 days 01:02:10.857000,1.0,4
2023-07-09 14:03:12.150,9577,70,1,56,False,1,car,0 days 00:00:02.383000,0 days 01:02:11.114000,22.258333333333333,1.0,OnTrack,-988,2228,1974,pos,0 days 00:00:02.286000,0 days 01:02:11.017000,1.0,4
2023-07-09 14:03:12.510,10083,81,1,62,False,1,car,0 days 00:00:02.743000,0 days 01:02:11.474000,30.35833333333333,1.0,OnTrack,-903,2345,1976,pos,0 days 00:00:02.826000,0 days 01:02:11.557000,1.0,4
2023-07-09 14:03:12.790,11623,99,1,71,False,1,car,0 days 00:00:03.023000,0 days 01:02:11.754000,38.05833333333334,1.0,OnTrack,-871,2389,1977,pos,0 days 00:00:03.146000,0 days 01:02:11.877000,1.0,4
2023-07-09 14:03:13.150,11063,107,2,85,False,1,car,0 days 00:00:03.383000,0 days 01:02:12.114000,48.75833333333333,1.0,OnTrack,-843,2427,1977,pos,0 days 00:00:03.306000,0 days 01:02:12.037000,1.0,4
2023-07-09 14:03:13.310,12183,120,2,91,False,1,car,0 days 00:00:03.543000,0 days 01:02:12.274000,54.09166666666667,1.0,OnTrack,-778,2515,1979,pos,0 days 00:00:03.646000,0 days 01:02:12.377000,1.0,4
