Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source_x,Time_x,SessionTime_x,Distance,LapNumber_x,Status,X,Y,Z,Source_y,Time_y,SessionTime_y,LapNumber_y,Cluster
2023-09-03 13:23:22.779,10810,0,1,20,False,1,car,0 days 00:00:00.008000,0 days 01:22:21.734000,0.0,1.0,OnTrack,-1252,724,1878,pos,0 days 00:00:00.143000,0 days 01:22:21.869000,1.0,3
2023-09-03 13:23:22.939,10881,0,1,20,False,1,car,0 days 00:00:00.168000,0 days 01:22:21.894000,0.0,1.0,OnTrack,-1252,724,1878,pos,0 days 00:00:00.143000,0 days 01:22:21.869000,1.0,3
2023-09-03 13:23:23.259,9396,0,1,20,False,1,car,0 days 00:00:00.488000,0 days 01:22:22.214000,0.0,1.0,OnTrack,-1251,728,1878,pos,0 days 00:00:00.602000,0 days 01:22:22.328000,1.0,3
2023-09-03 13:23:23.539,7436,11,1,21,False,1,car,0 days 00:00:00.768000,0 days 01:22:22.494000,0.8555555555555556,1.0,OnTrack,-1251,728,1878,pos,0 days 00:00:00.602000,0 days 01:22:22.328000,1.0,3
2023-09-03 13:23:23.819,5476,17,1,22,False,1,car,0 days 00:00:01.048000,0 days 01:22:22.774000,2.177777777777778,1.0,OnTrack,-1250,742,1878,pos,0 days 00:00:01.042000,0 days 01:22:22.768000,1.0,3
2023-09-03 13:23:24.019,4348,30,1,29,False,1,car,0 days 00:00:01.248000,0 days 01:22:22.974000,3.844444444444445,1.0,OnTrack,-1248,763,1878,pos,0 days 00:00:01.242000,0 days 01:22:22.968000,1.0,3
2023-09-03 13:23:24.299,4669,37,1,36,False,1,car,0 days 00:00:01.528000,0 days 01:22:23.254000,6.722222222222222,1.0,OnTrack,-1246,792,1879,pos,0 days 00:00:01.622000,0 days 01:22:23.348000,1.0,3
2023-09-03 13:23:24.539,6103,48,1,44,False,1,car,0 days 00:00:01.768000,0 days 01:22:23.494000,9.922222222222222,1.0,OnTrack,-1244,817,1879,pos,0 days 00:00:01.822000,0 days 01:22:23.548000,1.0,3
2023-09-03 13:23:24.739,7083,52,1,50,False,1,car,0 days 00:00:01.968000,0 days 01:22:23.694000,12.81111111111111,1.0,OnTrack,-1239,870,1879,pos,0 days 00:00:02.102000,0 days 01:22:23.828000,1.0,3
2023-09-03 13:23:25.019,8333,66,1,55,False,1,car,0 days 00:00:02.248000,0 days 01:22:23.974000,17.944444444444446,1.0,OnTrack,-1239,870,1879,pos,0 days 00:00:02.102000,0 days 01:22:23.828000,1.0,3
2023-09-03 13:23:25.459,9955,86,1,62,False,1,car,0 days 00:00:02.688000,0 days 01:22:24.414000,28.455555555555556,1.0,OnTrack,-1231,966,1880,pos,0 days 00:00:02.622000,0 days 01:22:24.348000,1.0,3
2023-09-03 13:23:25.779,9943,99,2,79,False,1,car,0 days 00:00:03.008000,0 days 01:22:24.734000,37.25555555555555,1.0,OnTrack,-1218,1119,1880,pos,0 days 00:00:03.082000,0 days 01:22:24.808000,1.0,3
2023-09-03 13:23:26.019,11483,112,2,83,False,1,car,0 days 00:00:03.248000,0 days 01:22:24.974000,44.72222222222223,1.0,OnTrack,-1218,1119,1880,pos,0 days 00:00:03.082000,0 days 01:22:24.808000,1.0,3
2023-09-03 13:23:26.299,11181,121,2,83,False,1,car,0 days 00:00:03.528000,0 days 01:22:25.254000,54.13333333333333,1.0,OnTrack,-1210,1211,1881,pos,0 days 00:00:03.502000,0 days 01:22:25.228000,1.0,3
2023-09-03 13:23:26.459,10061,130,3,89,False,1,car,0 days 00:00:03.688000,0 days 01:22:25.414000,59.91111111111111,1.0,OnTrack,-1204,1273,1881,pos,0 days 00:00:03.682000,0 days 01:22:25.408000,1.0,3
2023-09-03 13:23:26.699,10414,139,3,85,False,1,car,0 days 00:00:03.928000,0 days 01:22:25.654000,69.17777777777776,1.0,OnTrack,-1197,1363,1882,pos,0 days 00:00:03.922000,0 days 01:22:25.648000,1.0,3
2023-09-03 13:23:26.939,10989,153,3,100,False,1,car,0 days 00:00:04.168000,0 days 01:22:25.894000,79.37777777777777,1.0,OnTrack,-1185,1494,1882,pos,0 days 00:00:04.162000,0 days 01:22:25.888000,1.0,3
2023-09-03 13:23:27.298,11078,167,3,100,False,1,car,0 days 00:00:04.527000,0 days 01:22:26.253000,96.03138888888888,1.0,OnTrack,-1173,1632,1883,pos,0 days 00:00:04.542000,0 days 01:22:26.268000,1.0,3
2023-09-03 13:23:27.658,10676,179,4,100,False,1,car,0 days 00:00:04.887000,0 days 01:22:26.613000,113.93138888888885,1.0,OnTrack,-1151,1890,1885,pos,0 days 00:00:04.983000,0 days 01:22:26.709000,1.0,3
2023-09-03 13:23:27.818,10676,179,4,100,False,1,car,0 days 00:00:05.047000,0 days 01:22:26.773000,121.8869444444444,1.0,OnTrack,-1151,1890,1885,pos,0 days 00:00:04.983000,0 days 01:22:26.709000,1.0,3
2023-09-03 13:23:27.979,10676,179,4,100,False,1,car,0 days 00:00:05.208000,0 days 01:22:26.934000,129.89222222222222,1.0,OnTrack,-1133,2102,1886,pos,0 days 00:00:05.383000,0 days 01:22:27.109000,1.0,3
2023-09-03 13:23:28.219,10877,184,4,100,False,1,car,0 days 00:00:05.448000,0 days 01:22:27.174000,142.1588888888889,1.0,OnTrack,-1133,2102,1886,pos,0 days 00:00:05.383000,0 days 01:22:27.109000,1.0,3
2023-09-03 13:23:28.419,11157,191,4,100,False,1,car,0 days 00:00:05.648000,0 days 01:22:27.374000,152.76999999999998,1.0,OnTrack,-1120,2250,1886,pos,0 days 00:00:05.783000,0 days 01:22:27.509000,1.0,0
2023-09-03 13:23:28.659,11568,194,4,100,False,1,car,0 days 00:00:05.888000,0 days 01:22:27.614000,165.70333333333332,1.0,OnTrack,-1107,2401,1887,pos,0 days 00:00:05.943000,0 days 01:22:27.669000,1.0,0
2023-09-03 13:23:28.939,10835,213,4,100,False,1,car,0 days 00:00:06.168000,0 days 01:22:27.894000,182.27,1.0,OnTrack,-1098,2510,1888,pos,0 days 00:00:06.263000,0 days 01:22:27.989000,1.0,0
2023-09-03 13:23:29.379,11665,230,5,100,False,1,car,0 days 00:00:06.608000,0 days 01:22:28.334000,210.3811111111111,1.0,OnTrack,-1079,2732,1889,pos,0 days 00:00:06.503000,0 days 01:22:28.229000,1.0,0
2023-09-03 13:23:29.699,11672,233,5,100,False,1,car,0 days 00:00:06.928000,0 days 01:22:28.654000,231.09222222222223,1.0,OnTrack,-1057,2987,1890,pos,0 days 00:00:06.803000,0 days 01:22:28.529000,1.0,0
2023-09-03 13:23:29.899,10913,235,6,100,False,1,car,0 days 00:00:07.128000,0 days 01:22:28.854000,244.1477777777778,1.0,OnTrack,-1044,3131,1891,pos,0 days 00:00:07.123000,0 days 01:22:28.849000,1.0,0
2023-09-03 13:23:30.219,10449,235,6,100,False,1,car,0 days 00:00:07.448000,0 days 01:22:29.174000,265.0366666666667,1.0,OnTrack,-1029,3313,1892,pos,0 days 00:00:07.402000,0 days 01:22:29.128000,1.0,0
2023-09-03 13:23:30.659,11189,256,6,100,False,1,car,0 days 00:00:07.888000,0 days 01:22:29.614000,296.3255555555555,1.0,OnTrack,-1008,3553,1893,pos,0 days 00:00:07.762000,0 days 01:22:29.488000,1.0,0
2023-09-03 13:23:30.819,11609,267,6,100,False,1,car,0 days 00:00:08.048000,0 days 01:22:29.774000,308.1922222222222,1.0,OnTrack,-981,3864,1895,pos,0 days 00:00:08.082000,0 days 01:22:29.808000,1.0,0
2023-09-03 13:23:31.299,10519,275,6,100,False,1,car,0 days 00:00:08.528000,0 days 01:22:30.254000,344.8588888888889,1.0,OnTrack,-969,4004,1895,pos,0 days 00:00:08.382000,0 days 01:22:30.108000,1.0,0
2023-09-03 13:23:31.579,10821,282,7,100,False,1,car,0 days 00:00:08.808000,0 days 01:22:30.534000,366.79222222222216,1.0,OnTrack,-943,4303,1897,pos,0 days 00:00:08.702000,0 days 01:22:30.428000,1.0,0
2023-09-03 13:23:31.779,10934,286,7,100,False,1,car,0 days 00:00:09.008000,0 days 01:22:30.734000,382.681111111111,1.0,OnTrack,-930,4460,1897,pos,0 days 00:00:08.982000,0 days 01:22:30.708000,1.0,0
2023-09-03 13:23:32.099,11127,290,7,100,False,1,car,0 days 00:00:09.328000,0 days 01:22:31.054000,408.4588888888889,1.0,OnTrack,-911,4683,1899,pos,0 days 00:00:09.262000,0 days 01:22:30.988000,1.0,0
2023-09-03 13:23:32.299,11254,293,7,100,False,1,car,0 days 00:00:09.528000,0 days 01:22:31.254000,424.73666666666674,1.0,OnTrack,-897,4836,1900,pos,0 days 00:00:09.442000,0 days 01:22:31.168000,1.0,0
2023-09-03 13:23:32.579,11396,298,7,100,False,1,car,0 days 00:00:09.808000,0 days 01:22:31.534000,447.9144444444445,1.0,OnTrack,-864,5221,1901,pos,0 days 00:00:09.922000,0 days 01:22:31.648000,1.0,0
2023-09-03 13:23:32.779,10874,301,7,100,False,1,car,0 days 00:00:10.008000,0 days 01:22:31.734000,464.63666666666666,1.0,OnTrack,-853,5355,1902,pos,0 days 00:00:10.082000,0 days 01:22:31.808000,1.0,0
2023-09-03 13:23:33.019,10569,304,8,100,False,1,car,0 days 00:00:10.248000,0 days 01:22:31.974000,484.90333333333336,1.0,OnTrack,-840,5497,1903,pos,0 days 00:00:10.242000,0 days 01:22:31.968000,1.0,0
2023-09-03 13:23:33.219,10487,299,8,87,True,1,car,0 days 00:00:10.448000,0 days 01:22:32.174000,501.51444444444456,1.0,OnTrack,-820,5732,1904,pos,0 days 00:00:10.522000,0 days 01:22:32.248000,1.0,0
2023-09-03 13:23:33.499,10026,284,8,39,True,1,car,0 days 00:00:10.728000,0 days 01:22:32.454000,523.6033333333334,1.0,OnTrack,-810,5852,1905,pos,0 days 00:00:10.682000,0 days 01:22:32.408000,1.0,0
2023-09-03 13:23:33.659,10156,279,8,39,True,1,car,0 days 00:00:10.888000,0 days 01:22:32.614000,536.0033333333333,1.0,OnTrack,-775,6267,1907,pos,0 days 00:00:10.982000,0 days 01:22:32.708000,1.0,0
2023-09-03 13:23:33.938,10236,269,7,74,True,1,car,0 days 00:00:11.167000,0 days 01:22:32.893000,556.8508333333333,1.0,OnTrack,-758,6469,1908,pos,0 days 00:00:11.122000,0 days 01:22:32.848000,1.0,0
2023-09-03 13:23:34.138,10532,249,7,11,True,1,car,0 days 00:00:11.367000,0 days 01:22:33.093000,570.6841666666667,1.0,OnTrack,-733,6762,1910,pos,0 days 00:00:11.583000,0 days 01:22:33.309000,1.0,0
2023-09-03 13:23:34.418,10153,232,6,0,True,1,car,0 days 00:00:11.647000,0 days 01:22:33.373000,588.728611111111,1.0,OnTrack,-733,6762,1910,pos,0 days 00:00:11.583000,0 days 01:22:33.309000,1.0,0
2023-09-03 13:23:34.699,10951,219,6,0,True,1,car,0 days 00:00:11.928000,0 days 01:22:33.654000,605.8227777777778,1.0,OnTrack,-723,6881,1911,pos,0 days 00:00:11.863000,0 days 01:22:33.589000,1.0,0
2023-09-03 13:23:34.899,10157,204,5,0,True,1,car,0 days 00:00:12.128000,0 days 01:22:33.854000,617.156111111111,1.0,OnTrack,-706,7081,1912,pos,0 days 00:00:12.223000,0 days 01:22:33.949000,1.0,0
2023-09-03 13:23:35.219,10634,184,4,0,True,1,car,0 days 00:00:12.448000,0 days 01:22:34.174000,633.5116666666667,1.0,OnTrack,-697,7198,1912,pos,0 days 00:00:12.443000,0 days 01:22:34.169000,1.0,0
2023-09-03 13:23:35.619,9821,165,4,0,True,1,car,0 days 00:00:12.848000,0 days 01:22:34.574000,651.845,1.0,OnTrack,-669,7530,1914,pos,0 days 00:00:13.023000,0 days 01:22:34.749000,1.0,0
2023-09-03 13:23:35.819,10490,149,4,0,True,1,car,0 days 00:00:13.048000,0 days 01:22:34.774000,660.1227777777777,1.0,OnTrack,-669,7530,1914,pos,0 days 00:00:13.023000,0 days 01:22:34.749000,1.0,0
2023-09-03 13:23:36.899,9603,113,2,0,True,1,car,0 days 00:00:14.128000,0 days 01:22:35.854000,694.0227777777777,1.0,OnTrack,-639,7856,1916,pos,0 days 00:00:14.062000,0 days 01:22:35.788000,1.0,0
2023-09-03 13:23:37.059,8678,103,2,0,True,1,car,0 days 00:00:14.288000,0 days 01:22:36.014000,698.6005555555555,1.0,OnTrack,-621,7988,1917,pos,0 days 00:00:14.422000,0 days 01:22:36.148000,1.0,0
