Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source_x,Time_x,SessionTime_x,Distance,LapNumber_x,Status,X,Y,Z,Source_y,Time_y,SessionTime_y,LapNumber_y,Cluster
2023-07-09 14:03:09.871,10001,0,1,15,False,1,car,0 days 00:00:00.104000,0 days 01:02:08.835000,0.0,1.0,OnTrack,-1721,1256,1963,pos,0 days 00:00:00.047000,0 days 01:02:08.778000,1.0,2
2023-07-09 14:03:10.031,9949,0,1,14,False,1,car,0 days 00:00:00.264000,0 days 01:02:08.995000,0.0,1.0,OnTrack,-1721,1256,1963,pos,0 days 00:00:00.207000,0 days 01:02:08.938000,1.0,2
2023-07-09 14:03:10.231,8409,0,1,15,False,1,car,0 days 00:00:00.464000,0 days 01:02:09.195000,0.0,1.0,OnTrack,-1721,1256,1963,pos,0 days 00:00:00.387000,0 days 01:02:09.118000,1.0,2
2023-07-09 14:03:10.431,7149,9,1,15,False,1,car,0 days 00:00:00.664000,0 days 01:02:09.395000,0.5,1.0,OnTrack,-1720,1258,1963,pos,0 days 00:00:00.587000,0 days 01:02:09.318000,1.0,2
2023-07-09 14:03:10.751,4769,19,1,16,False,1,car,0 days 00:00:00.984000,0 days 01:02:09.715000,2.1888888888888887,1.0,OnTrack,-1714,1265,1963,pos,0 days 00:00:00.847000,0 days 01:02:09.578000,1.0,2
2023-07-09 14:03:11.151,4269,32,1,18,False,1,car,0 days 00:00:01.384000,0 days 01:02:10.115000,5.744444444444444,1.0,OnTrack,-1685,1304,1964,pos,0 days 00:00:01.486000,0 days 01:02:10.217000,1.0,2
2023-07-09 14:03:11.511,4969,44,1,28,False,1,car,0 days 00:00:01.744000,0 days 01:02:10.475000,10.144444444444446,1.0,OnTrack,-1653,1344,1964,pos,0 days 00:00:01.766000,0 days 01:02:10.497000,1.0,2
2023-07-09 14:03:11.711,6056,51,1,35,False,1,car,0 days 00:00:01.944000,0 days 01:02:10.675000,12.977777777777778,1.0,OnTrack,-1653,1344,1964,pos,0 days 00:00:01.766000,0 days 01:02:10.497000,1.0,2
2023-07-09 14:03:11.911,6756,58,1,42,False,1,car,0 days 00:00:02.144000,0 days 01:02:10.875000,16.200000000000003,1.0,OnTrack,-1633,1371,1964,pos,0 days 00:00:02.126000,0 days 01:02:10.857000,1.0,2
2023-07-09 14:03:12.150,8203,62,1,49,False,1,car,0 days 00:00:02.383000,0 days 01:02:11.114000,20.316111111111113,1.0,OnTrack,-1616,1392,1964,pos,0 days 00:00:02.286000,0 days 01:02:11.017000,1.0,2
2023-07-09 14:03:12.510,9802,84,1,63,False,1,car,0 days 00:00:02.743000,0 days 01:02:11.474000,28.71611111111111,1.0,OnTrack,-1525,1506,1965,pos,0 days 00:00:02.826000,0 days 01:02:11.557000,1.0,2
2023-07-09 14:03:12.790,10922,98,1,76,False,1,car,0 days 00:00:03.023000,0 days 01:02:11.754000,36.33833333333334,1.0,OnTrack,-1491,1549,1966,pos,0 days 00:00:03.146000,0 days 01:02:11.877000,1.0,2
2023-07-09 14:03:13.150,10323,111,2,84,False,1,car,0 days 00:00:03.383000,0 days 01:02:12.114000,47.43833333333333,1.0,OnTrack,-1461,1586,1966,pos,0 days 00:00:03.306000,0 days 01:02:12.037000,1.0,2
2023-07-09 14:03:13.310,11222,120,2,92,False,1,car,0 days 00:00:03.543000,0 days 01:02:12.274000,52.77166666666667,1.0,OnTrack,-1393,1674,1967,pos,0 days 00:00:03.646000,0 days 01:02:12.377000,1.0,2
2023-07-09 14:03:13.670,10942,141,2,100,False,1,car,0 days 00:00:03.903000,0 days 01:02:12.634000,66.87166666666667,1.0,OnTrack,-1358,1720,1967,pos,0 days 00:00:03.806000,0 days 01:02:12.537000,1.0,2
2023-07-09 14:03:13.990,11483,156,3,100,False,1,car,0 days 00:00:04.223000,0 days 01:02:12.954000,80.73833333333333,1.0,OnTrack,-1221,1908,1970,pos,0 days 00:00:04.246000,0 days 01:02:12.977000,1.0,2
2023-07-09 14:03:14.310,12362,169,3,100,False,1,car,0 days 00:00:04.543000,0 days 01:02:13.274000,95.76055555555556,1.0,OnTrack,-1188,1953,1970,pos,0 days 00:00:04.486000,0 days 01:02:13.217000,1.0,2
2023-07-09 14:03:14.630,10937,182,4,100,False,1,car,0 days 00:00:04.863000,0 days 01:02:13.594000,111.93833333333336,1.0,OnTrack,-1042,2153,1973,pos,0 days 00:00:04.967000,0 days 01:02:13.698000,1.0,2
2023-07-09 14:03:14.790,11519,185,4,100,False,1,car,0 days 00:00:05.023000,0 days 01:02:13.754000,120.16055555555556,1.0,OnTrack,-1042,2153,1973,pos,0 days 00:00:04.967000,0 days 01:02:13.698000,1.0,2
2023-07-09 14:03:15.030,11926,196,4,100,False,1,car,0 days 00:00:05.263000,0 days 01:02:13.994000,133.22722222222222,1.0,OnTrack,-961,2264,1974,pos,0 days 00:00:05.227000,0 days 01:02:13.958000,1.0,2
2023-07-09 14:03:15.311,10526,205,5,100,False,1,car,0 days 00:00:05.544000,0 days 01:02:14.275000,149.2286111111111,1.0,OnTrack,-903,2344,1976,pos,0 days 00:00:05.407000,0 days 01:02:14.138000,1.0,2
