Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source_x,Time_x,SessionTime_x,Distance,LapNumber_x,Status,X,Y,Z,Source_y,Time_y,SessionTime_y,LapNumber_y,Cluster
2023-09-03 13:23:22.779,9579,0,1,20,False,1,car,0 days 00:00:00.008000,0 days 01:22:21.734000,0.0,1.0,OnTrack,-1174,1626,1883,pos,0 days 00:00:00.143000,0 days 01:22:21.869000,1.0,0
2023-09-03 13:23:22.939,9601,0,1,20,False,1,car,0 days 00:00:00.168000,0 days 01:22:21.894000,0.0,1.0,OnTrack,-1174,1626,1883,pos,0 days 00:00:00.143000,0 days 01:22:21.869000,1.0,0
2023-09-03 13:23:23.259,7641,7,1,21,False,1,car,0 days 00:00:00.488000,0 days 01:22:22.214000,0.6222222222222221,1.0,OnTrack,-1173,1635,1883,pos,0 days 00:00:00.602000,0 days 01:22:22.328000,1.0,0
2023-09-03 13:23:23.539,5681,17,1,23,False,1,car,0 days 00:00:00.768000,0 days 01:22:22.494000,1.9444444444444449,1.0,OnTrack,-1173,1635,1883,pos,0 days 00:00:00.602000,0 days 01:22:22.328000,1.0,0
2023-09-03 13:23:23.819,4142,28,1,26,False,1,car,0 days 00:00:01.048000,0 days 01:22:22.774000,4.122222222222223,1.0,OnTrack,-1172,1655,1883,pos,0 days 00:00:01.042000,0 days 01:22:22.768000,1.0,0
2023-09-03 13:23:24.019,4283,35,1,34,False,1,car,0 days 00:00:01.248000,0 days 01:22:22.974000,6.066666666666666,1.0,OnTrack,-1169,1681,1883,pos,0 days 00:00:01.242000,0 days 01:22:22.968000,1.0,0
2023-09-03 13:23:24.299,5320,42,1,45,False,1,car,0 days 00:00:01.528000,0 days 01:22:23.254000,9.333333333333332,1.0,OnTrack,-1166,1715,1884,pos,0 days 00:00:01.622000,0 days 01:22:23.348000,1.0,0
2023-09-03 13:23:24.539,6574,53,1,51,False,1,car,0 days 00:00:01.768000,0 days 01:22:23.494000,12.866666666666664,1.0,OnTrack,-1164,1742,1884,pos,0 days 00:00:01.822000,0 days 01:22:23.548000,1.0,0
2023-09-03 13:23:24.739,7659,61,1,55,False,1,car,0 days 00:00:01.968000,0 days 01:22:23.694000,16.255555555555553,1.0,OnTrack,-1159,1803,1884,pos,0 days 00:00:02.102000,0 days 01:22:23.828000,1.0,0
2023-09-03 13:23:25.019,9092,74,1,61,False,1,car,0 days 00:00:02.248000,0 days 01:22:23.974000,22.011111111111113,1.0,OnTrack,-1159,1803,1884,pos,0 days 00:00:02.102000,0 days 01:22:23.828000,1.0,0
2023-09-03 13:23:25.459,11205,91,1,69,False,1,car,0 days 00:00:02.688000,0 days 01:22:24.414000,33.13333333333333,1.0,OnTrack,-1150,1904,1885,pos,0 days 00:00:02.622000,0 days 01:22:24.348000,1.0,0
2023-09-03 13:23:25.779,10645,108,2,77,False,1,car,0 days 00:00:03.008000,0 days 01:22:24.734000,42.73333333333333,1.0,OnTrack,-1136,2066,1885,pos,0 days 00:00:03.082000,0 days 01:22:24.808000,1.0,0
2023-09-03 13:23:26.019,10806,118,2,83,False,1,car,0 days 00:00:03.248000,0 days 01:22:24.974000,50.6,1.0,OnTrack,-1136,2066,1885,pos,0 days 00:00:03.082000,0 days 01:22:24.808000,1.0,0
2023-09-03 13:23:26.299,10578,128,2,96,False,1,car,0 days 00:00:03.528000,0 days 01:22:25.254000,60.55555555555555,1.0,OnTrack,-1128,2165,1886,pos,0 days 00:00:03.502000,0 days 01:22:25.228000,1.0,0
2023-09-03 13:23:26.459,10135,137,3,96,False,1,car,0 days 00:00:03.688000,0 days 01:22:25.414000,66.64444444444445,1.0,OnTrack,-1122,2231,1886,pos,0 days 00:00:03.682000,0 days 01:22:25.408000,1.0,0
2023-09-03 13:23:26.699,11675,151,3,99,False,1,car,0 days 00:00:03.928000,0 days 01:22:25.654000,76.71111111111111,1.0,OnTrack,-1114,2327,1887,pos,0 days 00:00:03.922000,0 days 01:22:25.648000,1.0,0
2023-09-03 13:23:26.939,11178,160,4,99,False,1,car,0 days 00:00:04.168000,0 days 01:22:25.894000,87.37777777777778,1.0,OnTrack,-1102,2465,1887,pos,0 days 00:00:04.162000,0 days 01:22:25.888000,1.0,0
2023-09-03 13:23:27.298,10980,178,4,99,False,1,car,0 days 00:00:04.527000,0 days 01:22:26.253000,105.12833333333332,1.0,OnTrack,-1089,2611,1888,pos,0 days 00:00:04.542000,0 days 01:22:26.268000,1.0,0
2023-09-03 13:23:27.658,11082,186,4,99,False,1,car,0 days 00:00:04.887000,0 days 01:22:26.613000,123.7283333333333,1.0,OnTrack,-1062,2929,1890,pos,0 days 00:00:04.983000,0 days 01:22:26.709000,1.0,0
2023-09-03 13:23:27.818,10423,193,4,99,False,1,car,0 days 00:00:05.047000,0 days 01:22:26.773000,132.30611111111108,1.0,OnTrack,-1062,2929,1890,pos,0 days 00:00:04.983000,0 days 01:22:26.709000,1.0,0
2023-09-03 13:23:27.979,10614,197,5,99,False,1,car,0 days 00:00:05.208000,0 days 01:22:26.934000,141.11638888888888,1.0,OnTrack,-1041,3165,1891,pos,0 days 00:00:05.383000,0 days 01:22:27.109000,1.0,0
2023-09-03 13:23:28.219,11036,210,5,99,False,1,car,0 days 00:00:05.448000,0 days 01:22:27.174000,155.11638888888888,1.0,OnTrack,-1041,3165,1891,pos,0 days 00:00:05.383000,0 days 01:22:27.109000,1.0,0
2023-09-03 13:23:28.419,11371,213,5,99,False,1,car,0 days 00:00:05.648000,0 days 01:22:27.374000,166.94972222222216,1.0,OnTrack,-1027,3337,1892,pos,0 days 00:00:05.783000,0 days 01:22:27.509000,1.0,0
2023-09-03 13:23:28.659,11336,218,5,99,False,1,car,0 days 00:00:05.888000,0 days 01:22:27.614000,181.48305555555552,1.0,OnTrack,-1012,3508,1893,pos,0 days 00:00:05.943000,0 days 01:22:27.669000,1.0,0
2023-09-03 13:23:28.939,10108,226,6,99,False,1,car,0 days 00:00:06.168000,0 days 01:22:27.894000,199.0608333333333,1.0,OnTrack,-1001,3628,1893,pos,0 days 00:00:06.263000,0 days 01:22:27.989000,1.0,0
2023-09-03 13:23:29.379,10893,240,6,99,False,1,car,0 days 00:00:06.608000,0 days 01:22:28.334000,228.39416666666665,1.0,OnTrack,-988,3789,1894,pos,0 days 00:00:06.503000,0 days 01:22:28.229000,1.0,0
2023-09-03 13:23:29.699,11304,247,6,99,False,1,car,0 days 00:00:06.928000,0 days 01:22:28.654000,250.3497222222222,1.0,OnTrack,-965,4057,1896,pos,0 days 00:00:06.803000,0 days 01:22:28.529000,1.0,0
2023-09-03 13:23:29.899,11489,252,6,99,False,1,car,0 days 00:00:07.128000,0 days 01:22:28.854000,264.3497222222222,1.0,OnTrack,-951,4208,1896,pos,0 days 00:00:07.123000,0 days 01:22:28.849000,1.0,0
2023-09-03 13:23:30.219,11743,258,6,99,False,1,car,0 days 00:00:07.448000,0 days 01:22:29.174000,287.28305555555556,1.0,OnTrack,-935,4404,1897,pos,0 days 00:00:07.402000,0 days 01:22:29.128000,1.0,0
2023-09-03 13:23:30.659,10632,265,7,99,False,1,car,0 days 00:00:07.888000,0 days 01:22:29.614000,319.6719444444444,1.0,OnTrack,-912,4663,1898,pos,0 days 00:00:07.762000,0 days 01:22:29.488000,1.0,0
2023-09-03 13:23:30.819,10676,269,7,99,False,1,car,0 days 00:00:08.048000,0 days 01:22:29.774000,331.6275,1.0,OnTrack,-885,4981,1900,pos,0 days 00:00:08.082000,0 days 01:22:29.808000,1.0,0
2023-09-03 13:23:31.299,10941,277,7,99,False,1,car,0 days 00:00:08.528000,0 days 01:22:30.254000,368.56083333333333,1.0,OnTrack,-873,5124,1901,pos,0 days 00:00:08.382000,0 days 01:22:30.108000,1.0,0
2023-09-03 13:23:31.579,11139,280,7,99,False,1,car,0 days 00:00:08.808000,0 days 01:22:30.534000,390.33861111111105,1.0,OnTrack,-847,5422,1902,pos,0 days 00:00:08.702000,0 days 01:22:30.428000,1.0,0
2023-09-03 13:23:31.779,11246,283,7,99,False,1,car,0 days 00:00:09.008000,0 days 01:22:30.734000,406.0608333333332,1.0,OnTrack,-833,5577,1903,pos,0 days 00:00:08.982000,0 days 01:22:30.708000,1.0,0
2023-09-03 13:23:32.099,11431,287,7,100,False,1,car,0 days 00:00:09.328000,0 days 01:22:31.054000,431.57194444444434,1.0,OnTrack,-815,5797,1904,pos,0 days 00:00:09.262000,0 days 01:22:30.988000,1.0,0
2023-09-03 13:23:32.299,11526,289,7,99,False,1,car,0 days 00:00:09.528000,0 days 01:22:31.254000,447.6275,1.0,OnTrack,-802,5947,1906,pos,0 days 00:00:09.442000,0 days 01:22:31.168000,1.0,0
2023-09-03 13:23:32.579,11571,291,7,99,False,1,car,0 days 00:00:09.808000,0 days 01:22:31.534000,470.26083333333327,1.0,OnTrack,-767,6363,1908,pos,0 days 00:00:09.922000,0 days 01:22:31.648000,1.0,0
2023-09-03 13:23:32.779,11692,294,7,99,False,1,car,0 days 00:00:10.008000,0 days 01:22:31.734000,486.5941666666665,1.0,OnTrack,-757,6476,1908,pos,0 days 00:00:10.082000,0 days 01:22:31.808000,1.0,0
2023-09-03 13:23:33.019,11189,283,7,51,True,1,car,0 days 00:00:10.248000,0 days 01:22:31.974000,505.4608333333332,1.0,OnTrack,-746,6613,1909,pos,0 days 00:00:10.242000,0 days 01:22:31.968000,1.0,0
2023-09-03 13:23:33.219,10608,266,7,0,True,1,car,0 days 00:00:10.448000,0 days 01:22:32.174000,520.238611111111,1.0,OnTrack,-728,6824,1911,pos,0 days 00:00:10.522000,0 days 01:22:32.248000,1.0,2
2023-09-03 13:23:33.499,10366,243,7,0,True,1,car,0 days 00:00:10.728000,0 days 01:22:32.454000,539.138611111111,1.0,OnTrack,-719,6930,1911,pos,0 days 00:00:10.682000,0 days 01:22:32.408000,1.0,2
2023-09-03 13:23:33.659,10603,236,6,0,True,1,car,0 days 00:00:10.888000,0 days 01:22:32.614000,549.6274999999999,1.0,OnTrack,-702,7128,1912,pos,0 days 00:00:10.982000,0 days 01:22:32.708000,1.0,2
2023-09-03 13:23:33.938,10699,217,6,0,True,1,car,0 days 00:00:11.167000,0 days 01:22:32.893000,566.4449999999999,1.0,OnTrack,-688,7304,1913,pos,0 days 00:00:11.122000,0 days 01:22:32.848000,1.0,2
2023-09-03 13:23:34.138,10506,205,5,0,True,1,car,0 days 00:00:11.367000,0 days 01:22:33.093000,577.8338888888889,1.0,OnTrack,-668,7540,1914,pos,0 days 00:00:11.583000,0 days 01:22:33.309000,1.0,2
2023-09-03 13:23:34.418,11036,192,5,0,True,1,car,0 days 00:00:11.647000,0 days 01:22:33.373000,592.7672222222221,1.0,OnTrack,-668,7540,1914,pos,0 days 00:00:11.583000,0 days 01:22:33.309000,1.0,2
2023-09-03 13:23:34.699,10056,165,4,0,True,1,car,0 days 00:00:11.928000,0 days 01:22:33.654000,605.6463888888889,1.0,OnTrack,-660,7638,1914,pos,0 days 00:00:11.863000,0 days 01:22:33.589000,1.0,2
2023-09-03 13:23:34.899,10465,153,4,0,True,1,car,0 days 00:00:12.128000,0 days 01:22:33.854000,614.1463888888889,1.0,OnTrack,-646,7794,1915,pos,0 days 00:00:12.223000,0 days 01:22:33.949000,1.0,2
2023-09-03 13:23:35.219,11066,133,3,0,True,1,car,0 days 00:00:12.448000,0 days 01:22:34.174000,625.968611111111,1.0,OnTrack,-637,7879,1916,pos,0 days 00:00:12.443000,0 days 01:22:34.169000,1.0,2
2023-09-03 13:23:35.619,9508,109,2,0,True,1,car,0 days 00:00:12.848000,0 days 01:22:34.574000,638.0797222222221,1.0,OnTrack,-595,8089,1918,pos,0 days 00:00:13.023000,0 days 01:22:34.749000,1.0,2
2023-09-03 13:23:35.819,9222,98,2,0,True,1,car,0 days 00:00:13.048000,0 days 01:22:34.774000,643.5241666666666,1.0,OnTrack,-595,8089,1918,pos,0 days 00:00:13.023000,0 days 01:22:34.749000,1.0,2
2023-09-03 13:23:36.899,8336,73,1,0,True,1,car,0 days 00:00:14.128000,0 days 01:22:35.854000,665.4241666666666,1.0,OnTrack,-491,8254,1919,pos,0 days 00:00:14.062000,0 days 01:22:35.788000,1.0,2
2023-09-03 13:23:37.059,8142,71,1,0,False,1,car,0 days 00:00:14.288000,0 days 01:22:36.014000,668.5797222222221,1.0,OnTrack,-410,8298,1920,pos,0 days 00:00:14.422000,0 days 01:22:36.148000,1.0,2
2023-09-03 13:23:37.299,7812,68,1,0,False,1,car,0 days 00:00:14.528000,0 days 01:22:36.254000,673.1130555555554,1.0,OnTrack,-410,8298,1920,pos,0 days 00:00:14.422000,0 days 01:22:36.148000,1.0,2
2023-09-03 13:23:37.459,7791,67,1,0,False,1,car,0 days 00:00:14.688000,0 days 01:22:36.414000,676.0908333333332,1.0,OnTrack,-343,8313,1920,pos,0 days 00:00:14.822000,0 days 01:22:36.548000,1.0,2
2023-09-03 13:23:37.699,7886,65,1,9,False,1,car,0 days 00:00:14.928000,0 days 01:22:36.654000,680.4241666666666,1.0,OnTrack,-343,8313,1920,pos,0 days 00:00:14.822000,0 days 01:22:36.548000,1.0,2
2023-09-03 13:23:37.859,7966,66,1,17,False,1,car,0 days 00:00:15.088000,0 days 01:22:36.814000,683.3574999999998,1.0,OnTrack,-279,8327,1920,pos,0 days 00:00:15.222000,0 days 01:22:36.948000,1.0,2
2023-09-03 13:23:38.099,8023,67,1,18,False,1,car,0 days 00:00:15.328000,0 days 01:22:37.054000,687.8241666666665,1.0,OnTrack,-279,8327,1920,pos,0 days 00:00:15.222000,0 days 01:22:36.948000,1.0,2
2023-09-03 13:23:38.259,7463,68,1,1,False,1,car,0 days 00:00:15.488000,0 days 01:22:37.214000,690.8463888888888,1.0,OnTrack,-238,8344,1920,pos,0 days 00:00:15.502000,0 days 01:22:37.228000,1.0,2
2023-09-03 13:23:38.619,7503,65,1,0,False,1,car,0 days 00:00:15.848000,0 days 01:22:37.574000,697.3463888888888,1.0,OnTrack,-199,8374,1921,pos,0 days 00:00:15.782000,0 days 01:22:37.508000,1.0,2
2023-09-03 13:23:39.019,6911,60,1,0,False,1,car,0 days 00:00:16.248000,0 days 01:22:37.974000,704.0130555555554,1.0,OnTrack,-150,8487,1922,pos,0 days 00:00:16.362000,0 days 01:22:38.088000,1.0,2
2023-09-03 13:23:39.339,6619,59,1,0,False,1,car,0 days 00:00:16.568000,0 days 01:22:38.294000,709.2574999999998,1.0,OnTrack,-150,8487,1922,pos,0 days 00:00:16.362000,0 days 01:22:38.088000,1.0,2
2023-09-03 13:23:39.659,6980,56,1,10,False,1,car,0 days 00:00:16.888000,0 days 01:22:38.614000,714.2352777777776,1.0,OnTrack,-144,8532,1922,pos,0 days 00:00:16.782000,0 days 01:22:38.508000,1.0,2
2023-09-03 13:23:39.819,7603,56,1,14,False,1,car,0 days 00:00:17.048000,0 days 01:22:38.774000,716.7241666666664,1.0,OnTrack,-142,8572,1923,pos,0 days 00:00:17.042000,0 days 01:22:38.768000,1.0,2
2023-09-03 13:23:40.099,7733,58,1,28,False,1,car,0 days 00:00:17.328000,0 days 01:22:39.054000,721.2352777777776,1.0,OnTrack,-143,8608,1923,pos,0 days 00:00:17.282000,0 days 01:22:39.008000,1.0,2
2023-09-03 13:23:40.418,8199,68,1,44,False,1,car,0 days 00:00:17.647000,0 days 01:22:39.373000,727.2608333333332,1.0,OnTrack,-152,8688,1923,pos,0 days 00:00:17.742000,0 days 01:22:39.468000,1.0,2
2023-09-03 13:23:40.698,9126,75,1,51,False,1,car,0 days 00:00:17.927000,0 days 01:22:39.653000,733.0941666666665,1.0,OnTrack,-160,8732,1924,pos,0 days 00:00:17.962000,0 days 01:22:39.688000,1.0,2
2023-09-03 13:23:40.898,10303,86,1,59,False,1,car,0 days 00:00:18.127000,0 days 01:22:39.853000,737.8719444444442,1.0,OnTrack,-160,8732,1924,pos,0 days 00:00:17.962000,0 days 01:22:39.688000,1.0,2
2023-09-03 13:23:41.099,11355,94,1,63,False,1,car,0 days 00:00:18.328000,0 days 01:22:40.054000,743.1202777777776,1.0,OnTrack,-189,8851,1924,pos,0 days 00:00:18.343000,0 days 01:22:40.069000,1.0,2
2023-09-03 13:23:41.459,9817,105,2,72,False,1,car,0 days 00:00:18.688000,0 days 01:22:40.414000,753.6202777777776,1.0,OnTrack,-204,8905,1925,pos,0 days 00:00:18.663000,0 days 01:22:40.389000,1.0,2
2023-09-03 13:23:41.779,10940,122,2,80,False,1,car,0 days 00:00:19.008000,0 days 01:22:40.734000,764.464722222222,1.0,OnTrack,-234,9020,1925,pos,0 days 00:00:19.043000,0 days 01:22:40.769000,1.0,2
2023-09-03 13:23:41.979,10650,131,2,88,False,1,car,0 days 00:00:19.208000,0 days 01:22:40.934000,771.7424999999997,1.0,OnTrack,-254,9094,1926,pos,0 days 00:00:19.263000,0 days 01:22:40.989000,1.0,2
2023-09-03 13:23:42.179,10529,136,3,91,False,1,car,0 days 00:00:19.408000,0 days 01:22:41.134000,779.2980555555554,1.0,OnTrack,-254,9094,1926,pos,0 days 00:00:19.263000,0 days 01:22:40.989000,1.0,2
2023-09-03 13:23:42.379,11439,151,3,97,False,1,car,0 days 00:00:19.608000,0 days 01:22:41.334000,787.6869444444443,1.0,OnTrack,-287,9227,1926,pos,0 days 00:00:19.623000,0 days 01:22:41.349000,1.0,2
2023-09-03 13:23:42.659,10617,160,3,99,False,1,car,0 days 00:00:19.888000,0 days 01:22:41.614000,800.1313888888888,1.0,OnTrack,-329,9398,1927,pos,0 days 00:00:19.983000,0 days 01:22:41.709000,1.0,2
2023-09-03 13:23:42.859,10696,170,4,99,False,1,car,0 days 00:00:20.088000,0 days 01:22:41.814000,809.5758333333332,1.0,OnTrack,-329,9398,1927,pos,0 days 00:00:19.983000,0 days 01:22:41.709000,1.0,2
2023-09-03 13:23:43.019,10999,178,4,99,False,1,car,0 days 00:00:20.248000,0 days 01:22:41.974000,817.4869444444444,1.0,OnTrack,-353,9511,1928,pos,0 days 00:00:20.263000,0 days 01:22:41.989000,1.0,2
2023-09-03 13:23:43.299,11591,191,4,99,False,1,car,0 days 00:00:20.528000,0 days 01:22:42.254000,832.3424999999997,1.0,OnTrack,-371,9605,1928,pos,0 days 00:00:20.462000,0 days 01:22:42.188000,1.0,2
2023-09-03 13:23:43.459,11031,194,5,99,False,1,car,0 days 00:00:20.688000,0 days 01:22:42.414000,840.964722222222,1.0,OnTrack,-392,9731,1929,pos,0 days 00:00:20.702000,0 days 01:22:42.428000,1.0,2
2023-09-03 13:23:43.699,10866,205,5,99,False,1,car,0 days 00:00:20.928000,0 days 01:22:42.654000,854.6313888888888,1.0,OnTrack,-413,9926,1930,pos,0 days 00:00:21.042000,0 days 01:22:42.768000,1.0,2
2023-09-03 13:23:43.939,11197,212,5,99,False,1,car,0 days 00:00:21.168000,0 days 01:22:42.894000,868.764722222222,1.0,OnTrack,-420,10030,1930,pos,0 days 00:00:21.222000,0 days 01:22:42.948000,1.0,2
