Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source_x,Time_x,SessionTime_x,Distance,LapNumber_x,Status,X,Y,Z,Source_y,Time_y,SessionTime_y,LapNumber_y,Cluster
2023-07-09 14:03:09.871,9926,0,1,22,False,1,car,0 days 00:00:00.104000,0 days 01:02:08.835000,0.0,1.0,OnTrack,-1672,1320,1964,pos,0 days 00:00:00.047000,0 days 01:02:08.778000,1.0,2
2023-07-09 14:03:10.031,10010,0,1,22,False,1,car,0 days 00:00:00.264000,0 days 01:02:08.995000,0.0,1.0,OnTrack,-1672,1320,1964,pos,0 days 00:00:00.207000,0 days 01:02:08.938000,1.0,2
2023-07-09 14:03:10.231,9175,0,1,20,False,1,car,0 days 00:00:00.464000,0 days 01:02:09.195000,0.0,1.0,OnTrack,-1672,1320,1964,pos,0 days 00:00:00.387000,0 days 01:02:09.118000,1.0,2
2023-07-09 14:03:10.431,7915,0,1,23,False,1,car,0 days 00:00:00.664000,0 days 01:02:09.395000,0.0,1.0,OnTrack,-1672,1320,1964,pos,0 days 00:00:00.587000,0 days 01:02:09.318000,1.0,2
2023-07-09 14:03:10.751,5535,16,1,24,False,1,car,0 days 00:00:00.984000,0 days 01:02:09.715000,1.422222222222222,1.0,OnTrack,-1671,1322,1964,pos,0 days 00:00:00.847000,0 days 01:02:09.578000,1.0,2
2023-07-09 14:03:11.151,5538,28,1,29,False,1,car,0 days 00:00:01.384000,0 days 01:02:10.115000,4.533333333333332,1.0,OnTrack,-1647,1352,1964,pos,0 days 00:00:01.486000,0 days 01:02:10.217000,1.0,2
2023-07-09 14:03:11.511,5775,38,1,35,False,1,car,0 days 00:00:01.744000,0 days 01:02:10.475000,8.333333333333334,1.0,OnTrack,-1619,1388,1964,pos,0 days 00:00:01.766000,0 days 01:02:10.497000,1.0,2
2023-07-09 14:03:11.711,6895,38,1,41,False,1,car,0 days 00:00:01.944000,0 days 01:02:10.675000,10.444444444444445,1.0,OnTrack,-1619,1388,1964,pos,0 days 00:00:01.766000,0 days 01:02:10.497000,1.0,2
2023-07-09 14:03:11.911,7514,56,1,43,False,1,car,0 days 00:00:02.144000,0 days 01:02:10.875000,13.55555555555556,1.0,OnTrack,-1600,1412,1965,pos,0 days 00:00:02.126000,0 days 01:02:10.857000,1.0,2
2023-07-09 14:03:12.150,8575,63,1,45,False,1,car,0 days 00:00:02.383000,0 days 01:02:11.114000,17.738055555555555,1.0,OnTrack,-1584,1433,1965,pos,0 days 00:00:02.286000,0 days 01:02:11.017000,1.0,2
2023-07-09 14:03:12.510,9533,78,1,52,False,1,car,0 days 00:00:02.743000,0 days 01:02:11.474000,25.53805555555555,1.0,OnTrack,-1500,1537,1965,pos,0 days 00:00:02.826000,0 days 01:02:11.557000,1.0,2
2023-07-09 14:03:12.790,10460,86,1,60,False,1,car,0 days 00:00:03.023000,0 days 01:02:11.754000,32.22694444444445,1.0,OnTrack,-1469,1577,1966,pos,0 days 00:00:03.146000,0 days 01:02:11.877000,1.0,2
2023-07-09 14:03:13.150,11720,104,1,77,False,1,car,0 days 00:00:03.383000,0 days 01:02:12.114000,42.62694444444445,1.0,OnTrack,-1442,1611,1966,pos,0 days 00:00:03.306000,0 days 01:02:12.037000,1.0,2
