Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source_x,Time_x,SessionTime_x,Distance,LapNumber_x,Status,X,Y,Z,Source_y,Time_y,SessionTime_y,LapNumber_y,Cluster
2023-03-19 17:03:50.954,9400,0,1,24,True,1,car,0 days 00:00:00.236000,0 days 01:02:50.868000,0.0,1.0,OnTrack,-1974,2079,117,pos,0 days 00:00:00.277000,0 days 01:02:50.909000,1.0,4
2023-03-19 17:03:51.154,8822,0,1,24,True,1,car,0 days 00:00:00.436000,0 days 01:02:51.068000,0.0,1.0,OnTrack,-1974,2079,117,pos,0 days 00:00:00.437000,0 days 01:02:51.069000,1.0,4
2023-03-19 17:03:51.434,6862,5,1,23,False,1,car,0 days 00:00:00.716000,0 days 01:02:51.348000,0.3888888888888888,1.0,OnTrack,-1977,2089,117,pos,0 days 00:00:00.797000,0 days 01:02:51.429000,1.0,4
2023-03-19 17:03:51.794,4388,18,1,23,False,1,car,0 days 00:00:01.076000,0 days 01:02:51.708000,2.188888888888889,1.0,OnTrack,-1981,2098,117,pos,0 days 00:00:01.117000,0 days 01:02:51.749000,1.0,4
2023-03-19 17:03:52.074,4375,27,1,24,False,1,car,0 days 00:00:01.356000,0 days 01:02:51.988000,4.28888888888889,1.0,OnTrack,-1987,2116,117,pos,0 days 00:00:01.377000,0 days 01:02:52.009000,1.0,4
2023-03-19 17:03:52.274,4130,34,1,29,False,1,car,0 days 00:00:01.556000,0 days 01:02:52.188000,6.177777777777778,1.0,OnTrack,-1994,2134,117,pos,0 days 00:00:01.576000,0 days 01:02:52.208000,1.0,4
2023-03-19 17:03:52.474,5250,41,1,39,False,1,car,0 days 00:00:01.756000,0 days 01:02:52.388000,8.455555555555556,1.0,OnTrack,-2007,2170,117,pos,0 days 00:00:01.796000,0 days 01:02:52.428000,1.0,4
2023-03-19 17:03:52.794,6644,53,1,49,False,1,car,0 days 00:00:02.076000,0 days 01:02:52.708000,13.166666666666668,1.0,OnTrack,-2021,2208,117,pos,0 days 00:00:02.156000,0 days 01:02:52.788000,1.0,4
2023-03-19 17:03:53.034,7870,63,1,51,False,1,car,0 days 00:00:02.316000,0 days 01:02:52.948000,17.366666666666664,1.0,OnTrack,-2031,2236,117,pos,0 days 00:00:02.316000,0 days 01:02:52.948000,1.0,4
2023-03-19 17:03:53.354,9411,82,1,55,False,1,car,0 days 00:00:02.636000,0 days 01:02:53.268000,24.65555555555556,1.0,OnTrack,-2056,2304,117,pos,0 days 00:00:02.656000,0 days 01:02:53.288000,1.0,4
2023-03-19 17:03:53.554,10811,92,1,67,False,1,car,0 days 00:00:02.836000,0 days 01:02:53.468000,29.766666666666666,1.0,OnTrack,-2075,2356,117,pos,0 days 00:00:02.876000,0 days 01:02:53.508000,1.0,4
2023-03-19 17:03:53.714,11177,101,1,67,False,1,car,0 days 00:00:02.996000,0 days 01:02:53.628000,34.25555555555555,1.0,OnTrack,-2090,2397,117,pos,0 days 00:00:03.036000,0 days 01:02:53.668000,1.0,4
2023-03-19 17:03:54.034,10617,113,1,77,False,1,car,0 days 00:00:03.316000,0 days 01:02:53.948000,44.29999999999999,1.0,OnTrack,-2115,2465,117,pos,0 days 00:00:03.257000,0 days 01:02:53.889000,1.0,4
2023-03-19 17:03:54.435,11270,133,2,99,False,1,car,0 days 00:00:03.717000,0 days 01:02:54.349000,59.11472222222222,1.0,OnTrack,-2159,2584,118,pos,0 days 00:00:03.637000,0 days 01:02:54.269000,1.0,4
2023-03-19 17:03:54.635,10798,137,2,99,False,1,car,0 days 00:00:03.917000,0 days 01:02:54.549000,66.72583333333333,1.0,OnTrack,-2179,2647,118,pos,0 days 00:00:03.837000,0 days 01:02:54.469000,1.0,4
2023-03-19 17:03:55.434,11085,174,4,99,False,1,car,0 days 00:00:04.716000,0 days 01:02:55.348000,105.34416666666668,1.0,OnTrack,-2316,3143,118,pos,0 days 00:00:04.797000,0 days 01:02:55.429000,1.0,4
2023-03-19 17:03:55.634,11518,178,4,99,False,1,car,0 days 00:00:04.916000,0 days 01:02:55.548000,115.23305555555557,1.0,OnTrack,-2316,3143,118,pos,0 days 00:00:04.797000,0 days 01:02:55.429000,1.0,4
2023-03-19 17:03:55.834,11814,188,4,99,False,1,car,0 days 00:00:05.116000,0 days 01:02:55.748000,125.67749999999998,1.0,OnTrack,-2360,3304,118,pos,0 days 00:00:05.237000,0 days 01:02:55.869000,1.0,4
2023-03-19 17:03:56.154,10873,197,4,99,False,1,car,0 days 00:00:05.436000,0 days 01:02:56.068000,143.1886111111111,1.0,OnTrack,-2379,3376,118,pos,0 days 00:00:05.377000,0 days 01:02:56.009000,1.0,4
2023-03-19 17:03:56.314,10937,202,5,99,False,1,car,0 days 00:00:05.596000,0 days 01:02:56.228000,152.1663888888889,1.0,OnTrack,-2417,3516,119,pos,0 days 00:00:05.637000,0 days 01:02:56.269000,1.0,4
2023-03-19 17:03:56.514,11234,207,5,99,False,1,car,0 days 00:00:05.796000,0 days 01:02:56.428000,163.6663888888889,1.0,OnTrack,-2453,3648,118,pos,0 days 00:00:05.877000,0 days 01:02:56.509000,1.0,4
2023-03-19 17:03:56.834,11226,213,5,63,True,1,car,0 days 00:00:06.116000,0 days 01:02:56.748000,182.5997222222222,1.0,OnTrack,-2497,3807,119,pos,0 days 00:00:06.057000,0 days 01:02:56.689000,1.0,4
2023-03-19 17:03:57.154,10411,201,5,0,True,1,car,0 days 00:00:06.436000,0 days 01:02:57.068000,200.46638888888887,1.0,OnTrack,-2537,3950,118,pos,0 days 00:00:06.417000,0 days 01:02:57.049000,1.0,4
2023-03-19 17:03:57.434,9855,186,5,0,True,1,car,0 days 00:00:06.716000,0 days 01:02:57.348000,214.9330555555555,1.0,OnTrack,-2560,4034,118,pos,0 days 00:00:06.577000,0 days 01:02:57.209000,1.0,4
2023-03-19 17:03:57.594,10392,180,5,0,True,1,car,0 days 00:00:06.876000,0 days 01:02:57.508000,222.9330555555555,1.0,OnTrack,-2622,4256,117,pos,0 days 00:00:06.897000,0 days 01:02:57.529000,1.0,4
2023-03-19 17:03:57.834,10223,171,4,0,True,1,car,0 days 00:00:07.116000,0 days 01:02:57.748000,234.33305555555552,1.0,OnTrack,-2622,4256,117,pos,0 days 00:00:06.897000,0 days 01:02:57.529000,1.0,3
2023-03-19 17:03:58.194,10713,151,4,0,True,1,car,0 days 00:00:07.476000,0 days 01:02:58.108000,249.4330555555555,1.0,OnTrack,-2672,4409,116,pos,0 days 00:00:07.437000,0 days 01:02:58.069000,1.0,3
2023-03-19 17:03:58.354,9873,141,3,0,True,1,car,0 days 00:00:07.636000,0 days 01:02:58.268000,255.69972222222225,1.0,OnTrack,-2719,4526,115,pos,0 days 00:00:07.777000,0 days 01:02:58.409000,1.0,3
2023-03-19 17:03:58.594,8901,134,3,0,True,1,car,0 days 00:00:07.876000,0 days 01:02:58.508000,264.6330555555556,1.0,OnTrack,-2719,4526,115,pos,0 days 00:00:07.777000,0 days 01:02:58.409000,1.0,3
2023-03-19 17:03:58.834,9364,113,2,0,True,1,car,0 days 00:00:08.116000,0 days 01:02:58.748000,272.1663888888889,1.0,OnTrack,-2754,4595,115,pos,0 days 00:00:08.017000,0 days 01:02:58.649000,1.0,3
2023-03-19 17:03:58.994,9175,110,2,0,True,1,car,0 days 00:00:08.276000,0 days 01:02:58.908000,277.0552777777778,1.0,OnTrack,-2793,4655,114,pos,0 days 00:00:08.236000,0 days 01:02:58.868000,1.0,3
2023-03-19 17:03:59.194,8615,107,2,0,True,1,car,0 days 00:00:08.476000,0 days 01:02:59.108000,282.99972222222226,1.0,OnTrack,-2840,4709,114,pos,0 days 00:00:08.516000,0 days 01:02:59.148000,1.0,3
2023-03-19 17:03:59.394,8087,104,2,1,True,1,car,0 days 00:00:08.676000,0 days 01:02:59.308000,288.77750000000003,1.0,OnTrack,-2877,4738,113,pos,0 days 00:00:08.696000,0 days 01:02:59.328000,1.0,3
2023-03-19 17:03:59.634,7592,94,2,5,True,1,car,0 days 00:00:08.916000,0 days 01:02:59.548000,295.0441666666667,1.0,OnTrack,-2970,4779,113,pos,0 days 00:00:09.036000,0 days 01:02:59.668000,1.0,3
2023-03-19 17:03:59.914,7879,89,2,12,False,1,car,0 days 00:00:09.196000,0 days 01:02:59.828000,301.9663888888889,1.0,OnTrack,-2970,4779,113,pos,0 days 00:00:09.036000,0 days 01:02:59.668000,1.0,3
2023-03-19 17:04:00.074,7753,89,2,24,False,1,car,0 days 00:00:09.356000,0 days 01:02:59.988000,305.9219444444445,1.0,OnTrack,-3062,4780,114,pos,0 days 00:00:09.476000,0 days 01:03:00.108000,1.0,3
2023-03-19 17:04:00.394,7846,89,2,27,False,1,car,0 days 00:00:09.676000,0 days 01:03:00.308000,313.8330555555556,1.0,OnTrack,-3119,4769,115,pos,0 days 00:00:09.696000,0 days 01:03:00.328000,1.0,3
2023-03-19 17:04:00.634,7954,90,2,35,False,1,car,0 days 00:00:09.916000,0 days 01:03:00.548000,319.8330555555556,1.0,OnTrack,-3174,4758,116,pos,0 days 00:00:09.897000,0 days 01:03:00.529000,1.0,3
2023-03-19 17:04:00.834,7934,93,2,24,True,1,car,0 days 00:00:10.116000,0 days 01:03:00.748000,324.9997222222222,1.0,OnTrack,-3260,4747,118,pos,0 days 00:00:10.097000,0 days 01:03:00.729000,1.0,3
2023-03-19 17:04:01.035,7414,89,2,15,True,1,car,0 days 00:00:10.317000,0 days 01:03:00.949000,329.9688888888889,1.0,OnTrack,-3260,4747,118,pos,0 days 00:00:10.097000,0 days 01:03:00.729000,1.0,3
2023-03-19 17:04:01.355,6621,84,2,0,True,1,car,0 days 00:00:10.637000,0 days 01:03:01.269000,337.4355555555556,1.0,OnTrack,-3344,4754,118,pos,0 days 00:00:10.537000,0 days 01:03:01.169000,1.0,3
2023-03-19 17:04:01.595,6293,79,2,3,False,1,car,0 days 00:00:10.877000,0 days 01:03:01.509000,342.70222222222225,1.0,OnTrack,-3408,4780,119,pos,0 days 00:00:10.917000,0 days 01:03:01.549000,1.0,3
2023-03-19 17:04:01.874,6189,73,2,6,False,1,car,0 days 00:00:11.156000,0 days 01:03:01.788000,348.3597222222222,1.0,OnTrack,-3462,4833,119,pos,0 days 00:00:11.177000,0 days 01:03:01.809000,1.0,3
2023-03-19 17:04:02.034,6208,71,2,8,False,1,car,0 days 00:00:11.316000,0 days 01:03:01.948000,351.5152777777778,1.0,OnTrack,-3462,4833,119,pos,0 days 00:00:11.177000,0 days 01:03:01.809000,1.0,3
2023-03-19 17:04:02.434,6310,72,2,17,False,1,car,0 days 00:00:11.716000,0 days 01:03:02.348000,359.5152777777778,1.0,OnTrack,-3492,4888,119,pos,0 days 00:00:11.517000,0 days 01:03:02.149000,1.0,3
2023-03-19 17:04:02.834,7316,75,2,41,False,1,car,0 days 00:00:12.116000,0 days 01:03:02.748000,367.8486111111111,1.0,OnTrack,-3513,4984,119,pos,0 days 00:00:12.097000,0 days 01:03:02.729000,1.0,3
2023-03-19 17:04:03.074,7220,81,2,47,False,1,car,0 days 00:00:12.356000,0 days 01:03:02.988000,373.2486111111111,1.0,OnTrack,-3513,5048,119,pos,0 days 00:00:12.377000,0 days 01:03:03.009000,1.0,3
2023-03-19 17:04:03.234,7360,83,2,47,False,1,car,0 days 00:00:12.516000,0 days 01:03:03.148000,376.93749999999994,1.0,OnTrack,-3512,5086,119,pos,0 days 00:00:12.537000,0 days 01:03:03.169000,1.0,3
2023-03-19 17:04:03.474,8322,92,2,58,False,1,car,0 days 00:00:12.756000,0 days 01:03:03.388000,383.07083333333327,1.0,OnTrack,-3509,5131,120,pos,0 days 00:00:12.717000,0 days 01:03:03.349000,1.0,3
2023-03-19 17:04:03.714,8769,103,2,57,False,1,car,0 days 00:00:12.996000,0 days 01:03:03.628000,389.93749999999994,1.0,OnTrack,-3501,5219,120,pos,0 days 00:00:13.037000,0 days 01:03:03.669000,1.0,3
2023-03-19 17:04:03.914,9329,107,2,73,False,1,car,0 days 00:00:13.196000,0 days 01:03:03.828000,395.88194444444434,1.0,OnTrack,-3489,5303,120,pos,0 days 00:00:13.237000,0 days 01:03:03.869000,1.0,3
2023-03-19 17:04:04.114,10614,120,2,88,False,1,car,0 days 00:00:13.396000,0 days 01:03:04.028000,402.54861111111103,1.0,OnTrack,-3489,5303,120,pos,0 days 00:00:13.237000,0 days 01:03:03.869000,1.0,3
2023-03-19 17:04:04.314,11802,131,2,97,False,1,car,0 days 00:00:13.596000,0 days 01:03:04.228000,409.8263888888888,1.0,OnTrack,-3473,5399,120,pos,0 days 00:00:13.597000,0 days 01:03:04.229000,1.0,3
