Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source_x,Time_x,SessionTime_x,Distance,LapNumber_x,Status,X,Y,Z,Source_y,Time_y,SessionTime_y,LapNumber_y,Cluster
2023-09-24 05:04:05.267,9462,0,1,23,True,1,car,0 days 00:00:00.014000,0 days 01:03:03.858000,0.0,1.0,OnTrack,2671,-1979,702,pos,0 days 00:00:00.183000,0 days 01:03:04.027000,1.0,2
2023-09-24 05:04:05.467,9420,0,1,23,True,1,car,0 days 00:00:00.214000,0 days 01:03:04.058000,0.0,1.0,OnTrack,2671,-1979,702,pos,0 days 00:00:00.183000,0 days 01:03:04.027000,1.0,2
2023-09-24 05:04:05.748,9215,0,1,23,False,1,car,0 days 00:00:00.495000,0 days 01:03:04.339000,0.0,1.0,OnTrack,2672,-1979,702,pos,0 days 00:00:00.582000,0 days 01:03:04.426000,1.0,2
2023-09-24 05:04:06.148,6415,13,1,22,False,1,car,0 days 00:00:00.895000,0 days 01:03:04.739000,1.4444444444444446,1.0,OnTrack,2676,-1984,701,pos,0 days 00:00:00.823000,0 days 01:03:04.667000,1.0,2
2023-09-24 05:04:06.548,4483,19,1,22,False,1,car,0 days 00:00:01.295000,0 days 01:03:05.139000,3.5555555555555554,1.0,OnTrack,2687,-1997,701,pos,0 days 00:00:01.182000,0 days 01:03:05.026000,1.0,2
2023-09-24 05:04:06.868,4592,34,1,29,False,1,car,0 days 00:00:01.615000,0 days 01:03:05.459000,6.577777777777778,1.0,OnTrack,2712,-2026,700,pos,0 days 00:00:01.523000,0 days 01:03:05.367000,1.0,2
2023-09-24 05:04:07.028,5112,42,1,32,False,1,car,0 days 00:00:01.775000,0 days 01:03:05.619000,8.444444444444445,1.0,OnTrack,2722,-2039,700,pos,0 days 00:00:01.762000,0 days 01:03:05.606000,1.0,2
2023-09-24 05:04:07.268,6220,49,1,37,False,1,car,0 days 00:00:02.015000,0 days 01:03:05.859000,11.711111111111114,1.0,OnTrack,2745,-2065,699,pos,0 days 00:00:02.022000,0 days 01:03:05.866000,1.0,2
2023-09-24 05:04:07.588,7552,65,1,44,False,1,car,0 days 00:00:02.335000,0 days 01:03:06.179000,17.488888888888887,1.0,OnTrack,2768,-2092,697,pos,0 days 00:00:02.243000,0 days 01:03:06.087000,1.0,2
2023-09-24 05:04:07.748,8304,68,1,49,False,1,car,0 days 00:00:02.495000,0 days 01:03:06.339000,20.511111111111113,1.0,OnTrack,2797,-2126,697,pos,0 days 00:00:02.483000,0 days 01:03:06.327000,1.0,2
2023-09-24 05:04:07.908,8633,76,1,53,False,1,car,0 days 00:00:02.655000,0 days 01:03:06.499000,23.88888888888889,1.0,OnTrack,2839,-2175,694,pos,0 days 00:00:02.783000,0 days 01:03:06.627000,1.0,2
2023-09-24 05:04:08.108,10033,85,1,62,False,1,car,0 days 00:00:02.855000,0 days 01:03:06.699000,28.61111111111111,1.0,OnTrack,2839,-2175,694,pos,0 days 00:00:02.783000,0 days 01:03:06.627000,1.0,2
2023-09-24 05:04:08.348,11637,94,1,69,False,1,car,0 days 00:00:03.095000,0 days 01:03:06.939000,34.87777777777779,1.0,OnTrack,2902,-2249,691,pos,0 days 00:00:03.163000,0 days 01:03:07.007000,1.0,2
2023-09-24 05:04:08.587,11822,108,1,74,False,1,car,0 days 00:00:03.334000,0 days 01:03:07.178000,42.04777777777778,1.0,OnTrack,2936,-2289,689,pos,0 days 00:00:03.343000,0 days 01:03:07.187000,1.0,2
2023-09-24 05:04:08.867,11469,118,2,87,False,1,car,0 days 00:00:03.614000,0 days 01:03:07.458000,51.22555555555555,1.0,OnTrack,2998,-2362,687,pos,0 days 00:00:03.603000,0 days 01:03:07.447000,1.0,2
2023-09-24 05:04:09.067,12029,128,2,100,False,1,car,0 days 00:00:03.814000,0 days 01:03:07.658000,58.33666666666667,1.0,OnTrack,3085,-2463,684,pos,0 days 00:00:04.003000,0 days 01:03:07.847000,1.0,2
2023-09-24 05:04:09.227,11175,137,2,99,False,1,car,0 days 00:00:03.974000,0 days 01:03:07.818000,64.42555555555556,1.0,OnTrack,3085,-2463,684,pos,0 days 00:00:04.003000,0 days 01:03:07.847000,1.0,2
2023-09-24 05:04:09.427,11315,148,3,100,False,1,car,0 days 00:00:04.174000,0 days 01:03:08.018000,72.64777777777779,1.0,OnTrack,3149,-2538,681,pos,0 days 00:00:04.224000,0 days 01:03:08.068000,1.0,2
2023-09-24 05:04:09.587,11720,157,3,99,False,1,car,0 days 00:00:04.334000,0 days 01:03:08.178000,79.62555555555554,1.0,OnTrack,3183,-2578,680,pos,0 days 00:00:04.363000,0 days 01:03:08.207000,1.0,2
2023-09-24 05:04:09.867,11841,165,3,100,False,1,car,0 days 00:00:04.614000,0 days 01:03:08.458000,92.45888888888888,1.0,OnTrack,3247,-2653,676,pos,0 days 00:00:04.583000,0 days 01:03:08.427000,1.0,0
2023-09-24 05:04:10.107,11224,172,4,100,False,1,car,0 days 00:00:04.854000,0 days 01:03:08.698000,103.92555555555556,1.0,OnTrack,3341,-2761,672,pos,0 days 00:00:04.804000,0 days 01:03:08.648000,1.0,0
2023-09-24 05:04:10.347,11814,184,4,100,False,1,car,0 days 00:00:05.094000,0 days 01:03:08.938000,116.19222222222224,1.0,OnTrack,3420,-2854,669,pos,0 days 00:00:05.124000,0 days 01:03:08.968000,1.0,0
