Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source_x,Time_x,SessionTime_x,Distance,LapNumber_x,Status,X,Y,Z,Source_y,Time_y,SessionTime_y,LapNumber_y,Cluster
2023-09-03 13:23:22.779,10097,0,1,16,True,1,car,0 days 00:00:00.008000,0 days 01:22:21.734000,0.0,1.0,OnTrack,-1141,2009,1885,pos,0 days 00:00:00.143000,0 days 01:22:21.869000,1.0,4
2023-09-03 13:23:22.939,10217,0,1,16,True,1,car,0 days 00:00:00.168000,0 days 01:22:21.894000,0.0,1.0,OnTrack,-1141,2009,1885,pos,0 days 00:00:00.143000,0 days 01:22:21.869000,1.0,4
2023-09-03 13:23:23.259,8257,4,1,16,False,1,car,0 days 00:00:00.488000,0 days 01:22:22.214000,0.3555555555555555,1.0,OnTrack,-1140,2015,1885,pos,0 days 00:00:00.602000,0 days 01:22:22.328000,1.0,4
2023-09-03 13:23:23.539,6297,16,1,16,False,1,car,0 days 00:00:00.768000,0 days 01:22:22.494000,1.6,1.0,OnTrack,-1140,2015,1885,pos,0 days 00:00:00.602000,0 days 01:22:22.328000,1.0,4
2023-09-03 13:23:23.819,4337,26,1,17,False,1,car,0 days 00:00:01.048000,0 days 01:22:22.774000,3.6222222222222222,1.0,OnTrack,-1139,2034,1885,pos,0 days 00:00:01.042000,0 days 01:22:22.768000,1.0,4
2023-09-03 13:23:24.019,4156,33,1,20,False,1,car,0 days 00:00:01.248000,0 days 01:22:22.974000,5.455555555555556,1.0,OnTrack,-1137,2060,1885,pos,0 days 00:00:01.242000,0 days 01:22:22.968000,1.0,4
2023-09-03 13:23:24.299,4960,39,1,29,False,1,car,0 days 00:00:01.528000,0 days 01:22:23.254000,8.488888888888889,1.0,OnTrack,-1134,2091,1886,pos,0 days 00:00:01.622000,0 days 01:22:23.348000,1.0,4
2023-09-03 13:23:24.539,5969,50,1,38,False,1,car,0 days 00:00:01.768000,0 days 01:22:23.494000,11.822222222222225,1.0,OnTrack,-1132,2117,1886,pos,0 days 00:00:01.822000,0 days 01:22:23.548000,1.0,4
2023-09-03 13:23:24.739,6891,59,1,46,False,1,car,0 days 00:00:01.968000,0 days 01:22:23.694000,15.1,1.0,OnTrack,-1127,2174,1886,pos,0 days 00:00:02.102000,0 days 01:22:23.828000,1.0,4
2023-09-03 13:23:25.019,7753,72,1,52,False,1,car,0 days 00:00:02.248000,0 days 01:22:23.974000,20.700000000000003,1.0,OnTrack,-1127,2174,1886,pos,0 days 00:00:02.102000,0 days 01:22:23.828000,1.0,4
