Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source_x,Time_x,SessionTime_x,Distance,LapNumber_x,Status,X,Y,Z,Source_y,Time_y,SessionTime_y,LapNumber_y,Cluster
2023-03-19 17:03:50.954,10039,0,1,17,True,1,car,0 days 00:00:00.236000,0 days 01:02:50.868000,0.0,1.0,OnTrack,-1702,1339,117,pos,0 days 00:00:00.277000,0 days 01:02:50.909000,1.0,1
2023-03-19 17:03:51.154,9149,0,1,17,False,1,car,0 days 00:00:00.436000,0 days 01:02:51.068000,0.0,1.0,OnTrack,-1702,1339,117,pos,0 days 00:00:00.437000,0 days 01:02:51.069000,1.0,1
2023-03-19 17:03:51.434,7189,11,1,17,False,1,car,0 days 00:00:00.716000,0 days 01:02:51.348000,0.8555555555555554,1.0,OnTrack,-1706,1350,117,pos,0 days 00:00:00.797000,0 days 01:02:51.429000,1.0,1
2023-03-19 17:03:51.794,4669,21,1,24,False,1,car,0 days 00:00:01.076000,0 days 01:02:51.708000,2.9555555555555557,1.0,OnTrack,-1710,1361,117,pos,0 days 00:00:01.117000,0 days 01:02:51.749000,1.0,1
2023-03-19 17:03:52.074,4312,25,1,35,False,1,car,0 days 00:00:01.356000,0 days 01:02:51.988000,4.9,1.0,OnTrack,-1718,1380,117,pos,0 days 00:00:01.377000,0 days 01:02:52.009000,1.0,1
2023-03-19 17:03:52.274,5354,40,1,41,False,1,car,0 days 00:00:01.556000,0 days 01:02:52.188000,7.122222222222222,1.0,OnTrack,-1725,1400,117,pos,0 days 00:00:01.576000,0 days 01:02:52.208000,1.0,1
2023-03-19 17:03:52.474,6293,48,1,45,False,1,car,0 days 00:00:01.756000,0 days 01:02:52.388000,9.788888888888888,1.0,OnTrack,-1740,1443,117,pos,0 days 00:00:01.796000,0 days 01:02:52.428000,1.0,1
2023-03-19 17:03:52.794,7537,62,1,56,False,1,car,0 days 00:00:02.076000,0 days 01:02:52.708000,15.3,1.0,OnTrack,-1756,1484,117,pos,0 days 00:00:02.156000,0 days 01:02:52.788000,1.0,1
2023-03-19 17:03:53.034,8851,76,1,62,False,1,car,0 days 00:00:02.316000,0 days 01:02:52.948000,20.366666666666664,1.0,OnTrack,-1767,1515,117,pos,0 days 00:00:02.316000,0 days 01:02:52.948000,1.0,1
2023-03-19 17:03:53.354,10731,91,1,75,False,1,car,0 days 00:00:02.636000,0 days 01:02:53.268000,28.45555555555556,1.0,OnTrack,-1795,1591,117,pos,0 days 00:00:02.656000,0 days 01:02:53.288000,1.0,1
2023-03-19 17:03:53.554,12062,101,1,100,False,1,car,0 days 00:00:02.836000,0 days 01:02:53.468000,34.06666666666666,1.0,OnTrack,-1815,1648,117,pos,0 days 00:00:02.876000,0 days 01:02:53.508000,1.0,1
2023-03-19 17:03:53.714,11752,110,1,100,False,1,car,0 days 00:00:02.996000,0 days 01:02:53.628000,38.95555555555555,1.0,OnTrack,-1832,1693,117,pos,0 days 00:00:03.036000,0 days 01:02:53.668000,1.0,1
2023-03-19 17:03:54.034,12010,125,2,100,False,1,car,0 days 00:00:03.316000,0 days 01:02:53.948000,50.06666666666666,1.0,OnTrack,-1859,1766,117,pos,0 days 00:00:03.257000,0 days 01:02:53.889000,1.0,1
2023-03-19 17:03:54.435,10618,146,3,100,False,1,car,0 days 00:00:03.717000,0 days 01:02:54.349000,66.32944444444445,1.0,OnTrack,-1907,1898,117,pos,0 days 00:00:03.637000,0 days 01:02:54.269000,1.0,1
2023-03-19 17:03:54.635,9918,156,3,100,False,1,car,0 days 00:00:03.917000,0 days 01:02:54.549000,74.9961111111111,1.0,OnTrack,-1933,1968,117,pos,0 days 00:00:03.837000,0 days 01:02:54.469000,1.0,1
2023-03-19 17:03:55.434,11533,188,4,100,False,1,car,0 days 00:00:04.716000,0 days 01:02:55.348000,116.72166666666668,1.0,OnTrack,-2113,2460,117,pos,0 days 00:00:04.797000,0 days 01:02:55.429000,1.0,1
2023-03-19 17:03:55.634,10133,191,4,100,False,1,car,0 days 00:00:04.916000,0 days 01:02:55.548000,127.3327777777778,1.0,OnTrack,-2113,2460,117,pos,0 days 00:00:04.797000,0 days 01:02:55.429000,1.0,1
2023-03-19 17:03:55.834,10483,202,5,100,False,1,car,0 days 00:00:05.116000,0 days 01:02:55.748000,138.55499999999998,1.0,OnTrack,-2172,2625,118,pos,0 days 00:00:05.237000,0 days 01:02:55.869000,1.0,1
2023-03-19 17:03:56.154,10879,211,5,100,False,1,car,0 days 00:00:05.436000,0 days 01:02:56.068000,157.31055555555554,1.0,OnTrack,-2212,2753,117,pos,0 days 00:00:05.377000,0 days 01:02:56.009000,1.0,1
2023-03-19 17:03:56.314,11137,217,5,100,False,1,car,0 days 00:00:05.596000,0 days 01:02:56.228000,166.95499999999998,1.0,OnTrack,-2252,2904,118,pos,0 days 00:00:05.637000,0 days 01:02:56.269000,1.0,1
2023-03-19 17:03:56.514,11319,219,5,100,False,1,car,0 days 00:00:05.796000,0 days 01:02:56.428000,179.12166666666667,1.0,OnTrack,-2290,3046,118,pos,0 days 00:00:05.877000,0 days 01:02:56.509000,1.0,1
2023-03-19 17:03:56.834,11200,218,5,0,False,1,car,0 days 00:00:06.116000,0 days 01:02:56.748000,198.4994444444444,1.0,OnTrack,-2334,3211,118,pos,0 days 00:00:06.057000,0 days 01:02:56.689000,1.0,1
2023-03-19 17:03:57.154,10975,215,5,3,False,1,car,0 days 00:00:06.436000,0 days 01:02:57.068000,217.61055555555555,1.0,OnTrack,-2375,3362,118,pos,0 days 00:00:06.417000,0 days 01:02:57.049000,1.0,1
