Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source_x,Time_x,SessionTime_x,Distance,LapNumber_x,Status,X,Y,Z,Source_y,Time_y,SessionTime_y,LapNumber_y,Cluster
2023-04-30 11:04:03.248,11108,0,1,30,True,1,car,0 days 00:00:00.020000,0 days 01:03:01.778000,0.0,1.0,OnTrack,837,-686,-246,pos,0 days 00:00:00.262000,0 days 01:03:02.020000,1.0,1
2023-04-30 11:04:03.488,11242,0,1,30,True,1,car,0 days 00:00:00.260000,0 days 01:03:02.018000,0.0,1.0,OnTrack,837,-686,-246,pos,0 days 00:00:00.262000,0 days 01:03:02.020000,1.0,1
2023-04-30 11:04:03.928,9469,10,1,27,False,1,car,0 days 00:00:00.700000,0 days 01:03:02.458000,1.222222222222222,1.0,OnTrack,844,-683,-246,pos,0 days 00:00:00.702000,0 days 01:03:02.460000,1.0,1
2023-04-30 11:04:04.289,6949,16,1,27,False,1,car,0 days 00:00:01.061000,0 days 01:03:02.819000,2.8266666666666667,1.0,OnTrack,849,-681,-246,pos,0 days 00:00:01.003000,0 days 01:03:02.761000,1.0,1
2023-04-30 11:04:04.769,5503,31,1,36,False,1,car,0 days 00:00:01.541000,0 days 01:03:03.299000,6.959999999999999,1.0,OnTrack,881,-668,-246,pos,0 days 00:00:01.503000,0 days 01:03:03.261000,1.0,1
2023-04-30 11:04:05.009,6339,41,1,41,False,1,car,0 days 00:00:01.781000,0 days 01:03:03.539000,9.693333333333332,1.0,OnTrack,907,-657,-246,pos,0 days 00:00:01.783000,0 days 01:03:03.541000,1.0,1
2023-04-30 11:04:05.289,6862,51,1,43,False,1,car,0 days 00:00:02.061000,0 days 01:03:03.819000,13.659999999999998,1.0,OnTrack,940,-643,-246,pos,0 days 00:00:02.063000,0 days 01:03:03.821000,1.0,1
2023-04-30 11:04:05.449,7360,58,1,47,False,1,car,0 days 00:00:02.221000,0 days 01:03:03.979000,16.23777777777778,1.0,OnTrack,1000,-618,-246,pos,0 days 00:00:02.323000,0 days 01:03:04.081000,1.0,1
2023-04-30 11:04:05.648,8055,62,1,51,False,1,car,0 days 00:00:02.420000,0 days 01:03:04.178000,19.665,1.0,OnTrack,1000,-618,-246,pos,0 days 00:00:02.323000,0 days 01:03:04.081000,1.0,1
2023-04-30 11:04:05.848,8656,69,1,54,False,1,car,0 days 00:00:02.620000,0 days 01:03:04.378000,23.498333333333335,1.0,OnTrack,1035,-604,-245,pos,0 days 00:00:02.663000,0 days 01:03:04.421000,1.0,1
2023-04-30 11:04:06.128,9721,80,1,60,False,1,car,0 days 00:00:02.900000,0 days 01:03:04.658000,29.720555555555553,1.0,OnTrack,1118,-570,-245,pos,0 days 00:00:02.923000,0 days 01:03:04.681000,1.0,1
2023-04-30 11:04:06.368,10841,88,1,70,False,1,car,0 days 00:00:03.140000,0 days 01:03:04.898000,35.58722222222222,1.0,OnTrack,1217,-528,-245,pos,0 days 00:00:03.343000,0 days 01:03:05.101000,1.0,1
2023-04-30 11:04:06.528,9721,96,2,69,False,1,car,0 days 00:00:03.300000,0 days 01:03:05.058000,39.85388888888888,1.0,OnTrack,1217,-528,-245,pos,0 days 00:00:03.343000,0 days 01:03:05.101000,1.0,1
2023-04-30 11:04:06.728,9724,109,2,73,False,1,car,0 days 00:00:03.500000,0 days 01:03:05.258000,45.909444444444446,1.0,OnTrack,1217,-528,-245,pos,0 days 00:00:03.343000,0 days 01:03:05.101000,1.0,1
2023-04-30 11:04:07.008,10984,118,2,80,False,1,car,0 days 00:00:03.780000,0 days 01:03:05.538000,55.087222222222216,1.0,OnTrack,1315,-488,-245,pos,0 days 00:00:03.803000,0 days 01:03:05.561000,1.0,1
