Date,Status,X,Y,Z,Source,Time,SessionTime,LapNumber
2023-11-26 13:03:25.868,OnTrack,1180,2150,-240,pos,0 days 00:00:00.224000,0 days 01:02:24.743000,1.0
2023-11-26 13:03:26.289,OnTrack,1183,2151,-240,pos,0 days 00:00:00.645000,0 days 01:02:25.164000,1.0
2023-11-26 13:03:26.529,OnTrack,1199,2153,-240,pos,0 days 00:00:00.885000,0 days 01:02:25.404000,1.0
2023-11-26 13:03:26.949,OnTrack,1220,2155,-239,pos,0 days 00:00:01.305000,0 days 01:02:25.824000,1.0
2023-11-26 13:03:27.109,OnTrack,1236,2157,-239,pos,0 days 00:00:01.465000,0 days 01:02:25.984000,1.0
2023-11-26 13:03:27.309,OnTrack,1260,2160,-240,pos,0 days 00:00:01.665000,0 days 01:02:26.184000,1.0
2023-11-26 13:03:27.548,OnTrack,1310,2165,-239,pos,0 days 00:00:01.904000,0 days 01:02:26.423000,1.0
2023-11-26 13:03:27.908,OnTrack,1376,2173,-239,pos,0 days 00:00:02.264000,0 days 01:02:26.783000,1.0
2023-11-26 13:03:28.388,OnTrack,1499,2187,-240,pos,0 days 00:00:02.744000,0 days 01:02:27.263000,1.0
2023-11-26 13:03:28.648,OnTrack,1532,2191,-240,pos,0 days 00:00:03.004000,0 days 01:02:27.523000,1.0
2023-11-26 13:03:28.828,OnTrack,1584,2197,-239,pos,0 days 00:00:03.184000,0 days 01:02:27.703000,1.0
2023-11-26 13:03:29.148,OnTrack,1686,2208,-240,pos,0 days 00:00:03.504000,0 days 01:02:28.023000,1.0
2023-11-26 13:03:29.308,OnTrack,1744,2215,-241,pos,0 days 00:00:03.664000,0 days 01:02:28.183000,1.0
2023-11-26 13:03:29.528,OnTrack,1829,2224,-240,pos,0 days 00:00:03.884000,0 days 01:02:28.403000,1.0
2023-11-26 13:03:29.788,OnTrack,1938,2237,-239,pos,0 days 00:00:04.144000,0 days 01:02:28.663000,1.0
2023-11-26 13:03:30.008,OnTrack,2037,2248,-240,pos,0 days 00:00:04.364000,0 days 01:02:28.883000,1.0
2023-11-26 13:03:30.188,OnTrack,2122,2257,-240,pos,0 days 00:00:04.544000,0 days 01:02:29.063000,1.0
2023-11-26 13:03:30.288,OnTrack,2171,2263,-240,pos,0 days 00:00:04.644000,0 days 01:02:29.163000,1.0
2023-11-26 13:03:30.528,OnTrack,2293,2277,-239,pos,0 days 00:00:04.884000,0 days 01:02:29.403000,1.0
2023-11-26 13:03:30.788,OnTrack,2431,2292,-239,pos,0 days 00:00:05.144000,0 days 01:02:29.663000,1.0
2023-11-26 13:03:30.988,OnTrack,2620,2314,-239,pos,0 days 00:00:05.344000,0 days 01:02:29.863000,1.0
2023-11-26 13:03:31.448,OnTrack,2806,2335,-240,pos,0 days 00:00:05.804000,0 days 01:02:30.323000,1.0
2023-11-26 13:03:31.608,OnTrack,2976,2354,-240,pos,0 days 00:00:05.964000,0 days 01:02:30.483000,1.0
2023-11-26 13:03:32.108,OnTrack,3219,2381,-240,pos,0 days 00:00:06.464000,0 days 01:02:30.983000,1.0
2023-11-26 13:03:32.368,OnTrack,3359,2397,-239,pos,0 days 00:00:06.724000,0 days 01:02:31.243000,1.0
2023-11-26 13:03:32.688,OnTrack,3603,2423,-238,pos,0 days 00:00:07.044000,0 days 01:02:31.563000,1.0
2023-11-26 13:03:33.069,OnTrack,3721,2431,-237,pos,0 days 00:00:07.425000,0 days 01:02:31.944000,1.0
2023-11-26 13:03:33.309,OnTrack,3828,2442,-237,pos,0 days 00:00:07.665000,0 days 01:02:32.184000,1.0
2023-11-26 13:03:33.429,OnTrack,3909,2453,-236,pos,0 days 00:00:07.785000,0 days 01:02:32.304000,1.0
2023-11-26 13:03:33.729,OnTrack,4019,2477,-235,pos,0 days 00:00:08.085000,0 days 01:02:32.604000,1.0
2023-11-26 13:03:33.889,OnTrack,4076,2494,-235,pos,0 days 00:00:08.245000,0 days 01:02:32.764000,1.0
2023-11-26 13:03:34.068,OnTrack,4136,2520,-234,pos,0 days 00:00:08.424000,0 days 01:02:32.943000,1.0
2023-11-26 13:03:34.328,OnTrack,4215,2568,-233,pos,0 days 00:00:08.684000,0 days 01:02:33.203000,1.0
2023-11-26 13:03:34.488,OnTrack,4285,2635,-233,pos,0 days 00:00:08.844000,0 days 01:02:33.363000,1.0
2023-11-26 13:03:34.788,OnTrack,4321,2688,-232,pos,0 days 00:00:09.144000,0 days 01:02:33.663000,1.0
2023-11-26 13:03:35.148,OnTrack,4375,2832,-231,pos,0 days 00:00:09.504000,0 days 01:02:34.023000,1.0
2023-11-26 13:03:35.548,OnTrack,4393,2983,-230,pos,0 days 00:00:09.904000,0 days 01:02:34.423000,1.0
2023-11-26 13:03:35.808,OnTrack,4395,3041,-230,pos,0 days 00:00:10.164000,0 days 01:02:34.683000,1.0
2023-11-26 13:03:36.128,OnTrack,4394,3163,-230,pos,0 days 00:00:10.484000,0 days 01:02:35.003000,1.0
2023-11-26 13:03:36.348,OnTrack,4389,3254,-230,pos,0 days 00:00:10.704000,0 days 01:02:35.223000,1.0
2023-11-26 13:03:36.428,OnTrack,4387,3289,-230,pos,0 days 00:00:10.784000,0 days 01:02:35.303000,1.0
2023-11-26 13:03:36.728,OnTrack,4371,3423,-230,pos,0 days 00:00:11.084000,0 days 01:02:35.603000,1.0
2023-11-26 13:03:36.988,OnTrack,4352,3547,-229,pos,0 days 00:00:11.344000,0 days 01:02:35.863000,1.0
2023-11-26 13:03:37.228,OnTrack,4327,3689,-229,pos,0 days 00:00:11.584000,0 days 01:02:36.103000,1.0
2023-11-26 13:03:37.548,OnTrack,4298,3837,-227,pos,0 days 00:00:11.904000,0 days 01:02:36.423000,1.0
2023-11-26 13:03:37.848,OnTrack,4243,4070,-224,pos,0 days 00:00:12.204000,0 days 01:02:36.723000,1.0
2023-11-26 13:03:38.228,OnTrack,4204,4219,-220,pos,0 days 00:00:12.584000,0 days 01:02:37.103000,1.0
2023-11-26 13:03:38.428,OnTrack,4171,4336,-216,pos,0 days 00:00:12.784000,0 days 01:02:37.303000,1.0
