Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-10-22 19:03:41.558,3338,0,1,2,True,1,car,0 days 00:00:00.108000,0 days 01:02:39.325000,0.0,1.0
2023-10-22 19:03:41.758,3575,0,1,2,True,1,car,0 days 00:00:00.308000,0 days 01:02:39.525000,0.0,1.0
2023-10-22 19:03:42.078,3537,0,1,1,True,1,car,0 days 00:00:00.628000,0 days 01:02:39.845000,0.0,1.0
2023-10-22 19:03:42.358,3390,0,1,2,True,1,car,0 days 00:00:00.908000,0 days 01:02:40.125000,0.0,1.0
2023-10-22 19:03:42.758,3541,0,1,1,True,1,car,0 days 00:00:01.308000,0 days 01:02:40.525000,0.0,1.0
2023-10-22 19:03:42.958,3389,0,1,1,True,1,car,0 days 00:00:01.508000,0 days 01:02:40.725000,0.0,1.0
2023-10-22 19:03:43.358,3595,0,1,2,True,1,car,0 days 00:00:01.908000,0 days 01:02:41.125000,0.0,1.0
2023-10-22 19:03:43.518,3595,0,1,3,True,1,car,0 days 00:00:02.068000,0 days 01:02:41.285000,0.0,1.0
2023-10-22 19:03:43.758,3609,0,1,2,True,1,car,0 days 00:00:02.308000,0 days 01:02:41.525000,0.0,1.0
2023-10-22 19:03:44.238,4236,0,1,6,True,1,car,0 days 00:00:02.788000,0 days 01:02:42.005000,0.0,1.0
2023-10-22 19:03:44.398,4079,0,1,0,True,1,car,0 days 00:00:02.948000,0 days 01:02:42.165000,0.0,1.0
2023-10-22 19:03:44.838,3484,0,1,2,True,1,car,0 days 00:00:03.388000,0 days 01:02:42.605000,0.0,1.0
2023-10-22 19:03:44.998,3300,0,1,2,True,1,car,0 days 00:00:03.548000,0 days 01:02:42.765000,0.0,1.0
2023-10-22 19:03:45.238,3324,0,1,2,True,1,car,0 days 00:00:03.788000,0 days 01:02:43.005000,0.0,1.0
2023-10-22 19:03:45.598,3374,0,1,2,True,1,car,0 days 00:00:04.148000,0 days 01:02:43.365000,0.0,1.0
2023-10-22 19:03:45.758,3410,0,1,2,True,1,car,0 days 00:00:04.308000,0 days 01:02:43.525000,0.0,1.0
2023-10-22 19:03:45.918,3520,0,1,3,True,1,car,0 days 00:00:04.468000,0 days 01:02:43.685000,0.0,1.0
2023-10-22 19:03:46.278,5593,0,1,13,True,1,car,0 days 00:00:04.828000,0 days 01:02:44.045000,0.0,1.0
2023-10-22 19:03:46.677,6285,0,1,2,True,1,car,0 days 00:00:05.227000,0 days 01:02:44.444000,0.0,1.0
2023-10-22 19:03:46.838,5597,0,1,3,True,1,car,0 days 00:00:05.388000,0 days 01:02:44.605000,0.0,1.0
2023-10-22 19:03:47.038,6084,0,1,8,True,1,car,0 days 00:00:05.588000,0 days 01:02:44.805000,0.0,1.0
2023-10-22 19:03:47.518,8211,0,1,16,True,1,car,0 days 00:00:06.068000,0 days 01:02:45.285000,0.0,1.0
2023-10-22 19:03:47.678,9331,0,1,14,True,1,car,0 days 00:00:06.228000,0 days 01:02:45.445000,0.0,1.0
2023-10-22 19:03:47.878,9668,0,1,14,True,1,car,0 days 00:00:06.428000,0 days 01:02:45.645000,0.0,1.0
2023-10-22 19:03:48.038,9694,0,1,14,True,1,car,0 days 00:00:06.588000,0 days 01:02:45.805000,0.0,1.0
2023-10-22 19:03:48.198,9637,0,1,11,True,1,car,0 days 00:00:06.748000,0 days 01:02:45.965000,0.0,1.0
2023-10-22 19:03:48.438,9249,0,1,6,True,1,car,0 days 00:00:06.988000,0 days 01:02:46.205000,0.0,1.0
2023-10-22 19:03:48.678,10073,0,1,17,True,1,car,0 days 00:00:07.228000,0 days 01:02:46.445000,0.0,1.0
2023-10-22 19:03:48.838,10057,0,1,15,True,1,car,0 days 00:00:07.388000,0 days 01:02:46.605000,0.0,1.0
2023-10-22 19:03:49.038,10317,0,1,19,True,1,car,0 days 00:00:07.588000,0 days 01:02:46.805000,0.0,1.0
2023-10-22 19:03:49.358,9224,2,1,22,False,1,car,0 days 00:00:07.908000,0 days 01:02:47.125000,0.17777777777777795,1.0
2023-10-22 19:03:49.518,8104,5,1,27,False,1,car,0 days 00:00:08.068000,0 days 01:02:47.285000,0.39999999999999913,1.0
