Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-10-22 19:03:41.558,10861,0,1,40,True,1,car,0 days 00:00:00.108000,0 days 01:02:39.325000,0.0,1.0
2023-10-22 19:03:41.758,10834,0,1,39,True,1,car,0 days 00:00:00.308000,0 days 01:02:39.525000,0.0,1.0
2023-10-22 19:03:42.078,8594,8,1,37,False,1,car,0 days 00:00:00.628000,0 days 01:02:39.845000,0.7111111111111111,1.0
2023-10-22 19:03:42.358,6634,17,1,37,False,1,car,0 days 00:00:00.908000,0 days 01:02:40.125000,2.0333333333333337,1.0
2023-10-22 19:03:42.758,5243,29,1,39,False,1,car,0 days 00:00:01.308000,0 days 01:02:40.525000,5.255555555555556,1.0
2023-10-22 19:03:42.958,4841,36,1,41,False,1,car,0 days 00:00:01.508000,0 days 01:02:40.725000,7.255555555555556,1.0
2023-10-22 19:03:43.358,5449,51,1,50,False,1,car,0 days 00:00:01.908000,0 days 01:02:41.125000,12.92222222222222,1.0
2023-10-22 19:03:43.518,6569,55,1,59,False,1,car,0 days 00:00:02.068000,0 days 01:02:41.285000,15.366666666666667,1.0
2023-10-22 19:03:43.758,8249,66,1,61,False,1,car,0 days 00:00:02.308000,0 days 01:02:41.525000,19.766666666666662,1.0
2023-10-22 19:03:44.238,11215,81,1,68,False,1,car,0 days 00:00:02.788000,0 days 01:02:42.005000,30.566666666666663,1.0
2023-10-22 19:03:44.398,11581,90,1,77,False,1,car,0 days 00:00:02.948000,0 days 01:02:42.165000,34.56666666666666,1.0
2023-10-22 19:03:44.838,10907,107,1,78,False,1,car,0 days 00:00:03.388000,0 days 01:02:42.605000,47.64444444444444,1.0
2023-10-22 19:03:44.998,10625,112,2,88,False,1,car,0 days 00:00:03.548000,0 days 01:02:42.765000,52.62222222222222,1.0
2023-10-22 19:03:45.238,10644,127,2,92,False,1,car,0 days 00:00:03.788000,0 days 01:02:43.005000,61.088888888888874,1.0
2023-10-22 19:03:45.598,11126,147,3,99,False,1,car,0 days 00:00:04.148000,0 days 01:02:43.365000,75.78888888888886,1.0
2023-10-22 19:03:45.758,11564,156,3,99,False,1,car,0 days 00:00:04.308000,0 days 01:02:43.525000,82.7222222222222,1.0
2023-10-22 19:03:45.918,11349,161,3,99,False,1,car,0 days 00:00:04.468000,0 days 01:02:43.685000,89.87777777777777,1.0
2023-10-22 19:03:46.278,11020,172,4,99,False,1,car,0 days 00:00:04.828000,0 days 01:02:44.045000,107.07777777777778,1.0
2023-10-22 19:03:46.677,11932,183,4,99,False,1,car,0 days 00:00:05.227000,0 days 01:02:44.444000,127.36027777777778,1.0
2023-10-22 19:03:46.838,11961,193,4,99,False,1,car,0 days 00:00:05.388000,0 days 01:02:44.605000,135.99166666666665,1.0
2023-10-22 19:03:47.038,11121,196,5,99,False,1,car,0 days 00:00:05.588000,0 days 01:02:44.805000,146.88055555555553,1.0
2023-10-22 19:03:47.518,11175,210,5,99,False,1,car,0 days 00:00:06.068000,0 days 01:02:45.285000,174.8805555555555,1.0
2023-10-22 19:03:47.678,11175,215,5,99,False,1,car,0 days 00:00:06.228000,0 days 01:02:45.445000,184.43611111111107,1.0
2023-10-22 19:03:47.878,11623,219,5,99,False,1,car,0 days 00:00:06.428000,0 days 01:02:45.645000,196.60277777777776,1.0
2023-10-22 19:03:48.038,11087,220,5,99,False,1,car,0 days 00:00:06.588000,0 days 01:02:45.805000,206.38055555555553,1.0
2023-10-22 19:03:48.198,10399,224,6,99,False,1,car,0 days 00:00:06.748000,0 days 01:02:45.965000,216.3361111111111,1.0
2023-10-22 19:03:48.438,10386,227,6,99,False,1,car,0 days 00:00:06.988000,0 days 01:02:46.205000,231.46944444444446,1.0
2023-10-22 19:03:48.678,10631,231,6,99,False,1,car,0 days 00:00:07.228000,0 days 01:02:46.445000,246.8694444444444,1.0
2023-10-22 19:03:48.838,10071,231,6,44,True,1,car,0 days 00:00:07.388000,0 days 01:02:46.605000,257.13611111111106,1.0
2023-10-22 19:03:49.038,9884,217,6,0,True,1,car,0 days 00:00:07.588000,0 days 01:02:46.805000,269.1916666666666,1.0
2023-10-22 19:03:49.358,9710,186,6,0,True,1,car,0 days 00:00:07.908000,0 days 01:02:47.125000,285.72499999999997,1.0
2023-10-22 19:03:49.518,9988,176,5,0,True,1,car,0 days 00:00:08.068000,0 days 01:02:47.285000,293.54722222222216,1.0
2023-10-22 19:03:49.798,10109,154,4,0,True,1,car,0 days 00:00:08.348000,0 days 01:02:47.565000,305.525,1.0
2023-10-22 19:03:49.998,10453,143,4,0,True,1,car,0 days 00:00:08.548000,0 days 01:02:47.765000,313.4694444444444,1.0
2023-10-22 19:03:50.318,10094,130,3,0,True,1,car,0 days 00:00:08.868000,0 days 01:02:48.085000,325.0249999999999,1.0
2023-10-22 19:03:50.478,10486,121,2,0,True,1,car,0 days 00:00:09.028000,0 days 01:02:48.245000,330.4027777777777,1.0
2023-10-22 19:03:50.758,9621,113,2,2,True,1,car,0 days 00:00:09.308000,0 days 01:02:48.525000,339.1916666666666,1.0
2023-10-22 19:03:50.918,8781,104,2,0,True,1,car,0 days 00:00:09.468000,0 days 01:02:48.685000,343.8138888888888,1.0
2023-10-22 19:03:51.078,8272,94,2,0,True,1,car,0 days 00:00:09.628000,0 days 01:02:48.845000,347.9916666666666,1.0
2023-10-22 19:03:51.438,9359,84,2,0,True,1,car,0 days 00:00:09.988000,0 days 01:02:49.205000,356.3916666666666,1.0
2023-10-22 19:03:51.598,8730,77,1,0,True,1,car,0 days 00:00:10.148000,0 days 01:02:49.365000,359.8138888888888,1.0
2023-10-22 19:03:51.838,7903,71,1,0,True,1,car,0 days 00:00:10.388000,0 days 01:02:49.605000,364.54722222222216,1.0
2023-10-22 19:03:52.078,7053,65,1,0,True,1,car,0 days 00:00:10.628000,0 days 01:02:49.845000,368.8805555555555,1.0
2023-10-22 19:03:52.318,6896,58,1,10,False,1,car,0 days 00:00:10.868000,0 days 01:02:50.085000,372.74722222222215,1.0
2023-10-22 19:03:52.558,7147,60,1,32,False,1,car,0 days 00:00:11.108000,0 days 01:02:50.325000,376.74722222222215,1.0
2023-10-22 19:03:52.798,7457,63,1,38,False,1,car,0 days 00:00:11.348000,0 days 01:02:50.565000,380.94722222222214,1.0
2023-10-22 19:03:53.038,7767,66,1,43,False,1,car,0 days 00:00:11.588000,0 days 01:02:50.805000,385.3472222222221,1.0
2023-10-22 19:03:53.279,6507,73,1,48,False,1,car,0 days 00:00:11.829000,0 days 01:02:51.046000,390.23416666666657,1.0
2023-10-22 19:03:53.638,7515,81,2,57,False,1,car,0 days 00:00:12.188000,0 days 01:02:51.405000,398.31166666666655,1.0
2023-10-22 19:03:53.918,8488,91,2,64,False,1,car,0 days 00:00:12.468000,0 days 01:02:51.685000,405.38944444444434,1.0
2023-10-22 19:03:54.278,9138,106,2,70,False,1,car,0 days 00:00:12.828000,0 days 01:02:52.045000,415.9894444444443,1.0
2023-10-22 19:03:54.598,11001,110,2,75,False,1,car,0 days 00:00:13.148000,0 days 01:02:52.365000,425.7672222222221,1.0
2023-10-22 19:03:54.798,10800,127,2,78,False,1,car,0 days 00:00:13.348000,0 days 01:02:52.565000,432.8227777777777,1.0
2023-10-22 19:03:55.038,10209,136,3,82,False,1,car,0 days 00:00:13.588000,0 days 01:02:52.805000,441.8894444444443,1.0
2023-10-22 19:03:55.318,11376,150,3,100,False,1,car,0 days 00:00:13.868000,0 days 01:02:53.085000,453.556111111111,1.0
2023-10-22 19:03:55.758,11575,171,3,100,False,1,car,0 days 00:00:14.308000,0 days 01:02:53.525000,474.456111111111,1.0
2023-10-22 19:03:55.918,10455,175,4,100,False,1,car,0 days 00:00:14.468000,0 days 01:02:53.685000,482.23388888888877,1.0
2023-10-22 19:03:56.158,11413,188,4,100,False,1,car,0 days 00:00:14.708000,0 days 01:02:53.925000,494.76722222222213,1.0
2023-10-22 19:03:56.358,12056,195,4,100,False,1,car,0 days 00:00:14.908000,0 days 01:02:54.125000,505.60055555555545,1.0
2023-10-22 19:03:56.518,10936,195,4,100,False,1,car,0 days 00:00:15.068000,0 days 01:02:54.285000,514.2672222222221,1.0
2023-10-22 19:03:57.438,11823,222,5,85,False,1,car,0 days 00:00:15.988000,0 days 01:02:55.205000,571.0005555555555,1.0
2023-10-22 19:03:57.638,10563,223,5,72,False,1,car,0 days 00:00:16.188000,0 days 01:02:55.405000,583.3894444444443,1.0
2023-10-22 19:03:58.078,10622,230,6,100,False,1,car,0 days 00:00:16.628000,0 days 01:02:55.845000,611.5005555555555,1.0
2023-10-22 19:03:58.478,10823,237,6,100,False,1,car,0 days 00:00:17.028000,0 days 01:02:56.245000,637.8338888888887,1.0
2023-10-22 19:03:58.878,11229,241,6,100,False,1,car,0 days 00:00:17.428000,0 days 01:02:56.645000,664.6116666666667,1.0
2023-10-22 19:03:59.118,11246,246,6,100,False,1,car,0 days 00:00:17.668000,0 days 01:02:56.885000,681.0116666666665,1.0
