Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-04-30 11:04:03.248,9939,0,1,23,True,1,car,0 days 00:00:00.020000,0 days 01:03:01.778000,0.0,1.0
2023-04-30 11:04:03.488,9960,0,1,23,True,1,car,0 days 00:00:00.260000,0 days 01:03:02.018000,0.0,1.0
2023-04-30 11:04:03.928,7809,2,1,21,False,1,car,0 days 00:00:00.700000,0 days 01:03:02.458000,0.24444444444444444,1.0
2023-04-30 11:04:04.289,5644,19,1,20,False,1,car,0 days 00:00:01.061000,0 days 01:03:02.819000,2.149722222222222,1.0
2023-04-30 11:04:04.769,4980,32,1,23,False,1,car,0 days 00:00:01.541000,0 days 01:03:03.299000,6.416388888888889,1.0
2023-04-30 11:04:05.009,5708,42,1,32,False,1,car,0 days 00:00:01.781000,0 days 01:03:03.539000,9.21638888888889,1.0
2023-04-30 11:04:05.289,6899,52,1,32,False,1,car,0 days 00:00:02.061000,0 days 01:03:03.819000,13.260833333333334,1.0
2023-04-30 11:04:05.449,7267,58,1,37,False,1,car,0 days 00:00:02.221000,0 days 01:03:03.979000,15.838611111111113,1.0
2023-04-30 11:04:05.648,8328,66,1,46,False,1,car,0 days 00:00:02.420000,0 days 01:03:04.178000,19.486944444444443,1.0
2023-04-30 11:04:05.848,9197,74,1,49,False,1,car,0 days 00:00:02.620000,0 days 01:03:04.378000,23.598055555555558,1.0
2023-04-30 11:04:06.128,11133,81,1,59,False,1,car,0 days 00:00:02.900000,0 days 01:03:04.658000,29.89805555555555,1.0
2023-04-30 11:04:06.368,12404,93,1,63,False,1,car,0 days 00:00:03.140000,0 days 01:03:04.898000,36.098055555555554,1.0
2023-04-30 11:04:06.528,12722,98,1,65,False,1,car,0 days 00:00:03.300000,0 days 01:03:05.058000,40.4536111111111,1.0
2023-04-30 11:04:06.728,12022,106,1,71,False,1,car,0 days 00:00:03.500000,0 days 01:03:05.258000,46.342499999999994,1.0
2023-04-30 11:04:07.008,11447,114,2,78,False,1,car,0 days 00:00:03.780000,0 days 01:03:05.538000,55.209166666666654,1.0
2023-04-30 11:04:07.288,10554,132,2,86,False,1,car,0 days 00:00:04.060000,0 days 01:03:05.818000,65.47583333333331,1.0
2023-04-30 11:04:07.648,11433,152,3,99,False,1,car,0 days 00:00:04.420000,0 days 01:03:06.178000,80.67583333333333,1.0
2023-04-30 11:04:07.968,10595,165,4,100,False,1,car,0 days 00:00:04.740000,0 days 01:03:06.498000,95.34250000000002,1.0
2023-04-30 11:04:08.248,11086,177,4,100,False,1,car,0 days 00:00:05.020000,0 days 01:03:06.778000,109.10916666666665,1.0
2023-04-30 11:04:08.408,11561,181,4,100,False,1,car,0 days 00:00:05.180000,0 days 01:03:06.938000,117.1536111111111,1.0
2023-04-30 11:04:08.568,11908,188,4,100,False,1,car,0 days 00:00:05.340000,0 days 01:03:07.098000,125.50916666666667,1.0
2023-04-30 11:04:08.768,12056,195,4,100,False,1,car,0 days 00:00:05.540000,0 days 01:03:07.298000,136.34250000000003,1.0
2023-04-30 11:04:09.008,12460,201,4,100,True,1,car,0 days 00:00:05.780000,0 days 01:03:07.538000,149.74250000000004,1.0
2023-04-30 11:04:09.208,12460,202,4,100,True,1,car,0 days 00:00:05.980000,0 days 01:03:07.738000,160.96472222222226,1.0
2023-04-30 11:04:09.528,11123,193,4,0,True,1,car,0 days 00:00:06.300000,0 days 01:03:08.058000,178.1202777777778,1.0
2023-04-30 11:04:09.848,10450,168,4,0,True,1,car,0 days 00:00:06.620000,0 days 01:03:08.378000,193.05361111111114,1.0
2023-04-30 11:04:10.008,9953,167,4,0,True,1,car,0 days 00:00:06.780000,0 days 01:03:08.538000,200.47583333333336,1.0
2023-04-30 11:04:10.208,9714,158,4,0,True,1,car,0 days 00:00:06.980000,0 days 01:03:08.738000,209.25361111111113,1.0
2023-04-30 11:04:10.528,9460,142,4,0,True,1,car,0 days 00:00:07.300000,0 days 01:03:09.058000,221.87583333333333,1.0
2023-04-30 11:04:10.929,9171,129,3,0,True,1,car,0 days 00:00:07.701000,0 days 01:03:09.459000,236.245,1.0
2023-04-30 11:04:11.329,8335,118,3,0,True,1,car,0 days 00:00:08.101000,0 days 01:03:09.859000,249.35611111111115,1.0
2023-04-30 11:04:11.569,7724,107,3,0,True,1,car,0 days 00:00:08.341000,0 days 01:03:10.099000,256.4894444444444,1.0
2023-04-30 11:04:11.729,8424,102,3,0,True,1,car,0 days 00:00:08.501000,0 days 01:03:10.259000,261.0227777777778,1.0
2023-04-30 11:04:12.009,7896,91,2,0,True,1,car,0 days 00:00:08.781000,0 days 01:03:10.539000,268.10055555555556,1.0
2023-04-30 11:04:12.169,7616,87,2,0,True,1,car,0 days 00:00:08.941000,0 days 01:03:10.699000,271.96722222222223,1.0
2023-04-30 11:04:12.528,6814,81,2,0,False,1,car,0 days 00:00:09.300000,0 days 01:03:11.058000,280.0447222222222,1.0
2023-04-30 11:04:12.728,6693,81,2,0,True,1,car,0 days 00:00:09.500000,0 days 01:03:11.258000,284.5447222222222,1.0
2023-04-30 11:04:13.048,6852,76,2,9,False,1,car,0 days 00:00:09.820000,0 days 01:03:11.578000,291.3002777777778,1.0
2023-04-30 11:04:13.328,6859,78,2,15,False,1,car,0 days 00:00:10.100000,0 days 01:03:11.858000,297.36694444444447,1.0
2023-04-30 11:04:13.568,7154,79,2,14,False,1,car,0 days 00:00:10.340000,0 days 01:03:12.098000,302.6336111111111,1.0
2023-04-30 11:04:14.328,8941,94,2,53,False,1,car,0 days 00:00:11.100000,0 days 01:03:12.858000,322.47805555555556,1.0
2023-04-30 11:04:14.488,9388,101,2,55,False,1,car,0 days 00:00:11.260000,0 days 01:03:13.018000,326.96694444444444,1.0
2023-04-30 11:04:14.768,10386,112,2,67,False,1,car,0 days 00:00:11.540000,0 days 01:03:13.298000,335.67805555555555,1.0
2023-04-30 11:04:15.168,12070,121,2,94,False,1,car,0 days 00:00:11.940000,0 days 01:03:13.698000,349.1225,1.0
2023-04-30 11:04:15.448,10986,140,3,99,False,1,car,0 days 00:00:12.220000,0 days 01:03:13.978000,360.0113888888889,1.0
2023-04-30 11:04:15.808,11879,160,3,100,False,1,car,0 days 00:00:12.580000,0 days 01:03:14.338000,376.0113888888889,1.0
2023-04-30 11:04:16.168,11161,176,3,100,False,1,car,0 days 00:00:12.940000,0 days 01:03:14.698000,393.6113888888889,1.0
2023-04-30 11:04:16.408,11645,183,4,100,False,1,car,0 days 00:00:13.180000,0 days 01:03:14.938000,405.81138888888887,1.0
2023-04-30 11:04:16.848,10756,200,5,100,False,1,car,0 days 00:00:13.620000,0 days 01:03:15.378000,430.25583333333327,1.0
2023-04-30 11:04:17.008,11105,203,5,100,False,1,car,0 days 00:00:13.780000,0 days 01:03:15.538000,439.2780555555555,1.0
2023-04-30 11:04:17.328,11613,212,5,100,False,1,car,0 days 00:00:14.100000,0 days 01:03:15.858000,458.12249999999995,1.0
2023-04-30 11:04:17.609,11613,215,5,100,False,1,car,0 days 00:00:14.381000,0 days 01:03:16.139000,474.90444444444444,1.0
2023-04-30 11:04:17.889,10715,223,5,100,False,1,car,0 days 00:00:14.661000,0 days 01:03:16.419000,492.2488888888888,1.0
2023-04-30 11:04:18.209,10984,230,6,95,True,1,car,0 days 00:00:14.981000,0 days 01:03:16.739000,512.6933333333333,1.0
2023-04-30 11:04:18.489,9963,211,6,0,True,1,car,0 days 00:00:15.261000,0 days 01:03:17.019000,529.1044444444443,1.0
2023-04-30 11:04:18.729,9813,195,6,0,True,1,car,0 days 00:00:15.501000,0 days 01:03:17.259000,542.1044444444443,1.0
2023-04-30 11:04:18.969,10155,178,5,0,True,1,car,0 days 00:00:15.741000,0 days 01:03:17.499000,553.971111111111,1.0
2023-04-30 11:04:19.288,9803,157,4,0,True,1,car,0 days 00:00:16.060000,0 days 01:03:17.818000,567.8830555555554,1.0
2023-04-30 11:04:19.528,10182,145,4,0,True,1,car,0 days 00:00:16.300000,0 days 01:03:18.058000,577.5497222222222,1.0
2023-04-30 11:04:19.688,9378,134,3,0,True,1,car,0 days 00:00:16.460000,0 days 01:03:18.218000,583.5052777777777,1.0
2023-04-30 11:04:19.968,9346,114,3,0,True,1,car,0 days 00:00:16.740000,0 days 01:03:18.498000,592.3719444444442,1.0
2023-04-30 11:04:20.208,8380,102,2,0,True,1,car,0 days 00:00:16.980000,0 days 01:03:18.738000,599.1719444444443,1.0
2023-04-30 11:04:20.408,7977,97,2,0,True,1,car,0 days 00:00:17.180000,0 days 01:03:18.938000,604.5608333333332,1.0
2023-04-30 11:04:20.608,7256,87,2,0,True,1,car,0 days 00:00:17.380000,0 days 01:03:19.138000,609.3941666666666,1.0
2023-04-30 11:04:20.808,6149,78,2,0,True,1,car,0 days 00:00:17.580000,0 days 01:03:19.338000,613.7275,1.0
2023-04-30 11:04:21.048,5515,66,2,0,True,1,car,0 days 00:00:17.820000,0 days 01:03:19.578000,618.1275,1.0
2023-04-30 11:04:21.328,5088,64,2,0,True,1,car,0 days 00:00:18.100000,0 days 01:03:19.858000,623.1052777777778,1.0
2023-04-30 11:04:21.648,4483,54,2,0,True,1,car,0 days 00:00:18.420000,0 days 01:03:20.178000,627.9052777777778,1.0
2023-04-30 11:04:21.808,4302,53,2,0,True,1,car,0 days 00:00:18.580000,0 days 01:03:20.338000,630.2608333333333,1.0
2023-04-30 11:04:22.088,4395,50,2,0,False,1,car,0 days 00:00:18.860000,0 days 01:03:20.618000,634.1497222222222,1.0
2023-04-30 11:04:22.368,4364,49,2,0,False,1,car,0 days 00:00:19.140000,0 days 01:03:20.898000,637.9608333333333,1.0
2023-04-30 11:04:22.648,5024,53,2,17,False,1,car,0 days 00:00:19.420000,0 days 01:03:21.178000,642.0830555555556,1.0
2023-04-30 11:04:23.128,5694,61,2,42,False,1,car,0 days 00:00:19.900000,0 days 01:03:21.658000,650.2163888888889,1.0
2023-04-30 11:04:23.328,6408,69,2,48,False,1,car,0 days 00:00:20.100000,0 days 01:03:21.858000,654.0497222222223,1.0
2023-04-30 11:04:23.688,8234,85,2,58,False,1,car,0 days 00:00:20.460000,0 days 01:03:22.218000,662.5497222222223,1.0
2023-04-30 11:04:23.968,9577,94,2,72,False,1,car,0 days 00:00:20.740000,0 days 01:03:22.498000,669.8608333333333,1.0
2023-04-30 11:04:24.129,10640,103,2,78,False,1,car,0 days 00:00:20.901000,0 days 01:03:22.659000,674.4672222222222,1.0
2023-04-30 11:04:24.369,11982,113,2,83,False,1,car,0 days 00:00:21.141000,0 days 01:03:22.899000,682.0005555555555,1.0
2023-04-30 11:04:24.849,10899,143,3,100,False,1,car,0 days 00:00:21.621000,0 days 01:03:23.379000,701.0672222222222,1.0
2023-04-30 11:04:25.049,11125,153,3,100,False,1,car,0 days 00:00:21.821000,0 days 01:03:23.579000,709.5672222222223,1.0
