Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-04-30 11:04:03.248,9730,0,1,15,False,1,car,0 days 00:00:00.020000,0 days 01:03:01.778000,0.0,1.0
2023-04-30 11:04:03.488,9680,0,1,15,False,1,car,0 days 00:00:00.260000,0 days 01:03:02.018000,0.0,1.0
2023-04-30 11:04:03.928,7440,8,1,21,False,1,car,0 days 00:00:00.700000,0 days 01:03:02.458000,0.9777777777777777,1.0
2023-04-30 11:04:04.289,4920,20,1,21,False,1,car,0 days 00:00:01.061000,0 days 01:03:02.819000,2.9833333333333334,1.0
2023-04-30 11:04:04.769,5151,33,1,32,False,1,car,0 days 00:00:01.541000,0 days 01:03:03.299000,7.383333333333333,1.0
2023-04-30 11:04:05.009,6554,44,1,37,False,1,car,0 days 00:00:01.781000,0 days 01:03:03.539000,10.316666666666666,1.0
2023-04-30 11:04:05.289,7343,51,1,41,False,1,car,0 days 00:00:02.061000,0 days 01:03:03.819000,14.283333333333333,1.0
2023-04-30 11:04:05.449,7777,58,1,46,False,1,car,0 days 00:00:02.221000,0 days 01:03:03.979000,16.861111111111114,1.0
2023-04-30 11:04:05.648,8569,66,1,53,False,1,car,0 days 00:00:02.420000,0 days 01:03:04.178000,20.509444444444444,1.0
2023-04-30 11:04:05.848,8849,75,1,62,False,1,car,0 days 00:00:02.620000,0 days 01:03:04.378000,24.676111111111116,1.0
2023-04-30 11:04:06.128,10587,88,1,72,False,1,car,0 days 00:00:02.900000,0 days 01:03:04.658000,31.520555555555553,1.0
2023-04-30 11:04:06.368,11672,97,1,72,False,1,car,0 days 00:00:03.140000,0 days 01:03:04.898000,37.98722222222223,1.0
2023-04-30 11:04:06.528,11672,106,1,72,False,1,car,0 days 00:00:03.300000,0 days 01:03:05.058000,42.69833333333333,1.0
2023-04-30 11:04:06.728,10911,106,2,100,False,1,car,0 days 00:00:03.500000,0 days 01:03:05.258000,48.58722222222222,1.0
2023-04-30 11:04:07.008,11790,130,2,100,False,1,car,0 days 00:00:03.780000,0 days 01:03:05.538000,58.69833333333332,1.0
2023-04-30 11:04:07.288,10946,145,3,100,False,1,car,0 days 00:00:04.060000,0 days 01:03:05.818000,69.9761111111111,1.0
2023-04-30 11:04:07.648,11896,159,3,100,False,1,car,0 days 00:00:04.420000,0 days 01:03:06.178000,85.8761111111111,1.0
2023-04-30 11:04:07.968,10837,172,3,100,False,1,car,0 days 00:00:04.740000,0 days 01:03:06.498000,101.165,1.0
2023-04-30 11:04:08.248,11398,183,4,100,False,1,car,0 days 00:00:05.020000,0 days 01:03:06.778000,115.39833333333331,1.0
2023-04-30 11:04:08.408,11623,191,4,100,False,1,car,0 days 00:00:05.180000,0 days 01:03:06.938000,123.8872222222222,1.0
2023-04-30 11:04:08.568,11725,191,4,100,True,1,car,0 days 00:00:05.340000,0 days 01:03:07.098000,132.3761111111111,1.0
2023-04-30 11:04:08.768,10605,183,4,0,True,1,car,0 days 00:00:05.540000,0 days 01:03:07.298000,142.5427777777778,1.0
2023-04-30 11:04:09.008,10036,171,4,0,True,1,car,0 days 00:00:05.780000,0 days 01:03:07.538000,153.9427777777778,1.0
2023-04-30 11:04:09.208,9752,161,4,0,True,1,car,0 days 00:00:05.980000,0 days 01:03:07.738000,162.88722222222225,1.0
2023-04-30 11:04:09.528,10323,139,3,0,True,1,car,0 days 00:00:06.300000,0 days 01:03:08.058000,175.24277777777777,1.0
2023-04-30 11:04:09.848,10505,125,2,0,True,1,car,0 days 00:00:06.620000,0 days 01:03:08.378000,186.3538888888889,1.0
2023-04-30 11:04:10.008,10241,118,2,0,True,1,car,0 days 00:00:06.780000,0 days 01:03:08.538000,191.59833333333333,1.0
2023-04-30 11:04:10.208,9686,115,2,4,True,1,car,0 days 00:00:06.980000,0 days 01:03:08.738000,197.98722222222221,1.0
