Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-04-30 11:04:03.248,9605,0,1,26,False,1,car,0 days 00:00:00.020000,0 days 01:03:01.778000,0.0,1.0
2023-04-30 11:04:03.488,9506,0,1,26,False,1,car,0 days 00:00:00.260000,0 days 01:03:02.018000,0.0,1.0
2023-04-30 11:04:03.928,6566,8,1,22,False,1,car,0 days 00:00:00.700000,0 days 01:03:02.458000,0.9777777777777777,1.0
2023-04-30 11:04:04.289,4448,22,1,22,False,1,car,0 days 00:00:01.061000,0 days 01:03:02.819000,3.1838888888888888,1.0
2023-04-30 11:04:04.769,4645,40,1,29,False,1,car,0 days 00:00:01.541000,0 days 01:03:03.299000,8.517222222222221,1.0
2023-04-30 11:04:05.009,6325,47,1,46,False,1,car,0 days 00:00:01.781000,0 days 01:03:03.539000,11.650555555555554,1.0
2023-04-30 11:04:05.289,7320,57,1,44,False,1,car,0 days 00:00:02.061000,0 days 01:03:03.819000,16.083888888888886,1.0
2023-04-30 11:04:05.449,8015,65,1,49,False,1,car,0 days 00:00:02.221000,0 days 01:03:03.979000,18.97277777777778,1.0
2023-04-30 11:04:05.648,8508,72,1,52,False,1,car,0 days 00:00:02.420000,0 days 01:03:04.178000,22.952777777777776,1.0
2023-04-30 11:04:05.848,9296,80,1,62,False,1,car,0 days 00:00:02.620000,0 days 01:03:04.378000,27.397222222222226,1.0
2023-04-30 11:04:06.128,10836,88,1,72,False,1,car,0 days 00:00:02.900000,0 days 01:03:04.658000,34.24166666666667,1.0
2023-04-30 11:04:06.368,11676,101,1,75,False,1,car,0 days 00:00:03.140000,0 days 01:03:04.898000,40.97500000000001,1.0
2023-04-30 11:04:06.528,10953,105,1,78,False,1,car,0 days 00:00:03.300000,0 days 01:03:05.058000,45.641666666666666,1.0
2023-04-30 11:04:06.728,11616,109,2,84,False,1,car,0 days 00:00:03.500000,0 days 01:03:05.258000,51.69722222222222,1.0
2023-04-30 11:04:07.008,11748,128,2,100,False,1,car,0 days 00:00:03.780000,0 days 01:03:05.538000,61.65277777777777,1.0
2023-04-30 11:04:07.288,10959,144,3,100,False,1,car,0 days 00:00:04.060000,0 days 01:03:05.818000,72.85277777777776,1.0
2023-04-30 11:04:07.648,10272,162,3,100,False,1,car,0 days 00:00:04.420000,0 days 01:03:06.178000,89.05277777777778,1.0
2023-04-30 11:04:07.968,11090,174,4,100,False,1,car,0 days 00:00:04.740000,0 days 01:03:06.498000,104.51944444444446,1.0
