Date,Status,X,Y,Z,Source,Time,SessionTime,LapNumber
2023-07-23 13:03:06.197,OnTrack,-682,-819,2389,pos,0 days 00:00:00.063000,0 days 01:02:04.169000,1.0
2023-07-23 13:03:06.557,OnTrack,-682,-819,2389,pos,0 days 00:00:00.423000,0 days 01:02:04.529000,1.0
2023-07-23 13:03:06.577,OnTrack,-682,-819,2389,pos,0 days 00:00:00.443000,0 days 01:02:04.549000,1.0
2023-07-23 13:03:06.957,OnTrack,-689,-813,2389,pos,0 days 00:00:00.823000,0 days 01:02:04.929000,1.0
2023-07-23 13:03:07.337,OnTrack,-709,-795,2389,pos,0 days 00:00:01.203000,0 days 01:02:05.309000,1.0
2023-07-23 13:03:07.637,OnTrack,-720,-785,2389,pos,0 days 00:00:01.503000,0 days 01:02:05.609000,1.0
2023-07-23 13:03:07.977,OnTrack,-750,-758,2389,pos,0 days 00:00:01.843000,0 days 01:02:05.949000,1.0
2023-07-23 13:03:08.177,OnTrack,-772,-737,2390,pos,0 days 00:00:02.043000,0 days 01:02:06.149000,1.0
2023-07-23 13:03:08.338,OnTrack,-795,-716,2389,pos,0 days 00:00:02.204000,0 days 01:02:06.310000,1.0
2023-07-23 13:03:08.418,OnTrack,-806,-706,2389,pos,0 days 00:00:02.284000,0 days 01:02:06.390000,1.0
2023-07-23 13:03:08.618,OnTrack,-833,-681,2389,pos,0 days 00:00:02.484000,0 days 01:02:06.590000,1.0
2023-07-23 13:03:08.978,OnTrack,-892,-627,2389,pos,0 days 00:00:02.844000,0 days 01:02:06.950000,1.0
2023-07-23 13:03:09.158,OnTrack,-956,-569,2389,pos,0 days 00:00:03.024000,0 days 01:02:07.130000,1.0
2023-07-23 13:03:09.478,OnTrack,-1004,-526,2388,pos,0 days 00:00:03.344000,0 days 01:02:07.450000,1.0
2023-07-23 13:03:09.718,OnTrack,-1107,-434,2389,pos,0 days 00:00:03.584000,0 days 01:02:07.690000,1.0
2023-07-23 13:03:09.958,OnTrack,-1177,-373,2388,pos,0 days 00:00:03.824000,0 days 01:02:07.930000,1.0
2023-07-23 13:03:10.198,OnTrack,-1254,-306,2388,pos,0 days 00:00:04.064000,0 days 01:02:08.170000,1.0
2023-07-23 13:03:10.398,OnTrack,-1313,-255,2388,pos,0 days 00:00:04.264000,0 days 01:02:08.370000,1.0
2023-07-23 13:03:10.498,OnTrack,-1340,-233,2388,pos,0 days 00:00:04.364000,0 days 01:02:08.470000,1.0
2023-07-23 13:03:10.678,OnTrack,-1406,-178,2388,pos,0 days 00:00:04.544000,0 days 01:02:08.650000,1.0
2023-07-23 13:03:11.038,OnTrack,-1589,-28,2388,pos,0 days 00:00:04.904000,0 days 01:02:09.010000,1.0
2023-07-23 13:03:11.438,OnTrack,-1717,75,2388,pos,0 days 00:00:05.304000,0 days 01:02:09.410000,1.0
2023-07-23 13:03:11.558,OnTrack,-1769,118,2388,pos,0 days 00:00:05.424000,0 days 01:02:09.530000,1.0
2023-07-23 13:03:11.778,OnTrack,-1868,199,2388,pos,0 days 00:00:05.644000,0 days 01:02:09.750000,1.0
2023-07-23 13:03:12.077,OnTrack,-2026,330,2388,pos,0 days 00:00:05.943000,0 days 01:02:10.049000,1.0
2023-07-23 13:03:12.337,OnTrack,-2133,418,2388,pos,0 days 00:00:06.203000,0 days 01:02:10.309000,1.0
2023-07-23 13:03:12.577,OnTrack,-2252,515,2388,pos,0 days 00:00:06.443000,0 days 01:02:10.549000,1.0
2023-07-23 13:03:12.857,OnTrack,-2458,685,2388,pos,0 days 00:00:06.723000,0 days 01:02:10.829000,1.0
2023-07-23 13:03:13.137,OnTrack,-2543,754,2388,pos,0 days 00:00:07.003000,0 days 01:02:11.109000,1.0
2023-07-23 13:03:13.417,OnTrack,-2693,878,2388,pos,0 days 00:00:07.283000,0 days 01:02:11.389000,1.0
2023-07-23 13:03:13.577,OnTrack,-2781,950,2388,pos,0 days 00:00:07.443000,0 days 01:02:11.549000,1.0
2023-07-23 13:03:13.897,OnTrack,-2959,1096,2388,pos,0 days 00:00:07.763000,0 days 01:02:11.869000,1.0
2023-07-23 13:03:14.097,OnTrack,-3072,1189,2388,pos,0 days 00:00:07.963000,0 days 01:02:12.069000,1.0
2023-07-23 13:03:14.277,OnTrack,-3174,1273,2388,pos,0 days 00:00:08.143000,0 days 01:02:12.249000,1.0
2023-07-23 13:03:14.437,OnTrack,-3266,1349,2388,pos,0 days 00:00:08.303000,0 days 01:02:12.409000,1.0
2023-07-23 13:03:14.778,OnTrack,-3508,1547,2386,pos,0 days 00:00:08.644000,0 days 01:02:12.750000,1.0
2023-07-23 13:03:15.158,OnTrack,-3710,1713,2382,pos,0 days 00:00:09.024000,0 days 01:02:13.130000,1.0
2023-07-23 13:03:15.318,OnTrack,-3805,1792,2380,pos,0 days 00:00:09.184000,0 days 01:02:13.290000,1.0
2023-07-23 13:03:15.598,OnTrack,-3999,1949,2375,pos,0 days 00:00:09.464000,0 days 01:02:13.570000,1.0
2023-07-23 13:03:15.998,OnTrack,-4280,2170,2366,pos,0 days 00:00:09.864000,0 days 01:02:13.970000,1.0
2023-07-23 13:03:16.298,OnTrack,-4390,2256,2363,pos,0 days 00:00:10.164000,0 days 01:02:14.270000,1.0
2023-07-23 13:03:16.458,OnTrack,-4487,2333,2360,pos,0 days 00:00:10.324000,0 days 01:02:14.430000,1.0
2023-07-23 13:03:16.818,OnTrack,-4778,2562,2353,pos,0 days 00:00:10.684000,0 days 01:02:14.790000,1.0
2023-07-23 13:03:17.118,OnTrack,-4970,2711,2348,pos,0 days 00:00:10.984000,0 days 01:02:15.090000,1.0
2023-07-23 13:03:17.578,OnTrack,-5153,2852,2343,pos,0 days 00:00:11.444000,0 days 01:02:15.550000,1.0
2023-07-23 13:03:17.738,OnTrack,-5237,2917,2341,pos,0 days 00:00:11.604000,0 days 01:02:15.710000,1.0
2023-07-23 13:03:17.938,OnTrack,-5339,2997,2338,pos,0 days 00:00:11.804000,0 days 01:02:15.910000,1.0
2023-07-23 13:03:18.198,OnTrack,-5407,3051,2338,pos,0 days 00:00:12.064000,0 days 01:02:16.170000,1.0
2023-07-23 13:03:18.378,OnTrack,-5428,3069,2336,pos,0 days 00:00:12.244000,0 days 01:02:16.350000,1.0
2023-07-23 13:03:18.538,OnTrack,-5496,3123,2334,pos,0 days 00:00:12.404000,0 days 01:02:16.510000,1.0
2023-07-23 13:03:18.857,OnTrack,-5618,3224,2330,pos,0 days 00:00:12.723000,0 days 01:02:16.829000,1.0
2023-07-23 13:03:19.137,OnTrack,-5732,3323,2326,pos,0 days 00:00:13.003000,0 days 01:02:17.109000,1.0
2023-07-23 13:03:19.397,OnTrack,-5789,3375,2325,pos,0 days 00:00:13.263000,0 days 01:02:17.369000,1.0
2023-07-23 13:03:19.577,OnTrack,-5835,3420,2322,pos,0 days 00:00:13.443000,0 days 01:02:17.549000,1.0
2023-07-23 13:03:19.877,OnTrack,-5903,3492,2319,pos,0 days 00:00:13.743000,0 days 01:02:17.849000,1.0
2023-07-23 13:03:20.097,OnTrack,-5965,3569,2317,pos,0 days 00:00:13.963000,0 days 01:02:18.069000,1.0
2023-07-23 13:03:20.517,OnTrack,-6009,3635,2315,pos,0 days 00:00:14.383000,0 days 01:02:18.489000,1.0
2023-07-23 13:03:20.757,OnTrack,-6043,3701,2313,pos,0 days 00:00:14.623000,0 days 01:02:18.729000,1.0
2023-07-23 13:03:21.097,OnTrack,-6074,3792,2310,pos,0 days 00:00:14.963000,0 days 01:02:19.069000,1.0
2023-07-23 13:03:21.618,OnTrack,-6084,3874,2309,pos,0 days 00:00:15.484000,0 days 01:02:19.590000,1.0
2023-07-23 13:03:21.798,OnTrack,-6082,3910,2307,pos,0 days 00:00:15.664000,0 days 01:02:19.770000,1.0
2023-07-23 13:03:21.958,OnTrack,-6070,3965,2305,pos,0 days 00:00:15.824000,0 days 01:02:19.930000,1.0
2023-07-23 13:03:22.358,OnTrack,-6046,4012,2303,pos,0 days 00:00:16.224000,0 days 01:02:20.330000,1.0
2023-07-23 13:03:22.518,OnTrack,-6026,4039,2302,pos,0 days 00:00:16.384000,0 days 01:02:20.490000,1.0
2023-07-23 13:03:22.758,OnTrack,-5988,4076,2302,pos,0 days 00:00:16.624000,0 days 01:02:20.730000,1.0
2023-07-23 13:03:23.038,OnTrack,-5934,4110,2301,pos,0 days 00:00:16.904000,0 days 01:02:21.010000,1.0
2023-07-23 13:03:23.318,OnTrack,-5869,4136,2301,pos,0 days 00:00:17.184000,0 days 01:02:21.290000,1.0
2023-07-23 13:03:23.478,OnTrack,-5811,4150,2300,pos,0 days 00:00:17.344000,0 days 01:02:21.450000,1.0
2023-07-23 13:03:23.898,OnTrack,-5667,4164,2297,pos,0 days 00:00:17.764000,0 days 01:02:21.870000,1.0
2023-07-23 13:03:24.218,OnTrack,-5600,4163,2295,pos,0 days 00:00:18.084000,0 days 01:02:22.190000,1.0
2023-07-23 13:03:24.438,OnTrack,-5522,4159,2293,pos,0 days 00:00:18.304000,0 days 01:02:22.410000,1.0
2023-07-23 13:03:24.718,OnTrack,-5415,4149,2291,pos,0 days 00:00:18.584000,0 days 01:02:22.690000,1.0
2023-07-23 13:03:24.858,OnTrack,-5358,4141,2290,pos,0 days 00:00:18.724000,0 days 01:02:22.830000,1.0
2023-07-23 13:03:25.138,OnTrack,-5174,4109,2285,pos,0 days 00:00:19.004000,0 days 01:02:23.110000,1.0
2023-07-23 13:03:25.417,OnTrack,-5108,4095,2283,pos,0 days 00:00:19.283000,0 days 01:02:23.389000,1.0
2023-07-23 13:03:25.717,OnTrack,-4891,4038,2278,pos,0 days 00:00:19.583000,0 days 01:02:23.689000,1.0
2023-07-23 13:03:25.957,OnTrack,-4769,3998,2276,pos,0 days 00:00:19.823000,0 days 01:02:23.929000,1.0
2023-07-23 13:03:26.117,OnTrack,-4687,3968,2274,pos,0 days 00:00:19.983000,0 days 01:02:24.089000,1.0
2023-07-23 13:03:26.277,OnTrack,-4605,3936,2272,pos,0 days 00:00:20.143000,0 days 01:02:24.249000,1.0
2023-07-23 13:03:26.537,OnTrack,-4466,3873,2270,pos,0 days 00:00:20.403000,0 days 01:02:24.509000,1.0
2023-07-23 13:03:26.817,OnTrack,-4283,3777,2267,pos,0 days 00:00:20.683000,0 days 01:02:24.789000,1.0
2023-07-23 13:03:27.057,OnTrack,-4186,3717,2265,pos,0 days 00:00:20.923000,0 days 01:02:25.029000,1.0
2023-07-23 13:03:27.437,OnTrack,-3982,3576,2263,pos,0 days 00:00:21.303000,0 days 01:02:25.409000,1.0
2023-07-23 13:03:27.597,OnTrack,-3833,3463,2261,pos,0 days 00:00:21.463000,0 days 01:02:25.569000,1.0
2023-07-23 13:03:27.897,OnTrack,-3736,3385,2259,pos,0 days 00:00:21.763000,0 days 01:02:25.869000,1.0
2023-07-23 13:03:28.178,OnTrack,-3576,3251,2257,pos,0 days 00:00:22.044000,0 days 01:02:26.150000,1.0
2023-07-23 13:03:28.438,OnTrack,-3435,3130,2256,pos,0 days 00:00:22.304000,0 days 01:02:26.410000,1.0
2023-07-23 13:03:28.638,OnTrack,-3271,2987,2254,pos,0 days 00:00:22.504000,0 days 01:02:26.610000,1.0
2023-07-23 13:03:28.958,OnTrack,-3159,2889,2252,pos,0 days 00:00:22.824000,0 days 01:02:26.930000,1.0
2023-07-23 13:03:29.258,OnTrack,-2946,2702,2249,pos,0 days 00:00:23.124000,0 days 01:02:27.230000,1.0
2023-07-23 13:03:29.578,OnTrack,-2841,2612,2248,pos,0 days 00:00:23.444000,0 days 01:02:27.550000,1.0
2023-07-23 13:03:29.838,OnTrack,-2723,2514,2246,pos,0 days 00:00:23.704000,0 days 01:02:27.810000,1.0
2023-07-23 13:03:30.098,OnTrack,-2564,2392,2243,pos,0 days 00:00:23.964000,0 days 01:02:28.070000,1.0
2023-07-23 13:03:30.518,OnTrack,-2409,2290,2239,pos,0 days 00:00:24.384000,0 days 01:02:28.490000,1.0
2023-07-23 13:03:30.798,OnTrack,-2343,2254,2237,pos,0 days 00:00:24.664000,0 days 01:02:28.770000,1.0
2023-07-23 13:03:31.078,OnTrack,-2245,2210,2234,pos,0 days 00:00:24.944000,0 days 01:02:29.050000,1.0
2023-07-23 13:03:31.238,OnTrack,-2191,2192,2233,pos,0 days 00:00:25.104000,0 days 01:02:29.210000,1.0
2023-07-23 13:03:31.418,OnTrack,-2132,2177,2231,pos,0 days 00:00:25.284000,0 days 01:02:29.390000,1.0
2023-07-23 13:03:31.618,OnTrack,-2043,2167,2227,pos,0 days 00:00:25.484000,0 days 01:02:29.590000,1.0
2023-07-23 13:03:31.977,OnTrack,-1933,2178,2221,pos,0 days 00:00:25.843000,0 days 01:02:29.949000,1.0
2023-07-23 13:03:32.157,OnTrack,-1882,2193,2219,pos,0 days 00:00:26.023000,0 days 01:02:30.129000,1.0
2023-07-23 13:03:32.317,OnTrack,-1839,2211,2215,pos,0 days 00:00:26.183000,0 days 01:02:30.289000,1.0
2023-07-23 13:03:32.477,OnTrack,-1800,2233,2212,pos,0 days 00:00:26.343000,0 days 01:02:30.449000,1.0
2023-07-23 13:03:32.777,OnTrack,-1736,2285,2207,pos,0 days 00:00:26.643000,0 days 01:02:30.749000,1.0
2023-07-23 13:03:32.997,OnTrack,-1675,2360,2199,pos,0 days 00:00:26.863000,0 days 01:02:30.969000,1.0
2023-07-23 13:03:33.277,OnTrack,-1656,2392,2198,pos,0 days 00:00:27.143000,0 days 01:02:31.249000,1.0
2023-07-23 13:03:33.477,OnTrack,-1633,2440,2193,pos,0 days 00:00:27.343000,0 days 01:02:31.449000,1.0
2023-07-23 13:03:33.817,OnTrack,-1607,2531,2188,pos,0 days 00:00:27.683000,0 days 01:02:31.789000,1.0
2023-07-23 13:03:33.937,OnTrack,-1602,2565,2186,pos,0 days 00:00:27.803000,0 days 01:02:31.909000,1.0
2023-07-23 13:03:34.177,OnTrack,-1600,2682,2177,pos,0 days 00:00:28.043000,0 days 01:02:32.149000,1.0
2023-07-23 13:03:34.658,OnTrack,-1633,2846,2165,pos,0 days 00:00:28.524000,0 days 01:02:32.630000,1.0
2023-07-23 13:03:35.058,OnTrack,-1684,2978,2153,pos,0 days 00:00:28.924000,0 days 01:02:33.030000,1.0
