Date,Status,X,Y,Z,Source,Time,SessionTime,LapNumber
2023-08-27 13:03:05.475,OnTrack,471,3686,537,pos,0 days 00:00:00.141000,0 days 01:02:05.101000,1.0
2023-08-27 13:03:05.895,OnTrack,471,3688,537,pos,0 days 00:00:00.561000,0 days 01:02:05.521000,1.0
2023-08-27 13:03:06.295,OnTrack,478,3704,537,pos,0 days 00:00:00.961000,0 days 01:02:05.921000,1.0
2023-08-27 13:03:06.715,OnTrack,487,3726,537,pos,0 days 00:00:01.381000,0 days 01:02:06.341000,1.0
2023-08-27 13:03:06.895,OnTrack,493,3742,537,pos,0 days 00:00:01.561000,0 days 01:02:06.521000,1.0
2023-08-27 13:03:07.115,OnTrack,502,3764,537,pos,0 days 00:00:01.781000,0 days 01:02:06.741000,1.0
2023-08-27 13:03:07.255,OnTrack,516,3797,537,pos,0 days 00:00:01.921000,0 days 01:02:06.881000,1.0
2023-08-27 13:03:07.635,OnTrack,531,3835,537,pos,0 days 00:00:02.301000,0 days 01:02:07.261000,1.0
2023-08-27 13:03:07.915,OnTrack,551,3884,537,pos,0 days 00:00:02.581000,0 days 01:02:07.541000,1.0
2023-08-27 13:03:08.174,OnTrack,572,3934,537,pos,0 days 00:00:02.840000,0 days 01:02:07.800000,1.0
2023-08-27 13:03:08.254,OnTrack,579,3951,537,pos,0 days 00:00:02.920000,0 days 01:02:07.880000,1.0
2023-08-27 13:03:08.534,OnTrack,616,4041,537,pos,0 days 00:00:03.200000,0 days 01:02:08.160000,1.0
2023-08-27 13:03:08.954,OnTrack,669,4170,537,pos,0 days 00:00:03.620000,0 days 01:02:08.580000,1.0
2023-08-27 13:03:09.374,OnTrack,706,4261,537,pos,0 days 00:00:04.040000,0 days 01:02:09,1.0
2023-08-27 13:03:09.574,OnTrack,734,4332,537,pos,0 days 00:00:04.240000,0 days 01:02:09.200000,1.0
2023-08-27 13:03:09.775,OnTrack,782,4448,537,pos,0 days 00:00:04.441000,0 days 01:02:09.401000,1.0
2023-08-27 13:03:10.195,OnTrack,841,4592,537,pos,0 days 00:00:04.861000,0 days 01:02:09.821000,1.0
2023-08-27 13:03:10.395,OnTrack,874,4673,537,pos,0 days 00:00:05.061000,0 days 01:02:10.021000,1.0
2023-08-27 13:03:10.555,OnTrack,925,4797,537,pos,0 days 00:00:05.221000,0 days 01:02:10.181000,1.0
2023-08-27 13:03:10.915,OnTrack,977,4925,536,pos,0 days 00:00:05.581000,0 days 01:02:10.541000,1.0
2023-08-27 13:03:11.075,OnTrack,1011,5008,537,pos,0 days 00:00:05.741000,0 days 01:02:10.701000,1.0
2023-08-27 13:03:11.375,OnTrack,1117,5269,537,pos,0 days 00:00:06.041000,0 days 01:02:11.001000,1.0
2023-08-27 13:03:11.775,OnTrack,1211,5525,537,pos,0 days 00:00:06.441000,0 days 01:02:11.401000,1.0
2023-08-27 13:03:12.175,OnTrack,1253,5663,538,pos,0 days 00:00:06.841000,0 days 01:02:11.801000,1.0
2023-08-27 13:03:12.375,OnTrack,1283,5769,538,pos,0 days 00:00:07.041000,0 days 01:02:12.001000,1.0
2023-08-27 13:03:12.555,OnTrack,1309,5862,539,pos,0 days 00:00:07.221000,0 days 01:02:12.181000,1.0
2023-08-27 13:03:12.775,OnTrack,1338,5967,541,pos,0 days 00:00:07.441000,0 days 01:02:12.401000,1.0
2023-08-27 13:03:12.975,OnTrack,1362,6055,543,pos,0 days 00:00:07.641000,0 days 01:02:12.601000,1.0
2023-08-27 13:03:13.175,OnTrack,1386,6137,544,pos,0 days 00:00:07.841000,0 days 01:02:12.801000,1.0
2023-08-27 13:03:13.315,OnTrack,1402,6191,545,pos,0 days 00:00:07.981000,0 days 01:02:12.941000,1.0
2023-08-27 13:03:13.515,OnTrack,1426,6264,546,pos,0 days 00:00:08.181000,0 days 01:02:13.141000,1.0
2023-08-27 13:03:13.715,OnTrack,1452,6331,547,pos,0 days 00:00:08.381000,0 days 01:02:13.341000,1.0
2023-08-27 13:03:14.075,OnTrack,1515,6462,548,pos,0 days 00:00:08.741000,0 days 01:02:13.701000,1.0
2023-08-27 13:03:14.395,OnTrack,1576,6546,548,pos,0 days 00:00:09.061000,0 days 01:02:14.021000,1.0
2023-08-27 13:03:14.834,OnTrack,1641,6611,550,pos,0 days 00:00:09.500000,0 days 01:02:14.460000,1.0
2023-08-27 13:03:15.074,OnTrack,1737,6668,548,pos,0 days 00:00:09.740000,0 days 01:02:14.700000,1.0
2023-08-27 13:03:15.514,OnTrack,1838,6696,549,pos,0 days 00:00:10.180000,0 days 01:02:15.140000,1.0
2023-08-27 13:03:15.794,OnTrack,1891,6700,549,pos,0 days 00:00:10.460000,0 days 01:02:15.420000,1.0
2023-08-27 13:03:16.054,OnTrack,1959,6696,548,pos,0 days 00:00:10.720000,0 days 01:02:15.680000,1.0
2023-08-27 13:03:16.315,OnTrack,2027,6680,549,pos,0 days 00:00:10.981000,0 days 01:02:15.941000,1.0
2023-08-27 13:03:16.475,OnTrack,2094,6651,548,pos,0 days 00:00:11.141000,0 days 01:02:16.101000,1.0
2023-08-27 13:03:16.915,OnTrack,2146,6612,548,pos,0 days 00:00:11.581000,0 days 01:02:16.541000,1.0
2023-08-27 13:03:17.075,OnTrack,2174,6583,546,pos,0 days 00:00:11.741000,0 days 01:02:16.701000,1.0
2023-08-27 13:03:17.335,OnTrack,2214,6532,545,pos,0 days 00:00:12.001000,0 days 01:02:16.961000,1.0
2023-08-27 13:03:17.495,OnTrack,2234,6499,545,pos,0 days 00:00:12.161000,0 days 01:02:17.121000,1.0
2023-08-27 13:03:17.775,OnTrack,2271,6413,544,pos,0 days 00:00:12.441000,0 days 01:02:17.401000,1.0
2023-08-27 13:03:18.015,OnTrack,2283,6370,544,pos,0 days 00:00:12.681000,0 days 01:02:17.641000,1.0
2023-08-27 13:03:18.235,OnTrack,2292,6307,544,pos,0 days 00:00:12.901000,0 days 01:02:17.861000,1.0
