Date,Status,X,Y,Z,Source,Time,SessionTime,LapNumber
2023-03-19 17:03:50.835,OnTrack,-2006,2168,117,pos,0 days 00:00:00.117000,0 days 01:02:50.749000,1.0
2023-03-19 17:03:50.995,OnTrack,-2006,2168,117,pos,0 days 00:00:00.277000,0 days 01:02:50.909000,1.0
2023-03-19 17:03:51.155,OnTrack,-2006,2168,117,pos,0 days 00:00:00.437000,0 days 01:02:51.069000,1.0
2023-03-19 17:03:51.515,OnTrack,-2011,2181,117,pos,0 days 00:00:00.797000,0 days 01:02:51.429000,1.0
2023-03-19 17:03:51.835,OnTrack,-2015,2191,117,pos,0 days 00:00:01.117000,0 days 01:02:51.749000,1.0
2023-03-19 17:03:52.095,OnTrack,-2022,2211,117,pos,0 days 00:00:01.377000,0 days 01:02:52.009000,1.0
2023-03-19 17:03:52.294,OnTrack,-2030,2232,117,pos,0 days 00:00:01.576000,0 days 01:02:52.208000,1.0
2023-03-19 17:03:52.514,OnTrack,-2045,2273,117,pos,0 days 00:00:01.796000,0 days 01:02:52.428000,1.0
2023-03-19 17:03:52.874,OnTrack,-2060,2314,117,pos,0 days 00:00:02.156000,0 days 01:02:52.788000,1.0
2023-03-19 17:03:53.034,OnTrack,-2071,2343,117,pos,0 days 00:00:02.316000,0 days 01:02:52.948000,1.0
2023-03-19 17:03:53.374,OnTrack,-2097,2417,117,pos,0 days 00:00:02.656000,0 days 01:02:53.288000,1.0
2023-03-19 17:03:53.594,OnTrack,-2117,2471,117,pos,0 days 00:00:02.876000,0 days 01:02:53.508000,1.0
2023-03-19 17:03:53.754,OnTrack,-2133,2514,117,pos,0 days 00:00:03.036000,0 days 01:02:53.668000,1.0
2023-03-19 17:03:53.975,OnTrack,-2159,2585,118,pos,0 days 00:00:03.257000,0 days 01:02:53.889000,1.0
2023-03-19 17:03:54.115,OnTrack,-2174,2630,118,pos,0 days 00:00:03.397000,0 days 01:02:54.029000,1.0
2023-03-19 17:03:54.355,OnTrack,-2198,2708,118,pos,0 days 00:00:03.637000,0 days 01:02:54.269000,1.0
2023-03-19 17:03:54.555,OnTrack,-2220,2787,117,pos,0 days 00:00:03.837000,0 days 01:02:54.469000,1.0
2023-03-19 17:03:54.855,OnTrack,-2254,2915,118,pos,0 days 00:00:04.137000,0 days 01:02:54.769000,1.0
2023-03-19 17:03:55.515,OnTrack,-2356,3291,118,pos,0 days 00:00:04.797000,0 days 01:02:55.429000,1.0
2023-03-19 17:03:55.955,OnTrack,-2402,3461,118,pos,0 days 00:00:05.237000,0 days 01:02:55.869000,1.0
2023-03-19 17:03:56.095,OnTrack,-2423,3537,119,pos,0 days 00:00:05.377000,0 days 01:02:56.009000,1.0
2023-03-19 17:03:56.355,OnTrack,-2463,3684,118,pos,0 days 00:00:05.637000,0 days 01:02:56.269000,1.0
2023-03-19 17:03:56.595,OnTrack,-2501,3822,118,pos,0 days 00:00:05.877000,0 days 01:02:56.509000,1.0
2023-03-19 17:03:56.775,OnTrack,-2544,3978,118,pos,0 days 00:00:06.057000,0 days 01:02:56.689000,1.0
2023-03-19 17:03:57.135,OnTrack,-2583,4118,117,pos,0 days 00:00:06.417000,0 days 01:02:57.049000,1.0
2023-03-19 17:03:57.295,OnTrack,-2606,4201,117,pos,0 days 00:00:06.577000,0 days 01:02:57.209000,1.0
2023-03-19 17:03:57.615,OnTrack,-2673,4411,116,pos,0 days 00:00:06.897000,0 days 01:02:57.529000,1.0
2023-03-19 17:03:58.075,OnTrack,-2706,4496,116,pos,0 days 00:00:07.357000,0 days 01:02:57.989000,1.0
2023-03-19 17:03:58.155,OnTrack,-2718,4522,116,pos,0 days 00:00:07.437000,0 days 01:02:58.069000,1.0
2023-03-19 17:03:58.495,OnTrack,-2767,4616,115,pos,0 days 00:00:07.777000,0 days 01:02:58.409000,1.0
