Date,Status,X,Y,Z,Source,Time,SessionTime,LapNumber
2023-03-19 17:03:50.835,OnTrack,-1558,944,117,pos,0 days 00:00:00.117000,0 days 01:02:50.749000,1.0
2023-03-19 17:03:50.995,OnTrack,-1558,944,117,pos,0 days 00:00:00.277000,0 days 01:02:50.909000,1.0
2023-03-19 17:03:51.155,OnTrack,-1558,944,117,pos,0 days 00:00:00.437000,0 days 01:02:51.069000,1.0
2023-03-19 17:03:51.515,OnTrack,-1560,950,117,pos,0 days 00:00:00.797000,0 days 01:02:51.429000,1.0
2023-03-19 17:03:51.835,OnTrack,-1562,956,117,pos,0 days 00:00:01.117000,0 days 01:02:51.749000,1.0
2023-03-19 17:03:52.095,OnTrack,-1567,969,117,pos,0 days 00:00:01.377000,0 days 01:02:52.009000,1.0
2023-03-19 17:03:52.294,OnTrack,-1572,982,117,pos,0 days 00:00:01.576000,0 days 01:02:52.208000,1.0
2023-03-19 17:03:52.514,OnTrack,-1581,1008,117,pos,0 days 00:00:01.796000,0 days 01:02:52.428000,1.0
2023-03-19 17:03:52.874,OnTrack,-1591,1034,117,pos,0 days 00:00:02.156000,0 days 01:02:52.788000,1.0
2023-03-19 17:03:53.034,OnTrack,-1598,1052,117,pos,0 days 00:00:02.316000,0 days 01:02:52.948000,1.0
2023-03-19 17:03:53.374,OnTrack,-1614,1097,117,pos,0 days 00:00:02.656000,0 days 01:02:53.288000,1.0
2023-03-19 17:03:53.594,OnTrack,-1626,1131,117,pos,0 days 00:00:02.876000,0 days 01:02:53.508000,1.0
2023-03-19 17:03:53.754,OnTrack,-1636,1157,117,pos,0 days 00:00:03.036000,0 days 01:02:53.668000,1.0
2023-03-19 17:03:53.975,OnTrack,-1652,1201,117,pos,0 days 00:00:03.257000,0 days 01:02:53.889000,1.0
2023-03-19 17:03:54.115,OnTrack,-1663,1230,117,pos,0 days 00:00:03.397000,0 days 01:02:54.029000,1.0
2023-03-19 17:03:54.355,OnTrack,-1683,1285,117,pos,0 days 00:00:03.637000,0 days 01:02:54.269000,1.0
2023-03-19 17:03:54.555,OnTrack,-1699,1329,117,pos,0 days 00:00:03.837000,0 days 01:02:54.469000,1.0
2023-03-19 17:03:54.855,OnTrack,-1729,1411,117,pos,0 days 00:00:04.137000,0 days 01:02:54.769000,1.0
2023-03-19 17:03:55.515,OnTrack,-1827,1680,117,pos,0 days 00:00:04.797000,0 days 01:02:55.429000,1.0
2023-03-19 17:03:55.955,OnTrack,-1876,1812,117,pos,0 days 00:00:05.237000,0 days 01:02:55.869000,1.0
2023-03-19 17:03:56.095,OnTrack,-1898,1873,117,pos,0 days 00:00:05.377000,0 days 01:02:56.009000,1.0
2023-03-19 17:03:56.355,OnTrack,-1942,1993,117,pos,0 days 00:00:05.637000,0 days 01:02:56.269000,1.0
2023-03-19 17:03:56.595,OnTrack,-1985,2109,117,pos,0 days 00:00:05.877000,0 days 01:02:56.509000,1.0
2023-03-19 17:03:56.775,OnTrack,-2037,2251,117,pos,0 days 00:00:06.057000,0 days 01:02:56.689000,1.0
2023-03-19 17:03:57.135,OnTrack,-2087,2389,117,pos,0 days 00:00:06.417000,0 days 01:02:57.049000,1.0
2023-03-19 17:03:57.295,OnTrack,-2119,2476,117,pos,0 days 00:00:06.577000,0 days 01:02:57.209000,1.0
2023-03-19 17:03:57.615,OnTrack,-2219,2779,117,pos,0 days 00:00:06.897000,0 days 01:02:57.529000,1.0
2023-03-19 17:03:58.075,OnTrack,-2272,2980,118,pos,0 days 00:00:07.357000,0 days 01:02:57.989000,1.0
2023-03-19 17:03:58.155,OnTrack,-2285,3031,118,pos,0 days 00:00:07.437000,0 days 01:02:58.069000,1.0
2023-03-19 17:03:58.495,OnTrack,-2345,3249,118,pos,0 days 00:00:07.777000,0 days 01:02:58.409000,1.0
2023-03-19 17:03:58.735,OnTrack,-2387,3406,118,pos,0 days 00:00:08.017000,0 days 01:02:58.649000,1.0
2023-03-19 17:03:58.954,OnTrack,-2429,3557,118,pos,0 days 00:00:08.236000,0 days 01:02:58.868000,1.0
2023-03-19 17:03:59.234,OnTrack,-2470,3707,118,pos,0 days 00:00:08.516000,0 days 01:02:59.148000,1.0
2023-03-19 17:03:59.414,OnTrack,-2496,3804,118,pos,0 days 00:00:08.696000,0 days 01:02:59.328000,1.0
