Date,Status,X,Y,Z,Source,Time,SessionTime,LapNumber
2023-04-02 05:03:18.734,OnTrack,-927,-1589,86,pos,0 days 00:00:00.049000,0 days 01:02:16.912000,1.0
2023-04-02 05:03:18.974,OnTrack,-927,-1589,86,pos,0 days 00:00:00.289000,0 days 01:02:17.152000,1.0
2023-04-02 05:03:19.314,OnTrack,-930,-1586,86,pos,0 days 00:00:00.629000,0 days 01:02:17.492000,1.0
2023-04-02 05:03:19.634,OnTrack,-937,-1579,86,pos,0 days 00:00:00.949000,0 days 01:02:17.812000,1.0
2023-04-02 05:03:19.794,OnTrack,-944,-1572,86,pos,0 days 00:00:01.109000,0 days 01:02:17.972000,1.0
2023-04-02 05:03:20.074,OnTrack,-961,-1557,86,pos,0 days 00:00:01.389000,0 days 01:02:18.252000,1.0
2023-04-02 05:03:20.254,OnTrack,-974,-1544,86,pos,0 days 00:00:01.569000,0 days 01:02:18.432000,1.0
2023-04-02 05:03:20.414,OnTrack,-988,-1531,86,pos,0 days 00:00:01.729000,0 days 01:02:18.592000,1.0
2023-04-02 05:03:20.734,OnTrack,-1048,-1474,86,pos,0 days 00:00:02.049000,0 days 01:02:18.912000,1.0
2023-04-02 05:03:20.934,OnTrack,-1072,-1451,85,pos,0 days 00:00:02.249000,0 days 01:02:19.112000,1.0
2023-04-02 05:03:21.114,OnTrack,-1098,-1427,85,pos,0 days 00:00:02.429000,0 days 01:02:19.292000,1.0
2023-04-02 05:03:21.374,OnTrack,-1156,-1371,85,pos,0 days 00:00:02.689000,0 days 01:02:19.552000,1.0
2023-04-02 05:03:21.815,OnTrack,-1225,-1305,85,pos,0 days 00:00:03.130000,0 days 01:02:19.993000,1.0
2023-04-02 05:03:22.435,OnTrack,-1367,-1170,84,pos,0 days 00:00:03.750000,0 days 01:02:20.613000,1.0
2023-04-02 05:03:22.635,OnTrack,-1423,-1118,83,pos,0 days 00:00:03.950000,0 days 01:02:20.813000,1.0
2023-04-02 05:03:22.875,OnTrack,-1494,-1050,82,pos,0 days 00:00:04.190000,0 days 01:02:21.053000,1.0
2023-04-02 05:03:23.035,OnTrack,-1545,-1001,82,pos,0 days 00:00:04.350000,0 days 01:02:21.213000,1.0
2023-04-02 05:03:23.315,OnTrack,-1640,-911,82,pos,0 days 00:00:04.630000,0 days 01:02:21.493000,1.0
2023-04-02 05:03:23.495,OnTrack,-1704,-850,81,pos,0 days 00:00:04.810000,0 days 01:02:21.673000,1.0
2023-04-02 05:03:23.695,OnTrack,-1777,-781,80,pos,0 days 00:00:05.010000,0 days 01:02:21.873000,1.0
2023-04-02 05:03:23.975,OnTrack,-1881,-682,80,pos,0 days 00:00:05.290000,0 days 01:02:22.153000,1.0
2023-04-02 05:03:24.195,OnTrack,-1963,-604,79,pos,0 days 00:00:05.510000,0 days 01:02:22.373000,1.0
2023-04-02 05:03:24.415,OnTrack,-2045,-526,78,pos,0 days 00:00:05.730000,0 days 01:02:22.593000,1.0
2023-04-02 05:03:24.595,OnTrack,-2166,-411,78,pos,0 days 00:00:05.910000,0 days 01:02:22.773000,1.0
2023-04-02 05:03:24.974,OnTrack,-2264,-317,77,pos,0 days 00:00:06.289000,0 days 01:02:23.152000,1.0
2023-04-02 05:03:25.094,OnTrack,-2317,-267,77,pos,0 days 00:00:06.409000,0 days 01:02:23.272000,1.0
2023-04-02 05:03:25.414,OnTrack,-2459,-132,76,pos,0 days 00:00:06.729000,0 days 01:02:23.592000,1.0
2023-04-02 05:03:25.614,OnTrack,-2551,-44,75,pos,0 days 00:00:06.929000,0 days 01:02:23.792000,1.0
2023-04-02 05:03:25.814,OnTrack,-2646,45,75,pos,0 days 00:00:07.129000,0 days 01:02:23.992000,1.0
2023-04-02 05:03:25.974,OnTrack,-2723,118,75,pos,0 days 00:00:07.289000,0 days 01:02:24.152000,1.0
2023-04-02 05:03:26.234,OnTrack,-2860,248,76,pos,0 days 00:00:07.549000,0 days 01:02:24.412000,1.0
2023-04-02 05:03:26.474,OnTrack,-2985,367,76,pos,0 days 00:00:07.789000,0 days 01:02:24.652000,1.0
2023-04-02 05:03:26.634,OnTrack,-3064,441,76,pos,0 days 00:00:07.949000,0 days 01:02:24.812000,1.0
