Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-10-29 20:03:18.370,10090,0,1,17,False,1,car,0 days 00:00:00.048000,0 days 01:02:18.289000,0.0,1.0
2023-10-29 20:03:18.570,10059,0,1,17,False,1,car,0 days 00:00:00.248000,0 days 01:02:18.489000,0.0,1.0
2023-10-29 20:03:18.770,8799,0,1,18,False,1,car,0 days 00:00:00.448000,0 days 01:02:18.689000,0.0,1.0
2023-10-29 20:03:18.930,7838,5,1,17,False,1,car,0 days 00:00:00.608000,0 days 01:02:18.849000,0.22222222222222218,1.0
2023-10-29 20:03:19.170,6158,16,1,17,False,1,car,0 days 00:00:00.848000,0 days 01:02:19.089000,1.2888888888888888,1.0
2023-10-29 20:03:19.410,4825,22,1,20,False,1,car,0 days 00:00:01.088000,0 days 01:02:19.329000,2.755555555555556,1.0
2023-10-29 20:03:19.610,4808,29,1,21,False,1,car,0 days 00:00:01.288000,0 days 01:02:19.529000,4.366666666666667,1.0
2023-10-29 20:03:20.050,4940,42,1,32,False,1,car,0 days 00:00:01.728000,0 days 01:02:19.969000,9.5,1.0
2023-10-29 20:03:20.450,7071,57,1,44,False,1,car,0 days 00:00:02.128000,0 days 01:02:20.369000,15.833333333333336,1.0
2023-10-29 20:03:20.690,7700,65,1,51,False,1,car,0 days 00:00:02.368000,0 days 01:02:20.609000,20.166666666666664,1.0
2023-10-29 20:03:21.090,10112,85,1,64,False,1,car,0 days 00:00:02.768000,0 days 01:02:21.009000,29.611111111111107,1.0
2023-10-29 20:03:21.450,9928,98,1,75,False,1,car,0 days 00:00:03.128000,0 days 01:02:21.369000,39.41111111111111,1.0
2023-10-29 20:03:21.850,11144,115,2,100,False,1,car,0 days 00:00:03.528000,0 days 01:02:21.769000,52.18888888888888,1.0
2023-10-29 20:03:22.051,12005,125,2,100,False,1,car,0 days 00:00:03.729000,0 days 01:02:21.970000,59.168055555555554,1.0
2023-10-29 20:03:22.291,11305,139,2,100,False,1,car,0 days 00:00:03.969000,0 days 01:02:22.210000,68.4347222222222,1.0
2023-10-29 20:03:22.451,11045,139,2,100,False,1,car,0 days 00:00:04.129000,0 days 01:02:22.370000,74.61249999999997,1.0
2023-10-29 20:03:22.691,11636,158,3,100,False,1,car,0 days 00:00:04.369000,0 days 01:02:22.610000,85.14583333333331,1.0
2023-10-29 20:03:23.131,10887,174,4,100,False,1,car,0 days 00:00:04.809000,0 days 01:02:23.050000,106.4125,1.0
2023-10-29 20:03:23.531,11704,190,4,100,False,1,car,0 days 00:00:05.209000,0 days 01:02:23.450000,127.52361111111108,1.0
2023-10-29 20:03:23.810,11118,200,4,100,False,1,car,0 days 00:00:05.488000,0 days 01:02:23.729000,143.02361111111114,1.0
2023-10-29 20:03:24.170,10654,212,5,100,False,1,car,0 days 00:00:05.848000,0 days 01:02:24.089000,164.2236111111111,1.0
2023-10-29 20:03:24.450,11356,218,5,100,False,1,car,0 days 00:00:06.128000,0 days 01:02:24.369000,181.17916666666667,1.0
2023-10-29 20:03:24.770,11662,227,5,100,False,1,car,0 days 00:00:06.448000,0 days 01:02:24.689000,201.35694444444448,1.0
2023-10-29 20:03:25.130,11476,234,5,100,False,1,car,0 days 00:00:06.808000,0 days 01:02:25.049000,224.75694444444446,1.0
2023-10-29 20:03:25.410,11020,239,6,100,False,1,car,0 days 00:00:07.088000,0 days 01:02:25.329000,243.34583333333336,1.0
2023-10-29 20:03:25.650,10931,244,6,100,False,1,car,0 days 00:00:07.328000,0 days 01:02:25.569000,259.61250000000007,1.0
2023-10-29 20:03:26.010,11384,254,6,100,False,1,car,0 days 00:00:07.688000,0 days 01:02:25.929000,285.01250000000005,1.0
2023-10-29 20:03:26.330,11530,264,6,100,False,1,car,0 days 00:00:08.008000,0 days 01:02:26.249000,308.4791666666667,1.0
2023-10-29 20:03:26.530,10727,267,7,100,False,1,car,0 days 00:00:08.208000,0 days 01:02:26.449000,323.3125000000001,1.0
2023-10-29 20:03:26.810,10819,273,7,100,False,1,car,0 days 00:00:08.488000,0 days 01:02:26.729000,344.5458333333334,1.0
2023-10-29 20:03:26.970,10999,276,7,100,False,1,car,0 days 00:00:08.648000,0 days 01:02:26.889000,356.81250000000006,1.0
2023-10-29 20:03:27.250,11144,276,7,100,False,1,car,0 days 00:00:08.928000,0 days 01:02:27.169000,378.2791666666668,1.0
2023-10-29 20:03:27.650,11350,285,7,100,False,1,car,0 days 00:00:09.328000,0 days 01:02:27.569000,409.9458333333334,1.0
