Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-10-29 20:03:18.370,8957,0,1,18,True,1,car,0 days 00:00:00.048000,0 days 01:02:18.289000,0.0,1.0
2023-10-29 20:03:18.570,8996,0,1,21,True,1,car,0 days 00:00:00.248000,0 days 01:02:18.489000,0.0,1.0
2023-10-29 20:03:18.770,8896,0,1,21,True,1,car,0 days 00:00:00.448000,0 days 01:02:18.689000,0.0,1.0
2023-10-29 20:03:18.930,8924,0,1,21,True,1,car,0 days 00:00:00.608000,0 days 01:02:18.849000,0.0,1.0
2023-10-29 20:03:19.170,8968,0,1,21,True,1,car,0 days 00:00:00.848000,0 days 01:02:19.089000,0.0,1.0
2023-10-29 20:03:19.410,8985,0,1,21,True,1,car,0 days 00:00:01.088000,0 days 01:02:19.329000,0.0,1.0
2023-10-29 20:03:19.610,8975,0,1,22,True,1,car,0 days 00:00:01.288000,0 days 01:02:19.529000,0.0,1.0
2023-10-29 20:03:20.050,9030,0,1,22,True,1,car,0 days 00:00:01.728000,0 days 01:02:19.969000,0.0,1.0
2023-10-29 20:03:20.450,8706,0,1,12,True,1,car,0 days 00:00:02.128000,0 days 01:02:20.369000,0.0,1.0
2023-10-29 20:03:20.690,7026,0,1,0,True,1,car,0 days 00:00:02.368000,0 days 01:02:20.609000,0.0,1.0
2023-10-29 20:03:21.090,4456,0,1,0,True,1,car,0 days 00:00:02.768000,0 days 01:02:21.009000,0.0,1.0
2023-10-29 20:03:21.450,4334,0,1,0,True,1,car,0 days 00:00:03.128000,0 days 01:02:21.369000,0.0,1.0
2023-10-29 20:03:21.850,5159,0,1,16,True,1,car,0 days 00:00:03.528000,0 days 01:02:21.769000,0.0,1.0
2023-10-29 20:03:22.051,6559,0,1,19,True,1,car,0 days 00:00:03.729000,0 days 01:02:21.970000,0.0,1.0
2023-10-29 20:03:22.291,8239,0,1,19,True,1,car,0 days 00:00:03.969000,0 days 01:02:22.210000,0.0,1.0
2023-10-29 20:03:22.451,9123,0,1,19,True,1,car,0 days 00:00:04.129000,0 days 01:02:22.370000,0.0,1.0
2023-10-29 20:03:22.691,9144,0,1,19,True,1,car,0 days 00:00:04.369000,0 days 01:02:22.610000,0.0,1.0
2023-10-29 20:03:23.131,8985,0,1,15,True,1,car,0 days 00:00:04.809000,0 days 01:02:23.050000,0.0,1.0
2023-10-29 20:03:23.531,10143,0,1,28,True,1,car,0 days 00:00:05.209000,0 days 01:02:23.450000,0.0,1.0
2023-10-29 20:03:23.810,10314,0,1,25,True,1,car,0 days 00:00:05.488000,0 days 01:02:23.729000,0.0,1.0
2023-10-29 20:03:24.170,9983,0,1,24,True,1,car,0 days 00:00:05.848000,0 days 01:02:24.089000,0.0,1.0
2023-10-29 20:03:24.450,9845,0,1,23,True,1,car,0 days 00:00:06.128000,0 days 01:02:24.369000,0.0,1.0
2023-10-29 20:03:24.770,9865,0,1,24,True,1,car,0 days 00:00:06.448000,0 days 01:02:24.689000,0.0,1.0
2023-10-29 20:03:25.130,9909,0,1,24,True,1,car,0 days 00:00:06.808000,0 days 01:02:25.049000,0.0,1.0
2023-10-29 20:03:25.410,9884,0,1,24,True,1,car,0 days 00:00:07.088000,0 days 01:02:25.329000,0.0,1.0
2023-10-29 20:03:25.650,9856,0,1,24,True,1,car,0 days 00:00:07.328000,0 days 01:02:25.569000,0.0,1.0
2023-10-29 20:03:26.010,7756,7,1,28,False,1,car,0 days 00:00:07.688000,0 days 01:02:25.929000,0.6999999999999988,1.0
2023-10-29 20:03:26.330,5516,12,1,27,False,1,car,0 days 00:00:08.008000,0 days 01:02:26.249000,1.7666666666666635,1.0
2023-10-29 20:03:26.530,5147,21,1,27,False,1,car,0 days 00:00:08.208000,0 days 01:02:26.449000,2.9333333333333362,1.0
2023-10-29 20:03:26.810,6428,28,1,31,False,1,car,0 days 00:00:08.488000,0 days 01:02:26.729000,5.111111111111109,1.0
2023-10-29 20:03:26.970,5583,28,1,25,False,1,car,0 days 00:00:08.648000,0 days 01:02:26.889000,6.355555555555554,1.0
2023-10-29 20:03:27.250,5739,39,1,37,False,1,car,0 days 00:00:08.928000,0 days 01:02:27.169000,9.3888888888889,1.0
2023-10-29 20:03:27.650,6970,48,1,35,False,1,car,0 days 00:00:09.328000,0 days 01:02:27.569000,14.722222222222214,1.0
2023-10-29 20:03:28.010,7431,63,1,41,False,1,car,0 days 00:00:09.688000,0 days 01:02:27.929000,21.022222222222236,1.0
2023-10-29 20:03:28.210,7863,66,1,42,False,1,car,0 days 00:00:09.888000,0 days 01:02:28.129000,24.68888888888889,1.0
2023-10-29 20:03:28.410,8904,76,1,49,False,1,car,0 days 00:00:10.088000,0 days 01:02:28.329000,28.911111111111097,1.0
2023-10-29 20:03:28.570,9555,80,1,54,False,1,car,0 days 00:00:10.248000,0 days 01:02:28.489000,32.466666666666654,1.0
2023-10-29 20:03:28.731,10015,87,1,54,False,1,car,0 days 00:00:10.409000,0 days 01:02:28.650000,36.35750000000002,1.0
2023-10-29 20:03:29.091,11602,98,1,58,False,1,car,0 days 00:00:10.769000,0 days 01:02:29.010000,46.157500000000006,1.0
2023-10-29 20:03:29.251,10622,107,1,60,False,1,car,0 days 00:00:10.929000,0 days 01:02:29.170000,50.913055555555566,1.0
2023-10-29 20:03:29.451,10012,114,2,62,False,1,car,0 days 00:00:11.129000,0 days 01:02:29.370000,57.24638888888887,1.0
2023-10-29 20:03:29.731,10375,122,2,69,False,1,car,0 days 00:00:11.409000,0 days 01:02:29.650000,66.7352777777778,1.0
2023-10-29 20:03:29.931,10030,135,2,77,False,1,car,0 days 00:00:11.609000,0 days 01:02:29.850000,74.23527777777777,1.0
2023-10-29 20:03:30.131,10680,144,3,78,False,1,car,0 days 00:00:11.809000,0 days 01:02:30.050000,82.23527777777774,1.0
2023-10-29 20:03:30.530,10848,157,3,100,False,1,car,0 days 00:00:12.208000,0 days 01:02:30.449000,99.6361111111111,1.0
2023-10-29 20:03:30.730,10730,166,3,100,False,1,car,0 days 00:00:12.408000,0 days 01:02:30.649000,108.85833333333329,1.0
2023-10-29 20:03:31.130,11411,182,4,100,False,1,car,0 days 00:00:12.808000,0 days 01:02:31.049000,129.08055555555552,1.0
2023-10-29 20:03:31.410,10472,189,4,99,False,1,car,0 days 00:00:13.088000,0 days 01:02:31.329000,143.78055555555548,1.0
2023-10-29 20:03:31.770,11166,203,5,99,False,1,car,0 days 00:00:13.448000,0 days 01:02:31.689000,164.08055555555555,1.0
2023-10-29 20:03:32.090,11713,212,5,99,False,1,car,0 days 00:00:13.768000,0 days 01:02:32.009000,182.925,1.0
2023-10-29 20:03:32.330,10521,223,5,99,False,1,car,0 days 00:00:14.008000,0 days 01:02:32.249000,197.79166666666657,1.0
2023-10-29 20:03:32.730,11048,231,6,99,False,1,car,0 days 00:00:14.408000,0 days 01:02:32.649000,223.45833333333326,1.0
2023-10-29 20:03:32.890,11146,233,6,99,False,1,car,0 days 00:00:14.568000,0 days 01:02:32.809000,233.8138888888888,1.0
2023-10-29 20:03:33.290,11536,240,6,99,False,1,car,0 days 00:00:14.968000,0 days 01:02:33.209000,260.4805555555555,1.0
2023-10-29 20:03:33.490,11111,249,6,99,False,1,car,0 days 00:00:15.168000,0 days 01:02:33.409000,274.31388888888875,1.0
2023-10-29 20:03:33.770,10657,255,7,100,False,1,car,0 days 00:00:15.448000,0 days 01:02:33.689000,294.1472222222222,1.0
2023-10-29 20:03:33.930,10714,256,7,100,False,1,car,0 days 00:00:15.608000,0 days 01:02:33.849000,305.525,1.0
2023-10-29 20:03:34.170,10898,262,7,99,False,1,car,0 days 00:00:15.848000,0 days 01:02:34.089000,322.9916666666667,1.0
2023-10-29 20:03:34.330,10999,263,7,100,False,1,car,0 days 00:00:16.008000,0 days 01:02:34.249000,334.68055555555543,1.0
2023-10-29 20:03:34.690,11210,270,7,99,False,1,car,0 days 00:00:16.368000,0 days 01:02:34.609000,361.6805555555554,1.0
2023-10-29 20:03:35.010,11341,275,7,100,False,1,car,0 days 00:00:16.688000,0 days 01:02:34.929000,386.12499999999983,1.0
2023-10-29 20:03:35.331,11644,279,7,99,False,1,car,0 days 00:00:17.009000,0 days 01:02:35.250000,411.00249999999994,1.0
2023-10-29 20:03:35.571,11694,282,7,99,False,1,car,0 days 00:00:17.249000,0 days 01:02:35.490000,429.80249999999984,1.0
2023-10-29 20:03:35.731,11835,285,7,100,False,1,car,0 days 00:00:17.409000,0 days 01:02:35.650000,442.4691666666665,1.0
2023-10-29 20:03:36.051,11984,289,7,99,False,1,car,0 days 00:00:17.729000,0 days 01:02:35.970000,468.15805555555545,1.0
2023-10-29 20:03:36.251,11727,290,7,99,False,1,car,0 days 00:00:17.929000,0 days 01:02:36.170000,484.2691666666665,1.0
2023-10-29 20:03:36.571,10785,293,8,100,False,1,car,0 days 00:00:18.249000,0 days 01:02:36.490000,510.31361111111096,1.0
2023-10-29 20:03:36.811,10785,295,8,100,False,1,car,0 days 00:00:18.489000,0 days 01:02:36.730000,529.9802777777778,1.0
2023-10-29 20:03:37.091,10931,297,8,99,False,1,car,0 days 00:00:18.769000,0 days 01:02:37.010000,553.0802777777776,1.0
2023-10-29 20:03:37.370,11084,300,8,99,False,1,car,0 days 00:00:19.048000,0 days 01:02:37.289000,576.3302777777776,1.0
2023-10-29 20:03:37.530,11134,301,8,99,False,1,car,0 days 00:00:19.208000,0 days 01:02:37.449000,589.7080555555553,1.0
2023-10-29 20:03:37.810,11019,301,8,0,False,1,car,0 days 00:00:19.488000,0 days 01:02:37.729000,613.1191666666665,1.0
2023-10-29 20:03:38.050,10781,295,8,0,False,1,car,0 days 00:00:19.728000,0 days 01:02:37.969000,632.7858333333334,1.0
2023-10-29 20:03:38.410,10508,286,8,0,False,1,car,0 days 00:00:20.088000,0 days 01:02:38.329000,661.3858333333333,1.0
2023-10-29 20:03:38.570,10280,286,8,0,True,1,car,0 days 00:00:20.248000,0 days 01:02:38.489000,674.0969444444444,1.0
2023-10-29 20:03:38.930,9792,272,8,0,True,1,car,0 days 00:00:20.608000,0 days 01:02:38.849000,701.2969444444443,1.0
