Date,Status,X,Y,Z,Source,Time,SessionTime,LapNumber
2023-05-28 13:03:04.095,OnTrack,-7629,-7065,503,pos,0 days 00:00:00.168000,0 days 01:02:03.118000,1.0
2023-05-28 13:03:04.534,OnTrack,-7629,-7064,503,pos,0 days 00:00:00.607000,0 days 01:02:03.557000,1.0
2023-05-28 13:03:04.774,OnTrack,-7630,-7058,503,pos,0 days 00:00:00.847000,0 days 01:02:03.797000,1.0
2023-05-28 13:03:05.014,OnTrack,-7631,-7047,503,pos,0 days 00:00:01.087000,0 days 01:02:04.037000,1.0
2023-05-28 13:03:05.174,OnTrack,-7632,-7037,503,pos,0 days 00:00:01.247000,0 days 01:02:04.197000,1.0
2023-05-28 13:03:05.414,OnTrack,-7633,-7017,503,pos,0 days 00:00:01.487000,0 days 01:02:04.437000,1.0
2023-05-28 13:03:05.634,OnTrack,-7637,-6981,502,pos,0 days 00:00:01.707000,0 days 01:02:04.657000,1.0
2023-05-28 13:03:05.975,OnTrack,-7639,-6949,502,pos,0 days 00:00:02.048000,0 days 01:02:04.998000,1.0
2023-05-28 13:03:06.255,OnTrack,-7643,-6905,502,pos,0 days 00:00:02.328000,0 days 01:02:05.278000,1.0
2023-05-28 13:03:06.455,OnTrack,-7647,-6845,502,pos,0 days 00:00:02.528000,0 days 01:02:05.478000,1.0
2023-05-28 13:03:06.875,OnTrack,-7654,-6746,502,pos,0 days 00:00:02.948000,0 days 01:02:05.898000,1.0
2023-05-28 13:03:07.235,OnTrack,-7659,-6666,502,pos,0 days 00:00:03.308000,0 days 01:02:06.258000,1.0
2023-05-28 13:03:07.555,OnTrack,-7663,-6596,502,pos,0 days 00:00:03.628000,0 days 01:02:06.578000,1.0
2023-05-28 13:03:07.875,OnTrack,-7670,-6491,502,pos,0 days 00:00:03.948000,0 days 01:02:06.898000,1.0
2023-05-28 13:03:08.095,OnTrack,-7674,-6413,503,pos,0 days 00:00:04.168000,0 days 01:02:07.118000,1.0
2023-05-28 13:03:08.275,OnTrack,-7681,-6288,503,pos,0 days 00:00:04.348000,0 days 01:02:07.298000,1.0
2023-05-28 13:03:08.655,OnTrack,-7676,-6140,503,pos,0 days 00:00:04.728000,0 days 01:02:07.678000,1.0
2023-05-28 13:03:09.015,OnTrack,-7670,-6019,503,pos,0 days 00:00:05.088000,0 days 01:02:08.038000,1.0
2023-05-28 13:03:09.215,OnTrack,-7663,-5923,503,pos,0 days 00:00:05.288000,0 days 01:02:08.238000,1.0
2023-05-28 13:03:09.435,OnTrack,-7650,-5763,503,pos,0 days 00:00:05.508000,0 days 01:02:08.458000,1.0
2023-05-28 13:03:09.855,OnTrack,-7633,-5622,506,pos,0 days 00:00:05.928000,0 days 01:02:08.878000,1.0
