Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-09-03 13:23:22.779,10991,0,1,29,False,1,car,0 days 00:00:00.008000,0 days 01:22:21.734000,0.0,1.0
2023-09-03 13:23:22.939,11002,0,1,29,False,1,car,0 days 00:00:00.168000,0 days 01:22:21.894000,0.0,1.0
2023-09-03 13:23:23.259,10513,5,1,29,False,1,car,0 days 00:00:00.488000,0 days 01:22:22.214000,0.44444444444444436,1.0
2023-09-03 13:23:23.539,9533,14,1,25,False,1,car,0 days 00:00:00.768000,0 days 01:22:22.494000,1.5333333333333334,1.0
2023-09-03 13:23:23.819,7573,20,1,25,False,1,car,0 days 00:00:01.048000,0 days 01:22:22.774000,3.088888888888889,1.0
2023-09-03 13:23:24.019,6173,26,1,26,False,1,car,0 days 00:00:01.248000,0 days 01:22:22.974000,4.533333333333333,1.0
2023-09-03 13:23:24.299,4898,35,1,32,False,1,car,0 days 00:00:01.528000,0 days 01:22:23.254000,7.2555555555555555,1.0
2023-09-03 13:23:24.539,4969,46,1,32,False,1,car,0 days 00:00:01.768000,0 days 01:22:23.494000,10.322222222222223,1.0
2023-09-03 13:23:24.739,5670,53,1,42,False,1,car,0 days 00:00:01.968000,0 days 01:22:23.694000,13.266666666666666,1.0
2023-09-03 13:23:25.019,7070,62,1,50,False,1,car,0 days 00:00:02.248000,0 days 01:22:23.974000,18.088888888888892,1.0
2023-09-03 13:23:25.459,9860,83,1,61,False,1,car,0 days 00:00:02.688000,0 days 01:22:24.414000,28.233333333333334,1.0
2023-09-03 13:23:25.779,10669,92,1,69,False,1,car,0 days 00:00:03.008000,0 days 01:22:24.734000,36.41111111111111,1.0
2023-09-03 13:23:26.019,9688,105,2,75,False,1,car,0 days 00:00:03.248000,0 days 01:22:24.974000,43.41111111111112,1.0
2023-09-03 13:23:26.299,10446,120,2,79,False,1,car,0 days 00:00:03.528000,0 days 01:22:25.254000,52.74444444444445,1.0
2023-09-03 13:23:26.459,10241,129,2,79,False,1,car,0 days 00:00:03.688000,0 days 01:22:25.414000,58.47777777777779,1.0
2023-09-03 13:23:26.699,10705,134,3,100,False,1,car,0 days 00:00:03.928000,0 days 01:22:25.654000,67.41111111111111,1.0
2023-09-03 13:23:26.939,11268,155,3,100,False,1,car,0 days 00:00:04.168000,0 days 01:22:25.894000,77.74444444444445,1.0
2023-09-03 13:23:27.298,10597,168,4,100,False,1,car,0 days 00:00:04.527000,0 days 01:22:26.253000,94.49777777777778,1.0
2023-09-03 13:23:27.658,11596,185,4,100,False,1,car,0 days 00:00:04.887000,0 days 01:22:26.613000,112.99777777777776,1.0
2023-09-03 13:23:27.818,11939,188,4,100,False,1,car,0 days 00:00:05.047000,0 days 01:22:26.773000,121.35333333333332,1.0
2023-09-03 13:23:27.979,10819,196,4,100,False,1,car,0 days 00:00:05.208000,0 days 01:22:26.934000,130.1188888888889,1.0
2023-09-03 13:23:28.219,10843,196,5,100,False,1,car,0 days 00:00:05.448000,0 days 01:22:27.174000,143.1855555555556,1.0
2023-09-03 13:23:28.419,11098,206,5,100,False,1,car,0 days 00:00:05.648000,0 days 01:22:27.374000,154.63,1.0
2023-09-03 13:23:28.659,11453,215,5,100,False,1,car,0 days 00:00:05.888000,0 days 01:22:27.614000,168.96333333333334,1.0
2023-09-03 13:23:28.939,11449,223,5,100,False,1,car,0 days 00:00:06.168000,0 days 01:22:27.894000,186.3077777777778,1.0
2023-09-03 13:23:29.379,10683,233,6,100,False,1,car,0 days 00:00:06.608000,0 days 01:22:28.334000,214.78555555555553,1.0
2023-09-03 13:23:29.699,11119,242,6,100,False,1,car,0 days 00:00:06.928000,0 days 01:22:28.654000,236.29666666666665,1.0
2023-09-03 13:23:29.899,11313,243,6,100,False,1,car,0 days 00:00:07.128000,0 days 01:22:28.854000,249.79666666666665,1.0
2023-09-03 13:23:30.219,11671,251,6,100,False,1,car,0 days 00:00:07.448000,0 days 01:22:29.174000,272.10777777777776,1.0
2023-09-03 13:23:30.659,10619,265,7,100,False,1,car,0 days 00:00:07.888000,0 days 01:22:29.614000,304.4966666666666,1.0
2023-09-03 13:23:30.819,10988,269,7,100,False,1,car,0 days 00:00:08.048000,0 days 01:22:29.774000,316.4522222222222,1.0
2023-09-03 13:23:31.299,11255,279,7,100,False,1,car,0 days 00:00:08.528000,0 days 01:22:30.254000,353.65222222222224,1.0
2023-09-03 13:23:31.579,11489,285,7,100,False,1,car,0 days 00:00:08.808000,0 days 01:22:30.534000,375.81888888888886,1.0
2023-09-03 13:23:31.779,11653,289,7,100,False,1,car,0 days 00:00:09.008000,0 days 01:22:30.734000,391.87444444444435,1.0
2023-09-03 13:23:32.099,11159,292,7,100,False,1,car,0 days 00:00:09.328000,0 days 01:22:31.054000,417.8299999999999,1.0
2023-09-03 13:23:32.299,10438,297,8,100,False,1,car,0 days 00:00:09.528000,0 days 01:22:31.254000,434.33000000000004,1.0
2023-09-03 13:23:32.579,10790,301,8,100,False,1,car,0 days 00:00:09.808000,0 days 01:22:31.534000,457.7411111111111,1.0
2023-09-03 13:23:32.779,10516,295,8,100,True,1,car,0 days 00:00:10.008000,0 days 01:22:31.734000,474.1299999999999,1.0
2023-09-03 13:23:33.019,9793,281,8,0,True,1,car,0 days 00:00:10.248000,0 days 01:22:31.974000,492.86333333333323,1.0
2023-09-03 13:23:33.219,9770,277,8,0,True,1,car,0 days 00:00:10.448000,0 days 01:22:32.174000,508.2522222222222,1.0
2023-09-03 13:23:33.499,9594,272,8,0,False,1,car,0 days 00:00:10.728000,0 days 01:22:32.454000,529.4077777777777,1.0
2023-09-03 13:23:33.659,9770,271,8,49,False,1,car,0 days 00:00:10.888000,0 days 01:22:32.614000,541.4522222222222,1.0
