Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-03-05 15:03:38.611,10339,0,1,32,False,1,car,0 days 00:00:00.110000,0 days 01:02:36.762000,0.0,1.0
2023-03-05 15:03:38.811,10059,0,1,34,False,1,car,0 days 00:00:00.310000,0 days 01:02:36.962000,0.0,1.0
2023-03-05 15:03:39.091,8532,9,1,35,False,1,car,0 days 00:00:00.590000,0 days 01:02:37.242000,0.7,1.0
2023-03-05 15:03:39.451,6012,18,1,35,False,1,car,0 days 00:00:00.950000,0 days 01:02:37.602000,2.5,1.0
2023-03-05 15:03:39.691,4612,25,1,36,False,1,car,0 days 00:00:01.190000,0 days 01:02:37.842000,4.166666666666667,1.0
2023-03-05 15:03:39.851,4181,28,1,36,False,1,car,0 days 00:00:01.350000,0 days 01:02:38.002000,5.411111111111112,1.0
2023-03-05 15:03:40.051,5167,35,1,41,False,1,car,0 days 00:00:01.550000,0 days 01:02:38.202000,7.355555555555556,1.0
2023-03-05 15:03:40.331,6113,50,1,46,False,1,car,0 days 00:00:01.830000,0 days 01:02:38.482000,11.244444444444445,1.0
2023-03-05 15:03:40.491,6953,58,1,48,False,1,car,0 days 00:00:01.990000,0 days 01:02:38.642000,13.822222222222223,1.0
2023-03-05 15:03:40.691,7807,66,1,54,False,1,car,0 days 00:00:02.190000,0 days 01:02:38.842000,17.488888888888887,1.0
2023-03-05 15:03:41.011,9091,77,1,53,False,1,car,0 days 00:00:02.510000,0 days 01:02:39.162000,24.33333333333333,1.0
2023-03-05 15:03:41.251,10248,80,1,61,False,1,car,0 days 00:00:02.750000,0 days 01:02:39.402000,29.666666666666664,1.0
2023-03-05 15:03:41.411,11059,84,1,64,False,1,car,0 days 00:00:02.910000,0 days 01:02:39.562000,33.4,1.0
2023-03-05 15:03:41.651,9799,100,1,70,False,1,car,0 days 00:00:03.150000,0 days 01:02:39.802000,40.06666666666666,1.0
2023-03-05 15:03:41.971,10244,112,2,74,False,1,car,0 days 00:00:03.470000,0 days 01:02:40.122000,50.022222222222226,1.0
2023-03-05 15:03:42.131,11032,121,2,80,False,1,car,0 days 00:00:03.630000,0 days 01:02:40.282000,55.39999999999999,1.0
2023-03-05 15:03:42.291,11590,126,2,84,False,1,car,0 days 00:00:03.790000,0 days 01:02:40.442000,61.0,1.0
2023-03-05 15:03:42.530,10917,136,2,99,False,1,car,0 days 00:00:04.029000,0 days 01:02:40.681000,70.02888888888889,1.0
2023-03-05 15:03:42.771,11591,156,3,99,False,1,car,0 days 00:00:04.270000,0 days 01:02:40.922000,80.4722222222222,1.0
2023-03-05 15:03:43.131,10752,169,3,99,False,1,car,0 days 00:00:04.630000,0 days 01:02:41.282000,97.3722222222222,1.0
2023-03-05 15:03:43.331,11309,174,4,99,False,1,car,0 days 00:00:04.830000,0 days 01:02:41.482000,107.03888888888888,1.0
2023-03-05 15:03:43.571,11490,188,4,99,False,1,car,0 days 00:00:05.070000,0 days 01:02:41.722000,119.57222222222222,1.0
2023-03-05 15:03:43.851,11701,192,4,99,False,1,car,0 days 00:00:05.350000,0 days 01:02:42.002000,134.50555555555553,1.0
2023-03-05 15:03:44.051,10886,195,4,99,False,1,car,0 days 00:00:05.550000,0 days 01:02:42.202000,145.33888888888887,1.0
2023-03-05 15:03:44.531,11494,210,5,99,False,1,car,0 days 00:00:06.030000,0 days 01:02:42.682000,173.3388888888889,1.0
2023-03-05 15:03:44.691,11596,210,5,99,False,1,car,0 days 00:00:06.190000,0 days 01:02:42.842000,182.67222222222225,1.0
2023-03-05 15:03:45.011,11959,227,5,99,False,1,car,0 days 00:00:06.510000,0 days 01:02:43.162000,202.85,1.0
2023-03-05 15:03:45.291,10709,230,6,99,False,1,car,0 days 00:00:06.790000,0 days 01:02:43.442000,220.7388888888889,1.0
2023-03-05 15:03:45.651,10925,236,6,100,True,1,car,0 days 00:00:07.150000,0 days 01:02:43.802000,244.33888888888893,1.0
2023-03-05 15:03:45.971,11173,243,6,99,False,1,car,0 days 00:00:07.470000,0 days 01:02:44.122000,265.93888888888887,1.0
2023-03-05 15:03:46.371,11068,244,6,51,False,1,car,0 days 00:00:07.870000,0 days 01:02:44.522000,293.05,1.0
2023-03-05 15:03:46.611,10617,236,6,70,False,1,car,0 days 00:00:08.110000,0 days 01:02:44.762000,308.7833333333333,1.0
2023-03-05 15:03:47.011,10936,235,6,83,False,1,car,0 days 00:00:08.510000,0 days 01:02:45.162000,334.89444444444445,1.0
2023-03-05 15:03:47.171,10516,237,6,74,True,1,car,0 days 00:00:08.670000,0 days 01:02:45.322000,345.4277777777778,1.0
2023-03-05 15:03:47.451,10615,235,6,19,False,1,car,0 days 00:00:08.950000,0 days 01:02:45.602000,363.7055555555555,1.0
2023-03-05 15:03:47.611,10425,231,6,61,False,1,car,0 days 00:00:09.110000,0 days 01:02:45.762000,373.9722222222222,1.0
2023-03-05 15:03:48.011,10274,228,6,65,True,1,car,0 days 00:00:09.510000,0 days 01:02:46.162000,399.30555555555554,1.0
2023-03-05 15:03:48.211,9976,222,6,1,True,1,car,0 days 00:00:09.710000,0 days 01:02:46.362000,411.6388888888889,1.0
2023-03-05 15:03:48.451,9739,216,6,0,True,1,car,0 days 00:00:09.950000,0 days 01:02:46.602000,426.03888888888883,1.0
2023-03-05 15:03:48.691,8899,196,6,0,True,1,car,0 days 00:00:10.190000,0 days 01:02:46.842000,439.1055555555555,1.0
2023-03-05 15:03:48.891,9958,171,6,0,True,1,car,0 days 00:00:10.390000,0 days 01:02:47.042000,448.60555555555555,1.0
2023-03-05 15:03:49.331,10386,151,6,0,True,1,car,0 days 00:00:10.830000,0 days 01:02:47.482000,467.0611111111111,1.0
2023-03-05 15:03:49.611,9782,133,3,0,True,1,car,0 days 00:00:11.110000,0 days 01:02:47.762000,477.4055555555555,1.0
2023-03-05 15:03:49.811,10132,119,3,0,True,1,car,0 days 00:00:11.310000,0 days 01:02:47.962000,484.01666666666665,1.0
2023-03-05 15:03:50.011,9225,109,2,0,True,1,car,0 days 00:00:11.510000,0 days 01:02:48.162000,490.0722222222222,1.0
