Date,Status,X,Y,Z,Source,Time,SessionTime,LapNumber
2023-07-09 14:03:09.814,OnTrack,-1090,2088,1972,pos,0 days 00:00:00.047000,0 days 01:02:08.778000,1.0
2023-07-09 14:03:09.974,OnTrack,-1090,2088,1972,pos,0 days 00:00:00.207000,0 days 01:02:08.938000,1.0
2023-07-09 14:03:10.154,OnTrack,-1090,2088,1972,pos,0 days 00:00:00.387000,0 days 01:02:09.118000,1.0
2023-07-09 14:03:10.354,OnTrack,-1089,2089,1972,pos,0 days 00:00:00.587000,0 days 01:02:09.318000,1.0
2023-07-09 14:03:10.614,OnTrack,-1083,2097,1972,pos,0 days 00:00:00.847000,0 days 01:02:09.578000,1.0
2023-07-09 14:03:10.914,OnTrack,-1070,2115,1972,pos,0 days 00:00:01.147000,0 days 01:02:09.878000,1.0
2023-07-09 14:03:11.253,OnTrack,-1055,2136,1973,pos,0 days 00:00:01.486000,0 days 01:02:10.217000,1.0
2023-07-09 14:03:11.533,OnTrack,-1023,2179,1973,pos,0 days 00:00:01.766000,0 days 01:02:10.497000,1.0
2023-07-09 14:03:11.893,OnTrack,-1005,2205,1973,pos,0 days 00:00:02.126000,0 days 01:02:10.857000,1.0
2023-07-09 14:03:12.053,OnTrack,-988,2228,1974,pos,0 days 00:00:02.286000,0 days 01:02:11.017000,1.0
2023-07-09 14:03:12.353,OnTrack,-952,2276,1974,pos,0 days 00:00:02.586000,0 days 01:02:11.317000,1.0
2023-07-09 14:03:12.593,OnTrack,-903,2345,1976,pos,0 days 00:00:02.826000,0 days 01:02:11.557000,1.0
2023-07-09 14:03:12.913,OnTrack,-871,2389,1977,pos,0 days 00:00:03.146000,0 days 01:02:11.877000,1.0
2023-07-09 14:03:13.073,OnTrack,-843,2427,1977,pos,0 days 00:00:03.306000,0 days 01:02:12.037000,1.0
2023-07-09 14:03:13.413,OnTrack,-778,2515,1979,pos,0 days 00:00:03.646000,0 days 01:02:12.377000,1.0
2023-07-09 14:03:13.573,OnTrack,-746,2560,1979,pos,0 days 00:00:03.806000,0 days 01:02:12.537000,1.0
2023-07-09 14:03:13.793,OnTrack,-700,2625,1980,pos,0 days 00:00:04.026000,0 days 01:02:12.757000,1.0
2023-07-09 14:03:14.013,OnTrack,-620,2737,1982,pos,0 days 00:00:04.246000,0 days 01:02:12.977000,1.0
2023-07-09 14:03:14.253,OnTrack,-590,2780,1983,pos,0 days 00:00:04.486000,0 days 01:02:13.217000,1.0
2023-07-09 14:03:14.493,OnTrack,-527,2872,1985,pos,0 days 00:00:04.726000,0 days 01:02:13.457000,1.0
2023-07-09 14:03:14.734,OnTrack,-456,2977,1987,pos,0 days 00:00:04.967000,0 days 01:02:13.698000,1.0
2023-07-09 14:03:14.994,OnTrack,-382,3089,1988,pos,0 days 00:00:05.227000,0 days 01:02:13.958000,1.0
