Date,Status,X,Y,Z,Source,Time,SessionTime,LapNumber
2023-08-27 13:03:05.475,OnTrack,168,2910,537,pos,0 days 00:00:00.141000,0 days 01:02:05.101000,1.0
2023-08-27 13:03:05.895,OnTrack,169,2912,537,pos,0 days 00:00:00.561000,0 days 01:02:05.521000,1.0
2023-08-27 13:03:06.295,OnTrack,174,2924,537,pos,0 days 00:00:00.961000,0 days 01:02:05.921000,1.0
2023-08-27 13:03:06.715,OnTrack,182,2945,537,pos,0 days 00:00:01.381000,0 days 01:02:06.341000,1.0
2023-08-27 13:03:06.895,OnTrack,188,2960,537,pos,0 days 00:00:01.561000,0 days 01:02:06.521000,1.0
2023-08-27 13:03:07.115,OnTrack,196,2980,537,pos,0 days 00:00:01.781000,0 days 01:02:06.741000,1.0
2023-08-27 13:03:07.255,OnTrack,207,3010,537,pos,0 days 00:00:01.921000,0 days 01:02:06.881000,1.0
2023-08-27 13:03:07.635,OnTrack,221,3046,537,pos,0 days 00:00:02.301000,0 days 01:02:07.261000,1.0
2023-08-27 13:03:07.915,OnTrack,239,3092,537,pos,0 days 00:00:02.581000,0 days 01:02:07.541000,1.0
2023-08-27 13:03:08.174,OnTrack,258,3141,537,pos,0 days 00:00:02.840000,0 days 01:02:07.800000,1.0
2023-08-27 13:03:08.254,OnTrack,264,3157,537,pos,0 days 00:00:02.920000,0 days 01:02:07.880000,1.0
2023-08-27 13:03:08.534,OnTrack,298,3245,537,pos,0 days 00:00:03.200000,0 days 01:02:08.160000,1.0
2023-08-27 13:03:08.954,OnTrack,347,3372,537,pos,0 days 00:00:03.620000,0 days 01:02:08.580000,1.0
2023-08-27 13:03:09.374,OnTrack,382,3462,537,pos,0 days 00:00:04.040000,0 days 01:02:09,1.0
2023-08-27 13:03:09.574,OnTrack,408,3529,537,pos,0 days 00:00:04.240000,0 days 01:02:09.200000,1.0
2023-08-27 13:03:09.775,OnTrack,454,3646,537,pos,0 days 00:00:04.441000,0 days 01:02:09.401000,1.0
2023-08-27 13:03:10.195,OnTrack,510,3784,537,pos,0 days 00:00:04.861000,0 days 01:02:09.821000,1.0
2023-08-27 13:03:10.395,OnTrack,545,3868,537,pos,0 days 00:00:05.061000,0 days 01:02:10.021000,1.0
2023-08-27 13:03:10.555,OnTrack,595,3989,537,pos,0 days 00:00:05.221000,0 days 01:02:10.181000,1.0
2023-08-27 13:03:10.915,OnTrack,646,4115,537,pos,0 days 00:00:05.581000,0 days 01:02:10.541000,1.0
2023-08-27 13:03:11.075,OnTrack,679,4196,537,pos,0 days 00:00:05.741000,0 days 01:02:10.701000,1.0
2023-08-27 13:03:11.375,OnTrack,773,4426,537,pos,0 days 00:00:06.041000,0 days 01:02:11.001000,1.0
2023-08-27 13:03:11.775,OnTrack,858,4633,537,pos,0 days 00:00:06.441000,0 days 01:02:11.401000,1.0
2023-08-27 13:03:12.175,OnTrack,913,4768,537,pos,0 days 00:00:06.841000,0 days 01:02:11.801000,1.0
2023-08-27 13:03:12.375,OnTrack,955,4871,536,pos,0 days 00:00:07.041000,0 days 01:02:12.001000,1.0
2023-08-27 13:03:12.555,OnTrack,992,4962,537,pos,0 days 00:00:07.221000,0 days 01:02:12.181000,1.0
2023-08-27 13:03:12.775,OnTrack,1038,5075,536,pos,0 days 00:00:07.441000,0 days 01:02:12.401000,1.0
2023-08-27 13:03:12.975,OnTrack,1080,5177,537,pos,0 days 00:00:07.641000,0 days 01:02:12.601000,1.0
2023-08-27 13:03:13.175,OnTrack,1139,5325,537,pos,0 days 00:00:07.841000,0 days 01:02:12.801000,1.0
2023-08-27 13:03:13.315,OnTrack,1168,5401,537,pos,0 days 00:00:07.981000,0 days 01:02:12.941000,1.0
