m_eventStringCode,m_eventDetails
BUTN,"{""buttonStatus"": 4096}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4164}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4176}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4164}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4164}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 2120}"
BUTN,"{""buttonStatus"": 2112}"
BUTN,"{""buttonStatus"": 2120}"
BUTN,"{""buttonStatus"": 2112}"
BUTN,"{""buttonStatus"": 2120}"
BUTN,"{""buttonStatus"": 2112}"
BUTN,"{""buttonStatus"": 2120}"
BUTN,"{""buttonStatus"": 2112}"
BUTN,"{""buttonStatus"": 2120}"
BUTN,"{""buttonStatus"": 2112}"
BUTN,"{""buttonStatus"": 2120}"
BUTN,"{""buttonStatus"": 2112}"
BUTN,"{""buttonStatus"": 2120}"
BUTN,"{""buttonStatus"": 2152}"
BUTN,"{""buttonStatus"": 2144}"
BUTN,"{""buttonStatus"": 2080}"
BUTN,"{""buttonStatus"": 32}"
BUTN,"{""buttonStatus"": 96}"
BUTN,"{""buttonStatus"": 4192}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4164}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4164}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4164}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4162}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4164}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4164}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4164}"
BUTN,"{""buttonStatus"": 4160}"
SPTP,"{""vehicleIdx"": 0, ""speed"": 322.41961669921875, ""isOverallFastestInSession"": 0, ""isDriverFastestInSession"": 0, ""fastestVehicleIdxInSession"": 0, ""fastestSpeedInSession"": 323.5525817871094}"
BUTN,"{""buttonStatus"": 4168}"
BUTN,"{""buttonStatus"": 2120}"
BUTN,"{""buttonStatus"": 2112}"
BUTN,"{""buttonStatus"": 2120}"
BUTN,"{""buttonStatus"": 2112}"
BUTN,"{""buttonStatus"": 2120}"
BUTN,"{""buttonStatus"": 2112}"
BUTN,"{""buttonStatus"": 2120}"
BUTN,"{""buttonStatus"": 2112}"
BUTN,"{""buttonStatus"": 2144}"
BUTN,"{""buttonStatus"": 2152}"
BUTN,"{""buttonStatus"": 2144}"
BUTN,"{""buttonStatus"": 2112}"
BUTN,"{""buttonStatus"": 2144}"
BUTN,"{""buttonStatus"": 2152}"
BUTN,"{""buttonStatus"": 2144}"
BUTN,"{""buttonStatus"": 2152}"
BUTN,"{""buttonStatus"": 2144}"
BUTN,"{""buttonStatus"": 2080}"
BUTN,"{""buttonStatus"": 32}"
BUTN,"{""buttonStatus"": 4128}"
BUTN,"{""buttonStatus"": 4192}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4164}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4192}"
BUTN,"{""buttonStatus"": 4196}"
BUTN,"{""buttonStatus"": 4192}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4164}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4192}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4164}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4164}"
BUTN,"{""buttonStatus"": 4160}"
PENA,"{""penaltyType"": 12, ""infringementType"": 26, ""vehicleIdx"": 0, ""otherVehicleIdx"": 255, ""time"": 255, ""lapNum"": 12, ""placesGained"": 255}"
BUTN,"{""buttonStatus"": 4176}"
BUTN,"{""buttonStatus"": 6168}"
BUTN,"{""buttonStatus"": 2072}"
BUTN,"{""buttonStatus"": 2064}"
BUTN,"{""buttonStatus"": 2072}"
BUTN,"{""buttonStatus"": 2064}"
BUTN,"{""buttonStatus"": 2072}"
BUTN,"{""buttonStatus"": 2064}"
BUTN,"{""buttonStatus"": 16}"
BUTN,"{""buttonStatus"": 4112}"
BUTN,"{""buttonStatus"": 4176}"
BUTN,"{""buttonStatus"": 4112}"
BUTN,"{""buttonStatus"": 4176}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4164}"
BUTN,"{""buttonStatus"": 4176}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4164}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4176}"
BUTN,"{""buttonStatus"": 6232}"
BUTN,"{""buttonStatus"": 2136}"
BUTN,"{""buttonStatus"": 2128}"
BUTN,"{""buttonStatus"": 80}"
BUTN,"{""buttonStatus"": 4176}"
BUTN,"{""buttonStatus"": 4112}"
BUTN,"{""buttonStatus"": 4176}"
BUTN,"{""buttonStatus"": 4112}"
BUTN,"{""buttonStatus"": 4176}"
BUTN,"{""buttonStatus"": 4112}"
BUTN,"{""buttonStatus"": 4176}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4192}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4164}"
BUTN,"{""buttonStatus"": 4196}"
BUTN,"{""buttonStatus"": 4192}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4192}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4164}"
BUTN,"{""buttonStatus"": 4160}"
BUTN,"{""buttonStatus"": 4192}"
BUTN,"{""buttonStatus"": 4160}"
