Date,Status,X,Y,Z,Source,Time,SessionTime,LapNumber
2023-10-22 19:03:41.460,OnTrack,509,-1802,1302,pos,0 days 00:00:00.010000,0 days 01:02:39.227000,1.0
2023-10-22 19:03:41.640,OnTrack,509,-1802,1302,pos,0 days 00:00:00.190000,0 days 01:02:39.407000,1.0
2023-10-22 19:03:41.860,OnTrack,509,-1802,1302,pos,0 days 00:00:00.410000,0 days 01:02:39.627000,1.0
2023-10-22 19:03:42.100,OnTrack,510,-1804,1302,pos,0 days 00:00:00.650000,0 days 01:02:39.867000,1.0
2023-10-22 19:03:42.340,OnTrack,522,-1812,1303,pos,0 days 00:00:00.890000,0 days 01:02:40.107000,1.0
2023-10-22 19:03:42.660,OnTrack,530,-1819,1302,pos,0 days 00:00:01.210000,0 days 01:02:40.427000,1.0
2023-10-22 19:03:43.000,OnTrack,554,-1837,1303,pos,0 days 00:00:01.550000,0 days 01:02:40.767000,1.0
2023-10-22 19:03:43.160,OnTrack,568,-1848,1302,pos,0 days 00:00:01.710000,0 days 01:02:40.927000,1.0
2023-10-22 19:03:43.360,OnTrack,589,-1864,1302,pos,0 days 00:00:01.910000,0 days 01:02:41.127000,1.0
2023-10-22 19:03:43.620,OnTrack,629,-1894,1302,pos,0 days 00:00:02.170000,0 days 01:02:41.387000,1.0
2023-10-22 19:03:43.960,OnTrack,672,-1927,1302,pos,0 days 00:00:02.510000,0 days 01:02:41.727000,1.0
2023-10-22 19:03:44.220,OnTrack,718,-1963,1302,pos,0 days 00:00:02.770000,0 days 01:02:41.987000,1.0
2023-10-22 19:03:44.439,OnTrack,771,-2003,1302,pos,0 days 00:00:02.989000,0 days 01:02:42.206000,1.0
2023-10-22 19:03:44.719,OnTrack,824,-2044,1302,pos,0 days 00:00:03.269000,0 days 01:02:42.486000,1.0
2023-10-22 19:03:45.019,OnTrack,899,-2101,1302,pos,0 days 00:00:03.569000,0 days 01:02:42.786000,1.0
2023-10-22 19:03:45.199,OnTrack,987,-2169,1303,pos,0 days 00:00:03.749000,0 days 01:02:42.966000,1.0
2023-10-22 19:03:45.539,OnTrack,1049,-2216,1303,pos,0 days 00:00:04.089000,0 days 01:02:43.306000,1.0
2023-10-22 19:03:45.719,OnTrack,1108,-2261,1304,pos,0 days 00:00:04.269000,0 days 01:02:43.486000,1.0
2023-10-22 19:03:46.059,OnTrack,1250,-2369,1308,pos,0 days 00:00:04.609000,0 days 01:02:43.826000,1.0
2023-10-22 19:03:46.299,OnTrack,1318,-2422,1310,pos,0 days 00:00:04.849000,0 days 01:02:44.066000,1.0
2023-10-22 19:03:46.579,OnTrack,1430,-2507,1314,pos,0 days 00:00:05.129000,0 days 01:02:44.346000,1.0
2023-10-22 19:03:46.859,OnTrack,1576,-2619,1324,pos,0 days 00:00:05.409000,0 days 01:02:44.626000,1.0
2023-10-22 19:03:47.060,OnTrack,1702,-2715,1329,pos,0 days 00:00:05.610000,0 days 01:02:44.827000,1.0
2023-10-22 19:03:47.320,OnTrack,1836,-2818,1340,pos,0 days 00:00:05.870000,0 days 01:02:45.087000,1.0
2023-10-22 19:03:47.580,OnTrack,1938,-2896,1347,pos,0 days 00:00:06.130000,0 days 01:02:45.347000,1.0
2023-10-22 19:03:47.860,OnTrack,2061,-2990,1358,pos,0 days 00:00:06.410000,0 days 01:02:45.627000,1.0
2023-10-22 19:03:48.120,OnTrack,2187,-3087,1371,pos,0 days 00:00:06.670000,0 days 01:02:45.887000,1.0
2023-10-22 19:03:48.300,OnTrack,2275,-3157,1383,pos,0 days 00:00:06.850000,0 days 01:02:46.067000,1.0
2023-10-22 19:03:48.580,OnTrack,2414,-3267,1400,pos,0 days 00:00:07.130000,0 days 01:02:46.347000,1.0
2023-10-22 19:03:48.780,OnTrack,2580,-3393,1421,pos,0 days 00:00:07.330000,0 days 01:02:46.547000,1.0
2023-10-22 19:03:49.060,OnTrack,2663,-3457,1433,pos,0 days 00:00:07.610000,0 days 01:02:46.827000,1.0
2023-10-22 19:03:49.340,OnTrack,2808,-3568,1454,pos,0 days 00:00:07.890000,0 days 01:02:47.107000,1.0
2023-10-22 19:03:49.500,OnTrack,2879,-3625,1464,pos,0 days 00:00:08.050000,0 days 01:02:47.267000,1.0
2023-10-22 19:03:49.720,OnTrack,2973,-3709,1480,pos,0 days 00:00:08.270000,0 days 01:02:47.487000,1.0
2023-10-22 19:03:49.880,OnTrack,3001,-3733,1484,pos,0 days 00:00:08.430000,0 days 01:02:47.647000,1.0
2023-10-22 19:03:50.080,OnTrack,3076,-3794,1498,pos,0 days 00:00:08.630000,0 days 01:02:47.847000,1.0
2023-10-22 19:03:50.400,OnTrack,3205,-3900,1522,pos,0 days 00:00:08.950000,0 days 01:02:48.167000,1.0
2023-10-22 19:03:50.740,OnTrack,3292,-3969,1535,pos,0 days 00:00:09.290000,0 days 01:02:48.507000,1.0
2023-10-22 19:03:50.919,OnTrack,3344,-4005,1544,pos,0 days 00:00:09.469000,0 days 01:02:48.686000,1.0
2023-10-22 19:03:51.079,OnTrack,3387,-4028,1549,pos,0 days 00:00:09.629000,0 days 01:02:48.846000,1.0
2023-10-22 19:03:51.319,OnTrack,3456,-4053,1554,pos,0 days 00:00:09.869000,0 days 01:02:49.086000,1.0
2023-10-22 19:03:51.479,OnTrack,3502,-4063,1558,pos,0 days 00:00:10.029000,0 days 01:02:49.246000,1.0
2023-10-22 19:03:51.719,OnTrack,3601,-4073,1563,pos,0 days 00:00:10.269000,0 days 01:02:49.486000,1.0
2023-10-22 19:03:52.179,OnTrack,3665,-4061,1565,pos,0 days 00:00:10.729000,0 days 01:02:49.946000,1.0
2023-10-22 19:03:52.419,OnTrack,3717,-4033,1566,pos,0 days 00:00:10.969000,0 days 01:02:50.186000,1.0
2023-10-22 19:03:52.839,OnTrack,3771,-3977,1568,pos,0 days 00:00:11.389000,0 days 01:02:50.606000,1.0
2023-10-22 19:03:53.219,OnTrack,3791,-3939,1568,pos,0 days 00:00:11.769000,0 days 01:02:50.986000,1.0
2023-10-22 19:03:53.379,OnTrack,3799,-3917,1569,pos,0 days 00:00:11.929000,0 days 01:02:51.146000,1.0
2023-10-22 19:03:53.680,OnTrack,3810,-3852,1569,pos,0 days 00:00:12.230000,0 days 01:02:51.447000,1.0
2023-10-22 19:03:53.960,OnTrack,3811,-3826,1569,pos,0 days 00:00:12.510000,0 days 01:02:51.727000,1.0
2023-10-22 19:03:54.200,OnTrack,3809,-3784,1568,pos,0 days 00:00:12.750000,0 days 01:02:51.967000,1.0
2023-10-22 19:03:54.360,OnTrack,3807,-3757,1567,pos,0 days 00:00:12.910000,0 days 01:02:52.127000,1.0
2023-10-22 19:03:54.580,OnTrack,3803,-3714,1566,pos,0 days 00:00:13.130000,0 days 01:02:52.347000,1.0
2023-10-22 19:03:54.900,OnTrack,3790,-3612,1560,pos,0 days 00:00:13.450000,0 days 01:02:52.667000,1.0
2023-10-22 19:03:55.220,OnTrack,3783,-3567,1557,pos,0 days 00:00:13.770000,0 days 01:02:52.987000,1.0
2023-10-22 19:03:55.520,OnTrack,3766,-3485,1548,pos,0 days 00:00:14.070000,0 days 01:02:53.287000,1.0
2023-10-22 19:03:55.740,OnTrack,3750,-3420,1542,pos,0 days 00:00:14.290000,0 days 01:02:53.507000,1.0
2023-10-22 19:03:55.920,OnTrack,3733,-3365,1535,pos,0 days 00:00:14.470000,0 days 01:02:53.687000,1.0
2023-10-22 19:03:56.100,OnTrack,3712,-3309,1526,pos,0 days 00:00:14.650000,0 days 01:02:53.867000,1.0
2023-10-22 19:03:56.320,OnTrack,3659,-3194,1511,pos,0 days 00:00:14.870000,0 days 01:02:54.087000,1.0
2023-10-22 19:03:57.420,OnTrack,3476,-2790,1461,pos,0 days 00:00:15.970000,0 days 01:02:55.187000,1.0
2023-10-22 19:03:57.599,OnTrack,3422,-2640,1447,pos,0 days 00:00:16.149000,0 days 01:02:55.366000,1.0
2023-10-22 19:03:57.959,OnTrack,3385,-2519,1436,pos,0 days 00:00:16.509000,0 days 01:02:55.726000,1.0
2023-10-22 19:03:58.199,OnTrack,3353,-2395,1426,pos,0 days 00:00:16.749000,0 days 01:02:55.966000,1.0
2023-10-22 19:03:58.479,OnTrack,3329,-2253,1415,pos,0 days 00:00:17.029000,0 days 01:02:56.246000,1.0
2023-10-22 19:03:58.639,OnTrack,3330,-2104,1406,pos,0 days 00:00:17.189000,0 days 01:02:56.406000,1.0
2023-10-22 19:03:59.079,OnTrack,3357,-1921,1396,pos,0 days 00:00:17.629000,0 days 01:02:56.846000,1.0
2023-10-22 19:03:59.279,OnTrack,3393,-1764,1389,pos,0 days 00:00:17.829000,0 days 01:02:57.046000,1.0
2023-10-22 19:03:59.699,OnTrack,3465,-1580,1384,pos,0 days 00:00:18.249000,0 days 01:02:57.466000,1.0
2023-10-22 19:03:59.959,OnTrack,3551,-1426,1380,pos,0 days 00:00:18.509000,0 days 01:02:57.726000,1.0
2023-10-22 19:04:00.220,OnTrack,3630,-1309,1379,pos,0 days 00:00:18.770000,0 days 01:02:57.987000,1.0
2023-10-22 19:04:00.520,OnTrack,3750,-1178,1380,pos,0 days 00:00:19.070000,0 days 01:02:58.287000,1.0
2023-10-22 19:04:00.680,OnTrack,3825,-1112,1381,pos,0 days 00:00:19.230000,0 days 01:02:58.447000,1.0
2023-10-22 19:04:00.960,OnTrack,3954,-1011,1383,pos,0 days 00:00:19.510000,0 days 01:02:58.727000,1.0
2023-10-22 19:04:01.140,OnTrack,4049,-947,1386,pos,0 days 00:00:19.690000,0 days 01:02:58.907000,1.0
2023-10-22 19:04:01.180,OnTrack,4071,-933,1386,pos,0 days 00:00:19.730000,0 days 01:02:58.947000,1.0
2023-10-22 19:04:01.580,OnTrack,4410,-744,1397,pos,0 days 00:00:20.130000,0 days 01:02:59.347000,1.0
2023-10-22 19:04:01.860,OnTrack,4494,-700,1399,pos,0 days 00:00:20.410000,0 days 01:02:59.627000,1.0
2023-10-22 19:04:02.120,OnTrack,4650,-618,1402,pos,0 days 00:00:20.670000,0 days 01:02:59.887000,1.0
2023-10-22 19:04:02.380,OnTrack,4803,-532,1404,pos,0 days 00:00:20.930000,0 days 01:03:00.147000,1.0
2023-10-22 19:04:02.640,OnTrack,4950,-428,1405,pos,0 days 00:00:21.190000,0 days 01:03:00.407000,1.0
2023-10-22 19:04:02.920,OnTrack,5080,-330,1405,pos,0 days 00:00:21.470000,0 days 01:03:00.687000,1.0
2023-10-22 19:04:03.080,OnTrack,5155,-274,1406,pos,0 days 00:00:21.630000,0 days 01:03:00.847000,1.0
2023-10-22 19:04:03.480,OnTrack,5325,-130,1403,pos,0 days 00:00:22.030000,0 days 01:03:01.247000,1.0
2023-10-22 19:04:03.640,OnTrack,5382,-68,1402,pos,0 days 00:00:22.190000,0 days 01:03:01.407000,1.0
2023-10-22 19:04:03.880,OnTrack,5492,101,1399,pos,0 days 00:00:22.430000,0 days 01:03:01.647000,1.0
2023-10-22 19:04:04.239,OnTrack,5551,207,1398,pos,0 days 00:00:22.789000,0 days 01:03:02.006000,1.0
2023-10-22 19:04:04.339,OnTrack,5578,254,1397,pos,0 days 00:00:22.889000,0 days 01:03:02.106000,1.0
