Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-04-30 11:04:03.248,11059,0,1,22,False,1,car,0 days 00:00:00.020000,0 days 01:03:01.778000,0.0,1.0
2023-04-30 11:04:03.488,10996,0,1,22,False,1,car,0 days 00:00:00.260000,0 days 01:03:02.018000,0.0,1.0
2023-04-30 11:04:03.928,8196,9,1,25,False,1,car,0 days 00:00:00.700000,0 days 01:03:02.458000,1.0999999999999999,1.0
2023-04-30 11:04:04.289,5676,23,1,28,False,1,car,0 days 00:00:01.061000,0 days 01:03:02.819000,3.4063888888888885,1.0
2023-04-30 11:04:04.769,5072,37,1,40,False,1,car,0 days 00:00:01.541000,0 days 01:03:03.299000,8.339722222222221,1.0
2023-04-30 11:04:05.009,6252,47,1,47,False,1,car,0 days 00:00:01.781000,0 days 01:03:03.539000,11.473055555555554,1.0
2023-04-30 11:04:05.289,7974,58,1,54,False,1,car,0 days 00:00:02.061000,0 days 01:03:03.819000,15.984166666666665,1.0
2023-04-30 11:04:05.449,8768,65,1,55,False,1,car,0 days 00:00:02.221000,0 days 01:03:03.979000,18.873055555555556,1.0
2023-04-30 11:04:05.648,9188,73,1,55,False,1,car,0 days 00:00:02.420000,0 days 01:03:04.178000,22.90833333333333,1.0
2023-04-30 11:04:05.848,10524,80,1,68,False,1,car,0 days 00:00:02.620000,0 days 01:03:04.378000,27.35277777777778,1.0
2023-04-30 11:04:06.128,10643,87,1,72,False,1,car,0 days 00:00:02.900000,0 days 01:03:04.658000,34.11944444444444,1.0
2023-04-30 11:04:06.368,9884,95,2,73,False,1,car,0 days 00:00:03.140000,0 days 01:03:04.898000,40.45277777777778,1.0
2023-04-30 11:04:06.528,10584,104,2,80,False,1,car,0 days 00:00:03.300000,0 days 01:03:05.058000,45.074999999999996,1.0
2023-04-30 11:04:06.728,11620,112,2,83,False,1,car,0 days 00:00:03.500000,0 days 01:03:05.258000,51.297222222222224,1.0
2023-04-30 11:04:07.008,11371,127,2,83,False,1,car,0 days 00:00:03.780000,0 days 01:03:05.538000,61.175,1.0
2023-04-30 11:04:07.288,10214,139,3,85,False,1,car,0 days 00:00:04.060000,0 days 01:03:05.818000,71.9861111111111,1.0
2023-04-30 11:04:07.648,11496,157,3,97,False,1,car,0 days 00:00:04.420000,0 days 01:03:06.178000,87.68611111111112,1.0
2023-04-30 11:04:07.968,10516,167,3,86,False,1,car,0 days 00:00:04.740000,0 days 01:03:06.498000,102.53055555555558,1.0
2023-04-30 11:04:08.248,10790,178,4,100,False,1,car,0 days 00:00:05.020000,0 days 01:03:06.778000,116.375,1.0
2023-04-30 11:04:08.408,11024,181,4,100,False,1,car,0 days 00:00:05.180000,0 days 01:03:06.938000,124.41944444444445,1.0
2023-04-30 11:04:08.568,11363,189,4,100,False,1,car,0 days 00:00:05.340000,0 days 01:03:07.098000,132.81944444444446,1.0
2023-04-30 11:04:08.768,11355,193,4,100,False,1,car,0 days 00:00:05.540000,0 days 01:03:07.298000,143.54166666666669,1.0
2023-04-30 11:04:09.008,10380,202,5,100,False,1,car,0 days 00:00:05.780000,0 days 01:03:07.538000,157.00833333333335,1.0
2023-04-30 11:04:09.208,10702,205,5,100,False,1,car,0 days 00:00:05.980000,0 days 01:03:07.738000,168.39722222222224,1.0
2023-04-30 11:04:09.528,10631,210,5,0,True,1,car,0 days 00:00:06.300000,0 days 01:03:08.058000,187.06388888888887,1.0
2023-04-30 11:04:09.848,9505,196,5,0,True,1,car,0 days 00:00:06.620000,0 days 01:03:08.378000,204.48611111111111,1.0
2023-04-30 11:04:10.008,9247,185,5,0,True,1,car,0 days 00:00:06.780000,0 days 01:03:08.538000,212.70833333333334,1.0
2023-04-30 11:04:10.208,9850,176,5,0,True,1,car,0 days 00:00:06.980000,0 days 01:03:08.738000,222.48611111111114,1.0
2023-04-30 11:04:10.528,10650,159,4,0,True,1,car,0 days 00:00:07.300000,0 days 01:03:09.058000,236.61944444444444,1.0
2023-04-30 11:04:10.929,9591,142,3,0,True,1,car,0 days 00:00:07.701000,0 days 01:03:09.459000,252.43666666666667,1.0
2023-04-30 11:04:11.329,11186,128,2,0,True,1,car,0 days 00:00:08.101000,0 days 01:03:09.859000,266.65888888888895,1.0
2023-04-30 11:04:11.569,10283,123,2,0,True,1,car,0 days 00:00:08.341000,0 days 01:03:10.099000,274.8588888888889,1.0
2023-04-30 11:04:11.729,9846,116,2,0,True,1,car,0 days 00:00:08.501000,0 days 01:03:10.259000,280.01444444444445,1.0
2023-04-30 11:04:12.009,9318,108,2,0,True,1,car,0 days 00:00:08.781000,0 days 01:03:10.539000,288.4144444444445,1.0
2023-04-30 11:04:12.169,8734,103,2,0,True,1,car,0 days 00:00:08.941000,0 days 01:03:10.699000,292.99222222222227,1.0
2023-04-30 11:04:12.528,8036,95,2,0,True,1,car,0 days 00:00:09.300000,0 days 01:03:11.058000,302.46583333333336,1.0
2023-04-30 11:04:12.728,7759,89,2,0,True,1,car,0 days 00:00:09.500000,0 days 01:03:11.258000,307.41027777777776,1.0
2023-04-30 11:04:13.048,7042,81,2,0,True,1,car,0 days 00:00:09.820000,0 days 01:03:11.578000,314.61027777777775,1.0
2023-04-30 11:04:13.328,6930,79,2,9,False,1,car,0 days 00:00:10.100000,0 days 01:03:11.858000,320.7547222222222,1.0
2023-04-30 11:04:13.568,7100,80,2,7,False,1,car,0 days 00:00:10.340000,0 days 01:03:12.098000,326.0880555555555,1.0
2023-04-30 11:04:14.328,7628,82,2,26,False,1,car,0 days 00:00:11.100000,0 days 01:03:12.858000,343.39916666666664,1.0
2023-04-30 11:04:14.488,7887,83,2,31,False,1,car,0 days 00:00:11.260000,0 days 01:03:13.018000,347.0880555555555,1.0
2023-04-30 11:04:14.768,7993,89,2,41,False,1,car,0 days 00:00:11.540000,0 days 01:03:13.298000,354.01027777777773,1.0
2023-04-30 11:04:15.168,9515,101,2,60,False,1,car,0 days 00:00:11.940000,0 days 01:03:13.698000,365.23249999999996,1.0
2023-04-30 11:04:15.448,10451,112,2,78,False,1,car,0 days 00:00:12.220000,0 days 01:03:13.978000,373.9436111111111,1.0
2023-04-30 11:04:15.808,11955,125,2,98,False,1,car,0 days 00:00:12.580000,0 days 01:03:14.338000,386.4436111111111,1.0
2023-04-30 11:04:16.168,11364,139,3,100,False,1,car,0 days 00:00:12.940000,0 days 01:03:14.698000,400.3436111111111,1.0
2023-04-30 11:04:16.408,11549,153,3,100,False,1,car,0 days 00:00:13.180000,0 days 01:03:14.938000,410.5436111111111,1.0
2023-04-30 11:04:16.848,10462,175,3,100,False,1,car,0 days 00:00:13.620000,0 days 01:03:15.378000,431.93249999999995,1.0
2023-04-30 11:04:17.008,10938,178,4,100,False,1,car,0 days 00:00:13.780000,0 days 01:03:15.538000,439.84361111111104,1.0
2023-04-30 11:04:17.328,11448,190,4,100,False,1,car,0 days 00:00:14.100000,0 days 01:03:15.858000,456.73249999999996,1.0
2023-04-30 11:04:17.609,11861,193,4,100,False,1,car,0 days 00:00:14.381000,0 days 01:03:16.139000,471.7972222222222,1.0
2023-04-30 11:04:17.889,12194,203,4,100,False,1,car,0 days 00:00:14.661000,0 days 01:03:16.419000,487.58611111111105,1.0
2023-04-30 11:04:18.209,11953,207,4,0,True,1,car,0 days 00:00:14.981000,0 days 01:03:16.739000,505.9861111111111,1.0
2023-04-30 11:04:18.489,11392,197,4,0,True,1,car,0 days 00:00:15.261000,0 days 01:03:17.019000,521.3083333333333,1.0
2023-04-30 11:04:18.729,11219,193,4,0,True,1,car,0 days 00:00:15.501000,0 days 01:03:17.259000,534.175,1.0
2023-04-30 11:04:18.969,10720,184,4,0,True,1,car,0 days 00:00:15.741000,0 days 01:03:17.499000,546.4416666666666,1.0
2023-04-30 11:04:19.288,10110,175,4,0,True,1,car,0 days 00:00:16.060000,0 days 01:03:17.818000,561.948611111111,1.0
2023-04-30 11:04:19.528,10256,168,4,0,True,1,car,0 days 00:00:16.300000,0 days 01:03:18.058000,573.148611111111,1.0
2023-04-30 11:04:19.688,11053,162,4,0,True,1,car,0 days 00:00:16.460000,0 days 01:03:18.218000,580.348611111111,1.0
2023-04-30 11:04:19.968,10117,149,3,0,True,1,car,0 days 00:00:16.740000,0 days 01:03:18.498000,591.9374999999998,1.0
2023-04-30 11:04:20.208,9660,142,3,0,True,1,car,0 days 00:00:16.980000,0 days 01:03:18.738000,601.4041666666665,1.0
2023-04-30 11:04:20.408,10057,135,3,0,True,1,car,0 days 00:00:17.180000,0 days 01:03:18.938000,608.9041666666665,1.0
2023-04-30 11:04:20.608,10873,127,2,0,True,1,car,0 days 00:00:17.380000,0 days 01:03:19.138000,615.959722222222,1.0
2023-04-30 11:04:20.808,9978,123,2,0,True,1,car,0 days 00:00:17.580000,0 days 01:03:19.338000,622.7930555555553,1.0
2023-04-30 11:04:21.048,9159,106,2,0,True,1,car,0 days 00:00:17.820000,0 days 01:03:19.578000,629.859722222222,1.0
2023-04-30 11:04:21.328,8404,99,2,0,True,1,car,0 days 00:00:18.100000,0 days 01:03:19.858000,637.559722222222,1.0
2023-04-30 11:04:21.648,7902,92,2,0,True,1,car,0 days 00:00:18.420000,0 days 01:03:20.178000,645.7374999999998,1.0
2023-04-30 11:04:21.808,7412,87,2,0,True,1,car,0 days 00:00:18.580000,0 days 01:03:20.338000,649.6041666666664,1.0
2023-04-30 11:04:22.088,6635,80,2,0,True,1,car,0 days 00:00:18.860000,0 days 01:03:20.618000,655.8263888888887,1.0
2023-04-30 11:04:22.368,6118,73,2,0,True,1,car,0 days 00:00:19.140000,0 days 01:03:20.898000,661.5041666666665,1.0
2023-04-30 11:04:22.648,6109,69,2,4,False,1,car,0 days 00:00:19.420000,0 days 01:03:21.178000,666.8708333333332,1.0
2023-04-30 11:04:23.128,6140,69,2,3,False,1,car,0 days 00:00:19.900000,0 days 01:03:21.658000,676.0708333333331,1.0
