Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-04-30 11:04:03.248,9729,0,1,21,False,1,car,0 days 00:00:00.020000,0 days 01:03:01.778000,0.0,1.0
2023-04-30 11:04:03.488,9764,0,1,21,False,1,car,0 days 00:00:00.260000,0 days 01:03:02.018000,0.0,1.0
2023-04-30 11:04:03.928,7314,8,1,20,False,1,car,0 days 00:00:00.700000,0 days 01:03:02.458000,0.9777777777777777,1.0
2023-04-30 11:04:04.289,4794,15,1,21,False,1,car,0 days 00:00:01.061000,0 days 01:03:02.819000,2.4819444444444443,1.0
2023-04-30 11:04:04.769,5471,34,1,42,False,1,car,0 days 00:00:01.541000,0 days 01:03:03.299000,7.0152777777777775,1.0
2023-04-30 11:04:05.009,6827,44,1,44,False,1,car,0 days 00:00:01.781000,0 days 01:03:03.539000,9.948611111111111,1.0
2023-04-30 11:04:05.289,8115,50,1,45,False,1,car,0 days 00:00:02.061000,0 days 01:03:03.819000,13.8375,1.0
2023-04-30 11:04:05.449,8526,57,1,49,False,1,car,0 days 00:00:02.221000,0 days 01:03:03.979000,16.370833333333337,1.0
2023-04-30 11:04:05.648,8505,64,1,50,False,1,car,0 days 00:00:02.420000,0 days 01:03:04.178000,19.908611111111114,1.0
2023-04-30 11:04:05.848,9337,71,1,54,False,1,car,0 days 00:00:02.620000,0 days 01:03:04.378000,23.85305555555556,1.0
2023-04-30 11:04:06.128,11120,82,1,62,False,1,car,0 days 00:00:02.900000,0 days 01:03:04.658000,30.230833333333333,1.0
2023-04-30 11:04:06.368,11084,89,1,63,False,1,car,0 days 00:00:03.140000,0 days 01:03:04.898000,36.164166666666674,1.0
2023-04-30 11:04:06.528,10244,97,2,72,False,1,car,0 days 00:00:03.300000,0 days 01:03:05.058000,40.47527777777778,1.0
2023-04-30 11:04:06.728,11259,101,2,74,False,1,car,0 days 00:00:03.500000,0 days 01:03:05.258000,46.08638888888889,1.0
2023-04-30 11:04:07.008,10095,117,2,77,False,1,car,0 days 00:00:03.780000,0 days 01:03:05.538000,55.186388888888885,1.0
2023-04-30 11:04:07.288,9700,121,3,82,False,1,car,0 days 00:00:04.060000,0 days 01:03:05.818000,64.5975,1.0
