Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-04-30 11:04:03.248,9866,0,1,21,False,1,car,0 days 00:00:00.020000,0 days 01:03:01.778000,0.0,1.0
2023-04-30 11:04:03.488,9721,0,1,21,False,1,car,0 days 00:00:00.260000,0 days 01:03:02.018000,0.0,1.0
2023-04-30 11:04:03.928,7674,0,1,23,False,1,car,0 days 00:00:00.700000,0 days 01:03:02.458000,0.0,1.0
2023-04-30 11:04:04.289,6136,15,1,29,False,1,car,0 days 00:00:01.061000,0 days 01:03:02.819000,1.5041666666666667,1.0
2023-04-30 11:04:04.769,5732,32,1,36,False,1,car,0 days 00:00:01.541000,0 days 01:03:03.299000,5.770833333333333,1.0
2023-04-30 11:04:05.009,7216,41,1,40,False,1,car,0 days 00:00:01.781000,0 days 01:03:03.539000,8.504166666666666,1.0
2023-04-30 11:04:05.289,8245,48,1,40,False,1,car,0 days 00:00:02.061000,0 days 01:03:03.819000,12.2375,1.0
2023-04-30 11:04:05.449,8151,55,1,42,False,1,car,0 days 00:00:02.221000,0 days 01:03:03.979000,14.681944444444447,1.0
2023-04-30 11:04:05.648,8634,62,1,48,False,1,car,0 days 00:00:02.420000,0 days 01:03:04.178000,18.109166666666667,1.0
2023-04-30 11:04:05.848,9411,70,1,55,False,1,car,0 days 00:00:02.620000,0 days 01:03:04.378000,21.99805555555556,1.0
2023-04-30 11:04:06.128,10389,82,1,59,False,1,car,0 days 00:00:02.900000,0 days 01:03:04.658000,28.375833333333333,1.0
2023-04-30 11:04:06.368,11509,86,1,65,False,1,car,0 days 00:00:03.140000,0 days 01:03:04.898000,34.109166666666674,1.0
2023-04-30 11:04:06.528,10389,98,1,67,False,1,car,0 days 00:00:03.300000,0 days 01:03:05.058000,38.46472222222222,1.0
2023-04-30 11:04:06.728,10473,102,2,69,False,1,car,0 days 00:00:03.500000,0 days 01:03:05.258000,44.13138888888889,1.0
2023-04-30 11:04:07.008,11126,111,2,78,False,1,car,0 days 00:00:03.780000,0 days 01:03:05.538000,52.76472222222222,1.0
2023-04-30 11:04:07.288,11200,129,2,98,False,1,car,0 days 00:00:04.060000,0 days 01:03:05.818000,62.79805555555554,1.0
2023-04-30 11:04:07.648,11312,143,3,100,False,1,car,0 days 00:00:04.420000,0 days 01:03:06.178000,77.09805555555556,1.0
2023-04-30 11:04:07.968,10595,161,4,100,False,1,car,0 days 00:00:04.740000,0 days 01:03:06.498000,91.40916666666669,1.0
2023-04-30 11:04:08.248,11080,169,4,100,False,1,car,0 days 00:00:05.020000,0 days 01:03:06.778000,104.55361111111111,1.0
2023-04-30 11:04:08.408,11427,169,4,100,False,1,car,0 days 00:00:05.180000,0 days 01:03:06.938000,112.06472222222223,1.0
2023-04-30 11:04:08.568,11427,185,4,100,False,1,car,0 days 00:00:05.340000,0 days 01:03:07.098000,120.28694444444446,1.0
2023-04-30 11:04:08.768,11147,191,4,100,False,1,car,0 days 00:00:05.540000,0 days 01:03:07.298000,130.89805555555557,1.0
2023-04-30 11:04:09.008,10788,201,4,100,False,1,car,0 days 00:00:05.780000,0 days 01:03:07.538000,144.29805555555558,1.0
2023-04-30 11:04:09.208,11174,208,5,100,False,1,car,0 days 00:00:05.980000,0 days 01:03:07.738000,155.85361111111115,1.0
2023-04-30 11:04:09.528,11090,205,5,0,False,1,car,0 days 00:00:06.300000,0 days 01:03:08.058000,174.07583333333332,1.0
2023-04-30 11:04:09.848,9799,189,5,0,True,1,car,0 days 00:00:06.620000,0 days 01:03:08.378000,190.87583333333333,1.0
2023-04-30 11:04:10.008,9011,175,5,0,True,1,car,0 days 00:00:06.780000,0 days 01:03:08.538000,198.6536111111111,1.0
2023-04-30 11:04:10.208,8427,162,5,0,True,1,car,0 days 00:00:06.980000,0 days 01:03:08.738000,207.6536111111111,1.0
2023-04-30 11:04:10.528,8979,147,5,0,True,1,car,0 days 00:00:07.300000,0 days 01:03:09.058000,220.72027777777774,1.0
2023-04-30 11:04:10.929,9417,134,3,0,True,1,car,0 days 00:00:07.701000,0 days 01:03:09.459000,235.64638888888885,1.0
2023-04-30 11:04:11.329,8352,117,3,0,True,1,car,0 days 00:00:08.101000,0 days 01:03:09.859000,248.64638888888888,1.0
2023-04-30 11:04:11.569,9269,111,2,0,True,1,car,0 days 00:00:08.341000,0 days 01:03:10.099000,256.0463888888888,1.0
2023-04-30 11:04:11.729,9071,110,2,0,True,1,car,0 days 00:00:08.501000,0 days 01:03:10.259000,260.93527777777774,1.0
2023-04-30 11:04:12.009,8457,100,2,0,True,1,car,0 days 00:00:08.781000,0 days 01:03:10.539000,268.71305555555557,1.0
2023-04-30 11:04:12.169,8177,97,2,0,True,1,car,0 days 00:00:08.941000,0 days 01:03:10.699000,273.0241666666667,1.0
2023-04-30 11:04:12.528,7048,87,2,0,True,1,car,0 days 00:00:09.300000,0 days 01:03:11.058000,281.70000000000005,1.0
2023-04-30 11:04:12.728,6959,82,2,0,True,1,car,0 days 00:00:09.500000,0 days 01:03:11.258000,286.2555555555556,1.0
2023-04-30 11:04:13.048,6749,79,2,0,False,1,car,0 days 00:00:09.820000,0 days 01:03:11.578000,293.2777777777778,1.0
2023-04-30 11:04:13.328,6760,78,2,12,False,1,car,0 days 00:00:10.100000,0 days 01:03:11.858000,299.3444444444445,1.0
2023-04-30 11:04:13.568,6876,78,2,11,False,1,car,0 days 00:00:10.340000,0 days 01:03:12.098000,304.5444444444445,1.0
2023-04-30 11:04:14.328,7953,87,2,38,False,1,car,0 days 00:00:11.100000,0 days 01:03:12.858000,322.91111111111115,1.0
2023-04-30 11:04:14.488,8254,90,2,44,False,1,car,0 days 00:00:11.260000,0 days 01:03:13.018000,326.91111111111115,1.0
2023-04-30 11:04:14.768,9234,97,2,55,False,1,car,0 days 00:00:11.540000,0 days 01:03:13.298000,334.4555555555556,1.0
2023-04-30 11:04:15.168,10380,110,2,63,False,1,car,0 days 00:00:11.940000,0 days 01:03:13.698000,346.6777777777778,1.0
2023-04-30 11:04:15.448,12219,117,2,76,False,1,car,0 days 00:00:12.220000,0 days 01:03:13.978000,355.7777777777778,1.0
2023-04-30 11:04:15.808,11325,137,2,100,False,1,car,0 days 00:00:12.580000,0 days 01:03:14.338000,369.4777777777778,1.0
2023-04-30 11:04:16.168,12014,148,3,100,False,1,car,0 days 00:00:12.940000,0 days 01:03:14.698000,384.27777777777777,1.0
2023-04-30 11:04:16.408,12200,165,3,100,False,1,car,0 days 00:00:13.180000,0 days 01:03:14.938000,395.27777777777777,1.0
2023-04-30 11:04:16.848,11634,181,4,100,False,1,car,0 days 00:00:13.620000,0 days 01:03:15.378000,417.4,1.0
2023-04-30 11:04:17.008,11766,188,4,100,False,1,car,0 days 00:00:13.780000,0 days 01:03:15.538000,425.75555555555553,1.0
2023-04-30 11:04:17.328,12331,188,4,100,False,1,car,0 days 00:00:14.100000,0 days 01:03:15.858000,442.46666666666664,1.0
2023-04-30 11:04:17.609,11688,198,4,100,False,1,car,0 days 00:00:14.381000,0 days 01:03:16.139000,457.9216666666667,1.0
2023-04-30 11:04:17.889,11401,198,4,100,False,1,car,0 days 00:00:14.661000,0 days 01:03:16.419000,473.32166666666666,1.0
2023-04-30 11:04:18.209,12154,219,5,100,True,1,car,0 days 00:00:14.981000,0 days 01:03:16.739000,492.78833333333336,1.0
2023-04-30 11:04:18.489,11342,212,5,29,False,1,car,0 days 00:00:15.261000,0 days 01:03:17.019000,509.27722222222224,1.0
2023-04-30 11:04:18.729,10733,202,5,0,True,1,car,0 days 00:00:15.501000,0 days 01:03:17.259000,522.7438888888889,1.0
2023-04-30 11:04:18.969,9895,191,5,0,True,1,car,0 days 00:00:15.741000,0 days 01:03:17.499000,535.4772222222223,1.0
2023-04-30 11:04:19.288,8990,179,5,0,True,1,car,0 days 00:00:16.060000,0 days 01:03:17.818000,551.3386111111112,1.0
2023-04-30 11:04:19.528,8534,160,5,0,True,1,car,0 days 00:00:16.300000,0 days 01:03:18.058000,562.0052777777779,1.0
2023-04-30 11:04:19.688,9348,155,5,0,True,1,car,0 days 00:00:16.460000,0 days 01:03:18.218000,568.8941666666668,1.0
2023-04-30 11:04:19.968,8528,139,4,0,True,1,car,0 days 00:00:16.740000,0 days 01:03:18.498000,579.7052777777778,1.0
2023-04-30 11:04:20.208,9079,123,4,0,True,1,car,0 days 00:00:16.980000,0 days 01:03:18.738000,587.9052777777779,1.0
2023-04-30 11:04:20.408,7875,118,3,0,True,1,car,0 days 00:00:17.180000,0 days 01:03:18.938000,594.4608333333334,1.0
2023-04-30 11:04:20.608,8435,103,3,0,True,1,car,0 days 00:00:17.380000,0 days 01:03:19.138000,600.1830555555556,1.0
2023-04-30 11:04:20.808,8196,96,2,0,True,1,car,0 days 00:00:17.580000,0 days 01:03:19.338000,605.5163888888889,1.0
2023-04-30 11:04:21.048,7311,91,2,0,True,1,car,0 days 00:00:17.820000,0 days 01:03:19.578000,611.5830555555556,1.0
2023-04-30 11:04:21.328,6797,81,2,0,True,1,car,0 days 00:00:18.100000,0 days 01:03:19.858000,617.8830555555556,1.0
2023-04-30 11:04:21.648,6225,75,2,0,True,1,car,0 days 00:00:18.420000,0 days 01:03:20.178000,624.5497222222223,1.0
2023-04-30 11:04:21.808,5938,71,2,0,True,1,car,0 days 00:00:18.580000,0 days 01:03:20.338000,627.7052777777777,1.0
2023-04-30 11:04:22.088,5555,68,2,0,True,1,car,0 days 00:00:18.860000,0 days 01:03:20.618000,632.9941666666666,1.0
2023-04-30 11:04:22.368,5126,64,2,0,True,1,car,0 days 00:00:19.140000,0 days 01:03:20.898000,637.9719444444444,1.0
2023-04-30 11:04:22.648,5338,61,2,5,False,1,car,0 days 00:00:19.420000,0 days 01:03:21.178000,642.7163888888888,1.0
2023-04-30 11:04:23.128,5403,62,2,15,False,1,car,0 days 00:00:19.900000,0 days 01:03:21.658000,650.9830555555554,1.0
2023-04-30 11:04:23.328,5690,64,2,26,False,1,car,0 days 00:00:20.100000,0 days 01:03:21.858000,654.5386111111111,1.0
2023-04-30 11:04:23.688,6736,73,2,43,False,1,car,0 days 00:00:20.460000,0 days 01:03:22.218000,661.838611111111,1.0
2023-04-30 11:04:23.968,8070,83,2,51,False,1,car,0 days 00:00:20.740000,0 days 01:03:22.498000,668.2941666666666,1.0
2023-04-30 11:04:24.129,8220,90,2,51,False,1,car,0 days 00:00:20.901000,0 days 01:03:22.659000,672.3191666666667,1.0
2023-04-30 11:04:24.369,9424,98,2,64,False,1,car,0 days 00:00:21.141000,0 days 01:03:22.899000,678.8525,1.0
2023-04-30 11:04:24.849,11909,119,2,91,False,1,car,0 days 00:00:21.621000,0 days 01:03:23.379000,694.7191666666666,1.0
2023-04-30 11:04:25.049,11935,128,2,98,False,1,car,0 days 00:00:21.821000,0 days 01:03:23.579000,701.8302777777778,1.0
2023-04-30 11:04:25.489,10360,138,3,100,False,1,car,0 days 00:00:22.261000,0 days 01:03:24.019000,718.6969444444444,1.0
2023-04-30 11:04:25.808,10720,158,4,100,False,1,car,0 days 00:00:22.580000,0 days 01:03:24.338000,732.6974999999999,1.0
2023-04-30 11:04:26.008,11123,175,4,100,False,1,car,0 days 00:00:22.780000,0 days 01:03:24.538000,742.4197222222223,1.0
2023-04-30 11:04:26.488,10813,183,4,100,False,1,car,0 days 00:00:23.260000,0 days 01:03:25.018000,766.8197222222223,1.0
2023-04-30 11:04:26.688,11077,194,5,100,False,1,car,0 days 00:00:23.460000,0 days 01:03:25.218000,777.5975,1.0
2023-04-30 11:04:26.968,11372,205,5,100,False,1,car,0 days 00:00:23.740000,0 days 01:03:25.498000,793.5419444444443,1.0
2023-04-30 11:04:27.288,11236,217,5,100,False,1,car,0 days 00:00:24.060000,0 days 01:03:25.818000,812.8308333333332,1.0
2023-04-30 11:04:27.488,10649,223,5,100,False,1,car,0 days 00:00:24.260000,0 days 01:03:26.018000,825.2197222222222,1.0
2023-04-30 11:04:27.768,11108,231,6,100,False,1,car,0 days 00:00:24.540000,0 days 01:03:26.298000,843.1863888888887,1.0
2023-04-30 11:04:28.168,11498,240,6,100,False,1,car,0 days 00:00:24.940000,0 days 01:03:26.698000,869.8530555555556,1.0
2023-04-30 11:04:28.408,11746,245,6,100,False,1,car,0 days 00:00:25.180000,0 days 01:03:26.938000,886.1863888888888,1.0
2023-04-30 11:04:28.688,10459,251,6,100,False,1,car,0 days 00:00:25.460000,0 days 01:03:27.218000,905.7086111111112,1.0
