Date,Status,X,Y,Z,Source,Time,SessionTime,LapNumber
2023-09-03 13:23:22.914,OnTrack,-1252,724,1878,pos,0 days 00:00:00.143000,0 days 01:22:21.869000,1.0
2023-09-03 13:23:23.074,OnTrack,-1252,724,1878,pos,0 days 00:00:00.303000,0 days 01:22:22.029000,1.0
2023-09-03 13:23:23.373,OnTrack,-1251,728,1878,pos,0 days 00:00:00.602000,0 days 01:22:22.328000,1.0
2023-09-03 13:23:23.813,OnTrack,-1250,742,1878,pos,0 days 00:00:01.042000,0 days 01:22:22.768000,1.0
2023-09-03 13:23:24.013,OnTrack,-1248,763,1878,pos,0 days 00:00:01.242000,0 days 01:22:22.968000,1.0
2023-09-03 13:23:24.393,OnTrack,-1246,792,1879,pos,0 days 00:00:01.622000,0 days 01:22:23.348000,1.0
2023-09-03 13:23:24.593,OnTrack,-1244,817,1879,pos,0 days 00:00:01.822000,0 days 01:22:23.548000,1.0
2023-09-03 13:23:24.873,OnTrack,-1239,870,1879,pos,0 days 00:00:02.102000,0 days 01:22:23.828000,1.0
2023-09-03 13:23:25.273,OnTrack,-1233,937,1879,pos,0 days 00:00:02.502000,0 days 01:22:24.228000,1.0
2023-09-03 13:23:25.393,OnTrack,-1231,966,1880,pos,0 days 00:00:02.622000,0 days 01:22:24.348000,1.0
2023-09-03 13:23:25.673,OnTrack,-1225,1034,1880,pos,0 days 00:00:02.902000,0 days 01:22:24.628000,1.0
2023-09-03 13:23:25.853,OnTrack,-1218,1119,1880,pos,0 days 00:00:03.082000,0 days 01:22:24.808000,1.0
2023-09-03 13:23:26.273,OnTrack,-1210,1211,1881,pos,0 days 00:00:03.502000,0 days 01:22:25.228000,1.0
2023-09-03 13:23:26.453,OnTrack,-1204,1273,1881,pos,0 days 00:00:03.682000,0 days 01:22:25.408000,1.0
2023-09-03 13:23:26.693,OnTrack,-1197,1363,1882,pos,0 days 00:00:03.922000,0 days 01:22:25.648000,1.0
2023-09-03 13:23:26.933,OnTrack,-1185,1494,1882,pos,0 days 00:00:04.162000,0 days 01:22:25.888000,1.0
2023-09-03 13:23:27.313,OnTrack,-1173,1632,1883,pos,0 days 00:00:04.542000,0 days 01:22:26.268000,1.0
2023-09-03 13:23:27.513,OnTrack,-1166,1723,1884,pos,0 days 00:00:04.742000,0 days 01:22:26.468000,1.0
2023-09-03 13:23:27.754,OnTrack,-1151,1890,1885,pos,0 days 00:00:04.983000,0 days 01:22:26.709000,1.0
2023-09-03 13:23:28.154,OnTrack,-1133,2102,1886,pos,0 days 00:00:05.383000,0 days 01:22:27.109000,1.0
2023-09-03 13:23:28.554,OnTrack,-1120,2250,1886,pos,0 days 00:00:05.783000,0 days 01:22:27.509000,1.0
2023-09-03 13:23:28.714,OnTrack,-1107,2401,1887,pos,0 days 00:00:05.943000,0 days 01:22:27.669000,1.0
2023-09-03 13:23:29.034,OnTrack,-1098,2510,1888,pos,0 days 00:00:06.263000,0 days 01:22:27.989000,1.0
2023-09-03 13:23:29.274,OnTrack,-1079,2732,1889,pos,0 days 00:00:06.503000,0 days 01:22:28.229000,1.0
2023-09-03 13:23:29.574,OnTrack,-1057,2987,1890,pos,0 days 00:00:06.803000,0 days 01:22:28.529000,1.0
2023-09-03 13:23:29.894,OnTrack,-1044,3131,1891,pos,0 days 00:00:07.123000,0 days 01:22:28.849000,1.0
2023-09-03 13:23:30.173,OnTrack,-1029,3313,1892,pos,0 days 00:00:07.402000,0 days 01:22:29.128000,1.0
2023-09-03 13:23:30.353,OnTrack,-1018,3431,1892,pos,0 days 00:00:07.582000,0 days 01:22:29.308000,1.0
2023-09-03 13:23:30.533,OnTrack,-1008,3553,1893,pos,0 days 00:00:07.762000,0 days 01:22:29.488000,1.0
2023-09-03 13:23:30.853,OnTrack,-981,3864,1895,pos,0 days 00:00:08.082000,0 days 01:22:29.808000,1.0
