Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-08-27 13:03:05.416,10229,0,1,18,True,1,car,0 days 00:00:00.082000,0 days 01:02:05.042000,0.0,1.0
2023-08-27 13:03:05.616,10308,0,1,18,True,1,car,0 days 00:00:00.282000,0 days 01:02:05.242000,0.0,1.0
2023-08-27 13:03:05.897,8768,5,1,18,False,1,car,0 days 00:00:00.563000,0 days 01:02:05.523000,0.3902777777777777,1.0
2023-08-27 13:03:06.097,7368,11,1,18,False,1,car,0 days 00:00:00.763000,0 days 01:02:05.723000,1.001388888888889,1.0
2023-08-27 13:03:06.497,5789,22,1,18,False,1,car,0 days 00:00:01.163000,0 days 01:02:06.123000,3.4458333333333337,1.0
2023-08-27 13:03:06.697,5517,29,1,19,False,1,car,0 days 00:00:01.363000,0 days 01:02:06.323000,5.0569444444444445,1.0
2023-08-27 13:03:06.897,5404,35,1,21,False,1,car,0 days 00:00:01.563000,0 days 01:02:06.523000,7.001388888888888,1.0
2023-08-27 13:03:07.137,5964,41,1,22,False,1,car,0 days 00:00:01.803000,0 days 01:02:06.763000,9.73472222222222,1.0
2023-08-27 13:03:07.417,6479,52,1,30,False,1,car,0 days 00:00:02.083000,0 days 01:02:07.043000,13.779166666666669,1.0
2023-08-27 13:03:07.697,8059,62,1,37,False,1,car,0 days 00:00:02.363000,0 days 01:02:07.323000,18.601388888888888,1.0
2023-08-27 13:03:07.857,8619,66,1,40,False,1,car,0 days 00:00:02.523000,0 days 01:02:07.483000,21.534722222222225,1.0
2023-08-27 13:03:08.097,9755,76,1,44,False,1,car,0 days 00:00:02.763000,0 days 01:02:07.723000,26.601388888888888,1.0
2023-08-27 13:03:08.337,10611,84,1,50,False,1,car,0 days 00:00:03.003000,0 days 01:02:07.963000,32.20138888888889,1.0
2023-08-27 13:03:08.497,11567,91,1,55,False,1,car,0 days 00:00:03.163000,0 days 01:02:08.123000,36.24583333333333,1.0
2023-08-27 13:03:08.897,12646,108,1,64,False,1,car,0 days 00:00:03.563000,0 days 01:02:08.523000,48.24583333333334,1.0
2023-08-27 13:03:09.137,11311,117,1,69,False,1,car,0 days 00:00:03.803000,0 days 01:02:08.763000,56.04583333333333,1.0
2023-08-27 13:03:09.497,10484,135,2,87,False,1,car,0 days 00:00:04.163000,0 days 01:02:09.123000,69.54583333333333,1.0
2023-08-27 13:03:09.697,10855,146,3,100,False,1,car,0 days 00:00:04.363000,0 days 01:02:09.323000,77.65694444444445,1.0
2023-08-27 13:03:09.857,11266,151,3,100,False,1,car,0 days 00:00:04.523000,0 days 01:02:09.483000,84.36805555555553,1.0
2023-08-27 13:03:10.176,10508,160,4,100,False,1,car,0 days 00:00:04.842000,0 days 01:02:09.802000,98.5458333333333,1.0
