Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-04-02 05:03:18.830,10882,0,1,24,False,1,car,0 days 00:00:00.145000,0 days 01:02:17.008000,0.0,1.0
2023-04-02 05:03:19.030,11034,0,1,24,False,1,car,0 days 00:00:00.345000,0 days 01:02:17.208000,0.0,1.0
2023-04-02 05:03:19.349,8934,11,1,27,False,1,car,0 days 00:00:00.664000,0 days 01:02:17.527000,0.9747222222222224,1.0
2023-04-02 05:03:19.549,7534,17,1,35,False,1,car,0 days 00:00:00.864000,0 days 01:02:17.727000,1.9191666666666667,1.0
2023-04-02 05:03:19.869,5349,27,1,41,False,1,car,0 days 00:00:01.184000,0 days 01:02:18.047000,4.319166666666666,1.0
2023-04-02 05:03:20.069,5610,31,1,41,False,1,car,0 days 00:00:01.384000,0 days 01:02:18.247000,6.041388888888887,1.0
2023-04-02 05:03:20.309,5873,42,1,50,False,1,car,0 days 00:00:01.624000,0 days 01:02:18.487000,8.84138888888889,1.0
2023-04-02 05:03:20.629,7438,54,1,57,False,1,car,0 days 00:00:01.944000,0 days 01:02:18.807000,13.641388888888887,1.0
2023-04-02 05:03:20.869,8563,66,1,55,False,1,car,0 days 00:00:02.184000,0 days 01:02:19.047000,18.04138888888889,1.0
2023-04-02 05:03:21.109,9319,70,1,64,False,1,car,0 days 00:00:02.424000,0 days 01:02:19.287000,22.70805555555555,1.0
2023-04-02 05:03:21.309,10500,78,1,69,False,1,car,0 days 00:00:02.624000,0 days 01:02:19.487000,27.04138888888889,1.0
2023-04-02 05:03:21.469,10975,91,1,69,False,1,car,0 days 00:00:02.784000,0 days 01:02:19.647000,31.085833333333326,1.0
2023-04-02 05:03:21.709,9295,100,2,77,False,1,car,0 days 00:00:03.024000,0 days 01:02:19.887000,37.7525,1.0
2023-04-02 05:03:21.869,9423,104,2,77,False,1,car,0 days 00:00:03.184000,0 days 01:02:20.047000,42.374722222222225,1.0
2023-04-02 05:03:22.070,10772,119,2,82,False,1,car,0 days 00:00:03.385000,0 days 01:02:20.248000,49.01888888888888,1.0
2023-04-02 05:03:22.310,11533,129,2,100,False,1,car,0 days 00:00:03.625000,0 days 01:02:20.488000,57.61888888888889,1.0
2023-04-02 05:03:22.510,10413,138,3,100,False,1,car,0 days 00:00:03.825000,0 days 01:02:20.688000,65.28555555555556,1.0
2023-04-02 05:03:22.790,10730,153,3,100,False,1,car,0 days 00:00:04.105000,0 days 01:02:20.968000,77.18555555555557,1.0
2023-04-02 05:03:23.030,11588,162,3,100,False,1,car,0 days 00:00:04.345000,0 days 01:02:21.208000,87.98555555555554,1.0
2023-04-02 05:03:23.270,10472,175,3,100,False,1,car,0 days 00:00:04.585000,0 days 01:02:21.448000,99.6522222222222,1.0
2023-04-02 05:03:23.550,10725,186,4,100,False,1,car,0 days 00:00:04.865000,0 days 01:02:21.728000,114.11888888888889,1.0
2023-04-02 05:03:23.710,11306,186,4,100,False,1,car,0 days 00:00:05.025000,0 days 01:02:21.888000,122.38555555555556,1.0
2023-04-02 05:03:24.030,11706,200,4,100,False,1,car,0 days 00:00:05.345000,0 days 01:02:22.208000,140.1633333333333,1.0
2023-04-02 05:03:24.350,10143,209,5,100,False,1,car,0 days 00:00:05.665000,0 days 01:02:22.528000,158.74111111111108,1.0
2023-04-02 05:03:24.630,10737,211,5,100,False,1,car,0 days 00:00:05.945000,0 days 01:02:22.808000,175.1522222222222,1.0
2023-04-02 05:03:24.830,10831,211,5,100,False,1,car,0 days 00:00:06.145000,0 days 01:02:23.008000,186.87444444444438,1.0
2023-04-02 05:03:25.110,10967,214,5,100,False,1,car,0 days 00:00:06.425000,0 days 01:02:23.288000,203.51888888888885,1.0
2023-04-02 05:03:25.430,11099,216,5,100,True,1,car,0 days 00:00:06.745000,0 days 01:02:23.608000,222.71888888888887,1.0
