Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-04-02 05:03:18.830,11036,0,1,22,False,1,car,0 days 00:00:00.145000,0 days 01:02:17.008000,0.0,1.0
2023-04-02 05:03:19.030,11059,0,1,22,False,1,car,0 days 00:00:00.345000,0 days 01:02:17.208000,0.0,1.0
2023-04-02 05:03:19.349,9528,9,1,23,False,1,car,0 days 00:00:00.664000,0 days 01:02:17.527000,0.7975000000000001,1.0
2023-04-02 05:03:19.549,8128,16,1,24,False,1,car,0 days 00:00:00.864000,0 days 01:02:17.727000,1.6863888888888887,1.0
2023-04-02 05:03:19.869,5888,26,1,29,False,1,car,0 days 00:00:01.184000,0 days 01:02:18.047000,3.9974999999999996,1.0
2023-04-02 05:03:20.069,4488,33,1,36,False,1,car,0 days 00:00:01.384000,0 days 01:02:18.247000,5.830833333333333,1.0
2023-04-02 05:03:20.309,5079,40,1,41,False,1,car,0 days 00:00:01.624000,0 days 01:02:18.487000,8.497500000000002,1.0
2023-04-02 05:03:20.629,6932,52,1,54,False,1,car,0 days 00:00:01.944000,0 days 01:02:18.807000,13.119722222222222,1.0
2023-04-02 05:03:20.869,8612,60,1,62,False,1,car,0 days 00:00:02.184000,0 days 01:02:19.047000,17.119722222222226,1.0
2023-04-02 05:03:21.109,10222,68,1,55,False,1,car,0 days 00:00:02.424000,0 days 01:02:19.287000,21.653055555555554,1.0
2023-04-02 05:03:21.309,9886,80,1,61,False,1,car,0 days 00:00:02.624000,0 days 01:02:19.487000,26.097500000000004,1.0
2023-04-02 05:03:21.469,10726,88,1,71,False,1,car,0 days 00:00:02.784000,0 days 01:02:19.647000,30.008611111111108,1.0
2023-04-02 05:03:21.709,9847,97,2,84,False,1,car,0 days 00:00:03.024000,0 days 01:02:19.887000,36.47527777777778,1.0
2023-04-02 05:03:21.869,10687,106,2,83,False,1,car,0 days 00:00:03.184000,0 days 01:02:20.047000,41.18638888888889,1.0
2023-04-02 05:03:22.070,11726,116,2,90,False,1,car,0 days 00:00:03.385000,0 days 01:02:20.248000,47.663055555555545,1.0
2023-04-02 05:03:22.310,11210,121,2,99,False,1,car,0 days 00:00:03.625000,0 days 01:02:20.488000,55.72972222222222,1.0
2023-04-02 05:03:22.510,9996,136,2,99,False,1,car,0 days 00:00:03.825000,0 days 01:02:20.688000,63.285277777777786,1.0
2023-04-02 05:03:22.790,10908,152,3,99,False,1,car,0 days 00:00:04.105000,0 days 01:02:20.968000,75.10750000000002,1.0
2023-04-02 05:03:23.030,11541,161,3,98,False,1,car,0 days 00:00:04.345000,0 days 01:02:21.208000,85.84083333333332,1.0
2023-04-02 05:03:23.270,11721,173,3,98,False,1,car,0 days 00:00:04.585000,0 days 01:02:21.448000,97.37416666666667,1.0
2023-04-02 05:03:23.550,10884,185,4,98,False,1,car,0 days 00:00:04.865000,0 days 01:02:21.728000,111.76305555555557,1.0
2023-04-02 05:03:23.710,11233,188,4,99,False,1,car,0 days 00:00:05.025000,0 days 01:02:21.888000,120.11861111111114,1.0
2023-04-02 05:03:24.030,11848,198,4,99,False,1,car,0 days 00:00:05.345000,0 days 01:02:22.208000,137.7186111111111,1.0
2023-04-02 05:03:24.350,10552,210,5,99,False,1,car,0 days 00:00:05.665000,0 days 01:02:22.528000,156.3852777777778,1.0
2023-04-02 05:03:24.630,10799,213,5,99,False,1,car,0 days 00:00:05.945000,0 days 01:02:22.808000,172.95194444444448,1.0
2023-04-02 05:03:24.830,10991,213,5,99,False,1,car,0 days 00:00:06.145000,0 days 01:02:23.008000,184.78527777777776,1.0
2023-04-02 05:03:25.110,10991,218,5,99,False,1,car,0 days 00:00:06.425000,0 days 01:02:23.288000,201.74083333333334,1.0
2023-04-02 05:03:25.430,10991,218,5,99,False,1,car,0 days 00:00:06.745000,0 days 01:02:23.608000,221.11861111111114,1.0
2023-04-02 05:03:25.590,11180,218,5,99,False,1,car,0 days 00:00:06.905000,0 days 01:02:23.768000,230.80750000000003,1.0
2023-04-02 05:03:25.910,11280,223,5,99,False,1,car,0 days 00:00:07.225000,0 days 01:02:24.088000,250.62972222222223,1.0
2023-04-02 05:03:26.349,10434,239,6,99,False,1,car,0 days 00:00:07.664000,0 days 01:02:24.527000,279.77444444444444,1.0
2023-04-02 05:03:26.549,10665,250,6,99,False,1,car,0 days 00:00:07.864000,0 days 01:02:24.727000,293.66333333333336,1.0
2023-04-02 05:03:26.749,11076,255,6,100,False,1,car,0 days 00:00:08.064000,0 days 01:02:24.927000,307.83000000000004,1.0
2023-04-02 05:03:26.989,10741,257,6,6,True,1,car,0 days 00:00:08.304000,0 days 01:02:25.167000,324.96333333333337,1.0
2023-04-02 05:03:27.349,10721,217,6,0,True,1,car,0 days 00:00:08.664000,0 days 01:02:25.527000,346.66333333333336,1.0
2023-04-02 05:03:28.470,10626,152,3,5,True,1,car,0 days 00:00:09.785000,0 days 01:02:26.648000,393.99444444444447,1.0
2023-04-02 05:03:28.910,9614,138,3,11,True,1,car,0 days 00:00:10.225000,0 days 01:02:27.088000,410.86111111111114,1.0
2023-04-02 05:03:29.070,8877,130,3,0,True,1,car,0 days 00:00:10.385000,0 days 01:02:27.248000,416.6388888888889,1.0
2023-04-02 05:03:29.390,8204,120,3,0,True,1,car,0 days 00:00:10.705000,0 days 01:02:27.568000,427.3055555555556,1.0
2023-04-02 05:03:29.590,7675,115,3,0,True,1,car,0 days 00:00:10.905000,0 days 01:02:27.768000,433.69444444444446,1.0
2023-04-02 05:03:29.750,7649,110,3,0,True,1,car,0 days 00:00:11.065000,0 days 01:02:27.928000,438.58333333333337,1.0
2023-04-02 05:03:29.910,7257,110,3,0,True,1,car,0 days 00:00:11.225000,0 days 01:02:28.088000,443.4722222222223,1.0
2023-04-02 05:03:30.110,7058,104,3,0,True,1,car,0 days 00:00:11.425000,0 days 01:02:28.288000,449.2500000000001,1.0
2023-04-02 05:03:30.430,7225,101,3,31,False,1,car,0 days 00:00:11.745000,0 days 01:02:28.608000,458.2277777777779,1.0
2023-04-02 05:03:30.750,7567,107,3,52,False,1,car,0 days 00:00:12.065000,0 days 01:02:28.928000,467.738888888889,1.0
2023-04-02 05:03:31.030,7864,111,3,46,False,1,car,0 days 00:00:12.345000,0 days 01:02:29.208000,476.3722222222224,1.0
2023-04-02 05:03:31.430,8888,121,3,76,False,1,car,0 days 00:00:12.745000,0 days 01:02:29.608000,489.8166666666668,1.0
2023-04-02 05:03:31.670,9696,133,3,76,False,1,car,0 days 00:00:12.985000,0 days 01:02:29.848000,498.68333333333345,1.0
2023-04-02 05:03:32.070,10640,150,3,92,False,1,car,0 days 00:00:13.385000,0 days 01:02:30.248000,515.3500000000001,1.0
2023-04-02 05:03:32.310,10743,158,3,90,False,1,car,0 days 00:00:13.625000,0 days 01:02:30.488000,525.8833333333334,1.0
2023-04-02 05:03:32.630,10328,169,4,91,False,1,car,0 days 00:00:13.945000,0 days 01:02:30.808000,540.9055555555557,1.0
2023-04-02 05:03:32.870,10736,178,4,95,False,1,car,0 days 00:00:14.185000,0 days 01:02:31.048000,552.7722222222224,1.0
2023-04-02 05:03:33.069,11236,186,4,99,False,1,car,0 days 00:00:14.384000,0 days 01:02:31.247000,563.053888888889,1.0
2023-04-02 05:03:33.509,11728,198,4,99,False,1,car,0 days 00:00:14.824000,0 days 01:02:31.687000,587.2538888888889,1.0
2023-04-02 05:03:33.709,11308,203,5,99,False,1,car,0 days 00:00:15.024000,0 days 01:02:31.887000,598.5316666666666,1.0
2023-04-02 05:03:33.949,10720,209,5,99,False,1,car,0 days 00:00:15.264000,0 days 01:02:32.127000,612.465,1.0
2023-04-02 05:03:34.149,10876,212,5,99,False,1,car,0 days 00:00:15.464000,0 days 01:02:32.327000,624.2427777777779,1.0
2023-04-02 05:03:34.469,11088,217,5,99,False,1,car,0 days 00:00:15.784000,0 days 01:02:32.647000,643.5316666666668,1.0
2023-04-02 05:03:34.789,11790,232,5,99,False,1,car,0 days 00:00:16.104000,0 days 01:02:32.967000,664.1538888888889,1.0
2023-04-02 05:03:34.989,11230,235,5,99,False,1,car,0 days 00:00:16.304000,0 days 01:02:33.167000,677.2094444444444,1.0
