Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-04-02 05:03:18.830,9509,0,1,26,False,1,car,0 days 00:00:00.145000,0 days 01:02:17.008000,0.0,1.0
2023-04-02 05:03:19.030,9133,0,1,26,False,1,car,0 days 00:00:00.345000,0 days 01:02:17.208000,0.0,1.0
2023-04-02 05:03:19.349,6893,10,1,23,False,1,car,0 days 00:00:00.664000,0 days 01:02:17.527000,0.8861111111111113,1.0
2023-04-02 05:03:19.549,5493,10,1,23,False,1,car,0 days 00:00:00.864000,0 days 01:02:17.727000,1.4416666666666667,1.0
2023-04-02 05:03:19.869,4419,24,1,25,False,1,car,0 days 00:00:01.184000,0 days 01:02:18.047000,3.5749999999999993,1.0
2023-04-02 05:03:20.069,4547,35,1,30,False,1,car,0 days 00:00:01.384000,0 days 01:02:18.247000,5.519444444444443,1.0
2023-04-02 05:03:20.309,5073,46,1,41,False,1,car,0 days 00:00:01.624000,0 days 01:02:18.487000,8.586111111111112,1.0
2023-04-02 05:03:20.629,6893,58,1,53,False,1,car,0 days 00:00:01.944000,0 days 01:02:18.807000,13.741666666666665,1.0
2023-04-02 05:03:20.869,8573,65,1,57,False,1,car,0 days 00:00:02.184000,0 days 01:02:19.047000,18.075000000000003,1.0
2023-04-02 05:03:21.109,9006,77,1,56,False,1,car,0 days 00:00:02.424000,0 days 01:02:19.287000,23.208333333333332,1.0
2023-04-02 05:03:21.309,9733,85,1,69,False,1,car,0 days 00:00:02.624000,0 days 01:02:19.487000,27.930555555555557,1.0
2023-04-02 05:03:21.469,10433,85,1,74,False,1,car,0 days 00:00:02.784000,0 days 01:02:19.647000,31.70833333333333,1.0
2023-04-02 05:03:21.709,11843,104,1,80,False,1,car,0 days 00:00:03.024000,0 days 01:02:19.887000,38.641666666666666,1.0
2023-04-02 05:03:21.869,11143,104,1,83,False,1,car,0 days 00:00:03.184000,0 days 01:02:20.047000,43.26388888888889,1.0
2023-04-02 05:03:22.070,11400,118,2,97,False,1,car,0 days 00:00:03.385000,0 days 01:02:20.248000,49.85222222222222,1.0
2023-04-02 05:03:22.310,12098,128,2,100,False,1,car,0 days 00:00:03.625000,0 days 01:02:20.488000,58.385555555555555,1.0
2023-04-02 05:03:22.510,10807,143,2,100,False,1,car,0 days 00:00:03.825000,0 days 01:02:20.688000,66.33000000000001,1.0
2023-04-02 05:03:22.790,11446,153,3,100,False,1,car,0 days 00:00:04.105000,0 days 01:02:20.968000,78.23000000000002,1.0
2023-04-02 05:03:23.030,10630,166,3,100,False,1,car,0 days 00:00:04.345000,0 days 01:02:21.208000,89.29666666666665,1.0
2023-04-02 05:03:23.270,10971,174,4,100,False,1,car,0 days 00:00:04.585000,0 days 01:02:21.448000,100.89666666666666,1.0
2023-04-02 05:03:23.550,11479,182,4,100,False,1,car,0 days 00:00:04.865000,0 days 01:02:21.728000,115.05222222222223,1.0
2023-04-02 05:03:23.710,11479,182,4,100,False,1,car,0 days 00:00:05.025000,0 days 01:02:21.888000,123.14111111111112,1.0
2023-04-02 05:03:24.030,11653,182,4,100,False,1,car,0 days 00:00:05.345000,0 days 01:02:22.208000,139.31888888888886,1.0
2023-04-02 05:03:24.350,11844,189,4,100,False,1,car,0 days 00:00:05.665000,0 days 01:02:22.528000,156.11888888888888,1.0
2023-04-02 05:03:24.630,11844,189,4,100,False,1,car,0 days 00:00:05.945000,0 days 01:02:22.808000,170.8188888888889,1.0
2023-04-02 05:03:24.830,11704,192,4,100,False,1,car,0 days 00:00:06.145000,0 days 01:02:23.008000,181.48555555555552,1.0
2023-04-02 05:03:25.110,10556,192,4,100,False,1,car,0 days 00:00:06.425000,0 days 01:02:23.288000,196.41888888888886,1.0
2023-04-02 05:03:25.430,10619,195,6,100,False,1,car,0 days 00:00:06.745000,0 days 01:02:23.608000,213.7522222222222,1.0
2023-04-02 05:03:25.590,10673,226,6,100,False,1,car,0 days 00:00:06.905000,0 days 01:02:23.768000,223.79666666666665,1.0
2023-04-02 05:03:25.910,10926,239,5,100,False,1,car,0 days 00:00:07.225000,0 days 01:02:24.088000,245.04111111111106,1.0
2023-04-02 05:03:26.349,11510,247,6,100,False,1,car,0 days 00:00:07.664000,0 days 01:02:24.527000,275.16138888888884,1.0
2023-04-02 05:03:26.549,11036,243,6,0,True,1,car,0 days 00:00:07.864000,0 days 01:02:24.727000,288.66138888888884,1.0
