Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-04-02 05:03:18.830,11009,0,1,29,True,1,car,0 days 00:00:00.145000,0 days 01:02:17.008000,0.0,1.0
2023-04-02 05:03:19.030,11010,0,1,29,False,1,car,0 days 00:00:00.345000,0 days 01:02:17.208000,0.0,1.0
2023-04-02 05:03:19.349,8770,5,1,28,False,1,car,0 days 00:00:00.664000,0 days 01:02:17.527000,0.44305555555555565,1.0
2023-04-02 05:03:19.549,7370,11,1,27,False,1,car,0 days 00:00:00.864000,0 days 01:02:17.727000,1.0541666666666667,1.0
2023-04-02 05:03:19.869,5813,24,1,31,False,1,car,0 days 00:00:01.184000,0 days 01:02:18.047000,3.1874999999999996,1.0
2023-04-02 05:03:20.069,5939,30,1,36,False,1,car,0 days 00:00:01.384000,0 days 01:02:18.247000,4.854166666666666,1.0
2023-04-02 05:03:20.309,5129,37,1,43,False,1,car,0 days 00:00:01.624000,0 days 01:02:18.487000,7.320833333333335,1.0
2023-04-02 05:03:20.629,6583,49,1,48,False,1,car,0 days 00:00:01.944000,0 days 01:02:18.807000,11.676388888888887,1.0
2023-04-02 05:03:20.869,8130,61,1,55,False,1,car,0 days 00:00:02.184000,0 days 01:02:19.047000,15.743055555555557,1.0
2023-04-02 05:03:21.109,9127,70,1,60,False,1,car,0 days 00:00:02.424000,0 days 01:02:19.287000,20.409722222222218,1.0
2023-04-02 05:03:21.309,9827,78,1,67,False,1,car,0 days 00:00:02.624000,0 days 01:02:19.487000,24.743055555555557,1.0
2023-04-02 05:03:21.469,10947,87,1,69,False,1,car,0 days 00:00:02.784000,0 days 01:02:19.647000,28.609722222222217,1.0
2023-04-02 05:03:21.709,9822,95,2,76,False,1,car,0 days 00:00:03.024000,0 days 01:02:19.887000,34.94305555555556,1.0
2023-04-02 05:03:21.869,10088,105,2,78,False,1,car,0 days 00:00:03.184000,0 days 01:02:20.047000,39.60972222222223,1.0
2023-04-02 05:03:22.070,10703,113,2,94,False,1,car,0 days 00:00:03.385000,0 days 01:02:20.248000,45.91888888888889,1.0
2023-04-02 05:03:22.310,11548,118,3,93,False,1,car,0 days 00:00:03.625000,0 days 01:02:20.488000,53.78555555555556,1.0
2023-04-02 05:03:22.510,12000,132,3,100,False,1,car,0 days 00:00:03.825000,0 days 01:02:20.688000,61.118888888888904,1.0
2023-04-02 05:03:22.790,11431,146,3,100,False,1,car,0 days 00:00:04.105000,0 days 01:02:20.968000,72.47444444444447,1.0
2023-04-02 05:03:23.030,10069,156,4,100,False,1,car,0 days 00:00:04.345000,0 days 01:02:21.208000,82.87444444444445,1.0
2023-04-02 05:03:23.270,10794,168,4,100,False,1,car,0 days 00:00:04.585000,0 days 01:02:21.448000,94.07444444444445,1.0
2023-04-02 05:03:23.550,11464,177,4,100,False,1,car,0 days 00:00:04.865000,0 days 01:02:21.728000,107.84111111111113,1.0
2023-04-02 05:03:23.710,10764,184,4,100,False,1,car,0 days 00:00:05.025000,0 days 01:02:21.888000,116.01888888888891,1.0
2023-04-02 05:03:24.030,10305,191,5,100,False,1,car,0 days 00:00:05.345000,0 days 01:02:22.208000,132.99666666666667,1.0
2023-04-02 05:03:24.350,10995,204,5,100,False,1,car,0 days 00:00:05.665000,0 days 01:02:22.528000,151.13000000000002,1.0
2023-04-02 05:03:24.630,11310,212,5,100,False,1,car,0 days 00:00:05.945000,0 days 01:02:22.808000,167.61888888888893,1.0
2023-04-02 05:03:24.830,10759,218,5,100,False,1,car,0 days 00:00:06.145000,0 days 01:02:23.008000,179.73,1.0
2023-04-02 05:03:25.110,9988,225,6,89,False,1,car,0 days 00:00:06.425000,0 days 01:02:23.288000,197.23000000000002,1.0
2023-04-02 05:03:25.430,10534,230,6,77,False,1,car,0 days 00:00:06.745000,0 days 01:02:23.608000,217.67444444444448,1.0
2023-04-02 05:03:25.590,10669,233,6,72,False,1,car,0 days 00:00:06.905000,0 days 01:02:23.768000,228.03000000000003,1.0
2023-04-02 05:03:25.910,10762,234,6,69,True,1,car,0 days 00:00:07.225000,0 days 01:02:24.088000,248.82999999999998,1.0
