Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-10-29 20:03:18.370,9776,0,1,19,False,1,car,0 days 00:00:00.048000,0 days 01:02:18.289000,0.0,1.0
2023-10-29 20:03:18.570,9737,0,1,19,False,1,car,0 days 00:00:00.248000,0 days 01:02:18.489000,0.0,1.0
2023-10-29 20:03:18.770,9611,3,1,19,False,1,car,0 days 00:00:00.448000,0 days 01:02:18.689000,0.16666666666666666,1.0
2023-10-29 20:03:18.930,9191,7,1,22,False,1,car,0 days 00:00:00.608000,0 days 01:02:18.849000,0.47777777777777775,1.0
2023-10-29 20:03:19.170,7511,16,1,24,False,1,car,0 days 00:00:00.848000,0 days 01:02:19.089000,1.5444444444444443,1.0
2023-10-29 20:03:19.410,5831,19,1,30,False,1,car,0 days 00:00:01.088000,0 days 01:02:19.329000,2.811111111111112,1.0
2023-10-29 20:03:19.610,4431,30,1,40,False,1,car,0 days 00:00:01.288000,0 days 01:02:19.529000,4.477777777777778,1.0
2023-10-29 20:03:20.050,5320,44,1,48,False,1,car,0 days 00:00:01.728000,0 days 01:02:19.969000,9.855555555555554,1.0
2023-10-29 20:03:20.450,7242,58,1,52,False,1,car,0 days 00:00:02.128000,0 days 01:02:20.369000,16.3,1.0
2023-10-29 20:03:20.690,8503,70,1,58,False,1,car,0 days 00:00:02.368000,0 days 01:02:20.609000,20.96666666666666,1.0
2023-10-29 20:03:21.090,10780,85,1,64,False,1,car,0 days 00:00:02.768000,0 days 01:02:21.009000,30.411111111111104,1.0
2023-10-29 20:03:21.450,11663,89,1,67,False,1,car,0 days 00:00:03.128000,0 days 01:02:21.369000,39.31111111111111,1.0
2023-10-29 20:03:21.850,10107,111,1,76,False,1,car,0 days 00:00:03.528000,0 days 01:02:21.769000,51.64444444444444,1.0
2023-10-29 20:03:22.051,11227,120,2,82,False,1,car,0 days 00:00:03.729000,0 days 01:02:21.970000,58.34444444444444,1.0
2023-10-29 20:03:22.291,10749,133,2,90,False,1,car,0 days 00:00:03.969000,0 days 01:02:22.210000,67.2111111111111,1.0
2023-10-29 20:03:22.451,10171,137,3,89,False,1,car,0 days 00:00:04.129000,0 days 01:02:22.370000,73.29999999999997,1.0
2023-10-29 20:03:22.691,10950,151,3,99,False,1,car,0 days 00:00:04.369000,0 days 01:02:22.610000,83.36666666666665,1.0
2023-10-29 20:03:23.131,10150,167,3,99,False,1,car,0 days 00:00:04.809000,0 days 01:02:23.050000,103.77777777777777,1.0
2023-10-29 20:03:23.531,11213,183,4,99,False,1,car,0 days 00:00:05.209000,0 days 01:02:23.450000,124.11111111111107,1.0
2023-10-29 20:03:23.810,11270,194,4,99,False,1,car,0 days 00:00:05.488000,0 days 01:02:23.729000,139.1461111111111,1.0
2023-10-29 20:03:24.170,10744,206,5,99,False,1,car,0 days 00:00:05.848000,0 days 01:02:24.089000,159.74611111111108,1.0
2023-10-29 20:03:24.450,10994,211,5,99,False,1,car,0 days 00:00:06.128000,0 days 01:02:24.369000,176.1572222222222,1.0
