Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-05-28 13:03:04.025,10272,0,1,30,False,1,car,0 days 00:00:00.098000,0 days 01:02:03.048000,0.0,1.0
2023-05-28 13:03:04.305,10036,0,1,31,False,1,car,0 days 00:00:00.378000,0 days 01:02:03.328000,0.0,1.0
2023-05-28 13:03:04.545,8356,7,1,32,False,1,car,0 days 00:00:00.618000,0 days 01:02:03.568000,0.4666666666666666,1.0
2023-05-28 13:03:04.785,6676,13,1,32,False,1,car,0 days 00:00:00.858000,0 days 01:02:03.808000,1.3333333333333333,1.0
2023-05-28 13:03:05.105,4937,25,1,32,False,1,car,0 days 00:00:01.178000,0 days 01:02:04.128000,3.5555555555555554,1.0
2023-05-28 13:03:05.385,4806,27,1,34,False,1,car,0 days 00:00:01.458000,0 days 01:02:04.408000,5.655555555555555,1.0
2023-05-28 13:03:05.625,5196,40,1,35,False,1,car,0 days 00:00:01.698000,0 days 01:02:04.648000,8.322222222222221,1.0
2023-05-28 13:03:05.785,5576,43,1,41,False,1,car,0 days 00:00:01.858000,0 days 01:02:04.808000,10.233333333333334,1.0
2023-05-28 13:03:05.985,6578,49,1,45,False,1,car,0 days 00:00:02.058000,0 days 01:02:05.008000,12.955555555555552,1.0
2023-05-28 13:03:06.185,7733,55,1,52,False,1,car,0 days 00:00:02.258000,0 days 01:02:05.208000,16.01111111111111,1.0
2023-05-28 13:03:06.465,9276,65,1,57,False,1,car,0 days 00:00:02.538000,0 days 01:02:05.488000,21.066666666666663,1.0
2023-05-28 13:03:06.864,11617,79,1,65,False,1,car,0 days 00:00:02.937000,0 days 01:02:05.887000,29.822499999999998,1.0
2023-05-28 13:03:07.144,9797,90,1,64,False,1,car,0 days 00:00:03.217000,0 days 01:02:06.167000,36.822500000000005,1.0
2023-05-28 13:03:07.424,10450,103,2,77,False,1,car,0 days 00:00:03.497000,0 days 01:02:06.447000,44.83361111111111,1.0
2023-05-28 13:03:07.624,11850,111,2,80,False,1,car,0 days 00:00:03.697000,0 days 01:02:06.647000,51.00027777777778,1.0
2023-05-28 13:03:07.784,11570,115,2,72,False,1,car,0 days 00:00:03.857000,0 days 01:02:06.807000,56.1113888888889,1.0
2023-05-28 13:03:07.984,10170,123,3,77,False,1,car,0 days 00:00:04.057000,0 days 01:02:07.007000,62.94472222222224,1.0
2023-05-28 13:03:08.264,10790,136,3,82,False,1,car,0 days 00:00:04.337000,0 days 01:02:07.287000,73.5225,1.0
2023-05-28 13:03:08.504,11556,149,3,84,False,1,car,0 days 00:00:04.577000,0 days 01:02:07.527000,83.45583333333333,1.0
2023-05-28 13:03:08.704,10716,157,3,83,False,1,car,0 days 00:00:04.777000,0 days 01:02:07.727000,92.17805555555556,1.0
2023-05-28 13:03:08.944,10691,165,3,91,False,1,car,0 days 00:00:05.017000,0 days 01:02:07.967000,103.17805555555557,1.0
