Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-03-05 15:03:38.611,10751,0,1,26,False,1,car,0 days 00:00:00.110000,0 days 01:02:36.762000,0.0,1.0
2023-03-05 15:03:38.811,10776,0,1,26,False,1,car,0 days 00:00:00.310000,0 days 01:02:36.962000,0.0,1.0
2023-03-05 15:03:39.091,9096,6,1,25,False,1,car,0 days 00:00:00.590000,0 days 01:02:37.242000,0.46666666666666656,1.0
2023-03-05 15:03:39.451,6576,16,1,25,False,1,car,0 days 00:00:00.950000,0 days 01:02:37.602000,2.0666666666666664,1.0
2023-03-05 15:03:39.691,5641,22,1,26,False,1,car,0 days 00:00:01.190000,0 days 01:02:37.842000,3.533333333333333,1.0
2023-03-05 15:03:39.851,5733,28,1,28,False,1,car,0 days 00:00:01.350000,0 days 01:02:38.002000,4.777777777777779,1.0
2023-03-05 15:03:40.051,5412,33,1,28,False,1,car,0 days 00:00:01.550000,0 days 01:02:38.202000,6.611111111111112,1.0
2023-03-05 15:03:40.331,5412,39,1,30,False,1,car,0 days 00:00:01.830000,0 days 01:02:38.482000,9.644444444444446,1.0
2023-03-05 15:03:40.491,5645,46,1,39,False,1,car,0 days 00:00:01.990000,0 days 01:02:38.642000,11.68888888888889,1.0
2023-03-05 15:03:40.691,6589,54,1,43,False,1,car,0 days 00:00:02.190000,0 days 01:02:38.842000,14.68888888888889,1.0
2023-03-05 15:03:41.011,7043,65,1,47,False,1,car,0 days 00:00:02.510000,0 days 01:02:39.162000,20.466666666666665,1.0
2023-03-05 15:03:41.251,7743,76,1,60,False,1,car,0 days 00:00:02.750000,0 days 01:02:39.402000,25.533333333333335,1.0
2023-03-05 15:03:41.411,8863,80,1,60,False,1,car,0 days 00:00:02.910000,0 days 01:02:39.562000,29.088888888888892,1.0
2023-03-05 15:03:41.651,10543,91,1,59,False,1,car,0 days 00:00:03.150000,0 days 01:02:39.802000,35.15555555555555,1.0
2023-03-05 15:03:41.971,9114,102,2,65,False,1,car,0 days 00:00:03.470000,0 days 01:02:40.122000,44.22222222222223,1.0
2023-03-05 15:03:42.131,9742,106,2,74,False,1,car,0 days 00:00:03.630000,0 days 01:02:40.282000,48.93333333333333,1.0
2023-03-05 15:03:42.291,10289,114,2,74,False,1,car,0 days 00:00:03.790000,0 days 01:02:40.442000,54.0,1.0
2023-03-05 15:03:42.530,11140,124,2,82,False,1,car,0 days 00:00:04.029000,0 days 01:02:40.681000,62.23222222222222,1.0
2023-03-05 15:03:42.771,11035,137,2,95,False,1,car,0 days 00:00:04.270000,0 days 01:02:40.922000,71.40361111111109,1.0
2023-03-05 15:03:43.131,11825,151,3,100,False,1,car,0 days 00:00:04.630000,0 days 01:02:41.282000,86.5036111111111,1.0
2023-03-05 15:03:43.331,10565,159,3,100,False,1,car,0 days 00:00:04.830000,0 days 01:02:41.482000,95.33694444444444,1.0
2023-03-05 15:03:43.571,10602,172,4,100,False,1,car,0 days 00:00:05.070000,0 days 01:02:41.722000,106.80361111111112,1.0
2023-03-05 15:03:43.851,11422,183,4,100,False,1,car,0 days 00:00:05.350000,0 days 01:02:42.002000,121.03694444444443,1.0
2023-03-05 15:03:44.051,10756,190,4,100,False,1,car,0 days 00:00:05.550000,0 days 01:02:42.202000,131.5925,1.0
2023-03-05 15:03:44.531,10756,201,5,100,False,1,car,0 days 00:00:06.030000,0 days 01:02:42.682000,158.3925,1.0
2023-03-05 15:03:44.691,11067,207,5,100,False,1,car,0 days 00:00:06.190000,0 days 01:02:42.842000,167.59250000000003,1.0
2023-03-05 15:03:45.011,11448,212,5,100,False,1,car,0 days 00:00:06.510000,0 days 01:02:43.162000,186.43694444444444,1.0
2023-03-05 15:03:45.291,10341,222,5,100,False,1,car,0 days 00:00:06.790000,0 days 01:02:43.442000,203.70361111111112,1.0
2023-03-05 15:03:45.651,10447,228,6,100,False,1,car,0 days 00:00:07.150000,0 days 01:02:43.802000,226.50361111111113,1.0
2023-03-05 15:03:45.971,10845,236,6,100,False,1,car,0 days 00:00:07.470000,0 days 01:02:44.122000,247.48138888888886,1.0
2023-03-05 15:03:46.371,11197,243,6,100,False,1,car,0 days 00:00:07.870000,0 days 01:02:44.522000,274.4813888888889,1.0
2023-03-05 15:03:46.611,11244,247,6,100,False,1,car,0 days 00:00:08.110000,0 days 01:02:44.762000,290.9480555555555,1.0
2023-03-05 15:03:47.011,10481,252,6,100,False,1,car,0 days 00:00:08.510000,0 days 01:02:45.162000,318.9480555555555,1.0
2023-03-05 15:03:47.171,10220,255,7,100,False,1,car,0 days 00:00:08.670000,0 days 01:02:45.322000,330.28138888888884,1.0
