Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-03-05 15:03:38.611,10707,0,1,26,True,1,car,0 days 00:00:00.110000,0 days 01:02:36.762000,0.0,1.0
2023-03-05 15:03:38.811,10841,0,1,26,True,1,car,0 days 00:00:00.310000,0 days 01:02:36.962000,0.0,1.0
2023-03-05 15:03:39.091,9301,0,1,28,False,1,car,0 days 00:00:00.590000,0 days 01:02:37.242000,0.0,1.0
2023-03-05 15:03:39.451,6781,14,1,27,False,1,car,0 days 00:00:00.950000,0 days 01:02:37.602000,1.4,1.0
2023-03-05 15:03:39.691,5562,19,1,27,False,1,car,0 days 00:00:01.190000,0 days 01:02:37.842000,2.6666666666666665,1.0
2023-03-05 15:03:39.851,6389,24,1,27,False,1,car,0 days 00:00:01.350000,0 days 01:02:38.002000,3.7333333333333343,1.0
2023-03-05 15:03:40.051,6266,29,1,27,False,1,car,0 days 00:00:01.550000,0 days 01:02:38.202000,5.344444444444445,1.0
2023-03-05 15:03:40.331,6363,37,1,27,False,1,car,0 days 00:00:01.830000,0 days 01:02:38.482000,8.222222222222223,1.0
2023-03-05 15:03:40.491,5803,40,1,26,False,1,car,0 days 00:00:01.990000,0 days 01:02:38.642000,10.0,1.0
2023-03-05 15:03:40.691,5550,46,1,28,False,1,car,0 days 00:00:02.190000,0 days 01:02:38.842000,12.555555555555555,1.0
2023-03-05 15:03:41.011,6545,57,1,41,False,1,car,0 days 00:00:02.510000,0 days 01:02:39.162000,17.62222222222222,1.0
2023-03-05 15:03:41.251,7755,64,1,48,False,1,car,0 days 00:00:02.750000,0 days 01:02:39.402000,21.888888888888893,1.0
2023-03-05 15:03:41.411,8381,71,1,53,False,1,car,0 days 00:00:02.910000,0 days 01:02:39.562000,25.04444444444445,1.0
2023-03-05 15:03:41.651,9158,78,1,57,False,1,car,0 days 00:00:03.150000,0 days 01:02:39.802000,30.244444444444447,1.0
2023-03-05 15:03:41.971,10964,90,1,69,False,1,car,0 days 00:00:03.470000,0 days 01:02:40.122000,38.244444444444454,1.0
2023-03-05 15:03:42.131,10544,99,1,81,False,1,car,0 days 00:00:03.630000,0 days 01:02:40.282000,42.644444444444446,1.0
2023-03-05 15:03:42.291,9750,103,1,82,False,1,car,0 days 00:00:03.790000,0 days 01:02:40.442000,47.22222222222223,1.0
2023-03-05 15:03:42.530,10870,114,2,100,False,1,car,0 days 00:00:04.029000,0 days 01:02:40.681000,54.79055555555556,1.0
2023-03-05 15:03:42.771,11316,122,2,100,False,1,car,0 days 00:00:04.270000,0 days 01:02:40.922000,62.957777777777764,1.0
2023-03-05 15:03:43.131,12343,137,3,99,False,1,car,0 days 00:00:04.630000,0 days 01:02:41.282000,76.65777777777778,1.0
2023-03-05 15:03:43.331,11503,145,3,100,False,1,car,0 days 00:00:04.830000,0 days 01:02:41.482000,84.71333333333334,1.0
2023-03-05 15:03:43.571,11927,152,4,100,False,1,car,0 days 00:00:05.070000,0 days 01:02:41.722000,94.84666666666668,1.0
2023-03-05 15:03:43.851,11790,163,4,100,False,1,car,0 days 00:00:05.350000,0 days 01:02:42.002000,107.52444444444443,1.0
2023-03-05 15:03:44.051,11225,171,4,100,False,1,car,0 days 00:00:05.550000,0 days 01:02:42.202000,117.02444444444444,1.0
2023-03-05 15:03:44.531,11186,189,4,100,False,1,car,0 days 00:00:06.030000,0 days 01:02:42.682000,142.22444444444446,1.0
2023-03-05 15:03:44.691,10346,191,4,100,False,1,car,0 days 00:00:06.190000,0 days 01:02:42.842000,150.71333333333337,1.0
2023-03-05 15:03:45.011,10907,205,5,100,False,1,car,0 days 00:00:06.510000,0 days 01:02:43.162000,168.93555555555554,1.0
2023-03-05 15:03:45.291,11206,210,5,100,False,1,car,0 days 00:00:06.790000,0 days 01:02:43.442000,185.26888888888888,1.0
2023-03-05 15:03:45.651,11760,221,5,100,False,1,car,0 days 00:00:07.150000,0 days 01:02:43.802000,207.3688888888889,1.0
2023-03-05 15:03:45.971,10637,228,5,100,False,1,car,0 days 00:00:07.470000,0 days 01:02:44.122000,227.63555555555553,1.0
2023-03-05 15:03:46.371,10884,237,6,100,False,1,car,0 days 00:00:07.870000,0 days 01:02:44.522000,253.96888888888887,1.0
2023-03-05 15:03:46.611,11175,241,6,100,False,1,car,0 days 00:00:08.110000,0 days 01:02:44.762000,270.0355555555555,1.0
2023-03-05 15:03:47.011,11447,249,6,100,False,1,car,0 days 00:00:08.510000,0 days 01:02:45.162000,297.7022222222222,1.0
2023-03-05 15:03:47.171,11497,251,6,100,False,1,car,0 days 00:00:08.670000,0 days 01:02:45.322000,308.85777777777776,1.0
2023-03-05 15:03:47.451,11730,256,6,100,False,1,car,0 days 00:00:08.950000,0 days 01:02:45.602000,328.7688888888888,1.0
2023-03-05 15:03:47.611,11820,259,6,100,False,1,car,0 days 00:00:09.110000,0 days 01:02:45.762000,340.2799999999999,1.0
2023-03-05 15:03:48.011,10796,265,7,100,False,1,car,0 days 00:00:09.510000,0 days 01:02:46.162000,369.7244444444444,1.0
2023-03-05 15:03:48.211,10727,266,7,100,False,1,car,0 days 00:00:09.710000,0 days 01:02:46.362000,384.50222222222226,1.0
2023-03-05 15:03:48.451,10077,259,7,0,True,1,car,0 days 00:00:09.950000,0 days 01:02:46.602000,401.7688888888888,1.0
2023-03-05 15:03:48.691,9637,242,7,0,True,1,car,0 days 00:00:10.190000,0 days 01:02:46.842000,417.9022222222221,1.0
2023-03-05 15:03:48.891,9418,235,7,0,False,1,car,0 days 00:00:10.390000,0 days 01:02:47.042000,430.9577777777777,1.0
2023-03-05 15:03:49.331,9654,219,7,0,False,1,car,0 days 00:00:10.830000,0 days 01:02:47.482000,457.7244444444444,1.0
2023-03-05 15:03:49.611,9189,203,6,0,True,1,car,0 days 00:00:11.110000,0 days 01:02:47.762000,473.5133333333332,1.0
2023-03-05 15:03:49.811,9754,192,6,0,True,1,car,0 days 00:00:11.310000,0 days 01:02:47.962000,484.17999999999995,1.0
2023-03-05 15:03:50.011,9698,181,5,0,True,1,car,0 days 00:00:11.510000,0 days 01:02:48.162000,494.2355555555555,1.0
2023-03-05 15:03:50.251,8720,168,5,0,True,1,car,0 days 00:00:11.750000,0 days 01:02:48.402000,505.4355555555555,1.0
2023-03-05 15:03:50.571,9544,156,5,0,True,1,car,0 days 00:00:12.070000,0 days 01:02:48.722000,519.3022222222222,1.0
2023-03-05 15:03:50.971,7885,133,4,0,True,1,car,0 days 00:00:12.470000,0 days 01:02:49.122000,534.08,1.0
2023-03-05 15:03:51.251,8689,119,3,0,True,1,car,0 days 00:00:12.750000,0 days 01:02:49.402000,543.3355555555556,1.0
2023-03-05 15:03:51.571,7801,107,3,0,True,1,car,0 days 00:00:13.070000,0 days 01:02:49.722000,552.8466666666668,1.0
2023-03-05 15:03:51.971,8023,95,2,0,True,1,car,0 days 00:00:13.470000,0 days 01:02:50.122000,563.4022222222223,1.0
2023-03-05 15:03:52.211,7345,86,2,0,True,1,car,0 days 00:00:13.710000,0 days 01:02:50.362000,569.1355555555557,1.0
2023-03-05 15:03:52.371,6958,83,2,0,True,1,car,0 days 00:00:13.870000,0 days 01:02:50.522000,572.8244444444446,1.0
2023-03-05 15:03:52.531,6958,79,2,0,True,1,car,0 days 00:00:14.030000,0 days 01:02:50.682000,576.3355555555556,1.0
2023-03-05 15:03:52.731,6455,76,2,0,True,1,car,0 days 00:00:14.230000,0 days 01:02:50.882000,580.5577777777779,1.0
2023-03-05 15:03:52.931,6728,74,2,20,False,1,car,0 days 00:00:14.430000,0 days 01:02:51.082000,584.668888888889,1.0
2023-03-05 15:03:53.171,6498,75,2,0,False,1,car,0 days 00:00:14.670000,0 days 01:02:51.322000,589.668888888889,1.0
2023-03-05 15:03:53.411,6010,72,2,0,True,1,car,0 days 00:00:14.910000,0 days 01:02:51.562000,594.468888888889,1.0
2023-03-05 15:03:53.611,5501,69,2,3,True,1,car,0 days 00:00:15.110000,0 days 01:02:51.762000,598.3022222222223,1.0
2023-03-05 15:03:53.771,6053,65,2,17,False,1,car,0 days 00:00:15.270000,0 days 01:02:51.922000,601.1911111111112,1.0
2023-03-05 15:03:54.051,5546,68,2,0,False,1,car,0 days 00:00:15.550000,0 days 01:02:52.202000,606.4800000000001,1.0
2023-03-05 15:03:54.451,6130,69,2,13,False,1,car,0 days 00:00:15.950000,0 days 01:02:52.602000,614.1466666666668,1.0
