Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-07-09 14:03:09.871,9843,0,1,22,True,1,car,0 days 00:00:00.104000,0 days 01:02:08.835000,0.0,1.0
2023-07-09 14:03:10.031,9843,0,1,22,True,1,car,0 days 00:00:00.264000,0 days 01:02:08.995000,0.0,1.0
2023-07-09 14:03:10.231,8583,0,1,21,False,1,car,0 days 00:00:00.464000,0 days 01:02:09.195000,0.0,1.0
2023-07-09 14:03:10.431,7183,3,1,20,False,1,car,0 days 00:00:00.664000,0 days 01:02:09.395000,0.16666666666666666,1.0
2023-07-09 14:03:10.751,5677,15,1,19,False,1,car,0 days 00:00:00.984000,0 days 01:02:09.715000,1.5,1.0
2023-07-09 14:03:11.151,5757,23,1,23,False,1,car,0 days 00:00:01.384000,0 days 01:02:10.115000,4.055555555555555,1.0
2023-07-09 14:03:11.511,5334,38,1,29,False,1,car,0 days 00:00:01.744000,0 days 01:02:10.475000,7.855555555555556,1.0
2023-07-09 14:03:11.711,5873,46,1,38,False,1,car,0 days 00:00:01.944000,0 days 01:02:10.675000,10.411111111111111,1.0
2023-07-09 14:03:11.911,6385,53,1,40,False,1,car,0 days 00:00:02.144000,0 days 01:02:10.875000,13.355555555555558,1.0
2023-07-09 14:03:12.150,7085,60,1,47,False,1,car,0 days 00:00:02.383000,0 days 01:02:11.114000,17.33888888888889,1.0
2023-07-09 14:03:12.510,8657,73,1,44,False,1,car,0 days 00:00:02.743000,0 days 01:02:11.474000,24.638888888888886,1.0
2023-07-09 14:03:12.790,9736,85,1,57,False,1,car,0 days 00:00:03.023000,0 days 01:02:11.754000,31.250000000000004,1.0
2023-07-09 14:03:13.150,11415,98,1,67,False,1,car,0 days 00:00:03.383000,0 days 01:02:12.114000,41.05,1.0
2023-07-09 14:03:13.310,12535,107,1,74,False,1,car,0 days 00:00:03.543000,0 days 01:02:12.274000,45.80555555555556,1.0
2023-07-09 14:03:13.670,12115,121,2,85,False,1,car,0 days 00:00:03.903000,0 days 01:02:12.634000,57.90555555555555,1.0
2023-07-09 14:03:13.990,10913,139,2,100,False,1,car,0 days 00:00:04.223000,0 days 01:02:12.954000,70.2611111111111,1.0
2023-07-09 14:03:14.310,11558,144,3,100,False,1,car,0 days 00:00:04.543000,0 days 01:02:13.274000,83.06111111111112,1.0
2023-07-09 14:03:14.630,10558,163,3,100,False,1,car,0 days 00:00:04.863000,0 days 01:02:13.594000,97.55000000000001,1.0
2023-07-09 14:03:14.790,11144,176,4,100,False,1,car,0 days 00:00:05.023000,0 days 01:02:13.754000,105.37222222222219,1.0
