Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-07-09 14:03:09.871,9702,0,1,21,False,1,car,0 days 00:00:00.104000,0 days 01:02:08.835000,0.0,1.0
2023-07-09 14:03:10.031,9698,0,1,21,False,1,car,0 days 00:00:00.264000,0 days 01:02:08.995000,0.0,1.0
2023-07-09 14:03:10.231,8578,0,1,19,False,1,car,0 days 00:00:00.464000,0 days 01:02:09.195000,0.0,1.0
2023-07-09 14:03:10.431,7178,11,1,19,False,1,car,0 days 00:00:00.664000,0 days 01:02:09.395000,0.6111111111111112,1.0
2023-07-09 14:03:10.751,4938,21,1,20,False,1,car,0 days 00:00:00.984000,0 days 01:02:09.715000,2.4777777777777774,1.0
2023-07-09 14:03:11.151,4247,34,1,39,False,1,car,0 days 00:00:01.384000,0 days 01:02:10.115000,6.255555555555555,1.0
2023-07-09 14:03:11.511,5634,48,1,50,False,1,car,0 days 00:00:01.744000,0 days 01:02:10.475000,11.055555555555555,1.0
2023-07-09 14:03:11.711,6752,55,1,51,False,1,car,0 days 00:00:01.944000,0 days 01:02:10.675000,14.11111111111111,1.0
2023-07-09 14:03:11.911,8150,63,1,55,False,1,car,0 days 00:00:02.144000,0 days 01:02:10.875000,17.611111111111114,1.0
2023-07-09 14:03:12.150,9577,70,1,56,False,1,car,0 days 00:00:02.383000,0 days 01:02:11.114000,22.258333333333333,1.0
2023-07-09 14:03:12.510,10083,81,1,62,False,1,car,0 days 00:00:02.743000,0 days 01:02:11.474000,30.35833333333333,1.0
2023-07-09 14:03:12.790,11623,99,1,71,False,1,car,0 days 00:00:03.023000,0 days 01:02:11.754000,38.05833333333334,1.0
2023-07-09 14:03:13.150,11063,107,2,85,False,1,car,0 days 00:00:03.383000,0 days 01:02:12.114000,48.75833333333333,1.0
2023-07-09 14:03:13.310,12183,120,2,91,False,1,car,0 days 00:00:03.543000,0 days 01:02:12.274000,54.09166666666667,1.0
2023-07-09 14:03:13.670,10503,127,3,92,False,1,car,0 days 00:00:03.903000,0 days 01:02:12.634000,66.79166666666666,1.0
2023-07-09 14:03:13.990,10901,151,3,100,False,1,car,0 days 00:00:04.223000,0 days 01:02:12.954000,80.21388888888887,1.0
2023-07-09 14:03:14.310,11691,165,3,100,False,1,car,0 days 00:00:04.543000,0 days 01:02:13.274000,94.88055555555556,1.0
2023-07-09 14:03:14.630,10831,177,4,100,False,1,car,0 days 00:00:04.863000,0 days 01:02:13.594000,110.61388888888891,1.0
2023-07-09 14:03:14.790,11192,185,4,100,False,1,car,0 days 00:00:05.023000,0 days 01:02:13.754000,118.8361111111111,1.0
2023-07-09 14:03:15.030,11693,192,4,100,False,1,car,0 days 00:00:05.263000,0 days 01:02:13.994000,131.6361111111111,1.0
2023-07-09 14:03:15.311,11039,201,4,100,False,1,car,0 days 00:00:05.544000,0 days 01:02:14.275000,147.32527777777773,1.0
2023-07-09 14:03:15.551,10806,207,5,100,False,1,car,0 days 00:00:05.784000,0 days 01:02:14.515000,161.12527777777774,1.0
2023-07-09 14:03:15.911,11385,218,5,100,False,1,car,0 days 00:00:06.144000,0 days 01:02:14.875000,182.92527777777775,1.0
2023-07-09 14:03:16.071,11555,221,5,100,False,1,car,0 days 00:00:06.304000,0 days 01:02:15.035000,192.74749999999997,1.0
2023-07-09 14:03:16.351,11359,228,5,100,False,1,car,0 days 00:00:06.584000,0 days 01:02:15.315000,210.48083333333327,1.0
2023-07-09 14:03:16.551,10535,230,6,100,False,1,car,0 days 00:00:06.784000,0 days 01:02:15.515000,223.25861111111107,1.0
2023-07-09 14:03:16.911,10979,241,6,100,False,1,car,0 days 00:00:07.144000,0 days 01:02:15.875000,247.3586111111111,1.0
2023-07-09 14:03:17.111,11159,244,6,100,False,1,car,0 days 00:00:07.344000,0 days 01:02:16.075000,260.91416666666663,1.0
2023-07-09 14:03:17.351,11249,247,6,100,False,1,car,0 days 00:00:07.584000,0 days 01:02:16.315000,277.38083333333327,1.0
2023-07-09 14:03:17.831,11292,247,6,71,False,1,car,0 days 00:00:08.064000,0 days 01:02:16.795000,310.31416666666667,1.0
