Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-07-09 14:03:09.871,10165,0,1,16,False,1,car,0 days 00:00:00.104000,0 days 01:02:08.835000,0.0,1.0
2023-07-09 14:03:10.031,10165,0,1,16,False,1,car,0 days 00:00:00.264000,0 days 01:02:08.995000,0.0,1.0
2023-07-09 14:03:10.231,9185,0,1,16,False,1,car,0 days 00:00:00.464000,0 days 01:02:09.195000,0.0,1.0
2023-07-09 14:03:10.431,7785,6,1,16,False,1,car,0 days 00:00:00.664000,0 days 01:02:09.395000,0.3333333333333333,1.0
2023-07-09 14:03:10.751,5545,12,1,16,False,1,car,0 days 00:00:00.984000,0 days 01:02:09.715000,1.3999999999999997,1.0
2023-07-09 14:03:11.151,4913,24,1,17,False,1,car,0 days 00:00:01.384000,0 days 01:02:10.115000,4.0666666666666655,1.0
2023-07-09 14:03:11.511,4707,37,1,20,False,1,car,0 days 00:00:01.744000,0 days 01:02:10.475000,7.766666666666666,1.0
2023-07-09 14:03:11.711,5432,44,1,32,False,1,car,0 days 00:00:01.944000,0 days 01:02:10.675000,10.211111111111109,1.0
2023-07-09 14:03:11.911,6272,51,1,47,False,1,car,0 days 00:00:02.144000,0 days 01:02:10.875000,13.044444444444444,1.0
2023-07-09 14:03:12.150,7952,58,1,41,False,1,car,0 days 00:00:02.383000,0 days 01:02:11.114000,16.894999999999996,1.0
2023-07-09 14:03:12.510,8509,68,1,54,False,1,car,0 days 00:00:02.743000,0 days 01:02:11.474000,23.694999999999993,1.0
2023-07-09 14:03:12.790,9666,80,1,63,False,1,car,0 days 00:00:03.023000,0 days 01:02:11.754000,29.91722222222222,1.0
2023-07-09 14:03:13.150,11206,92,1,76,False,1,car,0 days 00:00:03.383000,0 days 01:02:12.114000,39.11722222222222,1.0
2023-07-09 14:03:13.310,11167,104,1,76,False,1,car,0 days 00:00:03.543000,0 days 01:02:12.274000,43.739444444444445,1.0
2023-07-09 14:03:13.670,12158,116,2,91,False,1,car,0 days 00:00:03.903000,0 days 01:02:12.634000,55.33944444444444,1.0
2023-07-09 14:03:13.990,10321,134,3,100,False,1,car,0 days 00:00:04.223000,0 days 01:02:12.954000,67.25055555555554,1.0
2023-07-09 14:03:14.310,10838,150,3,100,False,1,car,0 days 00:00:04.543000,0 days 01:02:13.274000,80.58388888888888,1.0
2023-07-09 14:03:14.630,10558,164,3,100,False,1,car,0 days 00:00:04.863000,0 days 01:02:13.594000,95.16166666666668,1.0
2023-07-09 14:03:14.790,10542,172,3,100,False,1,car,0 days 00:00:05.023000,0 days 01:02:13.754000,102.80611111111108,1.0
2023-07-09 14:03:15.030,11158,176,4,100,False,1,car,0 days 00:00:05.263000,0 days 01:02:13.994000,114.53944444444443,1.0
2023-07-09 14:03:15.311,11737,191,4,100,False,1,car,0 days 00:00:05.544000,0 days 01:02:14.275000,129.44805555555553,1.0
2023-07-09 14:03:15.551,10690,197,4,100,False,1,car,0 days 00:00:05.784000,0 days 01:02:14.515000,142.58138888888888,1.0
2023-07-09 14:03:15.911,10952,209,5,100,False,1,car,0 days 00:00:06.144000,0 days 01:02:14.875000,163.4813888888889,1.0
2023-07-09 14:03:16.071,11112,215,5,100,False,1,car,0 days 00:00:06.304000,0 days 01:02:15.035000,173.03694444444446,1.0
2023-07-09 14:03:16.351,11420,220,5,100,False,1,car,0 days 00:00:06.584000,0 days 01:02:15.315000,190.14805555555552,1.0
2023-07-09 14:03:16.551,11649,226,5,100,False,1,car,0 days 00:00:06.784000,0 days 01:02:15.515000,202.7036111111111,1.0
2023-07-09 14:03:16.911,11108,235,5,100,False,1,car,0 days 00:00:07.144000,0 days 01:02:15.875000,226.20361111111112,1.0
2023-07-09 14:03:17.111,10802,239,6,100,False,1,car,0 days 00:00:07.344000,0 days 01:02:16.075000,239.48138888888892,1.0
2023-07-09 14:03:17.351,11045,242,6,100,False,1,car,0 days 00:00:07.584000,0 days 01:02:16.315000,255.6147222222222,1.0
2023-07-09 14:03:17.831,11258,249,6,100,False,1,car,0 days 00:00:08.064000,0 days 01:02:16.795000,288.81472222222226,1.0
2023-07-09 14:03:18.031,11259,251,6,90,False,1,car,0 days 00:00:08.264000,0 days 01:02:16.995000,302.75916666666666,1.0
2023-07-09 14:03:18.351,11328,251,6,89,False,1,car,0 days 00:00:08.584000,0 days 01:02:17.315000,325.0702777777778,1.0
2023-07-09 14:03:18.631,11316,252,6,100,False,1,car,0 days 00:00:08.864000,0 days 01:02:17.595000,344.67027777777787,1.0
2023-07-09 14:03:18.791,11435,254,6,100,False,1,car,0 days 00:00:09.024000,0 days 01:02:17.755000,355.95916666666665,1.0
2023-07-09 14:03:18.950,11503,255,6,100,False,1,car,0 days 00:00:09.183000,0 days 01:02:17.914000,367.2216666666667,1.0
2023-07-09 14:03:19.150,11561,256,6,100,False,1,car,0 days 00:00:09.383000,0 days 01:02:18.114000,381.44388888888886,1.0
2023-07-09 14:03:19.470,11694,261,6,100,False,1,car,0 days 00:00:09.703000,0 days 01:02:18.434000,404.6438888888889,1.0
2023-07-09 14:03:19.630,11571,262,6,100,False,1,car,0 days 00:00:09.863000,0 days 01:02:18.594000,416.28833333333336,1.0
2023-07-09 14:03:19.790,10529,263,6,100,False,1,car,0 days 00:00:10.023000,0 days 01:02:18.754000,427.9772222222223,1.0
2023-07-09 14:03:19.950,10722,268,7,100,False,1,car,0 days 00:00:10.183000,0 days 01:02:18.914000,439.8883333333334,1.0
2023-07-09 14:03:20.230,10720,271,7,87,False,1,car,0 days 00:00:10.463000,0 days 01:02:19.194000,460.9661111111111,1.0
