Date,Status,X,Y,Z,Source,Time,SessionTime,LapNumber
2023-03-05 15:03:38.686,OnTrack,-297,3148,-159,pos,0 days 00:00:00.185000,0 days 01:02:36.837000,1.0
2023-03-05 15:03:38.946,OnTrack,-297,3148,-159,pos,0 days 00:00:00.445000,0 days 01:02:37.097000,1.0
2023-03-05 15:03:39.046,OnTrack,-297,3148,-159,pos,0 days 00:00:00.545000,0 days 01:02:37.197000,1.0
2023-03-05 15:03:39.265,OnTrack,-297,3151,-159,pos,0 days 00:00:00.764000,0 days 01:02:37.416000,1.0
2023-03-05 15:03:39.625,OnTrack,-297,3167,-159,pos,0 days 00:00:01.124000,0 days 01:02:37.776000,1.0
2023-03-05 15:03:39.826,OnTrack,-296,3182,-159,pos,0 days 00:00:01.325000,0 days 01:02:37.977000,1.0
2023-03-05 15:03:40.086,OnTrack,-295,3206,-159,pos,0 days 00:00:01.585000,0 days 01:02:38.237000,1.0
2023-03-05 15:03:40.466,OnTrack,-292,3264,-159,pos,0 days 00:00:01.965000,0 days 01:02:38.617000,1.0
2023-03-05 15:03:40.886,OnTrack,-290,3306,-159,pos,0 days 00:00:02.385000,0 days 01:02:39.037000,1.0
2023-03-05 15:03:41.086,OnTrack,-289,3341,-158,pos,0 days 00:00:02.585000,0 days 01:02:39.237000,1.0
2023-03-05 15:03:41.266,OnTrack,-288,3375,-159,pos,0 days 00:00:02.765000,0 days 01:02:39.417000,1.0
2023-03-05 15:03:41.526,OnTrack,-285,3430,-159,pos,0 days 00:00:03.025000,0 days 01:02:39.677000,1.0
2023-03-05 15:03:41.686,OnTrack,-284,3467,-159,pos,0 days 00:00:03.185000,0 days 01:02:39.837000,1.0
2023-03-05 15:03:41.886,OnTrack,-282,3517,-159,pos,0 days 00:00:03.385000,0 days 01:02:40.037000,1.0
2023-03-05 15:03:42.146,OnTrack,-278,3605,-159,pos,0 days 00:00:03.645000,0 days 01:02:40.297000,1.0
2023-03-05 15:03:42.546,OnTrack,-274,3707,-158,pos,0 days 00:00:04.045000,0 days 01:02:40.697000,1.0
2023-03-05 15:03:42.726,OnTrack,-272,3766,-158,pos,0 days 00:00:04.225000,0 days 01:02:40.877000,1.0
2023-03-05 15:03:42.906,OnTrack,-270,3828,-159,pos,0 days 00:00:04.405000,0 days 01:02:41.057000,1.0
2023-03-05 15:03:43.206,OnTrack,-266,3940,-159,pos,0 days 00:00:04.705000,0 days 01:02:41.357000,1.0
2023-03-05 15:03:43.366,OnTrack,-263,4004,-158,pos,0 days 00:00:04.865000,0 days 01:02:41.517000,1.0
2023-03-05 15:03:43.586,OnTrack,-260,4097,-158,pos,0 days 00:00:05.085000,0 days 01:02:41.737000,1.0
2023-03-05 15:03:43.826,OnTrack,-254,4271,-159,pos,0 days 00:00:05.325000,0 days 01:02:41.977000,1.0
2023-03-05 15:03:44.246,OnTrack,-247,4451,-158,pos,0 days 00:00:05.745000,0 days 01:02:42.397000,1.0
2023-03-05 15:03:44.606,OnTrack,-242,4598,-159,pos,0 days 00:00:06.105000,0 days 01:02:42.757000,1.0
2023-03-05 15:03:44.766,OnTrack,-239,4685,-158,pos,0 days 00:00:06.265000,0 days 01:02:42.917000,1.0
2023-03-05 15:03:45.066,OnTrack,-233,4851,-157,pos,0 days 00:00:06.565000,0 days 01:02:43.217000,1.0
2023-03-05 15:03:45.146,OnTrack,-232,4896,-157,pos,0 days 00:00:06.645000,0 days 01:02:43.297000,1.0
2023-03-05 15:03:45.426,OnTrack,-226,5059,-156,pos,0 days 00:00:06.925000,0 days 01:02:43.577000,1.0
2023-03-05 15:03:45.586,OnTrack,-223,5156,-155,pos,0 days 00:00:07.085000,0 days 01:02:43.737000,1.0
2023-03-05 15:03:45.905,OnTrack,-215,5402,-153,pos,0 days 00:00:07.404000,0 days 01:02:44.056000,1.0
2023-03-05 15:03:46.305,OnTrack,-208,5602,-152,pos,0 days 00:00:07.804000,0 days 01:02:44.456000,1.0
2023-03-05 15:03:46.486,OnTrack,-204,5734,-150,pos,0 days 00:00:07.985000,0 days 01:02:44.637000,1.0
2023-03-05 15:03:46.746,OnTrack,-198,5898,-149,pos,0 days 00:00:08.245000,0 days 01:02:44.897000,1.0
2023-03-05 15:03:46.846,OnTrack,-196,5982,-148,pos,0 days 00:00:08.345000,0 days 01:02:44.997000,1.0
2023-03-05 15:03:47.166,OnTrack,-189,6194,-146,pos,0 days 00:00:08.665000,0 days 01:02:45.317000,1.0
2023-03-05 15:03:47.386,OnTrack,-183,6433,-144,pos,0 days 00:00:08.885000,0 days 01:02:45.537000,1.0
2023-03-05 15:03:47.486,OnTrack,-181,6505,-143,pos,0 days 00:00:08.985000,0 days 01:02:45.637000,1.0
2023-03-05 15:03:47.686,OnTrack,-177,6651,-142,pos,0 days 00:00:09.185000,0 days 01:02:45.837000,1.0
2023-03-05 15:03:48.026,OnTrack,-171,6893,-139,pos,0 days 00:00:09.525000,0 days 01:02:46.177000,1.0
2023-03-05 15:03:48.166,OnTrack,-169,6985,-139,pos,0 days 00:00:09.665000,0 days 01:02:46.317000,1.0
2023-03-05 15:03:48.426,OnTrack,-162,7186,-137,pos,0 days 00:00:09.925000,0 days 01:02:46.577000,1.0
2023-03-05 15:03:48.806,OnTrack,-156,7368,-135,pos,0 days 00:00:10.305000,0 days 01:02:46.957000,1.0
2023-03-05 15:03:49.066,OnTrack,-149,7545,-134,pos,0 days 00:00:10.565000,0 days 01:02:47.217000,1.0
2023-03-05 15:03:49.466,OnTrack,-142,7697,-133,pos,0 days 00:00:10.965000,0 days 01:02:47.617000,1.0
2023-03-05 15:03:49.566,OnTrack,-140,7739,-132,pos,0 days 00:00:11.065000,0 days 01:02:47.717000,1.0
2023-03-05 15:03:49.766,OnTrack,-136,7817,-131,pos,0 days 00:00:11.265000,0 days 01:02:47.917000,1.0
2023-03-05 15:03:50.046,OnTrack,-130,7919,-131,pos,0 days 00:00:11.545000,0 days 01:02:48.197000,1.0
2023-03-05 15:03:50.206,OnTrack,-125,7971,-130,pos,0 days 00:00:11.705000,0 days 01:02:48.357000,1.0
2023-03-05 15:03:50.506,OnTrack,-108,8096,-129,pos,0 days 00:00:12.005000,0 days 01:02:48.657000,1.0
2023-03-05 15:03:50.866,OnTrack,-94,8149,-129,pos,0 days 00:00:12.365000,0 days 01:02:49.017000,1.0
2023-03-05 15:03:51.086,OnTrack,-65,8220,-129,pos,0 days 00:00:12.585000,0 days 01:02:49.237000,1.0
2023-03-05 15:03:51.426,OnTrack,-39,8260,-128,pos,0 days 00:00:12.925000,0 days 01:02:49.577000,1.0
2023-03-05 15:03:51.706,OnTrack,22,8317,-128,pos,0 days 00:00:13.205000,0 days 01:02:49.857000,1.0
2023-03-05 15:03:52.226,OnTrack,97,8345,-130,pos,0 days 00:00:13.725000,0 days 01:02:50.377000,1.0
2023-03-05 15:03:52.625,OnTrack,167,8339,-131,pos,0 days 00:00:14.124000,0 days 01:02:50.776000,1.0
