Date,Status,X,Y,Z,Source,Time,SessionTime,LapNumber
2023-07-02 13:02:48.312,OnTrack,994,-1238,7215,pos,0 days 00:00:00.101000,0 days 01:01:47.320000,1.0
2023-07-02 13:02:48.692,OnTrack,994,-1238,7215,pos,0 days 00:00:00.481000,0 days 01:01:47.700000,1.0
2023-07-02 13:02:48.892,OnTrack,991,-1238,7215,pos,0 days 00:00:00.681000,0 days 01:01:47.900000,1.0
2023-07-02 13:02:49.172,OnTrack,984,-1240,7215,pos,0 days 00:00:00.961000,0 days 01:01:48.180000,1.0
2023-07-02 13:02:49.512,OnTrack,958,-1247,7214,pos,0 days 00:00:01.301000,0 days 01:01:48.520000,1.0
2023-07-02 13:02:49.952,OnTrack,913,-1259,7214,pos,0 days 00:00:01.741000,0 days 01:01:48.960000,1.0
2023-07-02 13:02:50.332,OnTrack,867,-1272,7214,pos,0 days 00:00:02.121000,0 days 01:01:49.340000,1.0
2023-07-02 13:02:50.572,OnTrack,818,-1285,7214,pos,0 days 00:00:02.361000,0 days 01:01:49.580000,1.0
2023-07-02 13:02:50.832,OnTrack,774,-1297,7214,pos,0 days 00:00:02.621000,0 days 01:01:49.840000,1.0
2023-07-02 13:02:51.052,OnTrack,724,-1310,7214,pos,0 days 00:00:02.841000,0 days 01:01:50.060000,1.0
2023-07-02 13:02:51.352,OnTrack,646,-1331,7214,pos,0 days 00:00:03.141000,0 days 01:01:50.360000,1.0
2023-07-02 13:02:51.552,OnTrack,589,-1347,7214,pos,0 days 00:00:03.341000,0 days 01:01:50.560000,1.0
2023-07-02 13:02:51.852,OnTrack,478,-1377,7214,pos,0 days 00:00:03.641000,0 days 01:01:50.860000,1.0
2023-07-02 13:02:52.093,OnTrack,399,-1398,7214,pos,0 days 00:00:03.882000,0 days 01:01:51.101000,1.0
2023-07-02 13:02:52.293,OnTrack,321,-1419,7214,pos,0 days 00:00:04.082000,0 days 01:01:51.301000,1.0
2023-07-02 13:02:53.192,OnTrack,-77,-1527,7214,pos,0 days 00:00:04.981000,0 days 01:01:52.200000,1.0
2023-07-02 13:02:53.392,OnTrack,-178,-1554,7215,pos,0 days 00:00:05.181000,0 days 01:01:52.400000,1.0
2023-07-02 13:02:53.652,OnTrack,-316,-1591,7216,pos,0 days 00:00:05.441000,0 days 01:01:52.660000,1.0
2023-07-02 13:02:53.892,OnTrack,-447,-1627,7217,pos,0 days 00:00:05.681000,0 days 01:01:52.900000,1.0
2023-07-02 13:02:54.052,OnTrack,-538,-1651,7218,pos,0 days 00:00:05.841000,0 days 01:01:53.060000,1.0
2023-07-02 13:02:54.372,OnTrack,-746,-1707,7222,pos,0 days 00:00:06.161000,0 days 01:01:53.380000,1.0
2023-07-02 13:02:54.672,OnTrack,-904,-1750,7226,pos,0 days 00:00:06.461000,0 days 01:01:53.680000,1.0
2023-07-02 13:02:54.992,OnTrack,-1103,-1804,7232,pos,0 days 00:00:06.781000,0 days 01:01:54,1.0
2023-07-02 13:02:55.152,OnTrack,-1296,-1857,7239,pos,0 days 00:00:06.941000,0 days 01:01:54.160000,1.0
2023-07-02 13:02:55.412,OnTrack,-1415,-1890,7245,pos,0 days 00:00:07.201000,0 days 01:01:54.420000,1.0
2023-07-02 13:02:55.752,OnTrack,-1645,-1955,7256,pos,0 days 00:00:07.541000,0 days 01:01:54.760000,1.0
2023-07-02 13:02:55.992,OnTrack,-1852,-2012,7270,pos,0 days 00:00:07.781000,0 days 01:01:55,1.0
2023-07-02 13:02:56.252,OnTrack,-1962,-2042,7277,pos,0 days 00:00:08.041000,0 days 01:01:55.260000,1.0
2023-07-02 13:02:56.632,OnTrack,-2240,-2118,7297,pos,0 days 00:00:08.421000,0 days 01:01:55.640000,1.0
2023-07-02 13:02:56.892,OnTrack,-2296,-2133,7301,pos,0 days 00:00:08.681000,0 days 01:01:55.900000,1.0
2023-07-02 13:02:57.072,OnTrack,-2376,-2155,7307,pos,0 days 00:00:08.861000,0 days 01:01:56.080000,1.0
2023-07-02 13:02:57.452,OnTrack,-2566,-2204,7324,pos,0 days 00:00:09.241000,0 days 01:01:56.460000,1.0
2023-07-02 13:02:57.752,OnTrack,-2634,-2220,7330,pos,0 days 00:00:09.541000,0 days 01:01:56.760000,1.0
2023-07-02 13:02:57.932,OnTrack,-2691,-2230,7334,pos,0 days 00:00:09.721000,0 days 01:01:56.940000,1.0
2023-07-02 13:02:58.252,OnTrack,-2785,-2241,7343,pos,0 days 00:00:10.041000,0 days 01:01:57.260000,1.0
2023-07-02 13:02:58.432,OnTrack,-2867,-2242,7350,pos,0 days 00:00:10.221000,0 days 01:01:57.440000,1.0
2023-07-02 13:02:58.913,OnTrack,-2955,-2235,7357,pos,0 days 00:00:10.702000,0 days 01:01:57.921000,1.0
2023-07-02 13:02:59.133,OnTrack,-3010,-2224,7361,pos,0 days 00:00:10.922000,0 days 01:01:58.141000,1.0
2023-07-02 13:02:59.553,OnTrack,-3089,-2197,7372,pos,0 days 00:00:11.342000,0 days 01:01:58.561000,1.0
2023-07-02 13:02:59.732,OnTrack,-3123,-2180,7375,pos,0 days 00:00:11.521000,0 days 01:01:58.740000,1.0
2023-07-02 13:02:59.932,OnTrack,-3182,-2144,7378,pos,0 days 00:00:11.721000,0 days 01:01:58.940000,1.0
2023-07-02 13:03:00.232,OnTrack,-3214,-2119,7379,pos,0 days 00:00:12.021000,0 days 01:01:59.240000,1.0
2023-07-02 13:03:00.512,OnTrack,-3263,-2074,7381,pos,0 days 00:00:12.301000,0 days 01:01:59.520000,1.0
2023-07-02 13:03:00.712,OnTrack,-3294,-2036,7384,pos,0 days 00:00:12.501000,0 days 01:01:59.720000,1.0
2023-07-02 13:03:00.912,OnTrack,-3341,-1959,7387,pos,0 days 00:00:12.701000,0 days 01:01:59.920000,1.0
2023-07-02 13:03:01.292,OnTrack,-3379,-1887,7391,pos,0 days 00:00:13.081000,0 days 01:02:00.300000,1.0
2023-07-02 13:03:01.592,OnTrack,-3442,-1772,7395,pos,0 days 00:00:13.381000,0 days 01:02:00.600000,1.0
2023-07-02 13:03:01.852,OnTrack,-3474,-1714,7397,pos,0 days 00:00:13.641000,0 days 01:02:00.860000,1.0
2023-07-02 13:03:02.072,OnTrack,-3519,-1638,7398,pos,0 days 00:00:13.861000,0 days 01:02:01.080000,1.0
2023-07-02 13:03:02.332,OnTrack,-3582,-1546,7400,pos,0 days 00:00:14.121000,0 days 01:02:01.340000,1.0
2023-07-02 13:03:02.572,OnTrack,-3678,-1408,7402,pos,0 days 00:00:14.361000,0 days 01:02:01.580000,1.0
2023-07-02 13:03:03.052,OnTrack,-3803,-1222,7402,pos,0 days 00:00:14.841000,0 days 01:02:02.060000,1.0
2023-07-02 13:03:03.412,OnTrack,-3883,-1102,7403,pos,0 days 00:00:15.201000,0 days 01:02:02.420000,1.0
2023-07-02 13:03:03.572,OnTrack,-3933,-1025,7402,pos,0 days 00:00:15.361000,0 days 01:02:02.580000,1.0
2023-07-02 13:03:03.832,OnTrack,-4018,-897,7401,pos,0 days 00:00:15.621000,0 days 01:02:02.840000,1.0
2023-07-02 13:03:03.912,OnTrack,-4045,-857,7400,pos,0 days 00:00:15.701000,0 days 01:02:02.920000,1.0
2023-07-02 13:03:04.272,OnTrack,-4197,-627,7398,pos,0 days 00:00:16.061000,0 days 01:02:03.280000,1.0
2023-07-02 13:03:04.692,OnTrack,-4319,-442,7396,pos,0 days 00:00:16.481000,0 days 01:02:03.700000,1.0
2023-07-02 13:03:04.912,OnTrack,-4400,-319,7396,pos,0 days 00:00:16.701000,0 days 01:02:03.920000,1.0
2023-07-02 13:03:05.032,OnTrack,-4497,-171,7396,pos,0 days 00:00:16.821000,0 days 01:02:04.040000,1.0
2023-07-02 13:03:05.453,OnTrack,-4612,2,7397,pos,0 days 00:00:17.242000,0 days 01:02:04.461000,1.0
2023-07-02 13:03:05.693,OnTrack,-4720,168,7400,pos,0 days 00:00:17.482000,0 days 01:02:04.701000,1.0
2023-07-02 13:03:05.973,OnTrack,-4804,300,7402,pos,0 days 00:00:17.762000,0 days 01:02:04.981000,1.0
2023-07-02 13:03:06.232,OnTrack,-4955,546,7408,pos,0 days 00:00:18.021000,0 days 01:02:05.240000,1.0
2023-07-02 13:03:06.732,OnTrack,-5105,819,7416,pos,0 days 00:00:18.521000,0 days 01:02:05.740000,1.0
2023-07-02 13:03:06.972,OnTrack,-5175,953,7420,pos,0 days 00:00:18.761000,0 days 01:02:05.980000,1.0
2023-07-02 13:03:07.312,OnTrack,-5293,1185,7426,pos,0 days 00:00:19.101000,0 days 01:02:06.320000,1.0
2023-07-02 13:03:07.472,OnTrack,-5349,1296,7429,pos,0 days 00:00:19.261000,0 days 01:02:06.480000,1.0
2023-07-02 13:03:07.632,OnTrack,-5405,1407,7432,pos,0 days 00:00:19.421000,0 days 01:02:06.640000,1.0
2023-07-02 13:03:07.812,OnTrack,-5467,1533,7435,pos,0 days 00:00:19.601000,0 days 01:02:06.820000,1.0
2023-07-02 13:03:08.112,OnTrack,-5605,1818,7442,pos,0 days 00:00:19.901000,0 days 01:02:07.120000,1.0
2023-07-02 13:03:08.592,OnTrack,-5746,2114,7450,pos,0 days 00:00:20.381000,0 days 01:02:07.600000,1.0
2023-07-02 13:03:08.812,OnTrack,-5801,2231,7454,pos,0 days 00:00:20.601000,0 days 01:02:07.820000,1.0
2023-07-02 13:03:09.032,OnTrack,-5877,2393,7461,pos,0 days 00:00:20.821000,0 days 01:02:08.040000,1.0
2023-07-02 13:03:09.232,OnTrack,-5946,2542,7467,pos,0 days 00:00:21.021000,0 days 01:02:08.240000,1.0
2023-07-02 13:03:09.612,OnTrack,-6138,2926,7490,pos,0 days 00:00:21.401000,0 days 01:02:08.620000,1.0
2023-07-02 13:03:09.852,OnTrack,-6178,2997,7495,pos,0 days 00:00:21.641000,0 days 01:02:08.860000,1.0
2023-07-02 13:03:10.232,OnTrack,-6413,3365,7526,pos,0 days 00:00:22.021000,0 days 01:02:09.240000,1.0
2023-07-02 13:03:10.532,OnTrack,-6491,3475,7536,pos,0 days 00:00:22.321000,0 days 01:02:09.540000,1.0
2023-07-02 13:03:10.752,OnTrack,-6604,3622,7552,pos,0 days 00:00:22.541000,0 days 01:02:09.760000,1.0
2023-07-02 13:03:11.072,OnTrack,-6785,3826,7578,pos,0 days 00:00:22.861000,0 days 01:02:10.080000,1.0
2023-07-02 13:03:11.152,OnTrack,-6840,3884,7589,pos,0 days 00:00:22.941000,0 days 01:02:10.160000,1.0
2023-07-02 13:03:11.332,OnTrack,-6960,4010,7604,pos,0 days 00:00:23.121000,0 days 01:02:10.340000,1.0
2023-07-02 13:03:11.572,OnTrack,-7120,4172,7629,pos,0 days 00:00:23.361000,0 days 01:02:10.580000,1.0
2023-07-02 13:03:11.893,OnTrack,-7314,4364,7661,pos,0 days 00:00:23.682000,0 days 01:02:10.901000,1.0
2023-07-02 13:03:11.973,OnTrack,-7358,4407,7667,pos,0 days 00:00:23.762000,0 days 01:02:10.981000,1.0
2023-07-02 13:03:12.313,OnTrack,-7520,4564,7694,pos,0 days 00:00:24.102000,0 days 01:02:11.321000,1.0
2023-07-02 13:03:12.433,OnTrack,-7578,4620,7703,pos,0 days 00:00:24.222000,0 days 01:02:11.441000,1.0
2023-07-02 13:03:12.693,OnTrack,-7695,4732,7721,pos,0 days 00:00:24.482000,0 days 01:02:11.701000,1.0
2023-07-02 13:03:12.932,OnTrack,-7813,4844,7740,pos,0 days 00:00:24.721000,0 days 01:02:11.940000,1.0
2023-07-02 13:03:13.232,OnTrack,-7898,4926,7753,pos,0 days 00:00:25.021000,0 days 01:02:12.240000,1.0
2023-07-02 13:03:13.532,OnTrack,-7996,5018,7769,pos,0 days 00:00:25.321000,0 days 01:02:12.540000,1.0
2023-07-02 13:03:13.692,OnTrack,-8065,5084,7781,pos,0 days 00:00:25.481000,0 days 01:02:12.700000,1.0
2023-07-02 13:03:14.092,OnTrack,-8142,5162,7794,pos,0 days 00:00:25.881000,0 days 01:02:13.100000,1.0
2023-07-02 13:03:14.392,OnTrack,-8199,5245,7808,pos,0 days 00:00:26.181000,0 days 01:02:13.400000,1.0
