Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-09-24 05:04:05.267,10331,0,1,32,True,1,car,0 days 00:00:00.014000,0 days 01:03:03.858000,0.0,1.0
2023-09-24 05:04:05.467,10347,0,1,34,True,1,car,0 days 00:00:00.214000,0 days 01:03:04.058000,0.0,1.0
2023-09-24 05:04:05.748,8915,4,1,35,False,1,car,0 days 00:00:00.495000,0 days 01:03:04.339000,0.3122222222222223,1.0
2023-09-24 05:04:06.148,6115,17,1,35,False,1,car,0 days 00:00:00.895000,0 days 01:03:04.739000,2.2011111111111115,1.0
2023-09-24 05:04:06.548,4739,29,1,35,False,1,car,0 days 00:00:01.295000,0 days 01:03:05.139000,5.423333333333333,1.0
2023-09-24 05:04:06.868,4811,38,1,35,False,1,car,0 days 00:00:01.615000,0 days 01:03:05.459000,8.801111111111112,1.0
2023-09-24 05:04:07.028,5263,41,1,37,False,1,car,0 days 00:00:01.775000,0 days 01:03:05.619000,10.623333333333333,1.0
2023-09-24 05:04:07.268,6120,47,1,41,False,1,car,0 days 00:00:02.015000,0 days 01:03:05.859000,13.75666666666667,1.0
2023-09-24 05:04:07.588,7063,60,1,46,False,1,car,0 days 00:00:02.335000,0 days 01:03:06.179000,19.09,1.0
2023-09-24 05:04:07.748,7343,64,1,51,False,1,car,0 days 00:00:02.495000,0 days 01:03:06.339000,21.93444444444445,1.0
2023-09-24 05:04:07.908,8074,71,1,51,False,1,car,0 days 00:00:02.655000,0 days 01:03:06.499000,25.089999999999996,1.0
2023-09-24 05:04:08.108,9474,79,1,57,False,1,car,0 days 00:00:02.855000,0 days 01:03:06.699000,29.47888888888889,1.0
2023-09-24 05:04:08.348,10514,92,1,63,False,1,car,0 days 00:00:03.095000,0 days 01:03:06.939000,35.61222222222223,1.0
2023-09-24 05:04:08.587,10984,100,1,67,False,1,car,0 days 00:00:03.334000,0 days 01:03:07.178000,42.251111111111115,1.0
2023-09-24 05:04:08.867,10271,112,2,75,False,1,car,0 days 00:00:03.614000,0 days 01:03:07.458000,50.96222222222222,1.0
2023-09-24 05:04:09.067,10875,122,2,77,False,1,car,0 days 00:00:03.814000,0 days 01:03:07.658000,57.74000000000001,1.0
2023-09-24 05:04:09.227,11625,126,2,79,False,1,car,0 days 00:00:03.974000,0 days 01:03:07.818000,63.34000000000002,1.0
2023-09-24 05:04:09.427,11249,136,2,82,False,1,car,0 days 00:00:04.174000,0 days 01:03:08.018000,70.89555555555557,1.0
2023-09-24 05:04:09.587,10361,145,2,82,False,1,car,0 days 00:00:04.334000,0 days 01:03:08.178000,77.33999999999999,1.0
2023-09-24 05:04:09.867,11899,156,3,93,False,1,car,0 days 00:00:04.614000,0 days 01:03:08.458000,89.47333333333333,1.0
2023-09-24 05:04:10.107,11648,164,3,100,False,1,car,0 days 00:00:04.854000,0 days 01:03:08.698000,100.40666666666667,1.0
2023-09-24 05:04:10.347,11402,178,4,100,False,1,car,0 days 00:00:05.094000,0 days 01:03:08.938000,112.27333333333334,1.0
2023-09-24 05:04:10.747,11953,192,4,92,False,1,car,0 days 00:00:05.494000,0 days 01:03:09.338000,133.60666666666665,1.0
2023-09-24 05:04:10.947,12398,195,4,99,False,1,car,0 days 00:00:05.694000,0 days 01:03:09.538000,144.44,1.0
2023-09-24 05:04:11.147,11418,203,4,99,False,1,car,0 days 00:00:05.894000,0 days 01:03:09.738000,155.7177777777778,1.0
2023-09-24 05:04:11.467,11259,210,5,100,False,1,car,0 days 00:00:06.214000,0 days 01:03:10.058000,174.38444444444448,1.0
2023-09-24 05:04:11.747,11623,219,5,100,False,1,car,0 days 00:00:06.494000,0 days 01:03:10.338000,191.4177777777778,1.0
2023-09-24 05:04:11.987,11888,223,5,100,False,1,car,0 days 00:00:06.734000,0 days 01:03:10.578000,206.28444444444446,1.0
2023-09-24 05:04:12.348,10723,229,5,100,False,1,car,0 days 00:00:07.095000,0 days 01:03:10.939000,229.24805555555557,1.0
2023-09-24 05:04:12.548,10751,236,6,100,False,1,car,0 days 00:00:07.295000,0 days 01:03:11.139000,242.35916666666668,1.0
2023-09-24 05:04:12.708,10967,239,6,100,False,1,car,0 days 00:00:07.455000,0 days 01:03:11.299000,252.98138888888892,1.0
2023-09-24 05:04:12.948,11204,244,6,100,False,1,car,0 days 00:00:07.695000,0 days 01:03:11.539000,269.2480555555556,1.0
2023-09-24 05:04:13.108,11268,246,6,100,False,1,car,0 days 00:00:07.855000,0 days 01:03:11.699000,280.18138888888893,1.0
2023-09-24 05:04:13.468,11470,250,6,100,False,1,car,0 days 00:00:08.215000,0 days 01:03:12.059000,305.1813888888889,1.0
2023-09-24 05:04:13.748,11718,256,6,100,False,1,car,0 days 00:00:08.495000,0 days 01:03:12.339000,325.0924999999999,1.0
2023-09-24 05:04:14.028,11847,258,6,100,False,1,car,0 days 00:00:08.775000,0 days 01:03:12.619000,345.1591666666667,1.0
2023-09-24 05:04:14.308,11638,257,6,25,True,1,car,0 days 00:00:09.055000,0 days 01:03:12.899000,365.1480555555555,1.0
2023-09-24 05:04:14.588,10917,247,6,12,True,1,car,0 days 00:00:09.335000,0 days 01:03:13.179000,384.3591666666667,1.0
2023-09-24 05:04:14.788,10383,231,6,10,True,1,car,0 days 00:00:09.535000,0 days 01:03:13.379000,397.1925,1.0
2023-09-24 05:04:15.108,10896,216,6,10,True,1,car,0 days 00:00:09.855000,0 days 01:03:13.699000,416.39250000000004,1.0
2023-09-24 05:04:15.347,10839,209,5,32,True,1,car,0 days 00:00:10.094000,0 days 01:03:13.938000,430.2677777777778,1.0
2023-09-24 05:04:15.587,10608,203,5,27,True,1,car,0 days 00:00:10.334000,0 days 01:03:14.178000,443.80111111111114,1.0
2023-09-24 05:04:15.947,10388,193,5,44,True,1,car,0 days 00:00:10.694000,0 days 01:03:14.538000,463.1011111111112,1.0
2023-09-24 05:04:16.307,9794,188,5,44,True,1,car,0 days 00:00:11.054000,0 days 01:03:14.898000,481.90111111111116,1.0
2023-09-24 05:04:16.547,9559,187,5,23,True,1,car,0 days 00:00:11.294000,0 days 01:03:15.138000,494.36777777777786,1.0
2023-09-24 05:04:16.787,9449,179,5,13,True,1,car,0 days 00:00:11.534000,0 days 01:03:15.378000,506.3011111111112,1.0
2023-09-24 05:04:17.227,10560,170,5,29,True,1,car,0 days 00:00:11.974000,0 days 01:03:15.818000,527.078888888889,1.0
2023-09-24 05:04:17.507,10416,165,4,34,True,1,car,0 days 00:00:12.254000,0 days 01:03:16.098000,539.9122222222222,1.0
2023-09-24 05:04:17.707,10066,163,4,40,True,1,car,0 days 00:00:12.454000,0 days 01:03:16.298000,548.9677777777779,1.0
2023-09-24 05:04:18.027,9632,159,4,18,True,1,car,0 days 00:00:12.774000,0 days 01:03:16.618000,563.1011111111111,1.0
2023-09-24 05:04:18.187,9509,154,4,18,True,1,car,0 days 00:00:12.934000,0 days 01:03:16.778000,569.9455555555555,1.0
2023-09-24 05:04:18.387,9261,150,4,18,True,1,car,0 days 00:00:13.134000,0 days 01:03:16.978000,578.2788888888889,1.0
2023-09-24 05:04:18.547,9153,146,4,29,False,1,car,0 days 00:00:13.294000,0 days 01:03:17.138000,584.7677777777778,1.0
2023-09-24 05:04:18.827,8820,144,4,42,False,1,car,0 days 00:00:13.574000,0 days 01:03:17.418000,595.9677777777778,1.0
2023-09-24 05:04:18.988,8820,143,4,42,False,1,car,0 days 00:00:13.735000,0 days 01:03:17.579000,602.3630555555555,1.0
2023-09-24 05:04:19.188,8845,142,4,0,True,1,car,0 days 00:00:13.935000,0 days 01:03:17.779000,610.2519444444445,1.0
2023-09-24 05:04:19.348,8595,138,4,17,True,1,car,0 days 00:00:14.095000,0 days 01:03:17.939000,616.3852777777778,1.0
2023-09-24 05:04:19.708,8531,136,4,52,False,1,car,0 days 00:00:14.455000,0 days 01:03:18.299000,629.9852777777778,1.0
2023-09-24 05:04:19.988,8981,139,4,57,False,1,car,0 days 00:00:14.735000,0 days 01:03:18.579000,640.7963888888889,1.0
2023-09-24 05:04:20.228,8888,140,4,44,False,1,car,0 days 00:00:14.975000,0 days 01:03:18.819000,650.1297222222223,1.0
2023-09-24 05:04:20.428,9076,142,4,53,False,1,car,0 days 00:00:15.175000,0 days 01:03:19.019000,658.0186111111112,1.0
2023-09-24 05:04:20.668,9191,144,4,55,False,1,car,0 days 00:00:15.415000,0 days 01:03:19.259000,667.6186111111111,1.0
2023-09-24 05:04:20.868,9475,147,4,64,False,1,car,0 days 00:00:15.615000,0 days 01:03:19.459000,675.7852777777779,1.0
2023-09-24 05:04:21.028,9662,147,4,71,False,1,car,0 days 00:00:15.775000,0 days 01:03:19.619000,682.3186111111112,1.0
2023-09-24 05:04:21.188,9823,151,4,72,False,1,car,0 days 00:00:15.935000,0 days 01:03:19.779000,689.0297222222223,1.0
2023-09-24 05:04:21.388,9842,153,4,73,False,1,car,0 days 00:00:16.135000,0 days 01:03:19.979000,697.5297222222223,1.0
2023-09-24 05:04:21.588,9997,157,4,72,False,1,car,0 days 00:00:16.335000,0 days 01:03:20.179000,706.2519444444445,1.0
2023-09-24 05:04:21.947,11030,174,4,100,False,1,car,0 days 00:00:16.694000,0 days 01:03:20.538000,723.603611111111,1.0
2023-09-24 05:04:22.147,11624,181,4,100,False,1,car,0 days 00:00:16.894000,0 days 01:03:20.738000,733.6591666666666,1.0
2023-09-24 05:04:22.307,12040,185,4,100,False,1,car,0 days 00:00:17.054000,0 days 01:03:20.898000,741.8813888888888,1.0
2023-09-24 05:04:22.587,11760,189,4,100,False,1,car,0 days 00:00:17.334000,0 days 01:03:21.178000,756.5813888888888,1.0
2023-09-24 05:04:22.947,10905,202,5,100,False,1,car,0 days 00:00:17.694000,0 days 01:03:21.538000,776.7813888888887,1.0
2023-09-24 05:04:23.187,11340,202,5,100,False,1,car,0 days 00:00:17.934000,0 days 01:03:21.778000,790.2480555555555,1.0
2023-09-24 05:04:23.347,11207,217,5,45,True,1,car,0 days 00:00:18.094000,0 days 01:03:21.938000,799.8925,1.0
2023-09-24 05:04:24.227,10517,202,5,23,False,1,car,0 days 00:00:18.974000,0 days 01:03:22.818000,849.2702777777778,1.0
2023-09-24 05:04:24.387,10300,198,5,7,False,1,car,0 days 00:00:19.134000,0 days 01:03:22.978000,858.0702777777777,1.0
2023-09-24 05:04:24.707,10156,191,5,37,False,1,car,0 days 00:00:19.454000,0 days 01:03:23.298000,875.0480555555555,1.0
2023-09-24 05:04:25.027,10148,191,5,60,False,1,car,0 days 00:00:19.774000,0 days 01:03:23.618000,892.0258333333333,1.0
2023-09-24 05:04:25.387,10256,193,5,69,False,1,car,0 days 00:00:20.134000,0 days 01:03:23.978000,911.3258333333332,1.0
2023-09-24 05:04:25.668,10034,192,5,2,True,1,car,0 days 00:00:20.415000,0 days 01:03:24.259000,926.3124999999998,1.0
2023-09-24 05:04:26.068,9551,182,5,3,True,1,car,0 days 00:00:20.815000,0 days 01:03:24.659000,946.5347222222221,1.0
2023-09-24 05:04:26.228,9237,182,5,3,True,1,car,0 days 00:00:20.975000,0 days 01:03:24.819000,954.6236111111109,1.0
2023-09-24 05:04:26.508,9077,173,5,7,False,1,car,0 days 00:00:21.255000,0 days 01:03:25.099000,968.0791666666663,1.0
2023-09-24 05:04:26.908,8978,168,5,53,False,1,car,0 days 00:00:21.655000,0 days 01:03:25.499000,986.745833333333,1.0
2023-09-24 05:04:27.348,9299,173,5,69,False,1,car,0 days 00:00:22.095000,0 days 01:03:25.939000,1007.8902777777774,1.0
2023-09-24 05:04:27.588,9542,177,5,71,False,1,car,0 days 00:00:22.335000,0 days 01:03:26.179000,1019.6902777777775,1.0
2023-09-24 05:04:27.788,9705,179,5,74,False,1,car,0 days 00:00:22.535000,0 days 01:03:26.379000,1029.6347222222219,1.0
2023-09-24 05:04:28.148,10059,187,5,100,False,1,car,0 days 00:00:22.895000,0 days 01:03:26.739000,1048.334722222222,1.0
2023-09-24 05:04:28.348,10139,193,5,100,False,1,car,0 days 00:00:23.095000,0 days 01:03:26.939000,1059.056944444444,1.0
2023-09-24 05:04:28.667,10118,194,5,38,True,1,car,0 days 00:00:23.414000,0 days 01:03:27.258000,1076.2474999999997,1.0
2023-09-24 05:04:28.827,10113,194,5,41,False,1,car,0 days 00:00:23.574000,0 days 01:03:27.418000,1084.869722222222,1.0
