Date,Status,X,Y,Z,Source,Time,SessionTime,LapNumber
2023-09-24 05:04:05.436,OnTrack,3507,-2955,666,pos,0 days 00:00:00.183000,0 days 01:03:04.027000,1.0
2023-09-24 05:04:05.595,OnTrack,3507,-2955,666,pos,0 days 00:00:00.342000,0 days 01:03:04.186000,1.0
2023-09-24 05:04:05.835,OnTrack,3507,-2956,666,pos,0 days 00:00:00.582000,0 days 01:03:04.426000,1.0
2023-09-24 05:04:06.076,OnTrack,3511,-2961,666,pos,0 days 00:00:00.823000,0 days 01:03:04.667000,1.0
2023-09-24 05:04:06.316,OnTrack,3518,-2968,666,pos,0 days 00:00:01.063000,0 days 01:03:04.907000,1.0
2023-09-24 05:04:06.435,OnTrack,3522,-2974,666,pos,0 days 00:00:01.182000,0 days 01:03:05.026000,1.0
2023-09-24 05:04:06.776,OnTrack,3544,-2999,665,pos,0 days 00:00:01.523000,0 days 01:03:05.367000,1.0
2023-09-24 05:04:07.015,OnTrack,3554,-3010,664,pos,0 days 00:00:01.762000,0 days 01:03:05.606000,1.0
2023-09-24 05:04:07.275,OnTrack,3573,-3033,663,pos,0 days 00:00:02.022000,0 days 01:03:05.866000,1.0
2023-09-24 05:04:07.496,OnTrack,3592,-3055,662,pos,0 days 00:00:02.243000,0 days 01:03:06.087000,1.0
2023-09-24 05:04:07.736,OnTrack,3617,-3084,661,pos,0 days 00:00:02.483000,0 days 01:03:06.327000,1.0
2023-09-24 05:04:08.036,OnTrack,3655,-3128,659,pos,0 days 00:00:02.783000,0 days 01:03:06.627000,1.0
2023-09-24 05:04:08.196,OnTrack,3677,-3155,659,pos,0 days 00:00:02.943000,0 days 01:03:06.787000,1.0
2023-09-24 05:04:08.416,OnTrack,3709,-3192,657,pos,0 days 00:00:03.163000,0 days 01:03:07.007000,1.0
2023-09-24 05:04:08.596,OnTrack,3739,-3228,655,pos,0 days 00:00:03.343000,0 days 01:03:07.187000,1.0
2023-09-24 05:04:08.856,OnTrack,3795,-3293,653,pos,0 days 00:00:03.603000,0 days 01:03:07.447000,1.0
2023-09-24 05:04:09.256,OnTrack,3872,-3383,650,pos,0 days 00:00:04.003000,0 days 01:03:07.847000,1.0
2023-09-24 05:04:09.477,OnTrack,3930,-3452,647,pos,0 days 00:00:04.224000,0 days 01:03:08.068000,1.0
2023-09-24 05:04:09.616,OnTrack,3961,-3489,646,pos,0 days 00:00:04.363000,0 days 01:03:08.207000,1.0
2023-09-24 05:04:09.836,OnTrack,4020,-3559,643,pos,0 days 00:00:04.583000,0 days 01:03:08.427000,1.0
2023-09-24 05:04:10.057,OnTrack,4108,-3663,639,pos,0 days 00:00:04.804000,0 days 01:03:08.648000,1.0
2023-09-24 05:04:10.377,OnTrack,4183,-3752,636,pos,0 days 00:00:05.124000,0 days 01:03:08.968000,1.0
2023-09-24 05:04:10.617,OnTrack,4262,-3844,633,pos,0 days 00:00:05.364000,0 days 01:03:09.208000,1.0
2023-09-24 05:04:10.837,OnTrack,4345,-3942,629,pos,0 days 00:00:05.584000,0 days 01:03:09.428000,1.0
2023-09-24 05:04:10.996,OnTrack,4395,-4000,627,pos,0 days 00:00:05.743000,0 days 01:03:09.587000,1.0
2023-09-24 05:04:11.236,OnTrack,4481,-4103,623,pos,0 days 00:00:05.983000,0 days 01:03:09.827000,1.0
2023-09-24 05:04:11.536,OnTrack,4596,-4236,619,pos,0 days 00:00:06.283000,0 days 01:03:10.127000,1.0
2023-09-24 05:04:11.616,OnTrack,4626,-4272,617,pos,0 days 00:00:06.363000,0 days 01:03:10.207000,1.0
2023-09-24 05:04:11.996,OnTrack,4801,-4478,610,pos,0 days 00:00:06.743000,0 days 01:03:10.587000,1.0
2023-09-24 05:04:12.296,OnTrack,4901,-4594,606,pos,0 days 00:00:07.043000,0 days 01:03:10.887000,1.0
2023-09-24 05:04:12.556,OnTrack,5010,-4723,601,pos,0 days 00:00:07.303000,0 days 01:03:11.147000,1.0
2023-09-24 05:04:12.715,OnTrack,5080,-4803,598,pos,0 days 00:00:07.462000,0 days 01:03:11.306000,1.0
2023-09-24 05:04:12.935,OnTrack,5289,-5050,589,pos,0 days 00:00:07.682000,0 days 01:03:11.526000,1.0
2023-09-24 05:04:13.436,OnTrack,5449,-5239,583,pos,0 days 00:00:08.183000,0 days 01:03:12.027000,1.0
2023-09-24 05:04:13.535,OnTrack,5494,-5293,581,pos,0 days 00:00:08.282000,0 days 01:03:12.126000,1.0
2023-09-24 05:04:13.815,OnTrack,5621,-5444,575,pos,0 days 00:00:08.562000,0 days 01:03:12.406000,1.0
2023-09-24 05:04:14.075,OnTrack,5766,-5623,569,pos,0 days 00:00:08.822000,0 days 01:03:12.666000,1.0
2023-09-24 05:04:14.496,OnTrack,5911,-5819,563,pos,0 days 00:00:09.243000,0 days 01:03:13.087000,1.0
2023-09-24 05:04:14.716,OnTrack,5974,-5940,559,pos,0 days 00:00:09.463000,0 days 01:03:13.307000,1.0
2023-09-24 05:04:14.936,OnTrack,6017,-6070,554,pos,0 days 00:00:09.683000,0 days 01:03:13.527000,1.0
2023-09-24 05:04:15.096,OnTrack,6048,-6257,549,pos,0 days 00:00:09.843000,0 days 01:03:13.687000,1.0
2023-09-24 05:04:15.376,OnTrack,6051,-6342,547,pos,0 days 00:00:10.123000,0 days 01:03:13.967000,1.0
2023-09-24 05:04:15.636,OnTrack,6034,-6502,544,pos,0 days 00:00:10.383000,0 days 01:03:14.227000,1.0
