Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,LapNumber
2023-08-27 13:03:05.416,10700,0,1,39,True,1,car,0 days 00:00:00.082000,0 days 01:02:05.042000,0.0,1.0
2023-08-27 13:03:05.616,10701,0,1,39,True,1,car,0 days 00:00:00.282000,0 days 01:02:05.242000,0.0,1.0
2023-08-27 13:03:05.897,9301,5,1,37,False,1,car,0 days 00:00:00.563000,0 days 01:02:05.523000,0.3902777777777777,1.0
2023-08-27 13:03:06.097,7901,11,1,35,False,1,car,0 days 00:00:00.763000,0 days 01:02:05.723000,1.001388888888889,1.0
2023-08-27 13:03:06.497,5101,24,1,37,False,1,car,0 days 00:00:01.163000,0 days 01:02:06.123000,3.6680555555555556,1.0
2023-08-27 13:03:06.697,4439,31,1,39,False,1,car,0 days 00:00:01.363000,0 days 01:02:06.323000,5.3902777777777775,1.0
2023-08-27 13:03:06.897,4779,38,1,42,False,1,car,0 days 00:00:01.563000,0 days 01:02:06.523000,7.501388888888888,1.0
2023-08-27 13:03:07.137,5937,45,1,47,False,1,car,0 days 00:00:01.803000,0 days 01:02:06.763000,10.501388888888888,1.0
2023-08-27 13:03:07.417,7096,57,1,50,False,1,car,0 days 00:00:02.083000,0 days 01:02:07.043000,14.934722222222225,1.0
2023-08-27 13:03:07.697,8684,69,1,55,False,1,car,0 days 00:00:02.363000,0 days 01:02:07.323000,20.301388888888887,1.0
2023-08-27 13:03:07.857,9431,76,1,62,False,1,car,0 days 00:00:02.523000,0 days 01:02:07.483000,23.679166666666667,1.0
2023-08-27 13:03:08.097,10542,84,1,64,False,1,car,0 days 00:00:02.763000,0 days 01:02:07.723000,29.27916666666666,1.0
2023-08-27 13:03:08.337,12222,88,1,76,False,1,car,0 days 00:00:03.003000,0 days 01:02:07.963000,35.145833333333336,1.0
2023-08-27 13:03:08.497,12222,100,1,76,False,1,car,0 days 00:00:03.163000,0 days 01:02:08.123000,39.59027777777777,1.0
